'll	ʊ BA
dojo	d AC ə AM ʊ̯ AK d AC ʒ AJ ə AM ʊ̯ AK
done	d AC ʊ BA n AG
dope	d AC ə AM ʊ BA p AH
double	d AC ʌ AM b AH ɫ AE
dower	d AC a AM ʊ BA ə AM ɹ AB
drawn	d AC ɹ AB ɔː BB n AG
dreich	d AC ɹ AB iː AN x AJ
drill	d AC ɹ AB ɪ AM ɫ AE
drink	d̠ AC ɹ̠ʷ ɪ AM ŋ AG k AC
drive	d̠ AC ɹ̠̝ʷ a AM ɪ AM v BE
drown	d̠ AC ɹ̠ʷ a AM ʊ BA n AG
drug	d̠ AC ɹ̠ʷ ʌ AM ɡ AC
drugs	d AC ʒ AJ ɹ AB ʌ AM ɡ AC z AJ
dunn	d AC ɐ BA n AG
eaten	iː AN ʔ AL n AG
emphasis	ɛ AM ɱ AF f BE ə AM s AJ ɪ AM s AJ
enabled	ɪ AM n AG e AM ɪ AM b AH ə AM ɫ AE d AC
encouragement	ɪ AM n AG k AC ʌ AM ɹ AB ɪ AM d AC ʒ AJ m AF ə AM n AG t AC
entangle	ɛ AM n AG t AC a AM ŋ AG ɡ AC l̩ CA
epigraphy	ʔ AL ɨ AM pʰ AI ɪː AN ɡ AC ɹ AB ə AM f BE iː AN
epimutation	ɛ AM p AH ɪ AM m AF j AB u BA t AC e AM ɪ AM ʃ AJ ə AM n AG
epitaph	ɛ AM p AH ɪ AM t AC ɑː AN f BE
epitomic	ɛ AM p AH ɪ AM t AC ɒ BA m AF ɪ AM k AC
essential	ə AM s AJ ɛ AM n AG t AC ʃ AJ ə AM l AE
esteem	ɛ AM s AJ t AC iː AN m AF
eugh	ʌ AM x AJ
ew	ɪ̃ BJ ʉ̃ BN u BA
farrand	f BE æ AM ɹ AB ə AM n AG t AC
fastness	f BE æ AM s AJ n AG ə AM s AJ
fatal	f BE e AM ɪ AM ɾ BI ɫ̩
fatally	f BE e AM ɪ̯ AB ɾ BI l̩ CA i AM
fated	f BE e AM ɪ̯ AB ɾ BI ɨ AM d AC
fauces	f BE ɔː BB s AJ iː AN z AJ
fauxtograph	f BE oː BB t AC ə AM ɡ AC ɹ AB ɑː AN f BE
fauxtography	f BE oː BB t AC ɒ BA ɡ AC ɹ AB ə AM f BE i AM
feel	f BE iː AN ɫ AE
fence	f BE ɛ AM n AG t AC s AJ
fencer	f BE ɛ AM n AG s AJ ɚ AM
feudal	f BE j AB uː BB d AC ɫ̩
fiddy	f BE ɪ AM ɾ BI i AM
file	f BE a AM ɪ̯ AB ɫ AE
fill	f BE ɪ AM ɫ AE
filling	f BE ɪ AM ɫ AE l AE ɪ AM ŋ AG
film	f BE ɪ AM ɫ AE m AF
fitra	f BE ɪ AM tˤ AC ɾ BI a AM
fitz	f BE ɪ AM t AC s AJ
flaithiúlach	f BE l AE æ AM h AA uː BB l AE ə AM x AJ
flizz	f BE l AE ɪ AM z AJ
flouted	f BE l AE a AM ʊ̯ AK ɾ BI ɨ AM d AC
flouting	f BE l AE a AM ʊ̯ AK ɾ BI ɪ AM ŋ AG
foot	fʷ BE ʊ BA t̚
football	fʷ BE ʊ BA ʔ AL t̚ b AH ɑ AM ɫ AE
foretell	f BE ɔː BB t AC ɛ AM ɫ AE
foretellable	f BE oː BB t AC ɛ AM ɫ AE ə AM b AH l̩ CA
foundation	f BE a AM ʊ̯ AK n AG d AC e AM ɪ̯ AB ʃ AJ n̩ BM
fountain	f BE a AM ʊ BA n AG ʔ AL n̩ BM
free	f BE ɹ AB ɪ AM i̯ AB
french	f BE ɹ̠ ɛ AM n̠ AG t AC ʃ AJ
friend	f BE ɹ̥ AB e AM n AG d̥ AC
fro	f BE ɹ AB ə AM ʊ BA
fuck	f BE ʌ AM kʰ AD
fuel	f BE j AB u BA w AK ə AM ɫ AE
full	f BE ʊ BA ɫ AE
fur	f BE ɜ̝ː
furcal	f BE ɚ AM k AC ə AM ɫ AE
gaeltacht	ɡ AC e AM ɪ AM l AE t AC ə AM x AJ t AC
gangtok	ɡ AC æ AM ŋ AG t AC ɒ BA k AC
gasoline	ɡ AC æ AM s AJ ɵ BA l AE i AM n AG
gaumy	ɡ AC ɔː BB m AF i AM
genetic	d AC ʒ AJ ɪ AM n AG ɛ AM t AC ɪ AM k AC
genkan	ɡ AC ɛ AM ŋ AG k AC ɑ AM n AG
getting	ɡ AC ɛ AM ɾ BI ɪ AM ŋ AG
glizzy	ɡ AC l AE ɪ AM z AJ i AM
gmail	d AC ʒ AJ iː AN m AF e AM ɪ AM l AE
gotta	ɡ AC ɒ BA ʔ AL ə AM
grass	ɡ AC ɹ̠ ɛ AM ə AM s AJ
grated	ɡ AC ɹ AB e AM ɪ̯ AB ɾ BI ɪ AM d AC
gratified	ɡ AC ɹ AB æː AN ɾ BI ɨ AM f BE a AM ɪː AN d̚
grating	ɡ AC ɹ AB e AM ɪ̯ AB ɾ BI ɪ AM ŋ AG
grivna	ɡ AC ɹ AB ɪ AM v BE n AG ɑ AM
grow	ɡ AC ɹ AB ə AM ʊ̯ AK
grows	ɡ AC ɹ AB ə AM ʊ̯ AK z AJ
guileless	ɡ AC a AM ɪ AM ɫ AE l AE ə AM s AJ
guttle	ɡ AC ʌ AM ɾ BI l̩ CA
guttural	ɡ AC ʌ AM ɾ BI ɚ AM ɫ̩
gyros	d AC ʒ AJ a AM ɪ AM ɹ AB o BA ʊ BA z AJ
h	æ AM ɪ AM t AC ʃ AJ
hadith	h AA a AM d AC iː AN θ AJ
hail	h AA e AM ɪ̯ AB ɫ AE
hang	h AA e AM ɪ AM ŋ AG
hangnail	h AA e AM ɪ AM ŋ AG n AG e AM ɪ̯ AB ɫ AE
happening	h AA æ AM p AH n AG ɪ AM n AG
hat	h AA a AM t AC
heading	h AA ɛ AM ɾ BI ɪ AM ŋ AG
health	h AA ɛ AM l̪ AE θ AJ
hew	ç j AB uː BB
hexadecile	h AA ɛ AM k AC s AJ ə AM d AC iː AN s AJ a AM ɪ AM ɫ AE
hibernation	h AA a AM ɪ AM b AH əː AN n AG e AM ɪ AM ʃ AJ n̩ BM
high	h AA a AM ɪ̯ AB
hill	h AA ɪ AM ɫ AE
hiller	h AA ɪ AM l AE ə AM ɹ AB
him	ɪ̈ AM m AF
hinoki	h AA i AM n AG o BA k AC i AM
hitherto	h AA ɪ AM ð AJ ə AM tʰ AD uː BB
hmm	m̥ AF m̩ BL
hmmm	m̥ AF m̩ː CG
hold	h AA ə AM ʊ BA ɫ AE d AC
holding	h AA ə AM ʊ BA ɫ AE d AC ɪ AM ŋ AG
hole	h AA ə AM ʊ BA ɫ AE
holey	h AA ɒ BA ʊ BA ɫ AE l AE i AM
holier	h AA ɒ BA ʊ BA ɫ AE l AE i AM ə AM
holiest	h AA ɒ BA ʊ BA ɫ AE l AE i AM ɪ AM s AJ t AC
homophobe	h AA ə AM ʊ BA m AF ə AM f BE ə AM ʊ BA b AH
hon	m̥ AF ɑ AM n AG
hood	h AA ʊ̈ BA d AC
hordesman	h AA ɔː BB d AC z AJ m AF n̩ BM
hotel	h AA oː BB t AC e AM l AE
housemother	h AA a AM ʊ BA s AJ m AF ɐ BA ð AJ ə AM ɹ AB
hrivna	ɦ AA ɹ AB ɪ AM u̯ AK nʲ AG ɑ AM
hubris	ç j AB u̟ː BB b AH ɹʷ ɪ AM s AJ
hue	ç u̟ː BB
huge	ç u̟ː BB d AC ʒ AJ
huh	h AA ʌ̃ BJ
human	ç j AB u̟ː BB m AF ə AM n AG
humanist	ç uː BB m AF ə AM n AG ɪ AM s AJ t AC
humongous	ç u̟ː BB m AF ʊ BA ŋ AG ɡ AC ə AM s AJ
hydra	h AA a AM ɪ̯ AB d AC ʒ AJ ɹ AB ə AM
hyperhidrosis	h AA a AM ɪ AM p AH ə AM ɹ AB h AA a AM ɪ AM d AC ɹ AB o BA ʊ BA s AJ ɪ AM s AJ
hypotenuse	h AA a AM ɪ AM p AH ɒ BA ʔ AL n̩ BM j AB uː BB z AJ
háček	ɦ AA ɑː AN t AC ʃ AJ ɛ AM k AC
iced	a AM ɪ̯ AB s AJ t AC
imma	aː AN m AF ə AM
inamorata	ɪ AM n AG æ AM m AF ə AM ɹ AB ɑː AN ɾ BI ə AM
incidental	ɪ AM n AG s AJ ɪ AM d AC ɛ AM ɾ̃ CC ə AM l AE
indical	ɪ AM n AG d AC ɪ AM k AC l̩ CA
inexorably	ɪ AM n AG ɛ AM ɡ AC z AJ ə AM ɹ AB ə AM b AH l AE i AM
inference	ɪ AM ɱ AF f BE ɹ AB ə AM n AG s AJ
inferrible	ɪ AM n AG f BE ə AM ɹ AB ɪ AM b AH l̩ CA
inhalation	ɪ AM n AG ɦ AA ə AM l AE e AM ɪ AM ʃ AJ n̩ BM
insolvency	ɪ AM n AG s AJ ɒ BA l AE v BE n̩ BM s AJ i AM
installation	ɪ AM n AG s AJ t AC ə AM l AE e AM ɪ AM ʃ AJ ə AM n AG
insufferable	ɪ AM n AG s AJ ʌ AM f BE ɹ AB ə AM b AH l̩ CA
interloper	ɪ AM n AG t AC ə AM l AE ə AM ʊ̯ AK p AH ə AM
international	ɪ AM n AG t AC ə AM n AG æ AM ʃ AJ ə AM n AG ə AM ɫ AE
investigate	ɪ AM n AG v BE e AM s AJ t AC ɪ AM ɡ AC e AM ɪ̯ AB t AC
ipa	a AM ɪ AM pʰ AI iː AN e AM ɪ AM
ireland	ʌ AM ɪ AM ɚ AM l AE ə AM n AG d AC
it	ɪ̈ AM t AC
item	a AM ɪ̯ AB ɾ BI ə AM m AF
ith	a AM ɪ̯ AB θ AJ
jar	d AC ʒ AJ ɑː AN ɹ AB
jump	d AC ʒ AJ ʌ AM m AF p AH
jury	d AC ʒ AJ ʊ BA ə AM ɹ̠ i AM
k	kʰ AD e AM ɪ AM
kana	kʰ AD ɑː AN n AG ə AM
karma	k AC ə AM ɾ BI m AF ə AM
kash	k AC a AM ʃ AJ
katy	kʰ AD e AM ɪ̯ AB ɾ BI i AM
kebnekaise	k AC ɛ AM b AH n AG ə AM k AC a AM i AM s AJ ə AM
keloid	k AC iː AN l AE ɔ BA ɪ AM d AC
kettle	kʰ AD ɛ AM t AC ɫ̩
key	kʲʰ AD iː AN
kibosh	k AC a AM ɪ AM b AH o BA ʃ AJ
kick	kʰ AD ɪ AM k AC
killer	kʰ AD ɪ AM l AE ə AM ɹ AB
kiss	kʰ AD ɪ AM s AJ
knoll	n AG ə AM ʊ BA l AE
koizumi	kʰ AD ɔ BA i̯ AB z AJ u BA m AF i AM
korea	kʰ AD ɵ BA ɹ AB iː AN ə AM
l	ɫ AE
la	ɛ AM ɫ AE l AE e AM j AB
lambrusco	l AE æ AM m AF b AH ɹ AB ʊ BA s AJ k AC ə AM ʊ BA
lander	l AE æ AM n AG d AC ə AM
language	l AE e AM ɪ AM ŋ AG ɡ AC w AK ɪ AM d AC ʒ AJ
largely	l AE ɑː AN d AC ʒ AJ l AE i AM
latter	l AE æ AM ɾ BI ɚ AM
laundry	l AE ɑ AM n AG d AC ɹ AB i AM
learner	l AE ɚ AM n AG ɚ AM
leeway	l AE iː AN w AK e AM ɪ AM
li'l	l AE ɪ AM ɫ̩
liable	l AE a AM ɪ̯ AB ə AM b AH ɫ̩
libre	l AE i AM b AH ʁ AJ
listen	l AE ɪ AM s AJ n̩ BM
little	l AE ɪ AM tʰ AD ɫ̩
luck	l AE ɐ BA k AC
lulls	ɫ AE ʌ AM ɫ AE z AJ
lunch	l AE ʌ̃ BJ n AG t AC ʃ AJ
lycra	l AE a AM ɪ AM k AC ɹ AB ə AM
madder	m AF a AM d AC ə AM ɹ AB
madhab	m AF æ AM ð AJ h AA æ AM b AH
mail	m AF e AM ɪ̯ AB ɫ AE
make	m AF e AM ɪ AM kʲ AC
malinois	m AF æ AM l AE ɪ AM n AG w AK ɑː AN
mamaliga	m AF ə AM m AF ə AM l AE i AM ɡ AC ə AM
mash	m AF a AM ʃ AJ
mawky	m AF ɔː BB k AC i AM
maybe	m AF e AM ɪ̯ AB b AH i AM
medal	m AF ɛ AM ɾ BI ɫ̩
meese	m AF iː AN s AJ
merveilleuse	m AF ɛ AM ʁ AJ v BE ɛ AM j AB ø BA z AJ
merveilleux	m AF ɛ AM ʁ AJ v BE ɛ AM j AB ø BA
metal	m AF ɛ AM ɾ BI ɫ̩
methoxphenidine	m AF ɛː AN θ AJ ɑ AM k AC s AJ f BE ɛː AN n AG ɨ AM ɾ BI ĩː n AG
mhm	m̩ BL m̥ AF m̩ BL
mi'kmaq	m AF ɪ AM ɡ AC ə AM m AF ɒ BA q AC
michael	m AF ɐ BA ɪ AM kʰ AD ɫ̩
michigander	m AF ɪ AM ʃ AJ ə AM ɡ AC æ AM n AG d AC ɚ AM
middle	m AF ɪ AM d AC ʊ BA
middleman	m AF ɪ AM d AC ɫ̩ m AF æ AM n AG
midst	m AF ɪ AM t AC s AJ t AC
mikey	m AF ɐ BA ɪ AM kʰ AD iː AN
mile	m AF a AM ɪ̯ AB ɫ AE
milkshake	m AF ɪ AM ɫ AE k AC ʃ AJ e AM ɪ AM k AC
mill	m AF ɪ AM ɫ AE
mister	m AF ɪ AM s AJ t AC ə AM ɹ AB
mmm	m̩ BL
molasses	m AF ə AM l AE æ AM s AJ ɪ AM z AJ
money	m AF ɐ BA n AG i AM
month	m AF ɐ BA n̪ AG θ AJ
mother	m AF ɐ BA ð AJ ə AM ɹ AB
motlopi	m AF ə AM ʊ BA t̚ l AE ə AM ʊ BA p AH i AM
muddy	m AF ʌ AM d AC i AM
multiplayer	m AF ɐ BA ɫ AE t AC i AM p AH l AE e AM ɪ̯ AB ə AM ɹ AB
multiplier	m AF ʌ AM ɫ AE t AC ɪ AM p AH l AE a AM ɪ AM ɚ AM
murr	m AF ɚ AM
mustard	m AF ʌ AM s AJ t AC ɚ AM d AC
musty	m AF ʌ AM s AJ t AC ɪ AM
myrrh	m AF ɚ AM
nah	n AG ɑː AN
nail	n AG e AM ɪ̯ AB ɫ AE
nares	n AG ɛ AM ə AM ɹ AB i AM z AJ
narration	n AG ə AM ɹ AB e AM ɪ AM ʃ AJ n̩ BM
nauruan	n AG ɑː AN uː BB ɹ AB uː BB n̩ BM
need	n AG ɪ AM i̯ AB d AC
newcastle	n AG j AB ʉ BA kʰ AD ɑː AN s AJ ɫ̩
ng	ŋ AG
niggard	n AG ɪ AM ɡ AC ə AM d AC
niggered	n AG ɪ AM ɡ AC ə AM d AC
nighttime	n AG a AM ɪ AM ʔ AL t AC a AM ɪ AM m AF
nine	n AG a AM ɪ̯ AB n AG
niort	n AG j AB ɔ BA ɹ AB
nippon	n AG ɪ AM p AH ɒ BA n AG
nizz	n AG ɪ AM z AJ
nonce	n AG ɒ BA n AG t AC s AJ
nope	n AG o BA ʊ BA p̚
nut	n AG ɐ BA t AC
obnubilation	ɒ BA b AH n AG j AB uː BB b AH ɪ AM l AE e AM ɪ AM ʃ AJ n̩ BM
oftentime	ɒ BA f BE t AC n̩ BM t AC a AM ɪ AM m AF
oil	ɔ BA ɪ AM ɫ AE
ointment	ɔ̃ BN ɪ̃ BJ n AG ʔ AL m AF ɪ̃ BJ n AG ʔ AL
one	w AK ɐ BA n AG
oni	o BA ʊ BA n AG iː AN
otaku	ə AM ʊ̯ AK tʰ AD ɑː AN kʰ AD uː BB
other	ɐ BA ð AJ ə AM ɹ AB
our	ɑ AM ˞
pack	pʰ AI æ AM k AC
package	pʰ AI a AM k AC ɛ AM d AC ʒ AJ
paddle	pʰ AI æ AM ɾ BI ɫ̩
paddy	pʰ AI æ AM ɾ BI i AM
padre	pʰ AI ɑ AM d AC ɹ AB e AM ɪ̯ AB
pah	pʼ BC aʰ
pail	pʰ AI e AM ɪ̯ AB ɫ AE
pale	pʰ AI e AM ɪ̯ AB ɫ AE
pantry	p AH a AM nʰ CF ɹ̥ AB i AM
parcel	pʰ AI ɑː AN s AJ ə AM ɫ AE
park	p AH ɒ BA ə AM k AC
parole	p AH ə AM ɹ AB ə AM ʊ BA ɫ AE
parse	pʰ AI ɑː AN z AJ
pass	pʰ AI ɛ AM ə AM s AJ
pat	pʰ AI æˀ t̚
path	pʰ AI ɛ AM ə AM θ AJ
patrick	pʰ AI æ AM t̠ AC ɹ̠̊ʷ ɪ AM k̚
pattern	p AH a AM ʔ AL ə AM n AG
patting	pʰ AI æ AM ɾ BI ɪ AM ŋ AG
pattings	pʰ AI æ AM ɾ BI ɪ AM ŋ AG z AJ
pay	pʰ AI e AM ɪ AM
pear	pʰ AI e AM ə AM
pearl	pʰ AI əː AN ɫ AE
pearls	pʰ AI əː AN ɫ AE z AJ
peculiar	pʰ AI ə̥ AM kʰ AD j̊ AB uː BB l AE j AB ʊ BA ə AM
peel	pʰ AI iː AN ɫ AE
peg	pʰ AI ɛ AM ɡ AC
penchant	p AH ɑ̃ BJ ʃ AJ ɑ̃ BJ
penes	pʰ AI iː AN n AG iː AN z AJ
penis	pʰ AI iː AN n AG ɪ AM s AJ
percuss	p AH ə AM kʰ AD ʌ AM s AJ
performance	p AH ɚ AM f BE ɔ BA ɹ AB m AF ə AM n AG s AJ
person	pʰ AI ɜː AN s AJ n̩ BM
pet	pʰ AI ɛ AM ʔ AL t AC
petting	pʰ AI ɛ AM ɾ BI ɪ AM ŋ AG
phew	ɸ BE j AB u̥ BA
philadelphia	f BE ɪ AM ɫ AE ə AM d AC ɜ AM ɫ AE f BE i AM ə AM
phlebolith	f BE l AE ɛ AM b AH ə AM l AE ɪ AM θ AJ
photo	f BE ə AM ʊ BA tʰ AD ə AM ʊ BA
photograph	f BE ə AM ʊ BA tʰ AD ə̥ AM ɡ AC ɹ̠ ɑː AN f BE
photosynthesis	f BE ə AM ʊ BA tʰ AD ə AM ʊ BA s AJ ɪ AM n̪ AG θ AJ ə AM s AJ ɪ AM s AJ
pick	pʰ AI ɪ AM k AC
piling	pʰ AI a AM ɪ̯ AB ɫ AE l AE ɪ AM ŋ AG
pill	pʰ AI ɪ AM ɫ AE
pin	pʰ AI ɪ AM n AG
pit	pʰ AI ɪ AM ʔ AL t AC
pittance	pʰ AI ɪ AM ʔ AL n̩ BM s AJ
place	pʰ AI l̥ AE e AM ɪ AM s AJ
plack	pʰ AI l̥ AE æ AM k AC
plague	pʰ AI l̥ AE e AM ɪ AM ɡ AC
plain	pʰ AI l̥ AE e AM ɪ AM n AG
plan	pʰ AI l̥ AE æ AM n AG
plane	pʰ AI l̥ AE e AM ɪ AM n AG
plant	pʰ AI l̥ AE ɑː AN n AG t AC
plate	pʰ AI l̥ AE e AM ɪ AM t AC
play	p AH l̥ AE e AM ɪ AM
please	p AH l̥ AE ɪ AM i AM z AJ
poem	pʰ AI ə AM ʊ̯ AK ɪ AM m AF
poetry	p AH ə AM ʊʷ ə AM t AC ɹ AB ɪ AM
poilu	p AH w AK ɑː AN l AE uː BB
polar	pʰ AI ə AM ʊ̯ AK l AE ə AM ɹ AB
pole	pʰ AI o BA ʊ̯ AK ɫ AE
police	p AH ə AM l AE iː AN s AJ
pool	pʰ AI u BA ɫ AE
postal	p AH ə AM ʊ BA s AJ t AC l̩ CA
potato	p AH ə̥ AM tʰ AD e AM ɪ AM tʰ AD ə AM ʊ BA
pressure	p AH ɹ AB ɛ AM ʃ AJ ɚ AM
pretzel	pʰ AI ɹ AB ɛ AM ʔ AL t AC s AJ ɫ̩
prick	pʰ AI ɹ̠̊ ɪ AM k AC
pride	p AH ɹ̥ʷ a AM ɪ AM d AC
priest	p AH ɹ̥ AB iː AN s AJ t AC
prim	pʰ AI ɹ̠̊ ɪ AM m AF
prism	pʰ AI ɹ̠̊ ɪ AM z AJ m̩ BL
prison	pʰ AI ɹ̠̊ ɪ AM z AJ n̩ BM
processors	p AH ɹ AB ə AM ʊ BA s AJ ɛ AM s AJ ə AM z AJ
pronunciation	pʰ AI ɹ AB ə AM n AG ʌ AM n AG s AJ i AM e AM ɪ AM ʃ AJ ə AM n AG
propaganda	p AH ɹ AB ɒ BA p AH ə AM ɡ AC æ AM n AG d AC ə AM
pulchritude	pʰ AI ʌ AM ɫ AE k AC ɹ AB ə AM t AC j AB uː BB d AC
puppy	pʰ AI ɐ BA p AH i AM
purl	pʰ AI əː AN ɫ AE
purls	pʰ AI əː AN ɫ AE z AJ
push	pʷ AH ʊ BA ʃ AJ
put	pʰ AI ʊ BA ʔ AL t AC
putt	pʰ AI ɐ BA t AC
putting	pʰ AI ʌ AM t AC ɪ AM ŋ AG
quaint	kʰ AD w AK e AM ɪ̯ AB n AG t AC
queen	kʷ AH w AK iː AN n AG
quesadilla	kʰ AD e AM ɪ̯ AB s AJ ə AM d AC iː AN l AE j AB ə AM
quick	k AC w̥ AK ɪ AM k AC
quid	kʰ AD w̥ AK ɪ AM d AC
quiff	kʰ AD w̥ AK ɪ AM f BE
quill	kʰ AD w̥ AK ɪ AM l AE
quilt	kʰ AD w̥ AK ɪ AM l AE t AC
quin	kʰ AD w̥ AK ɪ AM n AG
quinn	kʰ AD w̥ AK ɪ AM n AG
quint	kʰ AD w̥ AK ɪ AM n AG t AC
quip	kʰ AD w̥ AK ɪ AM p AH
quit	kʰ AD w̥ AK ɪ AM t AC
quiz	kʰ AD w̥ AK ɪ AM z AJ
rail	ɹ AB e AM ɪ AM ɫ AE
rajgira	ɾ BI ɑː AN d AC ʒ AJ ɡ AC i AM r BD ɑː AN
rambo	ɹ AB æ AM m AF b AH ə AM ʊ BA
reading	ɹ AB iː AN ɾ BI ɪ AM ŋ AG
reconnoiter	ɹʷ ɛ AM k AC ə AM n AG ɔ BA ɪ̯ AB tʰ AD ə AM
reconnoitre	ɹʷ ɛ AM k AC ə AM n AG ɔ BA ɪ̯ AB tʰ AD ə AM
rehearse	ɹ AB ɪ AM h AA ɜː AN s AJ
relative	ɹ AB ɛ AM l AE ə AM ɾ BI ɪ AM v BE
relatively	ɹ AB ɛ AM l AE ə AM ɾ BI ɪ AM v BE l AE i AM
relinquish	ɹ AB ɪ AM l AE ɪ AM ŋ AG k AC w AK ɪ AM ʃ AJ
remote	ɹ AB ɪ AM m AF ə AM ʊ BA t AC
republic	ɹ AB ɪ AM p AH ʌ AM b AH l AE ɪ AM k AC
reticent	ɹ AB ɛ AM d AC ə AM s AJ ə AM n AG t AC
revelry	ɹ AB ɛ AM v BE ə AM ɫ AE ɹ AB i AM
reëvoke	ɹ AB iː AN ʔ AL i AM v BE ə AM ʊ BA k AC
rider	ɹ̠ a AM ɪ AM d AC ə AM
rocks	ɹʷ ɔ BA k AC s AJ
rocky	ɹʷ ɒ BA k AC iː AN
rose	ɹ̠ʷ ə AM ʊ BA z̥ AJ
rub	ɹ AB ɐ BA b AH
rubbed	ɹ AB ʌˑ b̚ d̥ AC
rubber	ɹ AB ɐ BA b AH ə AM ɹ AB
rubbers	ɹ AB ɐ BA b AH ə AM z AJ
ruby	ɹ AB uː BB b AH i AM
rule	ɹ AB uː BB ɫ AE
saddle	s AJ æ AM d AC l̩ CA
sail	s AJ e AM ɪ̯ AB ɫ AE
salami	s AJ ə AM l AE ɑː AN m AF ɪ AM
sang	s AJ ɛ AM ŋ AG
scale	s AJ k AC e AM ɪ̯ AB ɫ AE
scallion	s AJ k AC æ AM l AE ɪ AM ə AM n AG
schemes	s AJ k AC iː AN m AF z̥ AJ
scold	s AJ k AC ɒ BA ʊ BA ɫ AE d AC
screech	s AJ k AC ɹ AB iː AN t AC ʃ AJ
scuttle	s AJ k AC ʌ AM t AC ɫ̩
senpai	s AJ ɛ AM n AG p AH a AM ɪ̯ AB
sentence	s AJ ɛ AM n AG ʔ AL n̩ BM t AC s AJ
servo	s AJ ɜː AN v BE ə AM ʊ BA
shi	ʃ AJ a AM ɪ AM
shouldn't	ʃ AJ ʊ BA n AG ʔ AL
siberia	s AJ a AM ɪ AM b AH ɪ AM ə AM ɹ AB ɪ AM ə AM
siberian	s AJ a AM ɪ AM b AH ɪ AM ə AM ɹ AB ɪ AM ə AM n AG
sigmatism	s AJ ɪ AM ɡ AC m AF ʌ AM t AC ɪ AM z AJ m AF
sixth	s AJ ɪ AM k AC s AJ θ AJ
skillful	s AJ k AC ɪ AM ɫ AE f BE ə AM ɫ AE
skrrt	s AJ k AC r̩ CB ʔ AL
skweee	s AJ k AC w AK iː AN
slaten	s AJ l AE e AM ɪ AM t AC n̩ BM
snares	s AJ n AG ɛː AN z AJ
snash	s AJ n AG a AM ʃ AJ
snow	s AJ n AG ə AM ʊ̯ AK
soil	s AJ ɔ BA ɪ̯ AB ɫ AE
solvent	s AJ ɒ BA l AE v BE ə AM n AG t AC
some	s AJ ɐ BA m AF
something	s AJ ɐ BA m AF θ AJ ɪ AM ŋ AG
somnambulist	s AJ ɒ BA m AF n AG æ AM m AF b AH j AB ʊ BA l AE ɪ AM s AJ t AC
somnambulistic	s AJ ɒ BA m AF n AG æ AM m AF b AH j AB ʊ BA l AE ɪ AM s AJ t AC ɪ AM k AC
sophisticate	s AJ ə AM f BE ɪ AM s AJ t AC ɪ AM k AC ə AM t AC
sorta	s AJ ɔː BB t AC ə AM
sotto	s AJ o BA tː BG o BA
splash	s AJ p AH l AE a AM ʃ AJ
squamation	s AJ k AC w AK e AM ɪ AM m AF e AM ɪ AM ʃ AJ n̩ BM
squander	s AJ k AC w AK ɒ BA n AG d AC ə AM
squee	s AJ k AC w AK iː AN
standardise	s AJ t AC æ AM n AG d AC ə AM ɹ AB d AC a AM ɪ AM z AJ
steel	s AJ t AC iː AN ɫ AE
stirk	s AJ t AC ɜː AN k AC
stope	s AJ t AC o BA ʊ BA p AH
strength	s AJ t̠ AC ɹ̠ ɪ AM ŋ AG k AC θ AJ
strident	s AJ t AC ɹ AB a AM ɪ AM dˀ AL n AG t AC
stripboard	s AJ t AC ɹ AB ɪʰ b AH ɔː BB d AC
strong	ʃ AJ t̠ AC ɹ̠ ɒ BA ŋ AG
structure	s AJ t AC ɹ AB ɐ BA k AC t AC ʃ AJ ə AM ɹ AB
struggle	s AJ t AC ɹ AB ʌ AM ɡ AC l̩ CA
strut	s AJ t AC ɹ AB ɐ BA t AC
subhuman	s AJ ʌ AM b AH h AA j AB uː BB m AF ə AM n AG
substituent	s AJ ʌ AM b AH s AJ t AC ɪ AM t AC ʃ AJ u BA ə AM n AG t AC
subtle	s AJ ʌ AM ɾ BI ɫ̩
subway	s AJ ʌ AM b AH w AK e AM ɪ̯ AB
sudden	s AJ ʌ AM d AC n̩ BM
suggestion	s AJ ə AM d AC ʒ AJ ɛ AM ʃ AJ t AC ʃ AJ ə AM n AG
support	s AJ ə AM pʰ AI ɔː BB t AC
suppose	s AJ ə AM pʰ AI ə AM ʊ BA z AJ
syllable	s AJ ɪ AM l AE ə AM b AH ɫ AE
symbology	s AJ ɪ AM m AF b AH ɒ BA l AE ə AM d AC ʒ AJ i AM
symphony	s AJ ɪ AM ɱ AF f BE ə AM n AG i AM
syndical	s AJ ɪ AM n AG d AC ɪ AM k AC l̩ CA
syntagms	s AJ ɪ AM n AG t AC æ AM m AF z AJ
t'	ː
tab	tʰ AD æ AM b̥ AH
tackle	tʰ AD æ AM k AC ɫ̩
take	tʰ AD e AM ɪ̯ AB k AC
talib	tʰ AD æ AM l AE ɪ AM b AH
talked	tʰ AD ɔː BB k AC t AC
tallit	tʰ AD ɑ AM ɫ AE ɪ AM s AJ
tampon	tʰ AD æ AM m AF p AH ɒ BA n AG
tap	tʰ AD æ AM p AH
tape	tʰ AD e AM ɪ̯ AB p AH
tapestry	t AC æ AM p AH ə AM s AJ t AC ʃ AJ ɹ AB i AM
taring	t AC ɛ AM ə AM ɹ AB ɪ AM ŋ AG
tarter	t AC ɑː AN t AC ə AM ɹ AB
tattoo	tʰ AD æ AM tʰ AD u̟ː BB
tea	tʰ AD iː AN
teal	t AC iː AN ɫ AE
teared	t AC ɪː AN d AC
