a	a AK
ekarri	e AK k AC a AK r AM i AK
ekialde	e AK k AC i AK a AK l AE d AC e AK
ele	e AK l AE e AK
elefante	e AK l AE e AK f AN a AK n AG t AC e AK
eliza	e AK l AE i AK s̻ AI a AK
elkar	e AK l AE k AC a AK r AM
elkarlan	e AK l AE k AC a AK ɾ BC l AE a AK n AG
elkarrekin	e AK l AE k AC a AK r AM e AK k AC i AK ɲ AG
eltxo	e AK l AE t AC ʃ AI o AL
emagaldu	e AK m AF a AK ɡ AC a AK l AE d AC u AL
eman	e AK m AF a AK n AG
eme	e AK m AF e AK
enara	e AK n AG a AK ɾ BC a AK
ene	e AK n AG e AK
enegan	e AK n AG e AK ɡ AC a AK n AG
enigmatiko	e AK n AG i AK ɡ AC m AF a AK t AC i AK k AC o AL
entzun	e AK n AG t AC s̻ AI u AL n AG
epail	e AK p AH a AK ʎ AE
eper	e AK p AH e AK r AM
erabili	e AK ɾ BC a AK b AH i AK ʎ AE i AK
erakutsi	e AK ɾ BC a AK k AC u AL t AC s̺ AI i AK
eraman	e AK ɾ BC a AK m AF a AK n AG
erbi	e AK r AM b AH i AK
erdara	e AK r AM d AC a AK ɾ BC a AK
erdi	e AK r AM d AC i AK
ereiaro	e AK ɾ BC e AK i AK a AK ɾ BC o AL
erion	e AK ɾ BC j AB o AL n AG
erlategi	e AK r AM l AE a AK t AC e AK ɡ AC i AK
erlauntza	e AK r AM l AE a AK u AL n AG t AC s̻ AI a AK
ermita	e AK r AM m AF i AK t AC a AK
erne	e AK r AM n AG e AK
eroan	e AK ɾ BC o AL a AK n AG
eroango	e AK ɾ BC o AL a AK n AG ɡ AC o AL
eroate	e AK ɾ BC o AL a AK t AC e AK
eroaten	e AK ɾ BC o AL a AK t AC e AK n AG
erori	e AK ɾ BC o AL ɾ BC i AK
eros	e AK ɾ BC o AL s̺ AI
erosi	e AK ɾ BC o AL s̺ AI i AK
erosiek	e AK ɾ BC o AL s̺ AI i AK e AK k AC
erosien	e AK ɾ BC o AL s̺ AI i AK e AK n AG
erosiok	e AK ɾ BC o AL s̺ AI i AK o AL k AC
erosion	e AK ɾ BC o AL s̺ AI i AK o AL n AG
erostak	e AK ɾ BC o AL s̺ AI t AC a AK k AC
erostan	e AK ɾ BC o AL s̺ AI t AC a AK n AG
erran	e AK r AM a AK n AG
errauts	e AK r AM a AK u AL t AC s̺ AI
erraz	e AK r AM a AK s̻ AI
erre	e AK r AM e AK
erreferentzia	e AK r AM e AK f AN e AK ɾ BC e AK n AG t AC s̻ AI j AB a AK
erregina	e AK r AM e AK ɡ AC i AK ɲ AG a AK
errepide	e AK r AM e AK p AH i AK d AC e AK
errez	e AK r AM e AK s̻ AI
errota	e AK r AM o AL t AC a AK
erru	e AK r AM u AL
errumania	e AK r AM u AL m AF a AK n AG i AK a AK
errumaniar	e AK r AM u AL m AF a AK n AG j AB a AK r AM
errumaniera	e AK r AM u AL m AF a AK n AG j AB e AK ɾ BC a AK
errusia	e AK r AM u AL s̺ AI j AB a AK
errusiar	e AK r AM u AL s̺ AI j AB a AK r AM
errusiera	e AK r AM u AL s̺ AI j AB e AK ɾ BC a AK
esan	e AK s̺ AI a AK n AG
ese	e AK s̺ AI e AK
esker	e AK s̺ AI k AC e AK r AM
eskozia	e AK s̺ AI k AC o AL s̻ AI j AB a AK
eskribitu	e AK s̺ AI k AC r AM i AK b AH i AK t AC u AL
esku	e AK s̺ AI k AC u AL
eskubila	e AK s̺ AI k AC u AL b AH i AK ʎ AE a AK
eslovakia	e AK s̺ AI l AE o AL b AH a AK k AC j AB a AK
eslovakiar	e AK s̺ AI l AE o AL b AH a AK k AC j AB a AK r AM
eslovakiera	e AK s̺ AI l AE o AL b AH a AK k AC j AB e AK ɾ BC a AK
eslovenia	e AK s̺ AI l AE o AL b AH e AK n AG j AB a AK
esloveniar	e AK s̺ AI l AE o AL b AH e AK n AG j AB a AK r AM
esloveniera	e AK s̺ AI l AE o AL b AH e AK n AG j AB e AK ɾ BC a AK
espainia	e AK s̺ AI p AH a AK ɲ AG j AB a AK
espainiar	e AK s̺ AI p AH a AK ɲ AG j AB a AK r AM
esperanto	e AK s̺ AI p AH e AK ɾ BC a AK n AG t AC o AL
espresuki	e AK s̺ AI p AH r AM e AK s̺ AI u AL k AC i AK
estonia	e AK s̺ AI t AC o AL n AG j AB a AK
estoniako	e AK s̺ AI t AC o AL n AG j AB a AK k AC o AL
estonian	e AK s̺ AI t AC o AL n AG j AB a AK n AG
estoniar	e AK s̺ AI t AC o AL n AG j AB a AK r AM
estoniera	e AK s̺ AI t AC o AL n AG j AB e AK ɾ BC a AK
estralurtar	e AK s̺ AI t AC r AM a AK l AE u AL r AM t AC a AK r AM
eta	e AK t AC a AK
eten	e AK t AC e AK n AG
etete	e AK t AC e AK t AC e AK
etor	e AK t AC o AL r AM
etorri	e AK t AC o AL r AM i AK
etorriko	e AK t AC o AL r AM i AK k AC o AL
etortze	e AK t AC o AL r AM t AC s̪ AI e AK
etortzen	e AK t AC o AL r AM t AC s̻ AI e AK n AG
etsai	e AK t AC s̺ AI a AK i AK
etxe	e AK t AC ʃ AI e AK
etzango	e AK t AC s̻ AI a AK n AG ɡ AC o AL
etzate	e AK t AC s̪ AI a AK t AC e AK
etzaten	e AK t AC s̻ AI a AK t AC e AK n AG
etzi	e AK t AC s̻ AI i AK
euli	e AK u AL l AE i AK
euskadi	e AK u AL s̺ AI k AC a AK d AC i AK
euskal	e AK u AL s̺ AI k AC a AK l AE
euskaldun	e AK u AL s̺ AI k AC a AK l AE d AC u AL n AG
euskaltegi	e AK w AJ s̺ AI k AC a AK l AE t AC e AK ɡ AC i AK
euskara	e AK u AL s̺ AI k AC a AK ɾ BC a AK
euskera	e AK u AL s̺ AI k AC e AK ɾ BC a AK
euzkadi	e AK u AL s̻ AI k AC a AK d AC i AK
ez	e AK s̻ AI
ezagut	e AK s̻ AI a AK ɡ AC u AL t AC
ezagutu	e AK s̻ AI a AK ɡ AC u AL t AC u AL
ezagutuko	e AK s̻ AI a AK ɡ AC u AL t AC u AL k AC o AL
ezagutze	e AK s̪ AI a AK ɡ AC u AL t AC s̪ AI e AK
ezagutzen	e AK s̻ AI a AK ɡ AC u AL t AC s̻ AI e AK n AG
ezker	e AK s̻ AI k AC e AK r AM
ezkerra	e AK s̻ AI k AC e AK r AM a AK
ezko	e AK s̻ AI k AC o AL
ezkongabe	e AK s̻ AI k AC o AL n AG ɡ AC a AK b AH e AK
ezkutatu	e AK s̻ AI k AC u AL t AC a AK t AC u AL
ezpel	e AK s̻ AI p AH e AK l AE
eztarri	e AK s̻ AI t AC a AK r AM i AK
ezti	e AK s̻ AI t AC i AK
eñe	e AK ɲ AG e AK
f	e AK f AN e AK
finlandia	f AN i AK n AG l AE a AK n AG d AC j AB a AK
finlandiar	f AN i AK n AG l AE a AK n AG d AC j AB a AK r AM
finlandiera	f AN i AK n AG l AE a AK n AG d AC j AB e AK ɾ BC a AK
flatulentzia	f AN l AE a AK t AC u AL l AE e AK n AG t AC s̻ AI j AB a AK
fluor	f AN l AE u AL o AL r AM
frantses	f AN r AM a AK n AG t AC s̺ AI e AK s̺ AI
frantzia	f AN r AM a AK n AG t AC s̻ AI j AB a AK
frantziar	f AN r AM a AK n AG t AC s̻ AI j AB a AK r AM
g	ɡ AC e AK
gabiltza	ɡ AC a AK b AH i AK l AE t AC s̻ AI a AK
gabiltzan	ɡ AC a AK b AH i AK l AE t AC s̻ AI a AK n AG
gabilzke	ɡ AC a AK b AH i AK l AE s̻ AI k AC e AK
gai	ɡ AC a AK i AK
gailu	ɡ AC a AK ʎ AE u AL
gaitez	ɡ AC a AK i AK t AC e AK s̻ AI
gaitezke	ɡ AC a AK i AK t AC e AK s̻ AI k AC e AK
gaizki	ɡ AC a AK i AK s̻ AI k AC i AK
gaizto	ɡ AC a AK i AK s̻ AI t AC o AL
galdu	ɡ AC a AK l AE d AC u AL
gales	ɡ AC a AK l AE e AK s̺ AI
galesera	ɡ AC a AK l AE e AK s̺ AI e AK ɾ BC a AK
galiziar	ɡ AC a AK l AE i AK s̻ AI j AB a AK r AM
galtzairu	ɡ AC a AK l AE t AC s̻ AI a AK i AK ɾ BC u AL
galtzak	ɡ AC a AK l AE t AC s̻ AI a AK k AC
galtzarbe	ɡ AC a AK l AE t AC s̻ AI a AK r AM b AH e AK
galtzari	ɡ AC a AK l AE t AC s̻ AI a AK ɾ BC i AK
galtzerdi	ɡ AC a AK l AE t AC s̻ AI e AK r AM d AC i AK
galtzetin	ɡ AC a AK l AE t AC s̻ AI e AK t AC i AK ɲ AG
gamelu	ɡ AC a AK m AF e AK l AE u AL
gara	ɡ AC a AK ɾ BC a AK
garagar	ɡ AC a AK ɾ BC a AK ɡ AC a AK r AM
garagardo	ɡ AC a AK ɾ BC a AK ɡ AC a AK r AM d AC o AL
garagarril	ɡ AC a AK ɾ BC a AK ɡ AC a AK r AM i AK ʎ AE
garai	ɡ AC a AK ɾ BC a AK i AK
garbantzu	ɡ AC a AK r AM b AH a AK n AG t AC s̻ AI u AL
garesti	ɡ AC a AK ɾ BC e AK s̺ AI t AC i AK
garil	ɡ AC a AK ɾ BC i AK ʎ AE
gasteiz	ɡ AC a AK s̺ AI t AC e AK i AK s̻ AI
gatazka	ɡ AC a AK t AC a AK s̻ AI k AC a AK
gatoz	ɡ AC a AK t AC o AL s̻ AI
gatozen	ɡ AC a AK t AC o AL s̻ AI e AK n AG
gatozke	ɡ AC a AK t AC o AL s̻ AI k AC e AK
gatxezkie	ɡ AC a AK t AC ʃ AI e AK s̻ AI k AC i AK e AK
gatxezkik	ɡ AC a AK t AC ʃ AI e AK s̻ AI k AC i AK k AC
gatxezkin	ɡ AC a AK t AC ʃ AI e AK s̻ AI k AC i AK n AG
gatxezkio	ɡ AC a AK t AC ʃ AI e AK s̻ AI k AC i AK o AL
gatxezkizu	ɡ AC a AK t AC ʃ AI e AK s̻ AI k AC i AK s̻ AI u AL
gatxezkizue	ɡ AC a AK t AC ʃ AI e AK s̻ AI k AC i AK s̻ AI u AL e AK
gatz	ɡ AC a AK t AC s̻ AI
gau	ɡ AC a AK u AL
gaude	ɡ AC a AK u AL d AC e AK
gaudeke	ɡ AC a AK u AL d AC e AK k AC e AK
gauden	ɡ AC a AK u AL d AC e AK n AG
gauenara	ɡ AC a AK u AL e AK n AG a AK ɾ BC a AK
gaupasa	ɡ AC a AK w AJ p AH a AK s̺ AI a AK
gaur	ɡ AC a AK u AL r AM
gautza	ɡ AC a AK u AL t AC s̻ AI a AK
gauza	ɡ AC a AK u AL s̻ AI a AK
gazi	ɡ AC a AK s̻ AI i AK
gaztaina	ɡ AC a AK s̻ AI t AC a AK ɲ AG a AK
gazte	ɡ AC a AK s̻ AI t AC e AK
gaztela	ɡ AC a AK s̻ AI t AC e AK l AE a AK
gaztelania	ɡ AC a AK s̻ AI t AC e AK l AE a AK n AG i AK a AK
gaztelera	ɡ AC a AK s̻ AI t AC e AK l AE e AK ɾ BC a AK
ge	ɡ AC e AK
genbiltzan	ɡ AC e AK n AG b AH i AK l AE t AC s̻ AI a AK n AG
genbilzke	ɡ AC e AK n AG b AH i AK l AE s̻ AI k AC e AK
genbilzkeen	ɡ AC e AK n AG b AH i AK l AE s̻ AI k AC e AK e AK n AG
genkizkien	ɡ AC e AK n AG k AC i AK s̻ AI k AC i AK e AK n AG
genkizkion	ɡ AC e AK n AG k AC i AK s̻ AI k AC i AK o AL n AG
gentozen	ɡ AC e AK n AG t AC o AL s̻ AI e AK n AG
gentozke	ɡ AC e AK n AG t AC o AL s̻ AI k AC e AK
gentozkeen	ɡ AC e AK n AG t AC o AL s̻ AI k AC e AK e AK n AG
gentxezkiake	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK a AK k AC e AK
gentxezkian	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK a AK n AG
gentxezkieke	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK e AK k AC e AK
gentxezkien	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK e AK n AG
gentxezkinake	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK n AG a AK k AC e AK
gentxezkinan	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK n AG a AK n AG
gentxezkioke	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK o AL k AC e AK
gentxezkion	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK o AL n AG
gentxezkizueke	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK s̻ AI u AL e AK k AC e AK
gentxezkizuen	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK s̻ AI u AL e AK n AG
gentxezkizuke	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK s̻ AI u AL k AC e AK
gentxezkizun	ɡ AC e AK n AG t AC ʃ AI e AK s̻ AI k AC i AK s̻ AI u AL n AG
georgia	ɡ AC e AK o AL r AM ɡ AC j AB a AK
georgiar	ɡ AC e AK o AL r AM ɡ AC j AB a AK r AM
georgiera	ɡ AC e AK o AL r AM ɡ AC j AB e AK ɾ BC a AK
gerezi	ɡ AC e AK ɾ BC e AK s̻ AI i AK
gero	ɡ AC e AK ɾ BC o AL
gerra	ɡ AC e AK r AM a AK
geu	ɡ AC e AK u̯ AJ
geundeke	ɡ AC e AK u AL n AG d AC e AK k AC e AK
geundekeen	ɡ AC e AK u AL n AG d AC e AK k AC e AK e AK n AG
geunden	ɡ AC e AK u AL n AG d AC e AK n AG
geuntzake	ɡ AC e AK u AL n AG t AC s̻ AI a AK k AC e AK
geuntzan	ɡ AC e AK u AL n AG t AC s̻ AI a AK n AG
geure	ɡ AC e AK w AJ ɾ BC e AK
gezi	ɡ AC e AK s̻ AI i AK
ghana	ɡ AC a AK n AG a AK
ghanan	ɡ AC a AK n AG a AK n AG
gibel	ɡ AC i AK b AH e AK l AE
giltza	ɡ AC i AK l AE t AC s̻ AI a AK
giltzurrun	ɡ AC i AK l AE t AC s̻ AI u AL r AM u AL n AG
ginen	ɡ AC i AK ɲ AG e AK n AG
gintezen	ɡ AC i AK n AG t AC e AK s̻ AI e AK n AG
gintezke	ɡ AC i AK n AG t AC e AK s̻ AI k AC e AK
gintezkeen	ɡ AC i AK n AG t AC e AK s̻ AI k AC e AK e AK n AG
gipuzkoa	ɡ AC i AK p AH u AL s̻ AI k AC o AL a AK
gipuzkoan	ɡ AC i AK p AH u AL s̻ AI k AC o AL a AK n AG
gizon	ɡ AC i AK s̻ AI o AL n AG
goaz	ɡ AC o AL a AK s̻ AI
gogo	ɡ AC o AL ɡ AC o AL
gontz	ɡ AC o AL n AG t AC s̻ AI
gora	ɡ AC o AL ɾ BC a AK
gorotzil	ɡ AC o AL ɾ BC o AL t AC s̻ AI i AK ʎ AE
gorri	ɡ AC o AL r AM i AK
gorrimin	ɡ AC o AL r AM i AK m AF i AK ɲ AG
gorrimotel	ɡ AC o AL r AM i AK m AF o AL t AC e AK l AE
gorringo	ɡ AC o AL r AM i AK n AG ɡ AC o AL
gosaldu	ɡ AC o AL s̺ AI a AK l AE d AC u AL
gozo	ɡ AC o AL s̻ AI o AL
grezia	ɡ AC r AM e AK s̻ AI j AB a AK
gris	ɡ AC r AM i AK s̺ AI
gu	ɡ AC u AL
guda	ɡ AC u AL d AC a AK
guk	ɡ AC u AL k AC
gune	ɡ AC u AL n AG e AK
guneka	ɡ AC u AL n AG e AK k AC a AK
gurdi	ɡ AC u AL r AM d AC i AK
gure	ɡ AC u AL ɾ BC e AK
guri	ɡ AC u AL ɾ BC i AK
gurpil	ɡ AC u AL r AM p AH i AK ʎ AE
h	h AA a AK t AC ʃ AI e AK
habe	h AA a AK b AH e AK
habil	h AA a AK b AH i AK l AE
habilke	h AA a AK b AH i AK l AE k AC e AK
hadi	h AA a AK d AC i AK
hadin	h AA a AK d AC i AK n AG
hago	h AA a AK ɡ AC o AL
hagoke	h AA a AK ɡ AC o AL k AC e AK
haiei	h AA a AK j AB e AK i AK
haiek	h AA a AK j AB e AK k AC
haien	h AA a AK j AB e AK n AG
haiteke	h AA a AK j AB t AC e AK k AC e AK
haitz	ɦ AA a AK i AK t AC s̻ AI
haiz	h AA a AK j AB s̪ AI
hakar	h AA a AK k AC a AK ɾ BC
hakien	h AA a AK k AC i AK e AK n AG
hala	ɦ AA a AK l AE a AK
hamabi	h AA a AK m AF a AK b AH i AK
hamabost	h AA a AK m AF a AK b AH o AL s̺ AI t AC
hamaika	h AA a AK m AF a AK i AK k AC a AK
hamairu	h AA a AK m AF a AK i AK ɾ BC u AL
hamalau	h AA a AK m AF a AK l AE a AK u AL
hamar	h AA a AK m AF a AK r AM
haren	h AA a AK ɾ BC e AK n AG
hari	h AA a AK ɾ BC i AK
haritz	h AA a AK ɾ BC i AK t AC s̻ AI
haritzezko	ɦ AA a AK ɾ BC i AK t AC s̻ AI e AK s̻ AI k AC o AL
harizki	h AA a AK r AM i AK s AI k AC i AK
hark	h AA a AK r AM k AC
harri	ɦ AA a AK r AM i AK
hartan	h AA a AK r AM t AC a AK n AG
hartara	h AA a AK r AM t AC a AK ɾ BC a AK
hartarat	h AA a AK r AM t AC a AK ɾ BC a AK t AC
hartz	ɦ AA a AK r AM t AC s̻ AI
hator	h AA a AK t AC o AL ɾ BC
hatorke	h AA a AK t AC o AL r AM k AC e AK
hatxe	h AA a AK t AC ʃ AI e AK
hatxekie	h AA a AK t AC ʃ AI e AK k AC i AK e AK
hatxekigu	h AA a AK t AC ʃ AI e AK k AC i AK ɡ AC u AL
hatxekio	h AA a AK t AC ʃ AI e AK k AC i AK o AL
hatxekit	h AA a AK t AC ʃ AI e AK k AC i AK t AC
hatza	h AA a AK t AC s̪ AI a AK
hau	h AA a AK w AJ
hauei	h AA a AK w AJ e AK i AK
hauek	h AA a AK w AJ e AK k AC
hauen	h AA a AK w AJ e AK n AG
hauka	h AA a AK w AJ k AC a AK
haukat	h AA a AK w AJ k AC a AK t AC
hazil	a AK s̺ AI i AK l AE
hebreera	ɦ AA e AK b AH r AM e AK e AK ɾ BC a AK
hegal	ɦ AA e AK ɡ AC a AK l AE
hego	ɦ AA e AK ɡ AC o AL
helio	h AA e AK l AE j AB o AL
hemen	ɦ AA e AK m AF e AK n AG
henbilen	h AA e AK n AG b AH i AK ʎ AE e AK n AG
henbilke	h AA e AK n AG b AH i AK l AE k AC e AK
henbilkeen	h AA e AK n AG b AH i AK l AE k AC e AK e AK n AG
hendin	h AA e AK n AG d AC i AK n AG
hengoen	h AA e AK n AG ɡ AC o AL e AK n AG
hengoke	h AA e AK n AG ɡ AC o AL k AC e AK
hengokeen	h AA e AK n AG ɡ AC o AL k AC e AK e AK n AG
henkien	h AA e AK n AG k AC i AK e AK n AG
henkion	h AA e AK n AG k AC i AK o AL n AG
hentorke	h AA e AK n AG t AC o AL r AM k AC e AK
hentorkeen	h AA e AK n AG t AC o AL r AM k AC e AK
hentorren	h AA e AK n AG t AC o AL r AM e AK n AG
hentxekidake	h AA e AK n AG t AC ʃ AI e AK k AC i AK d AC a AK k AC e AK
hentxekidan	h AA e AK n AG t AC ʃ AI e AK k AC i AK d AC a AK n AG
hentxekieke	h AA e AK n AG t AC ʃ AI e AK k AC i AK e AK k AC e AK
hentxekien	h AA e AK n AG t AC ʃ AI e AK k AC i AK e AK n AG
hentxekiguke	h AA e AK n AG t AC ʃ AI e AK k AC i AK ɡ AC u AL k AC e AK
hentxekigun	h AA e AK n AG t AC ʃ AI e AK k AC i AK ɡ AC u AL n AG
hentxekioke	h AA e AK n AG t AC ʃ AI e AK k AC i AK o AL k AC e AK
hentxekion	h AA e AK n AG t AC ʃ AI e AK k AC i AK o AL n AG
hentzake	h AA e AK n AG t AC s̪ AI a AK k AC e AK
hentzan	h AA e AK n AG t AC s̪ AI a AK n AG
heren	h AA e AK ɾ BC e AK n AG
herenegun	ɦ AA e AK ɾ BC e AK n AG e AK ɡ AC u AL n AG
heroan	h AA e AK ɾ BC o AL a AK n AG
herri	h AA e AK r AM i AK
heu	h AA e AK u̯ AJ
heuk	h AA e AK w AJ k AC
heure	h AA e AK w AJ ɾ BC e AK
hezur	ɦ AA e AK s̻ AI u AL r AM
hezurdura	ɦ AA e AK s̻ AI u AL r AM d AC u AL ɾ BC a AK
hezurtegi	ɦ AA e AK s̻ AI u AL r AM t AC e AK ɡ AC i AK
hi	i AK
hidrogeno	i AK d AC r AM o AL x AI e AK n AG o AL
hiena	ɦ AA j AB e AK n AG a AK
higan	i AK ɡ AC a AK n AG
hik	i AK k AC
hil	ɦ AA i AK ʎ AE
hinteke	i AK n AG t AC e AK k AC e AK
hintekeen	i AK n AG t AC e AK k AC e AK e AK n AG
hire	i AK ɾ BC e AK
hiregan	i AK ɾ BC e AK ɡ AC a AK n AG
hiri	i AK ɾ BC i AK
hirigintza	ɦ AA i AK ɾ BC i AK ɡ AC i AK n AG t AC s̻ AI a AK
hiru	ɦ AA i AK ɾ BC u AL
hirugarren	i AK ɾ BC u AL ɡ AC a AK r AM e AK n AG
hirukoitz	i AK ɾ BC u AL k AC o AL i AK t AC s̻ AI
hitan	i AK t AC a AK n AG
hoa	o AL a AK
hodei	ɦ AA o AL d AC e AK i AK
hogei	ɦ AA o AL ɡ AC e AK i AK
honek	o AL n AG e AK k AC
honen	o AL n AG e AK n AG
honi	o AL n AG i AK
hori	o AL ɾ BC i AK
horrek	o AL r AM e AK k AC
horren	o AL r AM e AK n AG
horri	o AL r AM i AK
hostaro	o AL s AI t AC a AK ɾ BC o AL
hots	ɦ AA o AL t AC s̺ AI
hotz	o AL t AC s̻ AI
hozkailu	o AL s̻ AI k AC a AK ʎ AE u AL
hungaria	ɦ AA u AL n AG ɡ AC a AK ɾ BC j AB a AK
hungariako	ɦ AA u AL n AG ɡ AC a AK ɾ BC j AB a AK k AC o AL
hungarian	ɦ AA u AL n AG ɡ AC a AK ɾ BC j AB a AK n AG
hungariar	ɦ AA u AL n AG ɡ AC a AK ɾ BC j AB a AK r AM
hungariera	ɦ AA u AL n AG ɡ AC a AK ɾ BC j AB e AK ɾ BC a AK
hur	ɦ AA u AL r AM
hura	u AL ɾ BC a AK
huts	u AL t AC s̺ AI
hutsik	ɦ AA u AL t AC s̺ AI i AK k AC
i	i AK
ia	i AK a AK
iaz	i AK a AK s̻ AI
ibai	i AK b AH a AK i AK
ibili	i AK b AH i AK ʎ AE i AK
idatzi	i AK d AC a AK t AC s̻ AI i AK
idazle	i AK d AC a AK s̻ AI l AE e AK
ido	i AK d AC o AL
igande	i AK ɡ AC a AK n AG d AC e AK
igaz	i AK ɡ AC a AK s̻ AI
igel	i AK ɡ AC e AK l AE
igo	i AK ɡ AC o AL
igorri	i AK ɡ AC o AL r AM i AK
iharduki	i AK ɦ AA a AK r AM d AC u AL k AC i AK
ikasgai	i AK k AC a AK s̺ AI ɡ AC a AK i AK
ikasi	i AK k AC a AK s̺ AI i AK
ikatz	i AK k AC a AK t AC s̻ AI
iker	i AK k AC e AK r AM
ikertu	i AK k AC e AK r AM t AC u AL
ikus	i AK k AC u AL s̺ AI
ikusi	i AK k AC u AL s̺ AI i AK
ikusiko	i AK k AC u AL s̺ AI i AK k AC o AL
ikuste	i AK k AC u AL s̺ AI t AC e AK
ikusten	i AK k AC u AL s̺ AI t AC e AK n AG
ilargi	i AK ʎ AE a AK r AM ɡ AC i AK
ilbeltz	i AK l AE b AH e AK l AE t AC s̻ AI
ilen	i AK ʎ AE e AK n AG
independentzia	i AK n AG d AC e AK p AH e AK n AG d AC e AK n AG t AC s̻ AI j AB a AK
indonesiera	i AK n AG d AC o AL n AG e AK s̺ AI j AB e AK ɾ BC a AK
ingalaterra	i AK n AG ɡ AC a AK l AE a AK t AC e AK r AM a AK
ingelera	i AK n AG ɡ AC e AK l AE e AK ɾ BC a AK
ingeles	i AK n AG ɡ AC e AK l AE e AK s̺ AI
internazional	i AK n AG t AC e AK r AM n AG a AK s̻ AI j AB o AL n AG a AK l AE
intsektu	i AK n AG t AC s̺ AI e AK k AC t AC u AL
intxaur	i AK n AG t AC ʃ AI a AK u AL r AM
inurri	i AK ɲ AG u AL r AM i AK
ipar	i AK p AH a AK r AM
irail	i AK ɾ BC a AK ʎ AE
irakatsi	i AK ɾ BC a AK k AC a AK t AC s̺ AI i AK
irakin	i AK ɾ BC a AK k AC i AK ɲ AG
irakurri	i AK ɾ BC a AK k AC u AL r AM i AK
iraun	i AK ɾ BC a AK u AL n AG
iritzi	i AK ɾ BC i AK t AC s̻ AI i AK
irla	i AK r AM l AE a AK
irlanda	i AK r AM l AE a AK n AG d AC a AK
irudi	i AK ɾ BC u AL d AC i AK
irudiko	i AK ɾ BC u AL d AC i AK k AC o AL
iruña	i AK ɾ BC u AL ɲ AG a AK
iruñea	i AK ɾ BC u AL ɲ AG e AK a AK
islandia	i AK s̺ AI l AE a AK n AG d AC j AB a AK
islandiar	i AK s̺ AI l AE a AK n AG d AC j AB a AK r AM
islandiera	i AK s̺ AI l AE a AK n AG d AC j AB e AK ɾ BC a AK
ispilu	i AK s̺ AI p AH i AK ʎ AE u AL
italia	i AK t AC a AK l AE j AB a AK
italian	i AK t AC a AK l AE j AB a AK n AG
italiar	i AK t AC a AK l AE j AB a AK r AM
italiera	i AK t AC a AK l AE j AB e AK ɾ BC a AK
ito	i AK t AC o AL
itsu	i AK t AC s̺ AI u AL
itsusi	i AK t AC s̺ AI u AL s̺ AI i AK
iturri	i AK t AC u AL r AM i AK
itzuli	i AK t AC s̻ AI u AL l AE i AK
itzultzaile	i AK t AC s̻ AI u AL l AE t AC s̻ AI a AK ʎ AE e AK
ixa	i AK ʃ AI a AK
izan	i AK s̻ AI a AK n AG
izeba	i AK s̻ AI e AK b AH a AK
izeko	i AK s̻ AI e AK k AC o AL
izen	i AK s AI e AK n AG
izokin	i AK s̻ AI o AL k AC i AK ɲ AG
izotz	i AK s̻ AI o AL t AC s̻ AI
izotzil	i AK s̻ AI o AL t AC s̻ AI i AK ʎ AE
izurde	i AK s̻ AI u AL r AM d AC e AK
jakin	ʒ AI a AK k AC i AK n AG
jan	x AI a AK n AG
janari	x AI a AK n AG a AK ɾ BC i AK
japonia	x AI a AK p AH o AL n AG j AB a AK
japoniera	x AI a AK p AH o AL n AG j AB e AK ɾ BC a AK
jardun	ʒ AI a AK r AM d AC u AL n AG
jarraiki	ʒ AI a AK r AM a AK j AB t AC e AK
joan	x AI o AL a AK n AG
jokatu	x AI o AL k AC a AK t AC u AL
jorrail	ʝ AI o AL r AM a AK ʎ AE
jugoslavia	j AB u AL ɡ AC o AL s̺ AI l AE a AK b AH j AB a AK
jugoslavian	j AB u AL ɡ AC o AL s̺ AI l AE a AK b AH j AB a AK n AG
k	k AC a AK
ka	k AC a AK
kaixo	k AC a AK j AB ʃ̺ AI o AL
kako	k AC a AK k AC o AL
kamerun	k AC a AK m AF e AK ɾ BC u AL n AG
kameu	k AC a AK m AF e AK u AL
kanpai	k AC a AK m AF p AH a AK i AK
karbono	k AC a AK r AM b AH o AL n AG o AL
karlistada	k AC a AK r AM l AE i AK s̺ AI t AC a AK d AC a AK
karlistaldi	k AC a AK r AM l AE i AK s̺ AI t AC a AK l AE d AC i AK
karmele	k AC a AK r AM m AF e AK l AE e AK
katagorri	k AC a AK t AC a AK ɡ AC o AL r AM i AK
kate	k AC a AK t AC e AK
katu	k AC a AK t AC u AL
kazakhera	k AC a AK s̻ AI a AK x AI e AK ɾ BC a AK
kazakhstan	k AC a AK s̻ AI a AK x AI s̺ AI t AC a AK n AG
ke	k AC e AK
kemen	k AC e AK m AF e AK n AG
ketsu	k AC e AK t AC s̺ AI u AL
