'n	ə AL n AG
druckschrift	d AC ʁ AJ ʊ AN k AC ʃ AJ ʁ AJ ɪ AL f BC t AC
druckwerk	d AC ʁ AJ ʊ AN k AC v BC ɛ AL ʁ AJ k AC
drunten	d AC ʁ AJ ʊ AN n AG t AC n̩ BH
druse	d AC ʀ BB uː BA z AJ ə AL
druseln	d AC ʁ AJ uː BA z AJ l̩ BI n AG
dryade	d AC ʀ BB y AN aː AM d AC ə AL
drähtchen	d AC ʁ AJ ɛː AM t AC ç ə AL n AG
drähte	d AC ʁ AJ ɛː AM t AC ə AL
drängen	d AC ʀ BB ɛ AL ŋ AG ə AL n AG
dröge	d AC r BB œː BA ɡ AC ə AL
dröhnen	d AC ʁ AJ øː BA n AG ə AL n AG
drüben	d AC r BB yː BA b AH ə AL n AG
drüber	d AC ʁ AJ yː BA b AH ɐ AN
drücken	d AC ʁ AJ ʏ AN k AC ə AL n AG
drüse	d AC ʀ BB yː BA z AJ ə AL
dschungel	t AC ʃ AJ ʊ AN ŋ AG ə AL l AE
du	d AC ə AL
dualität	d AC u AN a AL l AE i AL t AC ɛː AM t AC
dubbel	d AC ʊ AN b AH ə AL l AE
dubstep	d AC a AL p AH s AJ t AC ɛ AL p AH
ducken	d AC ʊ AN k AC ə AL n AG
duckface	d AC a AL k AC f BC ɛ AL ɪ̯ AB s AJ
dudelsack	d AC uː BA d AC ə AL l AE z AJ a AL k AC
duell	d AC u AN ʔ AK ɛ AL l AE
duellant	d AC u AN ɛ AL l AE a AL n AG t AC
duft	d AC ʊ AN f BC t AC
duftig	d AC ʊ AN f BC t AC ɪ AL ç
duftrauchbrenner	d AC ʊ AN f BC t AC r BB a AL ʊ̯ BF x AJ b AH r BB ɛ AL n AG ɐ AN
dugong	d AC uː BA ɡ AC ɔ AN ŋ AG
duisburg	d AC yː BA s AJ b AH ʊ AN r BB ç
duktilität	d AC ʊ AN k AC t AC i AL l AE i AL t AC ɛː AM t AC
dulden	d AC ʊ AN l AE d AC ə AL n AG
duldsam	d AC ʊ AN l AE t AC z AJ aː AM m AF
dumm	d AC ʊ AN m AF
dummbatz	d AC ʊ AN m AF b AH a AL t AC s AJ
dummchen	d AC ʊ AN m AF ç ə AL n AG
dummdreist	d AC ʊ AN m AF d AC ʁ AJ a AL ɪ̯ AB s AJ t AC
dummerchen	d AC ʊ AN m AF ɐ AN ç ə AL n AG
dummheit	d AC ʊ AN m AF h AA a AL ɪ̯ AB t AC
dummheiten	d AC ʊ AN m AF h AA a AL ɪ̯ AB t AC ə AL n AG
dummi	d AC ʊ AN m AF i AL
dummkopf	d AC ʊ AN m AF k AC ɔ AN p AH f BC
dummkopfes	d AC ʊ AN m AF k AC ɔ AN p AH f BC ə AL s AJ
dummkopfs	d AC ʊ AN m AF k AC ɔ AN p AH f BC s AJ
dummköpfe	d AC ʊ AN m AF k AC œ AN p AH f BC ə AL
dummy	d AC a AL m AF i AL
dun	d AC uː BA n AG
dung	d AC ʊ AN ŋ AG
dunkel	d AC ʊ AN ŋ AG k AC ə AL l AE
dunkelblau	d AC ʊ AN ŋ AG k AC ə AL l AE b AH l AE a AL ʊ̯ BF
dunkelbraun	d AC ʊ AN ŋ AG k AC ə AL l AE b AH ʁ AJ a AL ʊ̯ BF n AG
dunkelgelb	d AC ʊ AN ŋ AG k AC l̩ BI ɡ AC ɛ AL l AE p AH
dunkelgrau	d AC ʊ AN ŋ AG k AC l̩ BI ɡ AC ʁ AJ a AL ʊ̯ BF
dunkelgrün	d AC ʊ AN ŋ AG k AC ə AL l AE ɡ AC ʁ AJ yː BA n AG
dunkelhäutig	d AC ʊ AN ŋ AG k AC l̩ BI h AA ɔ AN ɪ̯ AB t AC ɪ AL ç
dunkelkammer	d AC ʊ AN ŋ AG k AC l̩ BI k AC a AL m AF ɐ AN
dunkeln	d AC ʊ AN ŋ AG k AC ə AL l AE n AG
dunkelrot	d AC ʊ AN ŋ AG k AC l̩ BI ʁ AJ oː BA t AC
dunkelviolett	d AC ʊ AN ŋ AG k AC l̩ BI v BC i AL o AN l AE ɛ AL t AC
dunkelwasserläufer	d AC ʊ AN ŋ AG k AC ə AL l AE v BC a AL s AJ ɐ AN l AE ɔ AN ɪ̯ AB f BC ɐ AN
dunkelweiss	d AC ʊ AN ŋ AG k AC l̩ BI v BC a AL ɪ̯ AB s AJ
dunkelziffer	d AC ʊ AN ŋ AG k AC ə AL l AE t AC s AJ ɪ AL f BC ɐ AN
dunst	d AC ʊ AN n AG s AJ t AC
dunstig	d AC ʊ AN n AG s AJ t AC ɪ AL ç
duodenal	d AC u AN o AN d AC e AL n AG aː AM l AE
duodenale	d AC u AN o AN d AC e AL n AG aː AM l AE ə AL
duodenales	d AC u AN o AN d AC e AL n AG aː AM l AE ə AL s AJ
duodezimal	d AC u AN o AN d AC e AL t AC s AJ i AL m AF aː AM l AE
duodezimalsystem	d AC u AN o AN d AC e AL t AC s AJ i AL m AF aː AM l AE z AJ ʏ AN s AJ t AC eː AM m AF
duodezimalsystems	d AC u AN o AN d AC e AL t AC s AJ i AL m AF aː AM l AE z AJ ʏ AN s AJ t AC eː AM m AF s AJ
duopol	d AC u AN o AN p AH oː BA l AE
duplikat	d AC u AN p AH l AE i AL k AC aː AM t AC
dur	d AC uː BA ɐ̯
durch	d AC ʊ AN ʁ AJ ç
durchbluten	d AC ʊ AN ʁ AJ ç b AH l AE uː BA t AC ə AL n AG
durchbrechen	d AC ʊ AN ʁ AJ ç b AH ʁ AJ ɛ AL ç ə AL n AG
durchbrennen	d AC ʊ AN ʁ AJ ç b AH ʁ AJ ɛ AL n AG ə AL n AG
durchdenken	d AC ʊ AN ʁ AJ ç d AC ɛ AL ŋ AG k AC n̩ BH
durcheinander	d AC ʊ AN ʁ AJ ç ʔ AK a AL ɪ̯ AB n AG a AL n AG d AC ɐ AN
durchfahren	d AC ʊ AN ʁ AJ ç f BC aː AM ʁ AJ ə AL n AG
durchfall	d AC ʊ AN ʁ AJ ç f BC a AL l AE
durchfärben	d AC ʊ AN ʁ AJ ç f BC ɛ AL ʁ AJ b AH ə AL n AG
durchführbarkeit	d AC ʊ AN ʁ AJ ç f BC yː BA ɐ̯ b AH aː AM ɐ̯ k AC a AL ɪ̯ AB t AC
durchgebraten	d AC ʊ AN ʁ AJ ç ɡ AC ə AL b AH r BB aː AM t AC ə AL n AG
durchgehen	d AC ʊ AN r BB ç ɡ AC eː AM ə AL n AG
durchgeistigt	d AC ʊ AN ʁ AJ ç ɡ AC a AL ɪ̯ AB s AJ t AC ɪ AL ç t AC
durchgreifen	d AC ʊ AN ʁ AJ ç ɡ AC ʁ AJ a AL ɪ̯ AB f BC ə AL n AG
durchkämmen	d AC ʊ AN ʁ AJ ç k AC ɛ AL m AF ə AL n AG
durchlaucht	d AC ʊ AN ɐ̯ x AJ l AE a AL ʊ̯ BF x AJ t AC
durchlauchtig	d AC ʊ AN ɐ̯ x AJ l AE a AL ʊ̯ BF x AJ t AC ɪ AL ç
durchlauf	d AC ʊ AN ʁ AJ ç l AE a AL ʊ̯ BF f BC
durchlesen	d AC ʊ AN ʁ AJ ç l AE eː AM z AJ n̩ BH
durchleuchten	d AC ʊ AN r BB ç l AE ɔ AN ɪ̯ AB ç t AC n̩ BH
durchlässig	d AC ʊ AN ʁ AJ ç l AE ɛ AL s AJ ɪ AL ç
durchläutern	d AC ʊ AN ʁ AJ ç l AE ɔ AN ɪ̯ AB t AC ɐ AN n AG
durchlöchern	d AC ʊ AN ʁ AJ ç l AE œ AN ç ɐ AN n AG
durchlüften	d AC ʊ AN ʁ AJ ç l AE ʏ AN f BC t AC ə AL n AG
durchmachen	d AC ʊ AN ʁ AJ ç m AF a AL χ AJ n̩ BH
durchmüssen	d AC ʊ AN ʁ AJ ç m AF ʏ AN s AJ n̩ BH
durchqueren	d AC ʊ AN ʁ AJ ç k AC v BC eː AM ʁ AJ ə AL n AG
durchreise	d AC ʊ AN ʁ AJ ç ʀ BB a AL ɪ̯ AB z AJ ə AL
durchreisen	d AC ʊ AN ʁ AJ ç ʀ BB a AL ɪ̯ AB z AJ ə AL n AG
durchringen	d AC ʊ AN ʁ AJ ç ʁ AJ ɪ AL ŋ AG ə AL n AG
durchschimmern	d AC ʊ AN ʁ AJ ç ʃ AJ ɪ AL m AF ɐ AN n AG
durchschlafen	d AC ʊ AN ʁ AJ ç ʃ AJ l AE aː AM f BC n̩ BH
durchschlag	d AC ʊ AN ʁ AJ ç ʃ AJ l AE aː AM k AC
durchschnitt	d AC ʊ AN ɪ̯ AB ç ʃ AJ n AG ɪ AL t AC
durchschnitte	d AC ʊ AN ʁ AJ ç ʃ AJ n AG ɪ AL t AC ə AL
durchschnittlich	d AC ʊ AN ɐ̯ ç ʃ AJ n AG ɪ AL t AC l AE ɪ AL ç
durchschrift	d AC ʊ AN ʁ AJ ç ʃ AJ ʁ AJ ɪ AL f BC t AC
durchschuss	d AC ʊ AN ʁ AJ ç ʃ AJ ʊ AN s AJ
durchschwimmen	d AC ʊ AN ʁ AJ ç ʃ AJ v BC ɪ AL m AF ə AL n AG
durchschütteln	d AC ʊ AN ɐ̯ ç ʃ AJ ʏ AN t AC ə AL l AE n AG
durchsehen	d AC ʊ AN ʁ AJ ç z AJ eː AM ə AL n AG
durchsetzen	d AC ʊ AN r BB ç z AJ ɛ AL t AC s AJ ə AL n AG
durchsetzung	d AC ʊ AN r BB ç z AJ ɛ AL t AC s AJ ʊ AN ŋ AG
durchsetzungsfähig	d AC ʊ AN ʁ AJ ç z AJ ɛ AL t AC s AJ ʊ AN ŋ AG s AJ f BC ɛː AM ɪ AL ç
durchsichtig	d AC ʊ AN ʁ AJ ç z AJ ɪ AL ç t AC ɪ AL ç
durchsickerung	d AC ʊ AN ʁ AJ ç z AJ ɪ AL k AC ə AL ʁ AJ ʊ AN ŋ AG
durchstehen	d AC ʊ AN ʁ AJ ç ʃ AJ t AC eː AM ə AL n AG
durchsuchen	d AC ʊ AN ʁ AJ ç z AJ uː BA χ AJ ə AL n AG
durchsuchung	d AC ʊ AN ʁ AJ ç z AJ uː BA χ AJ ʊ AN ŋ AG
durchsägen	d AC ʊ AN ʁ AJ ç z AJ ɛː AM ɡ AC ə AL n AG
durchtrennen	d AC ʊ AN ʁ AJ ç t AC ʁ AJ ɛ AL n AG ə AL n AG
durchwachsen	d AC ʊ AN ʁ AJ ç v BC a AL k AC s AJ ə AL n AG
durchwandern	d AC ʊ AN ʁ AJ ç v BC a AL n AG d AC ə AL ʁ AJ n AG
durchwaten	d AC ʊ AN ʁ AJ ç v BC aː AM t AC n̩ BH
durchwühlen	d AC ʊ AN ʁ AJ ç v BC yː BA l AE ə AL n AG
durchziehen	d AC ʊ AN ʁ AJ ç t AC s AJ iː AM ə AL n AG
durchzogen	d AC ʊ AN ʁ AJ ç t AC s AJ oː BA ɡ AC ə AL n AG
durst	d AC ʊ AN ʁ AJ s AJ t AC
durstig	d AC ʊ AN ʁ AJ s AJ t AC ɪ AL ç
durststrecke	d AC ʊ AN ʁ AJ s AJ t AC ʃ AJ t AC ʀ BB ɛ AL k AC ə AL
dus	d AC uː BA s AJ
dusche	d AC ʊ AN ʃ AJ ə AL
duschen	d AC ʊ AN ʃ AJ ə AL n AG
duschkopf	d AC uː BA ʃ AJ k AC ɔ AN p AH f BC
duschraum	d AC uː BA ʃ AJ ʁ AJ a AL ʊ̯ BF m AF
duschvorhang	d AC uː BA ʃ AJ f BC oː BA ɐ̯ h AA a AL ŋ AG
dusel	d AC uː BA z AJ ə AL l AE
dussel	d AC ʊ AN z AJ ə AL l AE
dusselig	d AC ʊ AN z AJ ə AL l AE ɪ AL ç
duster	d AC uː BA s AJ t AC ɐ AN
dutt	d AC ʊ AN t AC
dutzend	d AC ʊ AN t AC s AJ ə AL n AG t AC
dutzendfach	d AC ʊ AN t AC s AJ n̩ BH t AC f BC a AL x AJ
duz	d AC uː BA t AC s AJ
duze	d AC uː BA t AC s AJ ə AL
duzen	d AC uː BA t AC s AJ ə AL n AG
duzend	d AC uː BA t AC s AJ ə AL n AG t AC
duzest	d AC uː BA t AC s AJ ə AL s AJ t AC
duzet	d AC uː BA t AC s AJ ə AL t AC
duzt	d AC uː BA t AC s AJ t AC
duzte	d AC uː BA t AC s AJ t AC ə AL
duzten	d AC uː BA t AC s AJ t AC ə AL n AG
duztest	d AC uː BA t AC s AJ t AC ə AL s AJ t AC
duztet	d AC uː BA t AC s AJ t AC ə AL t AC
dvd	d AC eː AM f BC a AL ʊ̯ BF d AC eː AM
dynamik	d AC y AN n AG aː AM m AF ɪ AL k AC
dynamo	d AC ʏ AN n AG a AL m AF o AN
dynastie	d AC y AN n AG a AL s AJ t AC iː AM
dystopie	d AC ʏ AN s AJ t AC o AN p AH iː AM
dämlich	d AC ɛː AM m AF l AE ɪ AL ç
dämmen	d AC ɛ AL m AF ə AL n AG
dämmerung	d AC ɛ AL m AF ə AL ʀ BB ʊ AN ŋ AG
dämmrig	d AC ɛ AL m AF ə AL ʁ AJ ɪ AL ç
dämon	d AC ɛː AM m AF ɔ AN n AG
dämpfen	d AC ɛ AL m AF p AH f BC ə AL n AG
däne	d AC ɛː AM n AG ə AL
dänemark	d AC ɛː AM n AG ə AL m AF a AL ʁ AJ k AC
dänin	d AC ɛː AM n AG ɪ AL n AG
dänisch	d AC ɛː AM n AG ɪ AL ʃ AJ
däumling	d AC ɔ AN ɪ̯ AB m AF l AE ɪ AL ŋ AG
döneken	d AC øː BA n AG ə AL k AC ə AL n AG
döner	d AC øː BA n AG ɐ AN
dörfer	d AC œ AN ʁ AJ f BC ɐ AN
dörflich	d AC œ AN ʁ AJ f BC l AE ɪ AL ç
dörner	d AC œ AN ʁ AJ n AG ɐ AN
dörren	d AC œ AN ʀ BB ə AL n AG
dörrleiche	d AC œ AN ʁ AJ l AE a AL ɪ̯ AB ç ə AL
döschen	d AC øː BA s AJ ç ə AL n AG
dösen	d AC øː BA z AJ ə AL n AG
dösig	d AC øː BA z AJ ɪ AL ç
dübel	d AC yː BA b AH ə AL l AE
dühring	d AC yː BA ʀ BB ɪ AL ŋ AG
düker	d AC yː BA k AC ɐ AN
dümmer	d AC ʏ AN m AF ɐ AN
dümmlich	d AC ʏ AN m AF l AE ɪ AL ç
dümmsten	d AC ʏ AN m AF s AJ t AC ə AL n AG
dümpeln	d AC ʏ AN m AF p AH ə AL l AE n AG
düna	d AC yː BA n AG a AL
düne	d AC yː BA n AG ə AL
düngen	d AC ʏ AN ŋ AG ə AL n AG
dünkel	d AC ʏ AN ŋ AG k AC l̩ BI
dünkirchen	d AC yː BA n AG k AC ɪ AL ʁ AJ ç ə AL n AG
dünn	d AC ʏ AN n AG
dünnbrettbohrer	d AC ʏ AN n AG b AH r BB ɛ AL t AC b AH oː BA r BB ɐ AN
dünndarm	d AC uː BA ʃ AJ f BC oː BA ɐ̯ h AA a AL ŋ AG
dünner	d AC ʏ AN n AG ɐ AN
dünnflüssig	d AC ʏ AN n AG f BC l AE ʏ AN s AJ ɪ AL ç
dünnhäutig	d AC ʏ AN n AG h AA ɔ AN ɪ̯ AB t AC ɪ AL ç
dünnhäutigkeit	d AC ʏ AN n AG h AA ɔ AN ɪ̯ AB t AC ɪ AL ç k AC a AL ɪ̯ AB t AC
dünnpfiff	d AC ʏ AN n AG p AH f BC ɪ AL f BC
dünnschiss	d AC ʏ AN n AG ʃ AJ ɪ AL s AJ
dünsten	d AC ʏ AN n AG s AJ t AC n̩ BH
dünung	d AC yː BA n AG ʊ AN ŋ AG
düpieren	d AC y AN p AH iː AM ʁ AJ ə AL n AG
dürfen	d AC ʏ AN r BB f BC ə AL n AG
dürftig	d AC ʏ AN ʁ AJ f BC t AC ɪ AL ç
dürre	d AC ʏ AN ʁ AJ ə AL
düsenflugzeug	d AC yː BA z AJ n̩ BH f BC l AE uː BA k AC t AC s AJ ɔ AN ɪ̯ AB k AC
düsenflugzeuge	d AC yː BA z AJ n̩ BH f BC l AE uː BA k AC t AC s AJ ɔ AN ɪ̯ AB ɡ AC ə AL
düsenflugzeuges	d AC yː BA z AJ n̩ BH f BC l AE uː BA k AC t AC s AJ ɔ AN ɪ̯ AB ɡ AC ə AL s AJ
düsenflugzeugs	d AC yː BA z AJ n̩ BH f BC l AE uː BA k AC t AC s AJ ɔ AN ɪ̯ AB ɡ AC s AJ
düsentriebwerk	d AC yː BA z AJ n̩ BH t AC ʁ AJ iː AM p AH v BC ɛ AL ʁ AJ k AC
düsseldorf	d AC ʏ AN s AJ ə AL l AE d AC ɔ AN r BB f BC
düsseldorfer	d AC ʏ AN s AJ l̩ BI d AC ɔː BA v BC ɐ AN
düsseldorfs	d AC ʏ AN s AJ ə AL l AE d AC ɔ AN r BB f BC s AJ
düster	d AC yː BA s AJ t AC ə AL r BB
e	ʔ AK eː AM
ebbe	ɛ AL b AH ə AL
eben	eː AM b AH ə AL n AG
ebene	ʔ AK eː AM b AH ə AL n AG ə AL
ebenfalls	eː AM b AH n̩ BH f BC a AL l AE s AJ
ebenholz	eː AM b AH ə AL n AG h AA ɔ AN l AE t AC s AJ
ebenjener	eː AM b AH n̩ BH j AB eː AM n AG ɐ AN
ebenso	eː AM b AH ə AL n AG z AJ oː BA
ebent	eː AM b AH ɛ AL n AG t AC
eber	eː AM b AH ɐ AN
ebern	eː AM b AH ɐ AN n AG
echauffieren	e AL ʃ AJ o AN f BC iː AM ʁ AJ ə AL n AG
echo	ɛ AL ç o AN
echse	ɛ AL k AC s AJ ə AL
echt	ɛ AL ç t AC
echtheit	ɛ AL ç t AC h AA a AL ɪ̯ AB t AC
eckchen	ɛ AL k AC ç ə AL n AG
eckchens	ɛ AL k AC ç ə AL n AG s AJ
ecke	ɛ AL k AC ə AL
ecken	ʔ AK ɛ AL k AC ə AL n AG
ecker	ɛ AL k AC ɐ AN
eckert	ɛ AL k AC ɐ AN t AC
eckpfeiler	ɛ AL k AC p AH f BC a AL ɪ̯ AB l AE ɐ AN
eckpunkt	ɛ AL k AC p AH ʊ AN ŋ AG k AC t AC
eckpunktepapier	ɛ AL k AC p AH ʊ AN ŋ AG k AC t AC ə AL p AH a AL p AH iː AM ɐ̯
eckpunktepapiere	ɛ AL k AC p AH ʊ AN ŋ AG k AC t AC ə AL p AH a AL p AH iː AM ʁ AJ ə AL
eckpunktepapieres	ɛ AL k AC p AH ʊ AN ŋ AG k AC t AC ə AL p AH a AL p AH iː AM ʁ AJ ə AL s AJ
eckpunktepapiers	ɛ AL k AC p AH ʊ AN ŋ AG k AC t AC ə AL p AH a AL p AH iː AM ɐ̯ s AJ
eckpunkts	ɛ AL k AC p AH ʊ AN ŋ AG k AC t AC s AJ
eckstein	ɛ AL k AC ʃ AJ t AC a AL ɪ̯ AB n AG
ecktisch	ɛ AL k AC t AC ɪ AL ʃ AJ
eckwert	ɛ AL k AC v BC eː AM ɐ̯ t AC
eckzähne	ɛ AL k AC t AC s AJ ɛː AM n AG ə AL
ecstasy	ɛ AL k AC s AJ t AC ə AL z AJ i AL
ecuador	e AL k AC u̯ BF a AL d AC oː BA ɐ̯
edamame	eː AM d AC a AL m AF aː AM m AF ə AL
edel	ʔ AK eː AM d AC ə AL l AE
edelmann	eː AM d AC l̩ BI m AF a AL n AG
edelmetall	eː AM d AC l̩ BI m AF e AL t AC a AL l AE
edelmut	eː AM d AC l̩ BI m AF uː BA t AC
edelstahl	eː AM d AC ə AL l AE ʃ AJ t AC aː AM l AE
edelstahlartig	eː AM d AC l̩ BI ʃ AJ t AC aː AM l AE ʔ AK aː AM ɐ̯ t AC ɪ AL ç
edelsüss	eː AM d AC l̩ BI z AJ yː BA s AJ
edeltanne	eː AM d AC l̩ BI t AC a AL n AG ə AL
eder	eː AM d AC ɐ AN
edgar	ɛ AL t AC ɡ AC aː AM ɐ̯
edgars	ɛ AL t AC ɡ AC aː AM ɐ̯ s AJ
edieren	e AL d AC iː AM ʀ BB ə AL n AG
efeu	eː AM f BC ɔ AN ʏ̯
effekt	ɛ AL f BC ɛ AL k AC t AC
effektiv	ɛ AL f BC ɛ AL k AC t AC iː AM f BC
eg	e AL ɡ AC eː AM
egal	e AL ɡ AC aː AM l AE
egalitär	e AL ɡ AC a AL l AE i AL t AC ɛː AM ɐ̯
egalität	e AL ɡ AC a AL l AE i AL t AC ɛː AM t AC
egeln	eː AM ɡ AC l̩ BI n AG
egge	ɛ AL ɡ AC ə AL
eggen	ɛ AL ɡ AC ə AL n AG
egoismus	e AL ɡ AC o AN ɪ AL s AJ m AF ʊ AN s AJ
egoist	e AL ɡ AC o AN ɪ AL s AJ t AC
eh	ʔ AK eː AM
ehe	ʔ AK eː AM ə AL
eheauflösung	eː AM ə AL a AL ʊ̯ BF f BC l AE øː BA z AJ ʊ AN ŋ AG
ehebrecher	eː AM ə AL b AH ʁ AJ ɛ AL ç ɐ AN
ehebrecherin	eː AM ə AL b AH ʁ AJ ɛ AL ç ə AL ʁ AJ ɪ AL n AG
ehebrecherisch	eː AM ə AL b AH ʁ AJ ɛ AL ç ə AL ʁ AJ ɪ AL ʃ AJ
ehebruch	eː AM ə AL b AH ʁ AJ ʊ AN x AJ
ehedem	eː AM ə AL d AC eː AM m AF
ehefrau	eː AM ə AL f BC ʁ AJ a AL ʊ̯ BF
ehefrauchen	eː AM ə AL f BC ʁ AJ a AL ʊ̯ BF ç ə AL n AG
ehefrauen	eː AM ə AL f BC ʀ BB a AL ʊ̯ BF ə AL n AG
ehegatte	eː AM ə AL ɡ AC a AL t AC ə AL
ehegattin	eː AM ə AL ɡ AC a AL t AC ɪ AL n AG
ehelich	eː AM ə AL l AE ɪ AL ç
ehelichen	eː AM ə AL l AE ɪ AL ç n̩ BH
ehemalig	eː AM ə AL m AF aː AM l AE ɪ AL ç
ehemals	ʔ AK eː AM ə AL m AF aː AM l AE s AJ
ehemann	eː AM ə AL m AF a AL n AG
ehemännchen	eː AM ə AL m AF ɛ AL n AG ç ə AL n AG
ehemänner	eː AM ə AL m AF ɛ AL n AG ɐ AN
ehemännlein	eː AM ə AL m AF ɛ AL n AG l AE a AL ɪ̯ AB n AG
eher	eː AM ə AL ʁ AJ
ehering	eː AM ə AL r BB ɪ AL ŋ AG
ehern	eː AM ɐ AN n AG
ehescheidung	eː AM ə AL ʃ AJ a AL ɪ̯ AB d AC ʊ AN ŋ AG
ehestand	eː AM ə AL ʃ AJ t AC a AL n AG t AC
eheweib	eː AM ə AL v BC a AL ɪ̯ AB p AH
ehr	eː AM ɐ̯
ehrbar	eː AM ɐ̯ b AH aː AM ɐ̯
ehrbarkeit	eː AM ɐ̯ b AH aː AM ɐ̯ k AC a AL ɪ̯ AB t AC
ehre	eː AM ʁ AJ ə AL
ehren	eː AM ʀ BB ə AL n AG
ehrenamt	eː AM ʁ AJ ə AL n AG ʔ AK a AL m AF t AC
ehrendoktor	eː AM ʁ AJ ə AL n AG d AC ɔ AN k AC t AC oː BA ɐ̯
ehrengast	eː AM ʁ AJ ə AL n AG ɡ AC a AL s AJ t AC
ehrenmitgliedschaft	ʔ AK eː AM ʀ BB ə AL n AG m AF ɪ AL t AC ɡ AC l AE iː AM t AC ʃ AJ a AL f BC t AC
ehrenmord	eː AM ʀ BB ə AL n AG m AF ɔ AN ʁ AJ t AC
ehrenrührig	eː AM ʁ AJ ə AL n AG ʁ AJ yː BA ʁ AJ ɪ AL ç
ehrenschutz	eː AM r BB ə AL n AG ʃ AJ ʊ AN t AC s AJ
ehrenvoll	eː AM ʁ AJ ə AL n AG f BC ɔ AN l AE
ehrenwert	eː AM ʁ AJ ə AL n AG v BC eː AM ɐ̯ t AC
ehrenwort	eː AM r BB ə AL n AG v BC ɔ AN r BB t AC
ehrerbietig	eː AM ɐ̯ ʔ AK ɛ AL ɐ̯ b AH iː AM t AC ɪ AL ç
ehrfürchtig	eː AM ɐ̯ f BC ʏ AN ʁ AJ ç t AC ɪ AL ç
ehrgeizig	eː AM ɐ̯ ɡ AC a AL ɪ̯ AB t AC s AJ ɪ AL ç
ehrlich	ʔ AK eː AM ɐ̯ l AE ɪ AL ç
ehrlichkeit	eː AM ɐ̯ l AE ɪ AL ç k AC a AL ɪ AL t AC
ehrlos	eː AM ɐ̯ l AE oː BA s AJ
ehrlosigkeit	eː AM ɐ̯ l AE oː BA s AJ ɪ AL ç k AC a AL ɪ̯ AB t AC
ehrrührig	eː AM ɐ̯ ʁ AJ yː BA ʁ AJ ɪ AL ç
ehrwürdig	eː AM ɐ̯ v BC ʏ AN ʁ AJ d AC ɪ AL ç
ehrwürdigkeit	eː AM ɐ̯ v BC ʏ AN ʁ AJ d AC ɪ AL ç k AC a AL ɪ̯ AB t AC
ei	a AL ɪ̯ AB
eibe	a AL ɪ̯ AB b AH ə AL
eiben	a AL ɪ̯ AB b AH n̩ BH
eibenast	a AL ɪ̯ AB b AH n̩ BH a AL s AJ t AC
eibisch	a AL ɪ̯ AB b AH ɪ AL ʃ AJ
eich	ʔ AK a AL ɪ̯ AB ç
eiche	a AL ɪ̯ AB ç ə AL
eichel	a AL ɪ̯ AB ç l̩ BI
eichelhäher	ʔ AK a AL ɪ̯ AB ç ə AL l AE h AA ɛː AM ɐ AN
eichelhähers	ʔ AK a AL ɪ̯ AB ç ə AL l AE h AA ɛː AM ɐ AN s AJ
eichen	a AL ɪ̯ AB ç ə AL n AG
eichenbaum	a AL ɪ̯ AB ç n̩ BH b AH a AL ʊ̯ BF m AF
eichenholz	a AL ɪ̯ AB ç n̩ BH h AA ɔ AN l AE t AC s AJ
eichenlaub	a AL ɪ̯ AB ç n̩ BH l AE a AL ʊ̯ BF b AH
eichhorn	a AL ɪ̯ AB ç h AA ɔ AN ʁ AJ n AG
eichhörnchen	a AL ɪ̯ AB ç h AA œ AN ʁ AJ n AG ç ə AL n AG
eichkatze	a AL ɪ AL ç k AC a AL t AC s AJ ə AL
eid	a AL ɪ̯ AB t AC
eidam	a AL ɪ̯ AB d AC a AL m AF
eidbruch	a AL ɪ̯ AB t AC b AH ʁ AJ ʊ AN x AJ
eidechse	a AL ɪ̯ AB d AC ɛ AL k AC s AJ ə AL
eider	a AL ɪ̯ AB d AC ə AL r BB
eiderente	a AL ɪ̯ AB d AC ɐ AN ʔ AK ɛ AL n AG t AC ə AL
eidgenossenschaft	a AL i AL t AC ɡ AC ə AL n AG ɔ AN s AJ n̩ BH ʃ AJ a AL f BC t AC
eidgenossin	a AL ɪ AL t AC ɡ AC ə AL n AG ɔ AN s AJ ɪ AL n AG
eidgenössin	a AL ɪ AL t AC ɡ AC ə AL n AG œ AN s AJ ɪ AL n AG
eier	a AL ɪ̯ AB ɐ AN
eierbecher	a AL j AB ɐ AN b AH ɛ AL ç ɐ AN
eierklar	a AL ɪ AL ɐ AN k AC l AE aː AM ɐ̯
eierkuchen	a AL ɪ̯ AB ə AL r BB k AC uː BA x AJ ə AL n AG
eierkühlhaus	a AL ɪ̯ AB ɐ AN k AC yː BA l AE h AA a AL ʊ̯ BF s AJ
eierlegend	a AL ɪ̯ AB ɐ AN l AE eː AM ɡ AC ə AL n AG t AC
eierlöffel	a AL ɪ̯ AB ɐ AN l AE œ AN f BC l̩ BI
eiern	ʔ AK a AL ɪ̯ AB ɐ AN n AG
eierpflaume	a AL ɪ̯ AB ɐ AN p AH f BC l AE a AL ʊ̯ BF m AF ə AL
eierschalensollbruchstellenverursacher	a AL ɪ̯ AB ɐ AN ʃ AJ aː AM l AE ə AL n AG z AJ ɔ AN l AE b AH r BB ʊ AN x AJ ʃ AJ t AC ɛ AL l AE ə AL n AG f BC ɛ AL ɐ̯ uː BA ɐ̯ z AJ a AL x AJ ɐ AN
eiertanz	a AL ɪ̯ AB ə AL r BB t AC a AL n AG t AC s AJ
eieruhr	a AL ɪ̯ AB ɐ AN ʔ AK uː BA ɐ̯
