က	k a̰ AG
ဇနီး	z ə AD n i AD
ဇန်နဝါရီ	z a AD ɴ n ə AD w AC a AD ɹ AI i AD
ဇမ်ဘီယာ	z a AD ɴ b i AD j AB a AD
ဇယ	z ə AD j AB a̰ AG
ဇယား	z ə AD j AB a AD
ဇရပ်	z ə AD j AB a AD ʔ
ဇရာ	z ə AD j AB a AD
ဇလဗေဒ	z ə AD l a̰ AG b e AD d a̰ AG
ဇလုံ	z ə AD l o AE ʊ AE ɴ
ဇာ	z a AD
ဇာဂနာ	z a AD ɡ ə AD n a AD
ဇာတိ	z a AD t ḭ
ဇာတိပ္ဖိုလ်	z a AD d e AD ɪ AD ʔ pʰ o AE
ဇာတိပ္ဖိုလ်စေ့	z a AD d e AD ɪ AD ʔ pʰ o AE z ḛ
ဇာတ်	z a AD ʔ
ဇာတ်ကား	z a AD ʔ k a AD
ဇာတ်ကြီးဆယ်ဘွဲ့	z a AD t d ʑ i AD sʰ ɛ AD b w AC ɛ̰ AG
ဇာတ်ခုံ	z a AD ʔ kʰ o AE ʊ AE ɴ
ဇာတ်ဆောင်	z a AD ʔ sʰ a AD ʊ AE ɴ
ဇာတ်ညွှန်း	z a AD t ɲ̊ ʊ AE ɴ
ဇာတ်တော်	z a AD t
ဇာတ်ရုံ	z a AD ʔ j AB o AE ʊ AE ɴ
ဇာနည်	z a AD n i AD
ဇိန	z ḭ n a̰ AG
ဇိမ်မယ်	z e AD ɪ AD ɴ m ɛ AD
ဇီဇဝါ	z i AD z ə AD w AC a AD
ဇီရာ	z i AD j AB a AD
ဇီရာစေ့	z i AD j AB a AD s ḛ
ဇီဝ	z i AD w AC a̰ AG
ဇီဝကမ္မဗေဒ	z i AD w AC a̰ AG k a AD ɴ m a̰ AG b e AD d a̰ AG
ဇီဝစက်	z i AD w AC a̰ AG s ɛ AD ʔ
ဇီဝဓာတုဗေဒ	z i AD w AC a̰ AG d a AD t ṵ b e AD d a̰ AG
ဇီဝဗေဒ	z i AD w AC a̰ AG b e AD d a̰ AG
ဇူလိုင်	z u AE l a AD ɪ AD ɴ
ဇေ	z e AD
ဇေယျ	z e AD j AB a̰ AG
ဇေယျာပူရ	z e AD j AB a AD p u AE ɹ AI a̰ AG
ဇော်ဂျီ	z ɔ AE d ʑ i AD
ဇွန်	z ʊ AE ɴ
ဇွန်း	z ʊ AE ɴ
ဈမျဉ်းဆွဲ	z a̰ AG m j AB ɪ AD ɴ z w AC ɛ AD
ဈာန်	z a AD n
ဈာပန	z a AD p ə AD n a̰ AG
ဈေး	z e AD
ဈေးကြီး	z e AD t ɕ i AD
ဈေးချို	z e AD t ɕʰ o AE
ဈေးနှုန်း	z e AD n̥ o AE ʊ AE ɴ
ဉာဏ်	ɲ a AD n
ဉာဏ်စမ်း	ɲ a AD n s a AD ɴ
ဉာဏ်တော်	ɲ a AD ɴ d ɔ AE
ဉာဏ်ပူဇော်ခ	ɲ a AD n p u AE z ɔ AE kʰ a̰ AG
ည	ɲ a̰ AG
ညကလေး	ɲ a̰ AG k ə AD l e AD
ညကြီး	ɲ a̰ AG t ɕ i AD
ညစာ	ɲ a̰ AG z a AD
ညစ်	ɲ ɪ AD ʔ
ညစ်ထည်း	ɲ ɪ AD ʔ tʰ e AD
ညည်း	ɲ i AD
ညနေ	ɲ a̰ AG n e AD
ညနေခင်း	ɲ a̰ AG n e AD ɡ ɪ AD ɴ
ညလေး	ɲ a̰ AG l e AD
ညာ	ɲ a AD
ညို	ɲ o AE
ညီ	ɲ i AD
ညီနောင်	ɲ i AD n a AD ʊ AE ɴ
ညီမ	ɲ i AD m a̰ AG
ညီမျှခြင်း	ɲ i AD m̥ j AB a̰ AG d ʑ ɪ AD ɴ
ညီလာခံ	ɲ i AD l a AD ɡ a AD ɴ
ညီအစ်ကို	ɲ i AD ʔ ə AD k o AE
ညီအစ်မ	ɲ i AD ʔ ə AD m a̰ AG
ညောင်	ɲ a AD ʊ AE ɴ
ညောင်ဖြူ	ɲ a AD ʊ AE ɴ b j AB u AE
ညောင်ဗောဓိ	ɲ a AD ʊ AE ɴ b ɔ AE d ḭ
ညောင်လေးပင်	ɲ a AD ʊ AE ɴ l e AD p ɪ AD ɴ
ညောင်းကျရောဂါ	ɲ a AD ʊ AE ɴ t ɕ a̰ AG j AB ɔ AE ɡ a AD
ညေး	ɲ e AD
ညံစာစာ	ɲ a AD ɴ s a AD z a AD
ညွန့်	ɲ ʊ̰ AH ɴ
ညှင်း	ɲ̊ ɪ AD ɴ
ညှစ်	ɲ̊ ɪ AD ʔ
ညှပ်	ɲ̊ a AD ʔ
ညှာ	ɲ̊ a AD
ဋသန်လျင်းချိတ်	t a̰ AG θ ə AD j AB ɪ AD ɴ d ʑ e AD ɪ AD ʔ
ဌဝမ်းဘဲ	tʰ a̰ AG w AC ʊ AE ɴ b ɛ AD
ဌာန	tʰ a AD n a̰ AG
ဌာပနာ	tʰ a AD p ə AD n a AD
ဌေး	tʰ e AD
ဍရင်ကောက်	d a̰ AG j AB ɪ AD ɴ ɡ a AD ʊ AE ʔ
ဎရေမှုတ်	d a̰ AG j AB e AD m̥ o AE ʊ AE ʔ
ဏကြီး	n a̰ AG d ʑ i AD
တ	t ə AD
တကယ်	d ə AD ɡ ɛ AD
တကာ	d ə AD ɡ a AD
တက္ကစီ	t ɛ AD ʔ k ə AD s i AD
တက္ကဗေဒ	t ɛ AD ʔ k a̰ AG b e AD d a̰ AG
တက္ကသိုလ်	t ɛ AD ʔ k ə AD θ o AE
တက်	t ɛ AD ʔ
တကွ	d ə AD ɡ w AC a̰ AG
တချို့	t ə AD t ɕʰ o̰ AH
တခြား	t ə AD t ɕʰ a AD
တင့်ကား	t ɪ̰ AG ɴ k a AD
တင်	t ɪ AD ɴ
တင်ကူး	t ɪ AD ɴ ɡ u AE
တင်ဒါ	t ɪ AD ɴ d a AD
တင်ပါ့ဘုရား	t ɪ AD ɴ b a̰ AG pʰ ə AD j AB a AD
တင်းတင်း	t ɪ AD ɴ t ɪ AD ɴ
တင်းထိမ်	t ɪ AD ɴ d e AD ɪ AD ɴ
တင်းနစ်	t ɪ AD ɴ n ɪ AD ʔ
တစပြင်	d ə AD z a̰ AG b j AB ɪ AD ɴ
တစောင်း	d ə AD z a AD ʊ AE ɴ
တစ္ဆေ	t ə AD sʰ e AD
တစ်	t ɪ AD ʔ
တစ်ခုလပ်	t ə AD kʰ ṵ l a AD ʔ
တစ်ချောင်းပုဒ်	t ə AD t ɕʰ a AD ʊ AE ɴ p o AE ʊ AE ʔ
တစ်ဆယ်	t ə AD z ɛ AD
တစ်ထောင်	t ə AD tʰ a AD ʊ AE ɴ
တစ်ပင်တိုင်မင်းသမီး	d ə AD b ɪ AD ɴ d a AD ɪ AD ɴ m ɪ AD ɴ ð ə AD m i AD
တစ်ရာ	t ə AD j AB a AD
တစ်လ	t ə AD l a̰ AG
တဆယ်	t ə AD z ɛ AD
တဆေး	t ə AD sʰ e AD
တညင်း	d ə AD ɲ ɪ AD ɴ
တညင်းသီး	d ə AD ɲ ɪ AD ɴ ð i AD
တည်	t ɛ AD
တည်ဆောက်	t i AD sʰ a AD ʊ AE ʔ
တည်တံ့	t i AD d a̰ AG ɴ
တည်း	tʰ ɛ AD
တဏှင်္ကရာ	t ə AD n̥ ɪ AD ɴ k ə AD ɹ AI a AD
တဏှင်္ကရာဘုရား	t ə AD n̥ ɪ AD ɴ k ə AD ɹ AI a AD pʰ ə AD j AB a AD
တဏှာ	t ə AD n̥ a AD
တတိယ	t a̰ AG t ḭ j AB a̰ AG
တတ်	ʔ
တန	t a̰ AG n a̰ AG
တနင်္ဂနွေ	t ə AD n ɪ AD ɴ ɡ ə AD n w AC e AD
တနင်္လာ	t ə AD n ɪ AD ɴ l a AD
တန်ခိုးရှင်	t a AD ɴ kʰ o AE ʃ ɪ AD ɴ
တန်ခူး	d ə AD ɡ u AE
တန်ဆောင်မုန်း	d ə AD z a AD ʊ AE ɴ m o AE ʊ AE ɴ
တန်ဇေးနီးယား	t a AD ɴ z e AD n i AD j AB a AD
တပည့်တော်	d ə AD b ḭ d ɔ AE
တပည့်တော်မ	d ə AD b ḭ d ɔ AE m a̰ AG
တပို့တွဲ	d ə AD b o̰ AH d w AC ɛ AD
တပေါင်း	d ə AD b a AD ʊ AE ɴ
တပေါင်းလပြည့်နေ့	d ə AD b a AD ʊ AE ɴ l a̰ AG p j AB ḭ n ḛ
တပ်	t a AD ʔ
တပ်ကြပ်	t a AD ʔ t ɕ a AD ʔ
တပ်ကြပ်ကြီး	t a AD ʔ t ɕ a AD ʔ t ɕ i AD
တပ်ခွဲတပ်ကြပ်ကြီး	t a AD ʔ kʰ w AC ɛ AD t a AD ʔ t ɕ a AD ʔ t ɕ i AD
တပ်မတော်	t a AD ʔ m ə AD d ɔ AE
တပ်မတော်နေ့	t a AD ʔ m ə AD d ɔ AE n ḛ
တဘက်	d ə AD b ɛ AD ʔ
တမန်	t ə AD m a AD ɴ
တမန်တော်	t ə AD m a AD ɴ d ɔ AE
တမလန်း	t ə AD m ə AD l a AD ɴ
တယော	t ə AD j AB ɔ AE
တယ်	t ɛ AD
တယ်လီဖုန်း	t ɛ AD l i AD pʰ o AE ʊ AE ɴ
တယ်လီဗီးရှင်း	t ɛ AD l i AD b i AD ʃ ɪ AD ɴ
တရား	t ə AD j AB a AD
တရားခံ	t ə AD j AB ə AD kʰ a AD ɴ
တရားစွဲ	t ə AD j AB a AD s w AC ɛ AD
တရားရုံး	t ə AD j AB a AD j AB o AE ʊ AE ɴ
တရားလွှတ်တော်	t ə AD j AB a AD l̥ ʊ AE ʔ t ɔ AE
တရားလွှတ်တော်ချုပ်	t ə AD j AB a AD l̥ ʊ AE ʔ t ɔ AE d ʑ o AE ʊ AE ʔ
တရားသူကြီး	t ə AD j AB a AD ð u AE d ʑ i AD
တရုတ်	t ə AD j AB o AE ʊ AE ʔ
တရုတ်စံကား	t a̰ AG j AB o AE ʊ AE ʔ s a AD ɴ k a AD
တရုတ်ဆီးသီး	t ə AD j AB o AE ʊ AE ʔ z i AD θ i AD
တရုတ်နံနံ	t a̰ AG j AB o AE ʊ AE ʔ n a AD ɴ n a AD ɴ
တရုတ်နှင်းသီး	t a̰ AG j AB o AE ʊ AE ʔ n̥ ɪ AD ɴ θ i AD
တရုတ်မဆလာ	t ə AD j AB o AE ʊ AE ʔ m ə AD sʰ ə AD l a AD
တလည်း	t ə AD l e AD
တလိုင်း	t ə AD l a AD ɪ AD ɴ
တလွဲ	t ə AD l w AC ɛ AD
တာချီလိတ်	t a AD t ɕʰ i AD l e AD ɪ AD ʔ
တာဂျစ်ကစ္စတန်	t a AD d ʑ ɪ AD ʔ k ɪ AD ʔ s ə AD t a AD ɴ
တာတား	t a AD t a AD
တာမွေ	t a AD m w AC e AD
တာယာ	t a AD j AB a AD
တာရာ	t a AD j AB a AD
တာလုဇ	t a AD l ṵ z a̰ AG
တာဝတိံသာ	t a AD w AC a̰ AG t e AD ɪ AD ɴ θ a AD
တာဝန်	t a AD w AC ʊ AE ɴ
တာ့ခ်မင်နစ္စတန်	t a̰ AG kʰ m ɪ AD ɴ n ɪ AD ʔ s ə AD t a AD ɴ
တား	t a AD
တိ	t ḭ
တိတ်	t e AD ɪ AD ʔ
တိန်းညက်	t e AD ɪ AD ɴ ɲ ɛ AD ʔ
တိပိဋက	t ḭ p ḭ t ə AD k a̰ AG
တိမ်	t e AD ɪ AD ɴ
တိရစ္ဆာန်	t ə AD ɹ AI e AD ɪ AD ʔ sʰ a AD ɴ
တိရစ္ဆာန်ရုံ	t ə AD ɹ AI e AD ɪ AD ʔ sʰ a AD ɴ j AB o AE ʊ AE ɴ
တို	t o AE
တိုက်	t a AD ɪ AD ʔ
တိုက်ခန်း	t a AD ɪ AD ʔ kʰ a AD ɴ
တိုက်ပုံ	t a AD ɪ AD ʔ p o AE ʊ AE ɴ
တိုက်ပွဲ	t a AD ɪ AD ʔ p w AC ɛ AD
တိုက်အိမ်	t a AD ɪ AD ʔ ʔ e AD ɪ AD ɴ
တိုကျို	t o AE t ɕ o AE
တိုဂို	t o AE ɡ o AE
တိုင်	t a AD ɪ AD ɴ
တိုင်ကီ	t a AD ɪ AD ɴ k i AD
တိုင်ပင်	t a AD ɪ AD ɴ b ɪ AD ɴ
တိုင်ဖွန်း	t a AD ɪ AD ɴ pʰ ʊ AE ɴ
တိုင်းရင်းသား	t a AD ɪ AD ɴ j AB ɪ AD ɴ ð a AD
တိုဖူး	t o AE pʰ u AE
တိုရှေ	t o AE ʃ e AD
တိုဟူး	t o AE h AA u AE
တိုဟူးနွေး	t o AE h AA u AE n w AC e AD
တိုဟူးသုပ်	t o AE h AA u AE θ o AE ʊ AE ʔ
တို့	d o̰ AH
တိုး	t o AE
တိုးတက်	t o AE t ɛ AD ʔ
တိုးတက်ခြင်း	t o AE t ɛ AD ʔ d ʑ ɪ AD ɴ
တိုးတက်ရေး	t o AE t ɛ AD ʔ j AB e AD
တိုးတိုး	t o AE d o AE
တိုးနရား	t o AE n ə AD j AB a AD
တိဿ	t e AD ɪ AD ʔ θ a̰ AG
တိဿဘုရား	t e AD ɪ AD ʔ θ a̰ AG pʰ ə AD j AB a AD
တီ	t i AD
တီကောင်	t i AD ɡ a AD ʊ AE ɴ
တီကေ့	t i AD k ḛ
တီထွင်	t i AD tʰ w AC ɪ AD ɴ
တီထွင်မှု	t i AD tʰ w AC ɪ AD ɴ m̥ ṵ
တီဗီ	t i AD b i AD
တီရှပ်	t i AD ʃ a AD ʔ
တီဟီရန်	t i AD h AA i AD ɹ AI a AD ɴ
တီး	t i AD
တီးတိုးပြော	t i AD d o AE p j AB ɔ AE
တုတ်	d o AE ʊ AE ʔ
တုတ်မီး	d o AE ʊ AE ʔ m i AD
တုံး	t o AE ʊ AE ɴ
တူ	t u AE
တူနီးရှား	t u AE n i AD ʃ a AD
တူမ	t u AE m a̰ AG
တူရကီ	t u AE ɹ AI ə AD k i AD
တူရိယာ	t u AE ɹ AI ḭ j AB a AD
တူး	t u AE
တူးမြောင်း	t u AE m j AB a AD ʊ AE ɴ
တူးရစ်	t u AE ɹ AI ɪ AD ʔ
တေဇော	t e AD z ɔ AE
တေသံ	t e AD ð a AD ɴ
တော	t ɔ AE
တောက်တဲ့	t a AD ʊ AE ʔ t ɛ̰ AG
တောက်ပ	t a AD ʊ AE ʔ p a̰ AG
တောကြက်မောက်	t ɔ AE t ɕ ɛ AD ʔ m a AD ʊ AE ʔ
တောခွေး	t ɔ AE ɡ w AC e AD
တောင်	t a AD ʊ AE ɴ
တောင်ကိုရီးယား	t a AD ʊ AE ɴ k o AE ɹ AI i AD j AB a AD
တောင်ကြား	t a AD ʊ AE ɴ d ʑ a AD
တောင်ကြီး	t a AD ʊ AE ɴ d ʑ i AD
တောင်ငူ	t a AD ʊ AE ɴ ŋ u AE
တောင်ဆူဒန်	t a AD ʊ AE ɴ sʰ u AE d a AD ɴ
တောင်ပံ	t a AD ʊ AE ɴ b a AD ɴ
တောင်ဖက်ဝန်း	t a AD ʊ AE ɴ pʰ ɛ AD ʔ w AC ʊ AE ɴ
တောင်သူ	t a AD ʊ AE ɴ ð u AE
တောင်သူလယ်သမား	t a AD ʊ AE ɴ ð u AE l ɛ AD ð ə AD m a AD
တောင်သူလယ်သမားနေ့	t a AD ʊ AE ɴ ð u AE l ɛ AD θ ə AD m a AD n ḛ
တောင်အာဖရိက	t a AD ʊ AE ɴ ʔ a AD pʰ ə AD ɹ AI ḭ k a̰ AG
တောင်း	t a AD ʊ AE ɴ
တောင်းပန်	t a AD ʊ AE ɴ b a AD ɴ
တောမန်ကျည်း	t ɔ AE m ə AD d ʑ i AD
တောသား	t ɔ AE ð a AD
တောသီတင်း	t ɔ AE θ i AD d ɪ AD ɴ
တော်	t ɔ AE
တော်ပြီ	t ɔ AE b i AD
တော်လေးဝ	t ɔ AE l e AD w AC a̰ AG
တော်လှန်	t ɔ AE l̥ a AD ɴ
တော်လှန်ရေး	t ɔ AE l̥ a AD ɴ j AB e AD
တော်သလင်း	t ɔ AE ð ə AD l ɪ AD ɴ
တေးသံရှင်	t e AD θ a AD ɴ ʃ ɪ AD ɴ
တေးသွား	t e AD ð w AC a AD
တဲ	t ɛ AD
တဲ့	d ɛ̰ AG
တံ	t a AD ɴ
တံခါး	d ə AD ɡ a AD
တံခါးဗိုလ်	d ə AD ɡ a AD b o AE
တံခွန်	d ə AD ɡ ʊ AE ɴ
တံခွန်တိုင်	d ə AD ɡ ʊ AE ɴ d a AD ɪ AD ɴ
တံငါ	t ə AD ŋ a AD
တံစဉ်	d ə AD z ɪ AD ɴ
တံစဉ်း	d ə AD z ɪ AD ɴ
တံဆိပ်	d ə AD z e AD ɪ AD ʔ
တံဆိပ်ခေါင်း	d ə AD z e AD ɪ AD ʔ ɡ a AD ʊ AE ɴ
တံတား	d ə AD d a AD
တံတိုင်း	d ə AD d a AD ɪ AD ɴ
တံတောင်	d ə AD d a AD ʊ AE ɴ
တံပိုး	d ə AD b o AE
တံပူ	d ə AD b u AE
တံမြက်စည်း	d ə AD b j AB ɛ AD ʔ s i AD
တံ့တံ့	t a̰ AG ɴ d a̰ AG ɴ
တြိ	t ə AD ɹ AI ḭ
တြိဂံ	t ɹ AI ḭ ɡ a AD ɴ
တြိပူရ	t ə AD ɹ AI ḭ p u AE j AB a̰ AG
တွက်	t w AC ɛ AD ʔ
တွင်	t w AC ɪ AD ɴ
တွင်း	t w AC ɪ AD ɴ
တွန်း	t ʊ AE ɴ
တွပ်	t ʊ AE ʔ
တွေ့	t w AC ḛ
တွေး	t w AC e AD
ထ	tʰ a̰ AG
ထက်	tʰ ɛ AD ʔ
ထက်ဝယ်ဖွဲ့ခွေ	tʰ ɛ AD ʔ w AC ɛ AD pʰ w AC ɛ̰ AG kʰ w AC e AD
ထင်	tʰ ɪ AD ɴ
ထင်စား	tʰ ɪ AD ɴ z a AD
ထင်း	tʰ ɪ AD ɴ
ထဆင်ထူး	tʰ a̰ AG sʰ ɪ AD ɴ d u AE
ထည်	tʰ ɛ AD
ထနောင်း	tʰ ə AD n a AD ʊ AE ɴ
ထန်း	tʰ a AD ɴ
ထန်းလျက်	tʰ ə AD ɲ ɛ AD ʔ
ထပ်	tʰ a AD ʔ
ထပ်တစ်ရာ	tʰ a AD ʔ t ə AD j AB a AD
ထဘီ	tʰ ə AD m i AD
ထမင်း	tʰ ə AD m ɪ AD ɴ
ထမင်းကြော်	tʰ ə AD m ɪ AD ɴ d ʑ ɔ AE
ထမင်းချဉ်	tʰ ə AD m ɪ AD ɴ d ʑ ɪ AD ɴ
ထမင်းဆိုင်	tʰ ə AD m ɪ AD ɴ z a AD ɪ AD ɴ
ထမင်းသုပ်	tʰ a̰ AG m ɪ AD ɴ θ o AE ʊ AE ʔ
ထမနဲ	tʰ a̰ AG m a̰ AG n ɛ AD
ထယ်	tʰ ɛ AD
ထာဝရ	tʰ a AD w AC ə AD j AB a̰ AG
ထာဝရဥစ္စာ	tʰ a AD w AC ə AD j AB a̰ AG ʔ o AE ʊ AE ʔ s a AD
ထား	tʰ a AD
ထားဝယ်	d ə AD w AC ɛ AD
ထိ	tʰ ḭ
ထိကပေါက်	tʰ ḭ ɡ ə AD b a AD ʊ AE ʔ
ထိပ်ခေါင်တင်	tʰ e AD ɪ AD ʔ kʰ a AD ʊ AE ɴ t ɪ AD ɴ
ထိပ်စုဖုရား	tʰ e AD ɪ AD ʔ s ṵ pʰ ə AD j AB a AD
ထိမ်းမြား	tʰ e AD ɪ AD ɴ m j AB a AD
ထို	tʰ o AE
ထိုင်	tʰ a AD ɪ AD ɴ
ထိုင်ခုံ	tʰ a AD ɪ AD ɴ ɡ o AE ʊ AE ɴ
ထိုင်ပေ	tʰ a AD ɪ AD ɴ p e AD
ထိုင်မသိမ်း	tʰ a AD ɪ AD ɴ m ə AD θ e AD ɪ AD ɴ
ထိုင်ဝမ်	tʰ a AD ɪ AD ɴ w AC a AD ɴ
ထိုင်း	tʰ a AD ɪ AD ɴ
ထိုမှာ	tʰ o AE m̥ a AD
ထိုး	tʰ o AE
ထိုးမုန့်	tʰ o AE m o̰ AH ʊ AE ɴ
ထီ	tʰ i AD
ထီး	tʰ i AD
ထီးတင်	tʰ i AD t ɪ AD ɴ
ထီးဖြူ	tʰ i AD b j AB u AE
ထုတ်ကုန်	tʰ o AE ʊ AE ʔ k o AE ʊ AE ɴ
ထုတ်လုပ်	tʰ o AE ʊ AE ʔ l o AE ʊ AE ʔ
ထုတ်လုပ်မှု	tʰ o AE ʊ AE ʔ l o AE ʊ AE ʔ m̥ ṵ
ထုတ်ဝေသူ	tʰ o AE ʊ AE ʔ w AC e AD ð u AE
ထုံးစံ	tʰ o AE ʊ AE ɴ z a AD ɴ
ထူ	tʰ u AE
ထူထဲ	tʰ u AE d ɛ AD
ထူပါ	tʰ u AE p a AD
ထူး	tʰ u AE
ထေရဝါဒ	tʰ e AD j AB a̰ AG w AC a AD d a̰ AG
ထော	tʰ ɔ AE
ထောက်	tʰ a AD ʊ AE ʔ
ထောက်ကြံ့	tʰ a AD ʊ AE ʔ t ɕ a̰ AG ɴ
ထောက်ခံ	tʰ a AD ʊ AE ʔ kʰ a AD ɴ
ထောက်ပံ့	tʰ a AD ʊ AE ʔ p a̰ AG ɴ
ထောင့်	d a̰ AG ʊ AE ɴ
ထောင်	tʰ a AD ʊ AE ɴ
ထောင်ကဲ	tʰ a AD ʊ AE ɴ k ɛ AD
ထောင်မှူး	tʰ a AD ʊ AE ɴ m̥ u AE
ထောင်သား	tʰ a AD ʊ AE ɴ ð a AD
ထောပတ်	tʰ ɔ AE b a AD ʔ
ထောပတ်ထမင်း	tʰ ɔ AE b a AD ʔ tʰ ə AD m ɪ AD ɴ
ထောပတ်သီး	tʰ ɔ AE p a AD ʔ θ i AD
ထော်လာဂျီ	tʰ ɔ AE l a AD d ʑ i AD
ထဲ	tʰ ɛ AD
ထံ	tʰ a AD ɴ
ထွက်	tʰ w AC ɛ AD ʔ
ထွက်ပေါက်	tʰ w AC ɛ AD ʔ p a AD ʊ AE ʔ
ထွက်ပြေး	tʰ w AC ɛ AD ʔ p j AB e AD
ထွန်	tʰ ʊ AE ɴ
ထွန်စက်	tʰ ʊ AE ɴ z ɛ AD ʔ
ထွန်း	tʰ ʊ AE ɴ
ထွေး	tʰ w AC e AD
ဒကာ	d ə AD ɡ a AD
ဒက္ခိဏ	d ɛ AD ʔ kʰ ḭ n a̰ AG
ဒဂုံ	d ə AD ɡ o AE ʊ AE ɴ
ဒင်္ဂါး	d ɪ AD ɴ ɡ a AD
ဒင်္ဂါးတိုက်	d ɪ AD ɴ ɡ a AD d a AD ɪ AD ʔ
ဒစ္စကို	d ɪ AD ʔ s a̰ AG k o AE
ဒဏ္ဍာရီ	d a AD n d a AD j AB i AD
ဒဏ်	d a AD n
ဒဏ်ငွေ	d a AD n ŋ w AC e AD
ဒဏ်ရာ	d a AD ɴ j AB a AD
ဒထွေး	d a̰ AG d w AC e AD
ဒန့်သလွန်	d a̰ AG ɴ ð ə AD l ʊ AE ɴ
ဒန်ပူ	d ə AD b u AE
ဒန်း	d a AD ɴ
ဒသမ	d a̰ AG θ ə AD m a̰ AG
ဒါ	d a AD
ဒါန	d a AD n a̰ AG
ဒါပါပဲ	d a AD b a AD b ɛ AD
ဒါပေမဲ့	d a AD b e AD m ɛ̰ AG
ဒါပော့	d a AD p ɔ̰ AH
ဒိန်ခဲ	d e AD ɪ AD ɴ ɡ ɛ AD
ဒိန်ချဉ်	d e AD ɪ AD ɴ d ʑ ɪ AD ɴ
ဒိန်းမတ်	d e AD ɪ AD ɴ m a AD ʔ
ဒိုင်ခွက်	d a AD ɪ AD ɴ ɡ w AC ɛ AD ʔ
ဒိုင်နိုဆော	d a AD ɪ AD ɴ n o AE sʰ ɔ AE
ဒိုင်ယာနာ	d a AD ɪ AD ɴ j AB a AD n a AD
ဒိုင်ယာရီ	d a AD ɪ AD ɴ j AB ə AD ɹ AI i AD
ဒီ	d i AD
ဒီဂရီ	d i AD ɡ ə AD ɹ AI i AD
ဒီဃ	d i AD ɡ a̰ AG
ဒီဇင်ဘာ	d i AD z ɪ AD ɴ b a AD
ဒီဇိုင်နာ	d i AD z a AD ɪ AD ɴ n a AD
ဒီဇိုင်း	d i AD z a AD ɪ AD ɴ
ဒီည	d i AD ɲ a̰ AG
ဒီနေ့	d i AD n ḛ
ဒီပင်္ကရာ	d i AD p ɪ AD ɴ k ə AD ɹ AI a AD
ဒီပင်္ကရာဘုရား	d i AD p ɪ AD ɴ k ə AD ɹ AI a AD pʰ ə AD j AB a AD
ဒီပါ	d i AD p a AD
ဒီပါဝလီ	d i AD p a AD w AC ə AD l i AD
ဒီဗီဒီ	d i AD b i AD d i AD
ဒီမိုကရေစီ	d i AD m o AE k ə AD ɹ AI e AD s i AD
ဒီမှာ	d i AD m̥ a AD
ဒီလို	d i AD l o AE
ဒီဟာ	d i AD h AA a AD
ဒု	d ṵ
ဒုက္ခ	d o AE ʊ AE ʔ kʰ a̰ AG
ဒုက္ခသည်	d o AE ʊ AE ʔ kʰ a̰ AG ð e AD
ဒုက္ခိတ	d o AE ʊ AE ʔ kʰ ḭ t a̰ AG
ဒုတိယ	d ṵ t ḭ j AB a̰ AG
ဒုတိယတပ်ကြပ်	d ṵ t ḭ j AB a̰ AG t a AD ʔ t ɕ a AD ʔ
ဒုတိယဗိုလ်	d ṵ t ḭ j AB a̰ AG b o AE
ဒုတိယဗိုလ်ချုပ်ကြီး	d ṵ t ḭ j AB a̰ AG b o AE d ʑ o AE ʊ AE ʔ d ʑ i AD
ဒုတိယဗိုလ်ချုပ်မှူးကြီး	d ṵ t ḭ j AB a̰ AG b o AE d ʑ o AE ʊ AE ʔ m̥ u AE d ʑ i AD
ဒုတိယဗိုလ်မှူးကြီး	d ṵ t ḭ j AB a̰ AG b o AE m̥ u AE d ʑ i AD
ဒုတိယအရာခံဗိုလ်	d ṵ t ḭ j AB a̰ AG ʔ ə AD j AB a AD ɡ a AD ɴ b o AE
ဒုဗ္ဘိက္ခန္တရကပ်	d o AE ʊ AE ʔ b e AD ɪ AD ʔ kʰ a AD ɴ t ə AD ɹ AI a̰ AG k a AD ʔ
ဒုယင်တော်	d ə AD j AB ɪ AD ɴ d ɔ AE
ဒုံမင်း	d o AE ʊ AE ɴ m ɪ AD ɴ
ဒုံး	d o AE ʊ AE ɴ
ဒုံးပျံ	d o AE ʊ AE ɴ b j AB a AD ɴ
ဒူလာ	d u AE l a AD
ဒူး	d u AE
ဒူးခေါင်း	d u AE ɡ a AD ʊ AE ɴ
ဒူးထောက်	d u AE tʰ a AD ʊ AE ʔ
ဒူးရင်းယို	d u AE j AB ɪ AD ɴ j AB o AE
ဒူးရင်းသီး	d u AE j AB ɪ AD ɴ θ i AD
ဒူးလေး	d u AE l e AD
ဒူးဝါး	d u AE w AC a AD
ဒေတာဘေ့စ်	d e AD t a AD b ḛ s
ဒေဝ	d e AD w AC a̰ AG
ဒေဝဒတ်	d e AD w AC ə AD d a AD ʔ
ဒေဝနာဂရီ	d e AD w AC a̰ AG n a AD ɡ ə AD ɹ AI i AD
ဒေဝါလီခံ	d e AD w AC a AD l i AD kʰ a AD ɴ
ဒေဝီ	d e AD w AC i AD
ဒေသ	d e AD θ a̰ AG
ဒေသန္တရ	d e AD θ a AD ɴ t ə AD j AB a̰ AG
ဒေသန္တရစကား	d e AD θ a AD ɴ t ə AD ɹ AI a̰ AG z ə AD ɡ a AD
ဒေသိယစကား	d e AD θ ḭ j AB a̰ AG z ə AD ɡ a AD
ဒေါက်တာ	d a AD ʊ AE ʔ t a AD
ဒေါင်း	d a AD ʊ AE ɴ
