't	t AC
bulok	b AG u AM l AD o AM k AC
bulutong	b AG u AM l AD u AM t AC o AM ŋ AF
bulyaw	b AG u AM l AD j AB a AK u AM
bumaba	b AG u AM m AE a AK b AG a AK ʔ AJ
bumagsak	b AG u AM m AE a AK ɡ AC s AH a AK k AC
bumagyo	l AD u AM m AE i AK w AI a AK n AF a AK ɡ AC
bumaha	b AG u AM m AE a AK h AA a AK ʔ AJ
bumahin	b AG u AM m AE a AK h AA i AK n AF
bumahing	b AG u AM m AE a AK h AA i AK ŋ AF
bumalik	b AG u AM m AE a AK l AD i AK k AC
bumalintong	b AG u AM m AE a AK l AD i AK n AF t AC ɔ AM ŋ AF
bumbunan	b AG u AM m AE b AG u AM n AF a AK n AF
bumibili	b AG u AM m AE i AK b AG i AK l AD i AK
bumili	b AG u AM m AE i AK l AD i AK
bumilis	b AG u AM m AE i AK l AD i AK s AH
bumisita	b AG u AM m AE i AK s AH i AK t AC a AK
bumiyahe	b AG u AM m AE j AB a AK h AA ɛ AK
bumuo	b AG u AM m AE u AM ʔ AJ o AM ʔ AJ
bumuwelta	b AG u AM m AE u AM w AI ɛ AK l AD t AC a AK
bunag	b AG u AM n AF a AK ɡ AC
bunga	b AG u AM ŋ AF a AK
bungkos	b AG u AM ŋ AF k AC o AM s AH
bungo	b AG u AM ŋ AF o AM ʔ AJ
bungot	b AG u AM ŋ AF ɔ AM t AC
buno	b AG u AM n AF o AM ʔ AJ
bunso	b AG u AM ŋ AF s AH o AM ʔ AJ
bunto	b AG u AM n AF t AC o AM ʔ AJ
bunyi	b AG u AM n AF j AB i AK
buo	b AG u AM o AM ʔ AJ
buol	b AG u AM ʔ AJ o AM l AD
buquid	b AG u AM k AC i AK d AC
bura	b AG u AM ɾ BD aː AL
burahin	b AG u AM r BA a AK h AA i AK n AF
burgis	b AG u AM ɾ BD ɡ AC i AK s AH
buryong	b AG u AM ɾ BD j AB o AM ŋ AF
bus	b AG u AM s AH
buson	b AG u AM s AH o AM n AF
butac	b AG u AM t AC a AK k AC
butaka	b AG u AM t AC a AK k AC a AK
butang	b AG u AM t AC a AK ŋ AF
butas	b AG u AM t AC a AK s AH
buto	b AG u AM t AC ʔ AJ o AM
butod	b AG u AM t AC o AM d AC
butudkaphay	b AG u AM t AC o AM d AC k AC a AK p AG h AA a AK j AB
butudkilos	b AG u AM t AC o AM d AC k AC i AK l AD o AM s AH
buturan	b AG u AM t AC u AM ɾ BD a AK n AF
buuin	b AG u AM ʔ AJ u AM ʔ AJ i AK n AF
buwag	b AG u AM a AK ɡ AC
buwakaw	b AG w AI a AK k AC a AK u AM
buwanan	b AG u AM a AK n AF a AK n AF
buwaya	b AG u AM a AK j AB a AK
buwelta	b AG w AI ɛ AK l AD t AC a AK
buweltahan	b AG w AI ɛ AK l AD t AC a AK h AA a AK n AF
buwisit	b AG u AM i AK s AH i AK t AC
buyo	b AG u AM j AB o AM
cabahug	k AC a AK b AG a AK h AA u AM ɡ AC
cabanayan	k AC a AK b AG a AK n AF a AK j AB a AK n AF
cabanlit	k AC a AK b AG a AK n AF l AD i AK t AC
cabasag	k AC a AK b AG a AK s AH a AK ɡ AC
cabiling	k AC a AK b AG i AK l AD i AK ŋ AF
cabral	k AC a AK b AG ɾ BD a AK l AD
cabuhat	k AC a AK b AG u AM h AA a AK t AC
cabungcal	k AC a AK b AG u AM ŋ AF k AC a AK l AD
cacdac	k AC a AK k AC d AC a AK k AC
cadano	k AC a AK d AC a AK n AF o AM
cadapan	k AC a AK d AC a AK p AG a AK n AF
cadayona	k AC a AK d AC a AK j AB o AM n AF a AK
cagalingan	k AC a AK ɡ AC a AK l AD i AK ŋ AF a AK n AF
caguiat	k AC a AK ɡ AC j AB a AK t AC
caguioa	k AC a AK ɡ AC i AK w AI a AK
calalo	k AC a AK l AD a AK l AD o AM
calaunan	k AC a AK l AD a AK ʔ AJ u AM n AF a AK n AF
calaycay	k AC a AK l AD a AK i AK k AC a AK i AK
calinawan	k AC a AK l AD i AK n AF a AK w AI a AK n AF
calingasan	k AC a AK l AD i AK ŋ AF a AK s AH a AK n AF
calinisan	k AC a AK l AD i AK n AF i AK s AH a AK n AF
calma	k AC a AK l AD m AE a AK
campo	k AC a AK m AE p AG o AM
cancio	k AC a AK n AF s AH i AK o AM
canicosa	k AC a AK n AF i AK k AC o AM s AH a AK
canilao	k AC a AK n AF i AK l AD a AK u AM
cantiveros	k AC a AK n AF t AC i AK b AG ɛ AK ɾ BD o AM s AH
cantos	k AC a AK n AF t AC o AM s AH
caparas	k AC a AK p AG a AK ɾ BD a AK s AH
capinpin	k AC a AK p AG i AK n AF p AG i AK n AF
cardiño	k AC a AK ɾ BD d AC i AK ɲ AF o AM
cariaso	k AC a AK ɾ BD j AB a AK s AH o AM
carillo	k AC a AK ɾ BD i AK l AD l AD o AM
carlos	k AC ɐ AM ɾ BD l AD ɔ AM s AH
carrillo	k AC a AK ɾ BD ɾ BD i AK l AD l AD o AM
casal	k AC a AK s AH a AK l AD
casanova	k AC a AK s AH a AK n AF o AM b AG a AK
casao	k AC a AK s AH a AK o AM
caseda	k AC a AK s AH ɛ AK d AC a AK
castañeda	k AC a AK s AH t AC a AK ɲ AF ɛ AK d AC a AK
castrence	k AC a AK s AH t AC ɾ BD ɛ AK n AF s AH ɛ AK
catapang	k AC a AK t AC a AK p AG a AK ŋ AF
catibog	k AC a AK t AC i AK b AG o AM ɡ AC
catimbang	k AC a AK t AC i AK m AE b AG a AK ŋ AF
catipon	k AC a AK t AC i AK p AG o AM n AF
catral	k AC a AK t AC ɾ BD a AK l AD
cauilan	k AC a AK w AI i AK l AD a AK n AF
caw	k AC a AK w AI
cedeño	s AH ɛ AK d AC ɛ AK ɲ AF o AM
cenizal	s AH ɛ AK n AF i AK s AH a AK l AD
cereno	s AH ɛ AK ɾ BD ɛ AK n AF o AM
cerillo	s AH ɛ AK ɾ BD i AK l AD l AD o AM
chan	t AC ʃ AH a AK n AF
cheng	c AC h AA ɛ AK ŋ AF
chi	t AC ʃ AH i AK
ching	t AC ʃ AH i AK ŋ AF
chong	t AC ʃ AH o AM ŋ AF
chu	t AC ʃ AH ʊ AM
chua	t AC ʃ AH w AI a AK
chung	t AC ʃ AH ʊ AM ŋ AF
cinco	s AH i AK n AF k AC o AM
closa	k AC l AD o AM s AH a AK
co	k AC ɔ AM
collado	k AC o AM l AD l AD a AK d AC o AM
cometa	k AC o AM m AE ɛ AK t AC a AK
comia	k AC o AM m AE i AK a AK
condez	k AC o AM n AF d AC ɛ AK s AH
coo	k AC uː AN
coquia	k AC o AM k AC i AK a AK
corcuera	k AC o AM ɾ BD k AC w AI ɛ AK ɾ BD a AK
cornejo	k AC o AM ɾ BD n AF ɛ AK d AC ʒ AH o AM
coronel	k AC o AM ɾ BD o AM n AF ɛ AK l AD
corrales	k AC o AM ɾ BD ɾ BD a AK l AD ɛ AK s AH
correa	k AC o AM ɾ BD ɾ BD ɛ AK a AK
corro	k AC o AM ɾ BD ɾ BD o AM
cosico	k AC o AM s AH i AK k AC o AM
cruzat	k AC ɾ BD u AM s AH a AK t AC
cua	k AC w AI a AK
cuasay	k AC w AI a AK s AH a AK i AK
cubacub	k AC u AM b AG a AK k AC u AM b AG
cueto	k AC w AI ɛ AK t AC o AM
cuizon	k AC u AM i AK s AH o AM n AF
custodio	k AC u AM s AH t AC o AM d AC j AB o AM
daan	d AC a AK ʔ AJ a AK n AF
dabarkads	d AC a AK b AG a AK r BA k AC a AK d AC s AH
dacanay	d AC a AK k AC a AK n AF a AK i AK
dado	d AC a AK d AC o AM
daga	d AC a AK ɡ AC a AK ʔ AJ
dagadagaan	d AC a AK ɡ AC a AK d AC a AK ɡ AC a AK ʔ AJ a AK n AF
dagat	d AC a AK ɡ AC a AK t AC
dagipik	d AC a AK ɡ AC i AK p AG i AK k AC
dagisikan	d AC a AK ɡ AC i AK s AH i AK k AC a AK n AF
dagitban	d AC a AK ɡ AC i AK t AC b AG a AK n AF
dagitigilan	d AC a AK ɡ AC i AK t AC i AK ɡ AC i AK l AD a AK n AF
dagitsigan	d AC a AK ɡ AC i AK t AC s AH i AK ɡ AC a AK n AF
dagta	d AC a AK ɡ AC t AC a AK ʔ AJ
dahas	d AC a AK h AA a AK s AH
dahilan	d AC a AK h AA i AK l AD a AK n AF
dahilig	d AC a AK h AA i AK l AD i AK ɡ AC
dahon	d AC a AK h AA o AM n AF
dakip	d AC a AK k AC i AK p AG
daktao	d AC a AK k AC t AC a AK ʔ AJ ɔ AM
daktinig	d AC a AK k AC t AC i AK n AF i AK ɡ AC
dalagita	d AC a AK l AD a AK ɡ AC i AK t AC a AK
dalang	d AC a AK l AD a AK ŋ AF
dalaw	d AC a AK l AD a AK u AM
dalawa	d AC a AK l AD a AK w AI a AK
dalawampu	d AC a AK l AD a AK w AI a AK m AE p AG u AM ʔ AJ
dalawit	d AC a AK l AD a AK w AI i AK t AC
dalmasya	d AC ɑ AK l AD m AE ɑ AK ɕ AH ɑ AK
dalubhasa	d AC a AK l AD u AM b AG h AA a AK s AH a AK ʔ AJ
dalubituinan	d AC a AK l AD u AM b AG b AG i AK t AC u AM i AK n AF a AK n AF
dalubtalaan	d AC a AK l AD u AM b AG t AC a AK l AD a AK ʔ AJ a AK n AF
dalubtauhan	d AC a AK l AD u AM b AG t AC a AK ʔ AJ u AM h AA a AK n AF
dalubwikaan	d AC a AK l AD u AM b AG w AI i AK k AC a AK ʔ AJ a AK n AF
dalusong	d AC a AK l AD u AM s AH o AM ŋ AF
dama	d AC ɐ AM m AE a AK
damit	d AC a AK m AE i AK t AC
damo	d AC a AK m AE o AM
damot	d AC a AK m AE o AM t AC
damuhan	d AC ɐ AM m AE u AM h AA a AK n AF
damuho	d AC a AK m AE u AM h AA o AM ʔ AJ
dantay	d AC a AK n AF t AC a AK i AK
danum	d AC a AK n AF u AM m AE
danumsigwasan	d AC a AK n AF u AM m AE s AH i AK ɡ AC w AI a AK s AH a AK n AF
danumtigilan	d AC a AK n AF u AM m AE t AC i AK ɡ AC i AK l AD a AK n AF
dao	d AC a AK ʔ AJ o AM
dapat	d AC a AK p AG a AK t AC
dapdap	d AC a AK p AG d AC a AK p AG
datapwa	d AC a AK t AC a AK p AG w AI a AK ʔ AJ
dati	d AC a AK t AC i AK
dating	d AC ɐ AM t AC i AK ŋ AF
datinguinoo	d AC a AK t AC i AK ŋ AF i AK n AF o AM o AM
davao	d AC a AK b AG a AK u AM
daw	ɾ BD a AK u AM
daya	d AC a AK j AB a AK ʔ AJ
dayag	d AC a AK j AB a AK ɡ AC
dayami	d AC a AK j AB a AK m AE i AK
dayang	d AC a AK j AB a AK ŋ AF
dayanghirang	d AC a AK j AB a AK ŋ AF h AA i AK ɾ BD a AK ŋ AF
dayrit	d AC a AK i AK ɾ BD i AK t AC
dazo	d AC a AK s AH o AM
deang	d AC j AB a AK ŋ AF
deboto	d AC ɛ AK b AG o AM t AC o AM
decena	d AC ɛ AK s AH ɛ AK n AF a AK
dee	d AC i AK
dehado	d AC ɛ AK h AA a AK d AC o AM
dekada	d AC ɛ AK k AC a AK d AC a AK
dekorasyon	d AC ɛ AK k AC o AM ɾ BD a AK s AH j AB o AM n AF
dekreto	d AC ɛ AK k AC ɾ BD ɛ AK t AC o AM
delegasyon	d AC ɛ AK l AD ɛ AK ɡ AC a AK s AH j AB o AM n AF
demonyo	d AC ɛ AK m AE o AM n AF j AB o AM
dentista	d AC ɛ AK n AF t AC i AK s AH t AC a AK
depensahan	d AC ɛ AK p AG ɛ AK n AF s AH a AK h AA a AK n AF
desisyon	d AC ɛ AK s AH i AK s AH j AB o AM n AF
destino	d AC ɛ AK s AH t AC i AK n AF o AM
di	d AC ɛ AK
diamante	d AC i AK a AK m AE a AK n AF t AC ɛ AK
diigkasin	d AC i AK ʔ AJ i AK ɡ AC k AC a AK s AH i AK n AF
diin	d AC i AK ʔ AJ i AK n AF
dijamco	d AC i AK d AC ʒ AH a AK m AE k AC o AM
diklap	d AC i AK k AC l AD a AK p AG
dila	d AC i AK l AD a AK ʔ AJ
dilaan	d AC i AK l AD a AK a AK n AF
dilaw	d AC i AK l AD a AK u AM
dilikas	d AC i AK l AD i AK k AC a AK s AH
dilim	d AC i AK l AD i AK m AE
dimaala	d AC i AK m AE a AK a AK l AD a AK
dimaandal	d AC i AK m AE a AK a AK n AF d AC a AK l AD
dimaapi	d AC i AK m AE a AK a AK p AG i AK
dimacali	d AC i AK m AE a AK k AC a AK l AD i AK
dimagiba	d AC i AK m AE a AK ɡ AC i AK b AG a AK
dimailig	d AC i AK m AE a AK i AK l AD i AK ɡ AC
dimalaluan	d AC i AK m AE a AK l AD a AK l AD u AM a AK n AF
dimalanta	d AC i AK m AE a AK l AD a AK n AF t AC a AK
dimapilis	d AC i AK m AE a AK p AG i AK l AD i AK s AH
dimaranan	d AC i AK m AE a AK ɾ BD a AK n AF a AK n AF
dimatatac	d AC i AK m AE a AK t AC a AK t AC a AK k AC
din	d AC i AK n AF
dinagipik	d AC i AK n AF a AK ɡ AC i AK p AG i AK k AC
dinamita	d AC i AK n AF a AK m AE i AK t AC a AK
dinding	d AC i AK n AF d AC i AK ŋ AF
dine	d AC i AK n AF ɛ AK
dingding	d AC i AK n AF d AC i AK ŋ AF
diokno	d AC i AK o AM k AC n AF o AM
dipasupil	d AC i AK p AG a AK s AH u AM p AG i AK l AD
diplomasya	d AC i AK p AG l AD o AM m AE a AK s AH j AB a AK
disisais	d AC i AK s AH i AK s AH a AK ʔ AJ i AK s AH
diskumpiyado	d AC i AK s AH k AC u AM m AE p AG i AK a AK d AC o AM
dismayado	d AC i AK s AH m AE a AK j AB a AK d AC o AM
dito	d AC i AK t AC o AM
diyablo	d AC i AK a AK b AG l AD o AM
diyamante	d AC i AK a AK m AE a AK n AF t AC ɛ AK
diño	d AC i AK ɲ AF o AM
doctolero	d AC o AM k AC t AC o AM l AD ɛ AK ɾ BD o AM
dolores	d AC o AM l AD o AM ɾ BD ɛ AK s AH
domantay	d AC o AM m AE a AK n AF t AC a AK i AK
domingo	d AC o AM m AE i AK n AF ɡ AC o AM
doon	d AC o AM ʔ AJ o AM n AF
dos	d AC o AM s AH
dueñas	d AC u AM ɛ AK ɲ AF a AK s AH
duhansipat	d AC u AM h AA a AK n AF s AH i AK p AG a AK t AC
duhat	d AC u AM h AA a AK t AC
dukot	d AC u AM k AC o AM t AC
dukwang	d AC u AM k AC w AI a AK ŋ AF
dulay	d AC u AM l AD a AK i AK
duldol	d AC u AM l AD d AC o AM l AD
dulos	d AC u AM l AD o AM s AH
dumaan	d AC u AM m AE a AK a AK n AF
dumaguing	d AC u AM m AE a AK ɡ AC i AK ŋ AF
dumapa	d AC u AM m AE a AK p AG a AK
dumating	d AC u AM m AE a AK t AC i AK ŋ AF
dumi	d AC u AM m AE ɪː AL
dumighay	d AC u AM m AE i AK ɡ AC h AA a AK y AM
dumilim	d AC u AM m AE i AK l AD i AK m AE
dumlao	d AC u AM m AE l AD a AK o AM
dumpit	d AC u AM m AE p AG i AK t AC
dumulas	d AC u AM m AE u AM l AD a AK s AH
dumungaw	d AC u AM m AE u AM ŋ AF a AK u AM
dumura	d AC u AM m AE u AM ɾ BD a AK ʔ AJ
dungaw	d AC u AM ŋ AF a AK u AM
dunggot	d AC u AM ŋ AF ɡ AC o AM t AC
dupil	d AC u AM p AG i AK l AD
dura	d AC u AM ɾ BD a AK ʔ AJ
durante	d AC u AM ɾ BD a AK n AF t AC ɛ AK
durungawan	d AC u AM ɾ BD u AM ŋ AF a AK w AI a AK n AF
dutaan	d AC u AM t AC a AK ʔ AJ a AK n AF
duwag	d AC u AM a AK ɡ AC
duyan	d AC u AM j AB a AK n AF
dy	d AC iː AL
dyahe	d AC ʒ AH a AK h AA ɛ AK
dyaket	d AC ʒ AH a AK k AC ɛ AK t AC
dyanitor	d AC j AB a AK n AF i AK t AC o AM ɾ BD
dyaryo	ɟ AC ʝ AH ɑ AK rʲ BA ɔ AM
echano	ʔ AJ ɛ AK t AC ʃ AH a AK n AF o AM
echevarria	ʔ AJ ɛ AK t AC ʃ AH ɛ AK b AG a AK ɾ BD j AB a AK
edad	ɛ AK d AC a AK d AC
edisyon	ʔ AJ ɛ AK d AC i AK s AH j AB o AM n AF
ekis	ʔ AJ ɛ AK k AC i AK s AH
ekisan	ʔ AJ ɛ AK k AC i AK s AH a AK n AF
ekonomiya	ʔ AJ ɛ AK k AC o AM n AF o AM m AE i AK a AK
elamparo	ʔ AJ ɛ AK l AD a AK m AE p AG a AK ɾ BD o AM
elegansya	ɛ AK l AD ɛ AK ɡ AC a AK n AF ʃ AH a AK
elizaga	ʔ AJ ɛ AK t AC ʃ AH ɛ AK b AG a AK ɾ BD j AB a AK
encarnado	ʔ AJ ɛ AK n AF k AC a AK ɾ BD n AF a AK d AC o AM
encinas	ʔ AJ ɛ AK n AF s AH i AK n AF a AK s AH
endaya	ʔ AJ ɛ AK n AF d AC a AK j AB a AK
endozo	ʔ AJ ɛ AK n AF d AC o AM s AH o AM
enero	ɛ AK n AF ɛ AK ɾ BD o AM
engkanto	ʔ AJ ɛ AK ŋ AF k AC a AK n AF t AC o AM
entusyasmo	ɛ AK n AF t AC u AM s AH j AB a AK s AH m AE o AM
epal	ɛ AK p AG a AK l AD
epekto	ʔ AJ ɛ AK p AG ɛ AK k AC t AC o AM
epidemya	ʔ AJ ɛ AK p AG i AK d AC ɛ AK m AE j AB a AK
episyente	ɛ AK p AG i AK ʃ AH ɛ AK n AF t AC ɛ AK
erehe	ʔ AJ ɛ AK ɾ BD ɛ AK h AA ɛ AK
ermitanyo	ʔ AJ ɛ AK ɾ BD m AE i AK t AC a AK n AF j AB o AM
escalona	ʔ AJ ɛ AK s AH k AC a AK l AD o AM n AF a AK
escaño	ʔ AJ ɛ AK s AH k AC a AK ɲ AF o AM
esguerra	ʔ AJ ɛ AK s AH ɡ AC ɛ AK ɾ BD ɾ BD a AK
eskaparate	ʔ AJ ɛ AK s AH k AC a AK p AG a AK ɾ BD a AK t AC ɛ AK
espadahan	ʔ AJ ɛ AK s AH p AG a AK d AC a AK h AA a AK n AF
espasyo	ʔ AJ ɛ AK s AH p AG a AK s AH j AB o AM
espinoza	ʔ AJ ɛ AK s AH p AG i AK n AF o AM s AH a AK
esquivel	ʔ AJ ɛ AK s AH k AC i AK b AG ɛ AK l AD
estabillo	ʔ AJ ɛ AK s AH t AC a AK b AG i AK l AD l AD o AM
estrella	ʔ AJ ɛ AK s AH t AC ɾ BD ɛ AK l AD l AD a AK
eugenio	j AB u AM h AA ɛ AK n AF j AB o AM
exconde	ʔ AJ ɛ AK k AC s AH k AC o AM n AF d AC ɛ AK
fabregas	p AG a AK b AG ɾ BD ɛ AK ɡ AC a AK s AH
fabros	p AG a AK b AG ɾ BD o AM s AH
fajardo	p AG a AK d AC ʒ AH a AK ɾ BD d AC o AM
falcon	p AG a AK l AD k AC o AM n AF
faltado	p AG a AK l AD t AC a AK d AC o AM
fernandez	p AG ɛ AK ɾ BD n AF a AK n AF d AC ɛ AK s AH
ferriols	p AG ɛ AK ɾ BD ɾ BD i AK o AM l AD s AH
festejo	p AG ɛ AK s AH t AC ɛ AK d AC ʒ AH o AM
figueras	p AG i AK ɡ AC ɛ AK ɾ BD a AK s AH
figueroa	p AG i AK ɡ AC ɛ AK ɾ BD o AM a AK
filipino	p AG i AK l AD i AK p AG i AK n AF o AM
flojo	p AG l AD o AM d AC ʒ AH o AM
fojas	p AG o AM d AC ʒ AH a AK s AH
fonacier	p AG o AM n AF a AK s AH i AK ɛ AK ɾ BD
fontelera	p AG o AM n AF t AC ɛ AK l AD ɛ AK ɾ BD a AK
fontillas	p AG o AM n AF t AC i AK l AD l AD a AK s AH
forteza	p AG o AM ɾ BD t AC ɛ AK s AH a AK
fortich	p AG o AM ɾ BD t AC i AK t AC ʃ AH
frias	p AG ɾ BD i AK a AK s AH
fronda	p AG ɾ BD o AM n AF d AC a AK
fuentebella	p AG u AM ɛ AK n AF t AC ɛ AK b AG ɛ AK l AD l AD a AK
fung	p AG u AM ŋ AF
furagganan	p AG u AM ɾ BD a AK ɡ AC ɡ AC a AK n AF a AK n AF
gabi	ɡ AC a AK b AG i AK
gabiana	ɡ AC a AK b AG i AK a AK n AF a AK
gacula	ɡ AC a AK k AC u AM l AD a AK
gacusan	ɡ AC a AK k AC u AM s AH a AK n AF
gacutan	ɡ AC a AK k AC u AM t AC a AK n AF
gadgad	ɡ AC a AK d AC ɡ AC a AK d AC
galamay	ɡ AC a AK l AD a AK m AE a AK i AK
galapong	ɡ AC a AK l AD a AK p AG o AM ŋ AF
galauran	ɡ AC a AK l AD a AK ʔ AJ u AM ɾ BD a AK n AF
galawan	ɡ AC a AK l AD a AK w AI a AK n AF
galing	ɡ AC a AK l AD i AK ŋ AF
galis	ɡ AC a AK l AD i AK s AH
galit	ɡ AC a AK l AD i AK t AC
gallo	ɡ AC a AK l AD l AD o AM
galos	ɡ AC a AK l AD o AM s AH
gan	ɡ AC a AK n AF
ganap	ɡ AC a AK n AF a AK p AG
gancayco	ɡ AC a AK n AF k AC a AK i AK k AC o AM
ganda	ɡ AC a AK n AF d AC a AK
gangsal	ɡ AC a AK ŋ AF s AH a AK l AD
ganid	ɡ AC a AK n AF i AK d AC
gansa	ɡ AC a AK n AF s AH a AK
gansal	ɡ AC a AK n AF s AH a AK l AD
ganti	ɡ AC a AK n AF t AC i AK
ganzon	ɡ AC a AK n AF s AH o AM n AF
gao	ɡ AC a AK w AI
garalde	ɡ AC a AK ɾ BD a AK l AD d AC ɛ AK
garapata	ɡ AC a AK ɾ BD a AK p AG a AK t AC a AK
garay	ɡ AC a AK ɾ BD a AK i AK
garces	ɡ AC a AK ɾ BD s AH ɛ AK s AH
garchitorena	ɡ AC a AK ɾ BD t AC ʃ AH i AK t AC o AM ɾ BD ɛ AK n AF a AK
garciano	ɡ AC a AK ɾ BD s AH i AK a AK n AF o AM
gargaran	ɡ AC a AK ɾ BD ɡ AC a AK ɾ BD a AK n AF
gascon	ɡ AC a AK s AH k AC o AM n AF
gaslaw	ɡ AC a AK s AH l AD a AK u AM
gasolinahan	ɡ AC a AK s AH o AM l AD i AK n AF a AK h AA a AK n AF
gaspang	ɡ AC a AK s AH p AG a AK ŋ AF
gaston	ɡ AC a AK s AH t AC o AM n AF
gatbonton	ɡ AC a AK t AC b AG o AM n AF t AC o AM n AF
gatchalian	ɡ AC a AK t AC t AC ʃ AH a AK l AD j AB a AK n AF
gatong	ɡ AC aː AL t AC ɔ AM ŋ AF
gavilan	ɡ AC a AK b AG i AK l AD a AK n AF
gaviola	ɡ AC a AK b AG j AB o AM l AD a AK
gayuma	ɡ AC a AK j AB u AM m AE a AK
gerilya	ɡ AC ɛ AK ɾ BD i AK l AD j AB a AK
gerodias	d AC ʒ AH ɛ AK ɾ BD o AM d AC j AB a AK s AH
geron	ɡ AC ɛ AK ɾ BD o AM n AF
geronimo	h AA ɛ AK ɾ BD o AM n AF i AK m AE o AM
gigil	ɡ AC i AK ɡ AC i AK l AD
gilagid	ɡ AC i AK l AD a AK ɡ AC i AK d AC
ginhawa	ɡ AC i AK n AF h AA a AK w AI a AK
ginto	ɡ AC i AK n AF t AC o AM ʔ AJ
gipalpal	ɡ AC i AK p AG a AK l AD p AG a AK l AD
giron	h AA i AK ɾ BD o AM n AF
gisa	ɡ AC i AK s AH a AK
gising	ɡ AC i AK s AH i AK ŋ AF
gitara	ɡ AC i AK t AC a AK ɾ BD a AK
gitlawas	ɡ AC i AK t AC l AD a AK w AI a AK s AH
gitna	ɡ AC i AK t AC n AF a AK ʔ AJ
giwa	ɡ AC i AK w AI a AK ʔ AJ
go	ɡ AC ɔ AM
godoy	ɡ AC o AM d AC o AM i AK
goh	ɡ AC o AM
grabe	ɡ AC ɾ BD a AK b AG ɛ AK
gradweyt	ɡ AC ɾ BD a AK d AC w AI ɛ AK i AK t AC
grasa	ɡ AC ɾ BD a AK s AH a AK
grasya	ɡ AC ɾ BD a AK s AH j AB a AK
grumadweyt	ɡ AC ɾ BD u AM m AE a AK d AC w AI ɛ AK i AK t AC
guanzon	ɡ AC u AM a AK n AF s AH o AM n AF
gubat	ɡ AC u AM b AG a AK t AC
guerra	ɡ AC ɛ AK ɾ BD a AK
guinto	ɡ AC i AK n AF t AC o AM
gulang	ɡ AC u AM l AD a AK ŋ AF
gulay	ɡ AC u AM l AD a AK j AB
gulpi	ɡ AC u AM l AD p AG i AK
gumagad	ɡ AC u AM m AE a AK ɡ AC a AK d AC
gumala	ɡ AC u AM m AE a AK l AD a AK ʔ AJ
gumaling	ɡ AC u AM m AE a AK l AD i AK ŋ AF
gumapac	ɡ AC u AM m AE a AK p AG a AK k AC
gumawa	ɡ AC u AM m AE a AK w AI a AK ʔ AJ
gumilid	ɡ AC u AM m AE i AK l AD i AK d AC
gumiran	ɡ AC u AM m AE i AK ɾ BD a AK n AF
gumising	ɡ AC u AM m AE i AK s AH i AK ŋ AF
gumuho	ɡ AC u AM m AE u AM h AA ɔ AM ʔ AJ
gumulong	ɡ AC u AM m AE u AM l AD ɔ AM ŋ AF
guwantes	ɡ AC u AM a AK n AF t AC ɛ AK s AH
guwardiya	ɡ AC u AM a AK ɾ BD d AC j AB a AK
habagat	h AA a AK b AG a AK ɡ AC a AK t AC
hagikgik	h AA a AK ɡ AC ɪ AK k AC ɡ AC ɪ AK k AC
hagod	h AA a AK ɡ AC o AM d AC
hagok	h AA a AK ɡ AC o AM k AC
hagulgol	h AA a AK ɡ AC u AM l AD ɡ AC o AM l AD
hagulhol	h AA a AK ɡ AC u AM l AD h AA o AM l AD
hagupit	h AA a AK ɡ AC u AM p AG i AK t AC
halabos	h AA a AK l AD a AK b AG o AM s AH
halaga	h AA a AK l AD a AK ɡ AC a AK
halalan	h AA a AK l AD a AK l AD a AK n AF
halari	h AA a AK l AD a AK ɾ BD i AK ʔ AJ
halasan	h AA a AK l AD a AK s AH a AK n AF
haligi	h AA a AK l AD i AK ɡ AC i AK
halik	h AA a AK l AD i AK k AC
halimaw	h AA a AK l AD i AK m AE a AK u AM
hambalang	h AA a AK m AE b AG a AK l AD a AK ŋ AF
hamog	h AA a AK m AE o AM ɡ AC
hamon	h AA a AK m AE o AM n AF
hangal	h AA a AK ŋ AF a AK l AD
hangin	h AA a AK ŋ AF i AK n AF
hanginsigan	h AA a AK ŋ AF i AK n AF s AH i AK ɡ AC a AK n AF
hangintigilan	h AA a AK ŋ AF i AK n AF t AC i AK ɡ AC i AK l AD a AK n AF
hapdi	h AA a AK p AG d AC i AK ʔ AJ
hapit	h AA a AK p AG i AK t AC
hapo	h AA a AK p AG o AM ʔ AJ
hapones	h AA a AK p AG o AM n AF ɛ AK s AH
hapunan	h AA a AK p AG u AM n AF a AK n AF
harana	h AA a AK ɾ BD a AK n AF a AK
harang	h AA a AK ɾ BD a AK ŋ AF
harap	h AA a AK ɾ BD a AK p AG
hardin	h AA ɐ AM r BA d AC i AK n AF
hardinera	h AA ɐ AM r BA d AC ɪ AK n AF e AK r BA a AK
hardinero	h AA ɐ AM r BA d AC ɪ AK n AF e AK r BA o AM
hasik	h AA a AK s AH i AK k AC
hati	h AA a AK t AC i AK ʔ AJ
hatinig	h AA a AK t AC i AK n AF i AK ɡ AC
hatol	h AA a AK t AC o AM l AD
hau	h AA a AK w AI
haw	h AA a AK w AI
hawa	h AA a AK w AI a AK
hawak	h AA a AK w AI a AK k AC
hawakan	h AA a AK w AI a AK k AC a AK n AF
hawla	h AA a AK u AM l AD a AK
hayag	h AA a AK j AB a AK ɡ AC
haynayan	h AA a AK j AB n AF a AK j AB a AK n AF
hayop	h AA a AK j AB o AM p AG
hene	h AA e AK n AF e AK
