अ	ə AG
कंगन	k AB ə AG ŋ AB ɡ AB ə AG n AB
कंगारू	k AB ə AG ŋ AB ɡ AB ɑː AG ɾ AJ uː AH
कंगाल	k AB ə AG ŋ AB ɡ AB ɑː AG l AD
कंजूस	k AB ə AG n AB d AB ʒ AB uː AH s AB
कंठ	k AB ə AG ɳ AB ʈʰ AC
कंठमाला	k AB ə AG ɳ AB ʈʰ AC m AE ɑː AG l AD ɑː AG
कंठ्य	k AB ə AG ɳ AB ʈʰ AC j AA ə AG
कंडकटर	k AB ə AG ɳ AB ɖ AB ə AG k AB ʈ AB ə AG ɾ AJ
कंडीशनर	k AB ə AG ɳ AB ɖ AB iː AG ʃ AB n AB ə AG ɾ AJ
कंद	k AB ə AG n AB d̪ AB
कंदरा	k AB ə AG n AB d̪ AB ə AG ɾ AJ ɑː AG
कंदुक	k AB ə AG n AB d̪ AB ʊ AH k AB
कंधा	k AB ə AG n AB d̪ʱ AC ɑː AG
कंप	k AB ə AG m AE p AE
कंपन	k AB ə AG m AE p AE ə AG n AB
कंपनी	k AB ə AG m AE p AE ə AG n AB iː AG
कंपित	k AB ə AG m AE p AE ɪ AG t̪ AB
कंपू	k AB ə AG m AE p AE uː AH
कंप्यूटर	k AB ə AG m AE p AE j AA uː AH ʈ AB ə AG ɾ AJ
कंप्यूटरीकरण	k AB ə AG m AE p AE j AA uː AH ʈ AB ɾ AJ iː AG k AB ə AG ɾ AJ ə AG ɳ AB
कंबल	k AB ə AG m AE b AE ə AG l AD
कंबोडिया	k AB ə AG m AE b AE oː AH ɖ AB ɪ AG j AA ɑː AG
कई	k AB ə AG iː AG
ककड़ी	k AB ə AG k AB ɽ AJ iː AG
कक्ष	k AB ə AG k AB ʂ AB
कक्षा	k AB ə AG k AB ʂ AB ɑː AG
कगार	k AB ə AG ɡ AB ɑː AG ɾ AJ
कचनार	k AB ə AG t AB ʃ AB n AB ɑː AG ɾ AJ
कचरा	k AB ə AG t AB ʃ AB ɾ AJ ɑː AG
कचहरी	k AB ə AG t AB ʃ AB ə AG ɦ AI ɾ AJ iː AG
कचालू	k AB ə AG t AB ʃ AB ɑː AG l AD uː AH
कच्चा	k AB ə AG t AB ʃ AB t AB ʃ AB ɑː AG
कच्छ	k AB ə AG t AB ʃ AB t AB ʃʰ AC
कच्छा	k AB ə AG t AB ʃ AB t AB ʃʰ AC ɑː AG
कछारी	k AB ə AG t AB ʃʰ AC ɑː AG ɾ AJ iː AG
कछुआ	k AB ə AG t AB ʃʰ AC ʊ AH ɑː AG
कजरारा	k AB ə AG d AB ʒ AB ɾ AJ ɑː AG ɾ AJ ɑː AG
कज़ाख़स्तान	k AB ə AG z AB ɑː AG x AB ə AG s AB t̪ AB ɑː AG n AB
कटना	k AB ə AG ʈ AB n AB ɑː AG
कटहल	k AB ə AG ʈʰ AC ə AG l AD
कटाई	k AB ə AG ʈ AB ɑː AG iː AG
कटाक्ष	k AB ə AG ʈ AB ɑː AG k AB ʂ AB
कटार	k AB ə AG ʈ AB ɑː AG ɾ AJ
कटि	k AB ə AG ʈ AB iː AG
कटोरा	k AB ə AG ʈ AB oː AH ɾ AJ ɑː AG
कटौती	k AB ə AG ʈ AB ɔː AH t̪ AB iː AG
कट्टर	k AB ə AG ʈ AB ʈ AB ə AG ɾ AJ
कट्ठा	k AB ə AG ʈ AB ʈʰ AC ɑː AG
कठघरा	k AB ə AG ʈʰ AC ɡʱ AC ə AG ɾ AJ ɑː AG
कठमुल्ला	k AB ə AG ʈʰ AC m AE ʊ AH l AD l AD ɑː AG
कठिन	k AB ə AG ʈʰ AC ɪ AG n AB
कठिनता	k AB ə AG ʈʰ AC ɪ AG n AB t̪ AB ɑː AG
कठिनाई	k AB ə AG ʈʰ AC ɪ AG n AB ɑː AG iː AG
कठुआ	k AB ə AG ʈʰ AC ʊ AH ɑː AG
कडपा	k AB ə AG ɖ AB p AE ɑː AG
कड़क	k AB ə AG ɽ AJ ə AG k AB
कड़कड़ाना	k AB ə AG ɽ AJ k AB ə AG ɽ AJ ɑː AG n AB ɑː AG
कड़छी	k AB ə AG ɽ AJ t AB ʃʰ AC iː AG
कड़वा	k AB ə AG ɽ AJ ʋ AK ɑː AG
कड़वापन	k AB ə AG ɽ AJ ʋ AK ɑː AG p AE ə AG n AB
कड़वाहट	k AB ə AG ɽ AJ ʋ AK ɑː AG ɦ AI ə AG ʈ AB
कड़ा	k AB ə AG ɽ AJ ɑː AG
कड़ी	k AB ə AG ɽ AJ iː AG
कढ़ाई	k AB ə AG ɽʱ AL ɑː AG iː AG
कढ़ी	k AB ə AG ɽʱ AL iː AG
कतराना	k AB ə AG t̪ AB ɾ AJ ɑː AG n AB ɑː AG
कतल	q AB ə AG t̪ AB ə AG l AD
कतार	q AB ə AG t̪ AB ɑː AG ɾ AJ
कति	k AB ə AG t̪ AB iː AG
कत्ल	q AB ə AG t̪ AB l AD
कथन	k AB ə AG t̪ʰ AC ə AG n AB
कथा	k AB ə AG t̪ʰ AC ɑː AG
कथित	k AB ə AG t̪ʰ AC ɪ AG t̪ AB
कदन	k AB ə AG d̪ AB ə AG n AB
कदाचित्	k AB ə AG d̪ AB ɑː AG t AB ʃ AB ɪ AG t̪ AB
कदापि	k AB ə AG d̪ AB ɑː AG p AE iː AG
कदू	k AB ə AG d̪ AB uː AH
कद्दू	k AB ə AG d̪ AB d̪ AB uː AH
कनटोप	k AB ə AG n AB ʈ AB oː AH p AE
कनपटी	k AB ə AG n AB p AE ə AG ʈ AB iː AG
कनपेड़	k AB ə AG n AB p AE eː AG ɽ AJ
कनाडा	k AB ə AG n AB ɑː AG ɖ AB ɑː AG
कनिया	k AB ə AG n AB ɪ AG j AA ɑː AG
कनिष्ठ	k AB ə AG n AB ɪ AG ʂ AB ʈʰ AC
कनिष्ठा	k AB ə AG n AB ɪ AG ʂ AB ʈʰ AC ɑː AG
कनीज़	k AB ə AG n AB iː AG z AB
कन्द	k AB ə AG n AB d̪ AB
कन्दरा	k AB ə AG n AB d̪ AB ə AG ɾ AJ ɑː AG
कन्दुक	k AB ə AG n AB d̪ AB ʊ AH k AB
कन्नड	k AB ə AG n AB n AB ə AG ɖ AB
कन्नड़	k AB ə AG n AB n AB ə AG ɽ AJ
कन्नौज	k AB ə AG n AB n AB ɔː AH d AB ʒ AB
कन्या	k AB ə AG n AB j AA ɑː AG
कपड़ा	k AB ə AG p AE ɽ AJ ɑː AG
कपाल	k AB ə AG p AE ɑː AG l AD
कपास	k AB ə AG p AE ɑː AG s AB
कपिलवस्तु	k AB ə AG p AE ɪ AG l AD ʋ AK ə AG s AB t̪ AB uː AH
कपीश	k AB ə AG p AE iː AG ʃ AB
कपूर	k AB ə AG p AE uː AH ɾ AJ
कपोत	k AB ə AG p AE oː AH t̪ AB
कप्तान	k AB ə AG p AE t̪ AB ɑː AG n AB
कफ़न	k AB ə AG pʰ AF ə AG n AB
कब	k AB ə AG b AE
कबड्डी	k AB ə AG b AE ə AG ɖ AB ɖ AB iː AG
कबाड़	k AB ə AG b AE ɑː AG ɽ AJ
कबाब	k AB ə AG b AE ɑː AG b AE
कबीर	k AB ə AG b AE iː AG ɾ AJ
कबूतर	k AB ə AG b AE uː AH t̪ AB ə AG ɾ AJ
कबूल	q AB ə AG b AE uː AH l AD
कभी	k AB ə AG bʱ AF iː AG
कम	k AB ə AG m AE
कमज़ोर	k AB ə AG m AE z AB oː AH ɾ AJ
कमबख़्त	k AB ə AG m AE b AE ə AG x AB t̪ AB
कमरबंद	k AB ə AG m AE ə AG ɾ AJ b AE ə AG n AB d̪ AB
कमरबन्द	k AB ə AG m AE ə AG ɾ AJ b AE ə AG n AB d̪ AB
कमरा	k AB ə AG m AE ɾ AJ ɑː AG
कमर्शियल	k AB ə AG m AE ə AG ɾ AJ ʃ AB ɪ AG j AA ə AG l AD
कमल	k AB ə AG m AE ə AG l AD
कमली	k AB ə AG m AE l AD iː AG
कमाई	k AB ə AG m AE ɑː AG iː AG
कमाऊ	k AB ə AG m AE ɑː AG uː AH
कमान	k AB ə AG m AE ɑː AG n AB
कमाल	k AB ə AG m AE ɑː AG l AD
कमिश्नर	k AB ə AG m AE ɪ AG ʃ AB n AB ə AG ɾ AJ
कमी	k AB ə AG m AE iː AG
कमीना	k AB ə AG m AE iː AG n AB ɑː AG
कमीनापन	k AB ə AG m AE iː AG n AB ɑː AG p AE ə AG n AB
कमीशन	k AB ə AG m AE iː AG ʃ AB ə AG n AB
कमेंट	k AB ə AG m AE eː AG ɳ AB ʈ AB
कमेटी	k AB ə AG m AE eː AG ʈ AB iː AG
कमेरा	k AB ə AG m AE eː AG ɾ AJ ɑː AG
कमोबेश	k AB ə AG m AE oː AH b AE eː AG ʃ AB
कम्प	k AB ə AG m AE p AE
कम्पन	k AB ə AG m AE p AE ə AG n AB
कम्पित	k AB ə AG m AE p AE ɪ AG t̪ AB
कम्बल	k AB ə AG m AE b AE ə AG l AD
कम्बोडिया	k AB ə AG m AE b AE oː AH ɖ AB ɪ AG j AA ɑː AG
कम्युनिजम	k AB ə AG m AE j AA ʊ AH n AB ɪ AG z AB ə AG m AE
कम्युनिज़म	k AB ə AG m AE j AA ʊ AH n AB ɪ AG z AB ə AG m AE
कयामत	q AB ə AG j AA ɑː AG m AE ə AG t̪ AB
कर	k AB ə AG ɾ AJ
करके	k AB ə AG ɾ AJ k AB eː AG
करघा	k AB ə AG ɾ AJ ɡʱ AC ɑː AG
करछी	k AB ə AG ɾ AJ t AB ʃʰ AC iː AG
करण	k AB ə AG ɾ AJ ə AG ɳ AB
करणी	k AB ə AG ɾ AJ ɳ AB iː AG
करतब	k AB ə AG ɾ AJ t̪ AB ə AG b AE
करता	k AB ə AG ɾ AJ t̪ AB ɑː AG
करती	k AB ə AG ɾ AJ t̪ AB iː AG
करते	k AB ə AG ɾ AJ t̪ AB eː AG
करना	k AB ə AG ɾ AJ n AB ɑː AG
करनाल	k AB ə AG ɾ AJ n AB ɑː AG l AD
करनी	k AB ə AG ɾ AJ n AB iː AG
करनेवाला	k AB ə AG ɾ AJ n AB eː AG ʋ AK ɑː AG l AD ɑː AG
कराची	k AB ə AG ɾ AJ ɑː AG t AB ʃ AB iː AG
करारा	k AB ə AG ɾ AJ ɑː AG ɾ AJ ɑː AG
करिश्मा	k AB ə AG ɾ AJ ɪ AG ʃ AB m AE ɑː AG
करी	k AB ə AG ɾ AJ iː AG
करीब	q AB ə AG ɾ AJ iː AG b AE
करूंगा	k AB ə AG ɾ AJ uː AH ŋ AB ɡ AB ɑː AG
करेला	k AB ə AG ɾ AJ eː AG l AD ɑː AG
करोड़	k AB ə AG ɾ AJ oː AH ɽ AJ
करोड़पति	k AB ə AG ɾ AJ oː AH ɽ AJ p AE ə AG t̪ AB iː AG
करौंदा	k AB ə AG ɾ AJ ɔː AH n AB d̪ AB ɑː AG
कर्ण	k AB ə AG ɾ AJ ɳ AB
कर्तव्यपथ	k AB ə AG ɾ AJ t̪ AB ə AG ʋ AK j AA ə AG p AE ə AG t̪ʰ AC
कर्ता	k AB ə AG ɾ AJ t̪ AB ɑː AG
कर्नाटक	k AB ə AG ɾ AJ n AB ɑː AG ʈ AB ə AG k AB
कर्म	k AB ə AG ɾ AJ m AE
कर्मचारी	k AB ə AG ɾ AJ m AE ə AG t AB ʃ AB ɑː AG ɾ AJ iː AG
कर्मभूमि	k AB ə AG ɾ AJ m AE bʱ AF uː AH m AE iː AG
कर्मशाला	k AB ə AG ɾ AJ m AE ə AG ʃ AB ɑː AG l AD ɑː AG
कर्मी	k AB ə AG ɾ AJ m AE iː AG
कल	k AB ə AG l AD
कलंक	k AB ə AG l AD ə AG ŋ AB k AB
कलकत्ता	k AB ə AG l AD k AB ə AG t̪ AB t̪ AB ɑː AG
कलक्टर	k AB ə AG l AD ə AG k AB ʈ AB ə AG ɾ AJ
कलन	k AB ə AG l AD ə AG n AB
कलम	k AB ə AG l AD ə AG m AE
कलमकारी	k AB ə AG l AD ə AG m AE k AB ɑː AG ɾ AJ iː AG
कलमा	k AB ə AG l AD m AE ɑː AG
कलसा	k AB ə AG l AD s AB ɑː AG
कलह	k AB ə AG l AD ə AG ɦ AI
कला	k AB ə AG l AD ɑː AG
कलाई	k AB ə AG l AD ɑː AG iː AG
कलाकार	k AB ə AG l AD ɑː AG k AB ɑː AG ɾ AJ
कलात्मक	k AB ə AG l AD ɑː AG t̪ AB m AE ə AG k AB
कलावंत	k AB ə AG l AD ɑː AG ʋ AK ə AG n AB t̪ AB
कली	k AB ə AG l AD iː AG
कलीसिया	k AB ə AG l AD iː AG s AB ɪ AG j AA ɑː AG
कलेजा	k AB ə AG l AD eː AG d AB ʒ AB ɑː AG
कलेवा	k AB ə AG l AD eː AG ʋ AK ɑː AG
कलोर	k AB ə AG l AD oː AH ɾ AJ
कल्टी	k AB ə AG l AD ʈ AB iː AG
कल्पना	k AB ə AG l AD p AE ə AG n AB ɑː AG
कल्पनादर्श	k AB ə AG l AD p AE ə AG n AB ɑː AG d̪ AB ə AG ɾ AJ ʃ AB
कल्पित	k AB ə AG l AD p AE ɪ AG t̪ AB
कवक	k AB ə AG ʋ AK ə AG k AB
कवच	k AB ə AG ʋ AK ə AG t AB ʃ AB
कवचित	k AB ə AG ʋ AK ə AG t AB ʃ AB ɪ AG t̪ AB
कवयित्री	k AB ə AG ʋ AK j AA ɪ AG t̪ AB ɾ AJ iː AG
कविता	k AB ə AG ʋ AK ɪ AG t̪ AB ɑː AG
कवित्त	k AB ə AG ʋ AK ɪ AG t̪ AB t̪ AB
कश	k AB ə AG ʃ AB
कशमकश	k AB ə AG ʃ AB ə AG m AE k AB ə AG ʃ AB
कश्ती	k AB ə AG ʃ AB t̪ AB iː AG
कश्मीर	k AB ə AG ʃ AB m AE iː AG ɾ AJ
कष्ट	k AB ə AG ʂ AB ʈ AB
कसके	k AB ə AG s AB k AB eː AG
कसम	q AB ə AG s AB ə AG m AE
कसर	k AB ə AG s AB ə AG ɾ AJ
कसरत	k AB ə AG s AB ɾ AJ ə AG t̪ AB
कसाई	q AB ə AG s AB ɑː AG iː AG
कसूर	q AB ə AG s AB uː AH ɾ AJ
कसेरा	k AB ə AG s AB eː AG ɾ AJ ɑː AG
कसौटी	k AB ə AG s AB ɔː AH ʈ AB iː AG
कहना	k AB ə AG ɦ AI n AB ɑː AG
कहनी	k AB ə AG ɦ AI n AB iː AG
कहर	q AB ə AG ɦ AI ə AG ɾ AJ
कहलाना	k AB ə AG ɦ AI l AD ɑː AG n AB ɑː AG
कहवा	q AB ə AG ɦ AI ʋ AK ɑː AG
कहा	k AB ə AG ɦ AI ɑː AG
कहाँ	k AB ə AG ɦ AI ɑ̃ː AG
कहानी	k AB ə AG ɦ AI ɑː AG n AB iː AG
कहानीकार	k AB ə AG ɦ AI ɑː AG n AB iː AG k AB ɑː AG ɾ AJ
कहावत	k AB ə AG ɦ AI ɑː AG ʋ AK ə AG t̪ AB
कहीं	k AB ə AG ɦ AI ĩː
क़	q AB ə AG
क़तई	q AB ə AG t̪ AB ə AG iː AG
क़तर	q AB ə AG t̪ AB ə AG ɾ AJ
क़तरा	q AB ə AG t̪ AB ɾ AJ ɑː AG
क़त्ल	q AB ə AG t̪ AB l AD
क़त्लेआम	q AB ə AG t̪ AB l AD eː AG ɑː AG m AE
क़द	q AB ə AG d̪ AB
क़दम	q AB ə AG d̪ AB ə AG m AE
क़दमताल	q AB ə AG d̪ AB ə AG m AE t̪ AB ɑː AG l AD
क़दीम	q AB ə AG d̪ AB iː AG m AE
क़द्दावर	q AB ə AG d̪ AB d̪ AB ɑː AG ʋ AK ə AG ɾ AJ
क़द्रदान	q AB ə AG d̪ AB ɾ AJ ə AG d̪ AB ɑː AG n AB
क़फ़स	q AB ə AG f AE ə AG s AB
क़बीला	q AB ə AG b AE iː AG l AD ɑː AG
क़बूल	q AB ə AG b AE uː AH l AD
क़ब्ज़	q AB ə AG b AE z AB
क़ब्ज़ा	q AB ə AG b AE z AB ɑː AG
क़ब्रिस्तान	q AB ə AG b AE ɾ AJ ɪ AG s AB t̪ AB ɑː AG n AB
क़मीज़	q AB ə AG m AE iː AG z AB
क़रार	q AB ə AG ɾ AJ ɑː AG ɾ AJ
क़रीब	q AB ə AG ɾ AJ iː AG b AE
क़रीबन	q AB ə AG ɾ AJ iː AG b AE ə AG n AB
क़र्ज़	q AB ə AG ɾ AJ z AB
क़लम	q AB ə AG l AD ə AG m AE
क़व्वाल	q AB ə AG ʋ AK ʋ AK ɑː AG l AD
क़व्वाली	q AB ə AG ʋ AK ʋ AK ɑː AG l AD iː AG
क़सम	q AB ə AG s AB ə AG m AE
क़साई	q AB ə AG s AB ɑː AG iː AG
क़सीदा	q AB ə AG s AB iː AG d̪ AB ɑː AG
क़सूर	q AB ə AG s AB uː AH ɾ AJ
क़स्बा	q AB ə AG s AB b AE ɑː AG
क़हर	q AB ə AG ɦ AI ə AG ɾ AJ
क़हवा	q AB ə AG ɦ AI ʋ AK ɑː AG
क़ाज़ी	q AB ɑː AG z AB iː AG
क़ातिल	q AB ɑː AG t̪ AB ɪ AG l AD
क़ातिलाना	q AB ɑː AG t̪ AB ɪ AG l AD ɑː AG n AB ɑː AG
क़ानून	q AB ɑː AG n AB uː AH n AB
क़ानूनगो	q AB ɑː AG n AB uː AH n AB ɡ AB oː AH
क़ाफ़िला	q AB ɑː AG f AE ɪ AG l AD ɑː AG
क़ाबिज़	q AB ɑː AG b AE ɪ AG z AB
क़ाबिल	q AB ɑː AG b AE ɪ AG l AD
क़ाबिलीयत	q AB ɑː AG b AE ɪ AG l AD iː AG j AA ə AG t̪ AB
क़ायदा	q AB ɑː AG j AA d̪ AB ɑː AG
क़ायम	q AB ɑː AG j AA ə AG m AE
क़ालीन	q AB ɑː AG l AD iː AG n AB
क़ासिद	q AB ɑː AG s AB ɪ AG d̪ AB
क़ाहिरा	q AB ɑː AG ɦ AI ɪ AG ɾ AJ ɑː AG
क़िरमिज़ी	q AB ɪ AG ɾ AJ m AE ɪ AG z AB iː AG
क़िला	q AB ɪ AG l AD ɑː AG
क़िल्लत	q AB ɪ AG l AD l AD ə AG t̪ AB
क़िस्त	q AB ɪ AG s AB t̪ AB
क़िस्म	q AB ɪ AG s AB m AE
क़िस्मत	q AB ɪ AG s AB m AE ə AG t̪ AB
क़िस्सा	q AB ɪ AG s AB s AB ɑː AG
क़ुरान	q AB ʊ AH ɾ AJ ɑː AG n AB
क़ुल्फ़ी	q AB ʊ AH l AD f AE iː AG
क़ुव्वत	q AB ʊ AH ʋ AK ʋ AK ə AG t̪ AB
क़ै	q AB ɛː AG
क़ैंची	q AB ɛː AG n AB t AB ʃ AB iː AG
क़ैदख़ाना	q AB ɛː AG d̪ AB x AB ɑː AG n AB ɑː AG
क़ैदी	q AB ɛː AG d̪ AB iː AG
क़ौम	q AB ɔː AH m AE
का	k AB ɑː AG
काँख	k AB ɑ̃ː AG kʰ AC
काँच	k AB ɑ̃ː AG t AB ʃ AB
काँटा	k AB ɑ̃ː AG ʈ AB ɑː AG
काँपना	k AB ɑ̃ː AG p AE n AB ɑː AG
काँव	k AB ɑ̃ː AG ʋ AK
काँस	k AB ɑ̃ː AG s AB
काँसा	k AB ɑ̃ː AG s AB ɑː AG
कांग्रेस	k AB ɑː AG ŋ AB ɡ AB ɾ AJ eː AG s AB
कांग्रेसी	k AB ɑː AG ŋ AB ɡ AB ɾ AJ eː AG s AB iː AG
कांटा	k AB ɑ̃ː AG ʈ AB ɑː AG
कांति	k AB ɑː AG n AB t̪ AB iː AG
कांदा	k AB ɑː AG n AB d̪ AB ɑː AG
कांसा	k AB ɑː AG n AB s AB ɑː AG
कांसी	k AB ɑː AG n AB s AB iː AG
काका	k AB ɑː AG k AB ɑː AG
काकी	k AB ɑː AG k AB iː AG
कागज	k AB ɑː AG ɣ AB ə AG z AB
कागज़	k AB ɑː AG ɣ AB ə AG z AB
कागद	k AB ɑː AG ɡ AB ə AG d̪ AB
काग़ज	k AB ɑː AG ɣ AB ə AG z AB
काग़ज़	k AB ɑː AG ɣ AB ə AG z AB
काग़ज़ात	k AB ɑː AG ɣ AB z AB ɑː AG t̪ AB
काज	k AB ɑː AG d AB ʒ AB
काजल	k AB ɑː AG d AB ʒ AB ə AG l AD
काजू	k AB ɑː AG d AB ʒ AB uː AH
काटना	k AB ɑː AG ʈ AB n AB ɑː AG
काठ	k AB ɑː AG ʈʰ AC
काठमांडू	k AB ɑː AG ʈʰ AC m AE ɑː AG ɳ AB ɖ AB uː AH
काढ़ना	k AB ɑː AG ɽʱ AL n AB ɑː AG
कान	k AB ɑː AG n AB
कानपुर	k AB ɑː AG n AB p AE ʊ AH ɾ AJ
काना	k AB ɑː AG n AB ɑː AG
कानून	q AB ɑː AG n AB uː AH n AB
कान्ति	k AB ɑː AG n AB t̪ AB iː AG
कान्हा	k AB ɑː AG n AB ɦ AI ɑː AG
कापी	k AB ɑː AG p AE iː AG
कापीराइट	k AB ɑː AG p AE iː AG ɾ AJ ɑː AG ɪ AG ʈ AB
काफल	k AB ɑː AG pʰ AF ə AG l AD
काफ़ी	k AB ɑː AG pʰ AF iː AG
काफी	k AB ɑː AG pʰ AF iː AG
काबीना	k AB ɑː AG b AE iː AG n AB ɑː AG
काबुकी	k AB ɑː AG b AE ʊ AH k AB iː AG
काबुल	k AB ɑː AG b AE ʊ AH l AD
काम	k AB ɑː AG m AE
कामकाज	k AB ɑː AG m AE k AB ɑː AG d AB ʒ AB
कामक्रिया	k AB ɑː AG m AE ə AG k AB ɾ AJ ɪ AG j AA ɑː AG
कामगार	k AB ɑː AG m AE ɡ AB ɑː AG ɾ AJ
कामचोर	k AB ɑː AG m AE t AB ʃ AB oː AH ɾ AJ
कामना	k AB ɑː AG m AE n AB ɑː AG
कामयाब	k AB ɑː AG m AE j AA ɑː AG b AE
कामवाली	k AB ɑː AG m AE ʋ AK ɑː AG l AD iː AG
कामिल	k AB ɑː AG m AE ɪ AG l AD
कामी	k AB ɑː AG m AE iː AG
कामुक	k AB ɑː AG m AE ʊ AH k AB
कामुकता	k AB ɑː AG m AE ʊ AH k AB t̪ AB ɑː AG
कामोन्माद	k AB ɑː AG m AE oː AH n AB m AE ɑː AG d̪ AB
कायको	k AB ɑː AG j AA k AB oː AH
कायनात	k AB ɑː AG j AA n AB ɑː AG t̪ AB
कायर	k AB ɑː AG j AA ə AG ɾ AJ
कायांतरण	k AB ɑː AG j AA ɑː AG n AB t̪ AB ə AG ɾ AJ ə AG ɳ AB
कायान्तरण	k AB ɑː AG j AA ɑː AG n AB t̪ AB ə AG ɾ AJ ə AG ɳ AB
कायोत्सर्ग	k AB ɑː AG j AA oː AH t̪ AB s AB ə AG ɾ AJ ɡ AB
कार	k AB ɑː AG ɾ AJ
कारक	k AB ɑː AG ɾ AJ ə AG k AB
कारख़ाना	k AB ɑː AG ɾ AJ x AB ɑː AG n AB ɑː AG
कारखाना	k AB ɑː AG ɾ AJ x AB ɑː AG n AB ɑː AG
कारगर	k AB ɑː AG ɾ AJ ɡ AB ə AG ɾ AJ
कारण	k AB ɑː AG ɾ AJ ə AG ɳ AB
कारतूस	k AB ɑː AG ɾ AJ t̪ AB uː AH s AB
कारनामा	k AB ɑː AG ɾ AJ n AB ɑː AG m AE ɑː AG
कारबार	k AB ɑː AG ɾ AJ b AE ɑː AG ɾ AJ
कारवाँ	k AB ɑː AG ɾ AJ ʋ AK ɑ̃ː AG
कारा	k AB ɑː AG ɾ AJ ɑː AG
कारावास	k AB ɑː AG ɾ AJ ɑː AG ʋ AK ɑː AG s AB
कारोबारी	k AB ɑː AG ɾ AJ oː AH b AE ɑː AG ɾ AJ iː AG
कार्गो	k AB ɑː AG ɾ AJ ɡ AB oː AH
कार्टून	k AB ɑː AG ɾ AJ ʈ AB uː AH n AB
कार्ड	k AB ɑː AG ɾ AJ ɖ AB
कार्डिफ़	k AB ɑː AG ɾ AJ ɖ AB ɪ AG pʰ AF
कार्तिक	k AB ɑː AG ɾ AJ t̪ AB ɪ AG k AB
कार्त्तिक	k AB ɑː AG ɾ AJ t̪ AB ɪ AG k AB
कार्थेज	k AB ɑː AG ɾ AJ t̪ʰ AC eː AG d AB ʒ AB
कार्यकर्ता	k AB ɑː AG ɾ AJ j AA ə AG k AB ə AG ɾ AJ t̪ AB ɑː AG
कार्यकाल	k AB ɑː AG ɾ AJ j AA ə AG k AB ɑː AG l AD
कार्यकुशल	k AB ɑː AG ɾ AJ j AA ə AG k AB ʊ AH ʃ AB ə AG l AD
कार्यक्रम	k AB ɑː AG ɾ AJ j AA ə AG k AB ɾ AJ ə AG m AE
कार्यभार	k AB ɑː AG ɾ AJ j AA ə AG bʱ AF ɑː AG ɾ AJ
कार्यशाला	k AB ɑː AG ɾ AJ j AA ə AG ʃ AB ɑː AG l AD ɑː AG
कार्यसमिति	k AB ɑː AG ɾ AJ j AA ə AG s AB ə AG m AE ɪ AG t̪ AB iː AG
कार्यसूची	k AB ɑː AG ɾ AJ j AA ə AG s AB uː AH t AB ʃ AB iː AG
कार्यान्वित	k AB ɑː AG ɾ AJ j AA ɑː AG n AB ʋ AK ɪ AG t̪ AB
कार्यालय	k AB ɑː AG ɾ AJ j AA ɑː AG l AD ə AG j AA
कार्रवाई	k AB ɑː AG ɾ AJ ɾ AJ ə AG ʋ AK ɑː AG iː AG
काल	k AB ɑː AG l AD
कालक्रम	k AB ɑː AG l AD k AB ɾ AJ ə AG m AE
कालजयी	k AB ɑː AG l AD d AB ʒ AB ə AG j AA iː AG
कालद्वीप	k AB ɑː AG l AD ə AG d̪ AB ʋ AK iː AG p AE
काला	k AB ɑː AG l AD ɑː AG
कालाधन	k AB ɑː AG l AD ɑː AG d̪ʱ AC ə AG n AB
कालापन	k AB ɑː AG l AD ɑː AG p AE ə AG n AB
कालिज	k AB ɑː AG l AD ɪ AG d AB ʒ AB
काली	k AB ɑː AG l AD iː AG
कालीन	k AB ɑː AG l AD iː AG n AB
कालू	k AB ɑː AG l AD uː AH
कालेज	k AB ɑː AG l AD eː AG d AB ʒ AB
काल्पनिक	k AB ɑː AG l AD p AE ə AG n AB ɪ AG k AB
काष्ठशर्करा	k AB ɑː AG ʂ AB ʈʰ AC ʃ AB ə AG ɾ AJ k AB ə AG ɾ AJ ɑː AG
कासा	k AB ɑː AG s AB ɑː AG
कि	k AB iː AG
किंतु	k AB ɪ AG n AB t̪ AB uː AH
किंवदंती	k AB ɪ AG m AE ʋ AK d̪ AB ə AG n AB t̪ AB iː AG
किए	k AB ɪ AG eː AG
किचन	k AB ɪ AG t AB ʃ AB ə AG n AB
कितक	k AB ɪ AG t̪ AB ə AG k AB
कितना	k AB ɪ AG t̪ AB n AB ɑː AG
कितने	k AB ɪ AG t̪ AB n AB eː AG
किताब	k AB ɪ AG t̪ AB ɑː AG b AE
किन	k AB ɪ AG n AB
किनारा	k AB ɪ AG n AB ɑː AG ɾ AJ ɑː AG
किन्नर	k AB ɪ AG n AB n AB ə AG ɾ AJ
किफ़ायत	k AB ɪ AG pʰ AF ɑː AG j AA ə AG t̪ AB
किफ़ायती	k AB ɪ AG pʰ AF ɑː AG j AA ə AG t̪ AB iː AG
किमी	k AB ɪ AG m AE iː AG
किया	k AB ɪ AG j AA ɑː AG
किरकिला	k AB ɪ AG ɾ AJ k AB ɪ AG l AD ɑː AG
किरगिज़	k AB ɪ AG ɾ AJ ɡ AB ɪ AG z AB
किरण	k AB ɪ AG ɾ AJ ə AG ɳ AB
किरणपुंज	k AB ɪ AG ɾ AJ ə AG ɳ AB p AE ʊ AH n AB d AB ʒ AB
किरदार	k AB ɪ AG ɾ AJ d̪ AB ɑː AG ɾ AJ
किराँची	k AB ɪ AG ɾ AJ ɑ̃ː AG t AB ʃ AB iː AG
