अ	ə AF
इंकार	ɪ AF ŋ k ɑː AB ɾ
इंगन	ɪ AF ŋ ɡ ə AF n
इंगनी	ɪ AF ŋ ɡ n iː AB
इंगलिस्तान	ɪ AF ŋ ɡ l ɪ AF s t̪ ɑː AB n
इंग्लिश	ɪ AF ŋ ɡ l ɪ AF ʃ
इंग्लैंड	ɪ AF ŋ ɡ l ɛː AB ɳ ɖ
इंच	ɪ AF n t ʃ
इंचियोन	ɪ AF n t ʃ ɪ AF j AA oː AC n
इंजन	ɪ AF n d ʒ ə AF n
इंजीनियर	ɪ AF n d ʒ iː AB n ɪ AF j AA ə AF ɾ
इंजीनियरी	ɪ AF n d ʒ iː AB n ɪ AF j AA ə AF ɾ iː AB
इंजील	ɪ AF n d ʒ iː AB l
इंटरनेट	ɪ AF ɳ ʈ ə AF ɾ n eː AB ʈ
इंटरफ़ेस	ɪ AF ɳ ʈ ə AF ɾ pʰ eː AB s
इंटरव्यू	ɪ AF ɳ ʈ ə AF ɾ ʋ AI j AA uː AC
इंटेल	ɪ AF ɳ ʈ eː AB l
इंट्यूबेशन	ɪ AF ɳ ʈ j AA uː AC b eː AB ʃ ə AF n
इंडस्ट्री	ɪ AF ɳ ɖ ə AF s ʈ ɾ iː AB
इंडिया	ɪ AF ɳ ɖ ɪ AF j AA ɑː AB
इंडोनेशियन	ɪ AF ɳ ɖ oː AC n eː AB ʃ ɪ AF j AA ə AF n
इंडोनेशिया	ɪ AF ɳ ɖ oː AC n eː AB ʃ ɪ AF j AA ɑː AB
इंतक़ाम	ɪ AF n t̪ ə AF q ɑː AB m
इंतक़ाल	ɪ AF n t̪ ə AF q ɑː AB l
इंतकाल	ɪ AF n t̪ ə AF q ɑː AB l
इंतख़ाब	ɪ AF n t̪ ə AF x ɑː AB b
इंतज़ाम	ɪ AF n t̪ ə AF z ɑː AB m
इंतज़ार	ɪ AF n t̪ ə AF z ɑː AB ɾ
इंतहा	ɪ AF n t̪ ə AF ɦ AE ɑː AB
इंतिफ़ादा	ɪ AF n t̪ ɪ AF pʰ ɑː AB d̪ ɑː AB
इंतिहा	ɪ AF n t̪ ɪ AF ɦ AE ɑː AB
इंदु	ɪ AF n d̪ uː AC
इंदुर	ɪ AF n d̪ ʊ AD ɾ
इंदौर	ɪ AF n d̪ ɔː AC ɾ
इंद्रनाथ	ɪ AF n d̪ ɾ ə AF n ɑː AB t̪ʰ
इंद्रिय	ɪ AF n d̪ ɾ ɪ AF j AA
इंफाल	ɪ AF m pʰ ɑː AB l
इंसानी	ɪ AF n s ɑː AB n iː AB
इंस्पेक्टर	ɪ AF n s p eː AB k ʈ ə AF ɾ
इक	ɪ AF k
इकट्ठा	ɪ AF k ə AF ʈ ʈʰ ɑː AB
इकतारा	ɪ AF k t̪ ɑː AB ɾ ɑː AB
इकतालीस	ɪ AF k t̪ ɑː AB l iː AB s
इकतीस	ɪ AF k t̪ iː AB s
इकत्तीस	ɪ AF k ə AF t̪ t̪ iː AB s
इकनाली	ɪ AF k n ɑː AB l iː AB
इकपहिया	ɪ AF k ə AF pʰ ɪ AF j AA ɑː AB
इकबाल	ɪ AF q b ɑː AB l
इकरार	ɪ AF q ɾ ɑː AB ɾ
इकलौता	ɪ AF k l ɔː AC t̪ ɑː AB
इकसठ	ɪ AF k s ə AF ʈʰ
इकसिंगा	ɪ AF k s ɪ AF ŋ ɡ ɑː AB
इकहत्तर	ɪ AF k ɦ AE ə AF t̪ t̪ ə AF ɾ
इकाई	ɪ AF k ɑː AB iː AB
इकानवे	ɪ AF k ɑː AB n ʋ AI eː AB
इकावन	ɪ AF k ɑː AB ʋ AI ə AF n
इकासी	ɪ AF k ɑː AB s iː AB
इक्कीस	ɪ AF k k iː AB s
इक्यानवे	ɪ AF k j AA ɑː AB n ʋ AI eː AB
इक्यावन	ɪ AF k j AA ɑː AB ʋ AI ə AF n
इक्यासी	ɪ AF k j AA ɑː AB s iː AB
इख़्तियार	ɪ AF x t̪ ɪ AF j AA ɑː AB ɾ
इग्ज़ाम	ɪ AF ɡ z ɑː AB m
इग्लू	ɪ AF ɡ l uː AC
इच्छा	ɪ AF t ʃ t ʃʰ ɑː AB
इजमाली	ɪ AF d ʒ m ɑː AB l iː AB
इज़हार	ɪ AF z ɦ AE ɑː AB ɾ
इज़ाफ़ा	ɪ AF z ɑː AB f ɑː AB
इज़्ज़त	ɪ AF z z ə AF t̪
इजाजत	ɪ AF d ʒ ɑː AB z ə AF t̪
इजाज़त	ɪ AF d ʒ ɑː AB z ə AF t̪
इज्जत	ɪ AF z z ə AF t̪
इटली	ɪ AF ʈ ə AF l iː AB
इटालियन	ɪ AF ʈ ɑː AB l ɪ AF j AA ə AF n
इडली	ɪ AF ɖ l iː AB
इतर	ɪ AF t̪ ə AF ɾ
इतराना	ɪ AF t̪ ɾ ɑː AB n ɑː AB
इतवार	ɪ AF t̪ ʋ AI ɑː AB ɾ
इतालवी	ɪ AF t̪ ɑː AB l ʋ AI iː AB
इतिहास	ɪ AF t̪ ɪ AF ɦ AE ɑː AB s
इतिहासकार	ɪ AF t̪ ɪ AF ɦ AE ɑː AB s k ɑː AB ɾ
इत्तिहाद	ɪ AF t̪ t̪ ɪ AF ɦ AE ɑː AB d̪
इत्तेला	ɪ AF t̪ t̪ eː AB l ɑː AB
इत्मीनान	ɪ AF t̪ m iː AB n ɑː AB n
इत्यादि	ɪ AF t̪ j AA ɑː AB d̪ iː AB
इथियोपिया	ɪ AF t̪ʰ ɪ AF j AA oː AC p ɪ AF j AA ɑː AB
इन	ɪ AF n
इनका	ɪ AF n k ɑː AB
इनकार	ɪ AF n k ɑː AB ɾ
इनको	ɪ AF n k oː AC
इनसाफ़	ɪ AF n s ɑː AB pʰ
इनायत	ɪ AF n ɑː AB j AA ə AF t̪
इन्टरनेट	ɪ AF n ʈ ə AF ɾ n eː AB ʈ
इन्हें	ɪ AF n ɦ AE ẽː
इफ़्तिताह	ɪ AF pʰ t̪ ɪ AF t̪ ɑː AB ɦ AE
इबादत	ɪ AF b ɑː AB d̪ ə AF t̪
इब्तिदा	ɪ AF b t̪ ɪ AF d̪ ɑː AB
इब्तिदाई	ɪ AF b t̪ ɪ AF d̪ ɑː AB iː AB
इब्राहीम	ɪ AF b ɾ ɑː AB ɦ AE iː AB m
इमदाद	ɪ AF m d̪ ɑː AB d̪
इमला	ɪ AF m l ɑː AB
इमली	ɪ AF m l iː AB
इमारत	ɪ AF m ɑː AB ɾ ə AF t̪
इमारती	ɪ AF m ɑː AB ɾ ə AF t̪ iː AB
इमोजी	ɪ AF m oː AC d ʒ iː AB
इमोशन	ɪ AF m oː AC ʃ ə AF n
इम्तहान	ɪ AF m t̪ ə AF ɦ AE ɑː AB n
इम्तिहान	ɪ AF m t̪ ɪ AF ɦ AE ɑː AB n
इम्तेहान	ɪ AF m t̪ eː AB ɦ AE ɑː AB n
इराक़	ɪ AF ɾ ɑː AB q
इरादतन	ɪ AF ɾ ɑː AB d̪ t̪ ə AF n
इरादा	ɪ AF ɾ ɑː AB d̪ ɑː AB
इलज़ाम	ɪ AF l z ɑː AB m
इलाक़ा	ɪ AF l ɑː AB q ɑː AB
इलाज	ɪ AF l ɑː AB d ʒ
इलायची	ɪ AF l ɑː AB j AA t ʃ iː AB
इलाहाबाद	ɪ AF l ɑː AB ɦ AE ɑː AB b ɑː AB d̪
इलाही	ɪ AF l ɑː AB ɦ AE iː AB
इल्तिजा	ɪ AF l t̪ ɪ AF d ʒ ɑː AB
इल्मी	ɪ AF l m iː AB
इशारा	ɪ AF ʃ ɑː AB ɾ ɑː AB
इश्क	ɪ AF ʃ q
इश्क़	ɪ AF ʃ q
इश्तहार	ɪ AF ʃ t̪ ə AF ɦ AE ɑː AB ɾ
इश्तिहार	ɪ AF ʃ t̪ ɪ AF ɦ AE ɑː AB ɾ
इस	ɪ AF s
इसका	ɪ AF s k ɑː AB
इसको	ɪ AF s k oː AC
इसबग़ोल	ɪ AF s b ə AF ɣ oː AC l
इसबगोल	ɪ AF s b ə AF ɣ oː AC l
इसमाईल	ɪ AF s m ɑː AB iː AB l
इसमें	ɪ AF s m ẽː
इसराईली	ɪ AF s ɾ ɑː AB iː AB l iː AB
इसराज	ɪ AF s ɾ ɑː AB d ʒ
इसरार	ɪ AF s ɾ ɑː AB ɾ
इसरो	ɪ AF s ɾ oː AC
इसलिए	ɪ AF s l ɪ AF eː AB
इससे	ɪ AF s s eː AB
इसी	ɪ AF s iː AB
इसीलिए	ɪ AF s iː AB l ɪ AF eː AB
इसे	ɪ AF s eː AB
इस्टाम	ɪ AF s ʈ ɑː AB m
इस्तक़बाल	ɪ AF s t̪ ə AF q b ɑː AB l
इस्तांबुल	ɪ AF s t̪ ɑː AB m b ʊ AD l
इस्तीफ़ा	ɪ AF s t̪ iː AB pʰ ɑː AB
इस्तेमाल	ɪ AF s t̪ eː AB m ɑː AB l
इस्पात	ɪ AF s p ɑː AB t̪
इस्म	ɪ AF s m
इस्राइल	ɪ AF s ɾ ɑː AB ɪ AF l
इस्लाम	ɪ AF s l ɑː AB m
इस्लामाबाद	ɪ AF s l ɑː AB m ɑː AB b ɑː AB d̪
इह	ɪ AF ɦ AE
ई	iː AB
ईंट	ĩː ʈ
ईंधन	iː AB n d̪ʱ ə AF n
ईक्वाडोर	iː AB k ʋ AI ɑː AB ɖ oː AC ɾ
ईख	iː AB kʰ
ईजियन	iː AB d ʒ ɪ AF j AA ə AF n
ईटानगर	iː AB ʈ ɑː AB n ə AF ɡ ə AF ɾ
ईद	iː AB d̪
ईमान	iː AB m ɑː AB n
ईमानदार	iː AB m ɑː AB n d̪ ɑː AB ɾ
ईमेल	iː AB m eː AB l
ईराक	iː AB ɾ ɑː AB k
ईरान	iː AB ɾ ɑː AB n
ईरानी	iː AB ɾ ɑː AB n iː AB
ईर्ष्या	iː AB ɾ ʂ j AA ɑː AB
ईश	iː AB ʃ
ईश्वर	iː AB ʃ ʋ AI ə AF ɾ
ईसा	iː AB s ɑː AB
ईसाई	iː AB s ɑː AB iː AB
उ	ʊ AD
उँडेलना	ʊ AD ɳ ɖ eː AB l n ɑː AB
उंगली	ʊ AD ŋ ɡ l iː AB
उंचाई	ʊ AD n t ʃ ɑː AB iː AB
उंडुक	ʊ AD ɳ ɖ ʊ AD k
उंडुकपुच्छ	ʊ AD ɳ ɖ ʊ AD k p ʊ AD t ʃ t ʃʰ
उंस	ʊ AD n s
उइग़ुर	ʊ AD ɪ AF ɣ ʊ AD ɾ
उकसाना	ʊ AD k s ɑː AB n ɑː AB
उक़ाब	ʊ AD q ɑː AB b
उक्त	ʊ AD k t̪
उखड़ना	ʊ AD kʰ ə AF ɽ n ɑː AB
उखाड़ना	ʊ AD kʰ ɑː AB ɽ n ɑː AB
उगना	ʊ AD ɡ n ɑː AB
उगलना	ʊ AD ɡ ə AF l n ɑː AB
उचकना	ʊ AD t ʃ ə AF k n ɑː AB
उचक्का	ʊ AD t ʃ ə AF k k ɑː AB
उचित	ʊ AD t ʃ ɪ AF t̪
उच्चायुक्त	ʊ AD t ʃ t ʃ ɑː AB j AA ʊ AD k t̪
उच्चायोग	ʊ AD t ʃ t ʃ ɑː AB j AA oː AC ɡ
उच्चारण	ʊ AD t ʃ t ʃ ɑː AB ɾ ə AF ɳ
उच्छेदन	ʊ AD t ʃ t ʃʰ eː AB d̪ ə AF n
उच्छ्वास	ʊ AD t ʃ t ʃʰ ʋ AI ɑː AB s
उछलना	ʊ AD t ʃʰ ə AF l n ɑː AB
उजड़ना	ʊ AD d ʒ ə AF ɽ n ɑː AB
उजड्ड	ʊ AD d ʒ ə AF ɖ ɖ
उजला	ʊ AD d ʒ l ɑː AB
उज़बेक	ʊ AD z b eː AB k
उज़्बेकिस्तान	ʊ AD z b eː AB k ɪ AF s t̪ ɑː AB n
उजागर	ʊ AD d ʒ ɑː AB ɡ ə AF ɾ
उजाला	ʊ AD d ʒ ɑː AB l ɑː AB
उज्ज्वल	ʊ AD d ʒ d ʒ ʋ AI ə AF l
उठना	ʊ AD ʈʰ n ɑː AB
उड़द	ʊ AD ɽ ə AF d̪
उड़ना	ʊ AD ɽ n ɑː AB
उड़ान	ʊ AD ɽ ɑː AB n
उड़िया	ʊ AD ɽ ɪ AF j AA ɑː AB
उड़ीसा	ʊ AD ɽ iː AB s ɑː AB
उड्डयन	ʊ AD ɖ ɖ ə AF j AA ə AF n
उढ़काना	ʊ AD ɽʱ k ɑː AB n ɑː AB
उतरना	ʊ AD t̪ ə AF ɾ n ɑː AB
उतरवाना	ʊ AD t̪ ə AF ɾ ʋ AI ɑː AB n ɑː AB
उतारना	ʊ AD t̪ ɑː AB ɾ n ɑː AB
उतावला	ʊ AD t̪ ɑː AB ʋ AI l ɑː AB
उत्कृष्ट	ʊ AD t̪ k ɾ ɪ AF ʂ ʈ
उत्तम	ʊ AD t̪ t̪ ə AF m
उत्तर	ʊ AD t̪ t̪ ə AF ɾ
उत्तरकाशी	ʊ AD t̪ t̪ ə AF ɾ k ɑː AB ʃ iː AB
उत्तरदायी	ʊ AD t̪ t̪ ə AF ɾ d̪ ɑː AB j AA iː AB
उत्तराखंड	ʊ AD t̪ t̪ ə AF ɾ ɑː AB kʰ ə AF ɳ ɖ
उत्तराधिकार	ʊ AD t̪ t̪ ə AF ɾ ɑː AB d̪ʱ ɪ AF k ɑː AB ɾ
उत्तराधिकारी	ʊ AD t̪ t̪ ə AF ɾ ɑː AB d̪ʱ ɪ AF k ɑː AB ɾ iː AB
उत्तरार्द्ध	ʊ AD t̪ t̪ ə AF ɾ ɑː AB ɾ d̪ d̪ʱ
उत्तरी	ʊ AD t̪ t̪ ə AF ɾ iː AB
उत्तेजना	ʊ AD t̪ t̪ eː AB d ʒ n ɑː AB
उत्तेजित	ʊ AD t̪ t̪ eː AB d ʒ ɪ AF t̪
उत्तोलक	ʊ AD t̪ t̪ oː AC l ə AF k
उत्तोलन	ʊ AD t̪ t̪ oː AC l ə AF n
उत्पत्ति	ʊ AD t̪ p ə AF t̪ t̪ iː AB
उत्पन्न	ʊ AD t̪ p ə AF n n
उत्पल	ʊ AD t̪ p ə AF l
उत्पाद	ʊ AD t̪ p ɑː AB d̪
उत्पादक	ʊ AD t̪ p ɑː AB d̪ ə AF k
उत्पादको	ʊ AD t̪ p ɑː AB d̪ ə AF k oː AC
उत्पादकों	ʊ AD t̪ p ɑː AB d̪ ə AF k õː
उत्पादन	ʊ AD t̪ p ɑː AB d̪ ə AF n
उत्पीठिका	ʊ AD t̪ p iː AB ʈʰ ɪ AF k ɑː AB
उत्पीड़न	ʊ AD t̪ p iː AB ɽ ə AF n
उत्प्रेरक	ʊ AD t̪ p ɾ eː AB ɾ ə AF k
उत्सर्जन	ʊ AD t̪ s ə AF ɾ d ʒ ə AF n
उत्साह	ʊ AD t̪ s ɑː AB ɦ AE
उत्साहित	ʊ AD t̪ s ɑː AB ɦ AE ɪ AF t̪
उत्सुक	ʊ AD t̪ s ʊ AD k
उत्सुकता	ʊ AD t̪ s ʊ AD k t̪ ɑː AB
उदक	ʊ AD d̪ ə AF k
उदगद्रि	ʊ AD d̪ ɡ ə AF d̪ ɾ iː AB
उदजन	ʊ AD d̪ d ʒ ə AF n
उदजारेय	ʊ AD d̪ d ʒ ɑː AB ɾ eː AB j AA
उदयकाल	ʊ AD d̪ ə AF j AA k ɑː AB l
उदयवर्ष	ʊ AD d̪ ə AF j AA ʋ AI ə AF ɾ ʂ
उदर	ʊ AD d̪ ə AF ɾ
उदारता	ʊ AD d̪ ɑː AB ɾ t̪ ɑː AB
उदारतावाद	ʊ AD d̪ ɑː AB ɾ t̪ ɑː AB ʋ AI ɑː AB d̪
उदारवाद	ʊ AD d̪ ɑː AB ɾ ʋ AI ɑː AB d̪
उदास	ʊ AD d̪ ɑː AB s
उदासी	ʊ AD d̪ ɑː AB s iː AB
उदासीन	ʊ AD d̪ ɑː AB s iː AB n
उदाहरण	ʊ AD d̪ʱ ɑː AB ɾ ə AF ɳ
उद्घाटन	ʊ AD d̪ ɡʱ ɑː AB ʈ ə AF n
उद्देशिका	ʊ AD d̪ d̪ eː AB ʃ ɪ AF k ɑː AB
उद्भव	ʊ AD d̪ bʱ ə AF ʋ AI
उद्यमी	ʊ AD d̪ j AA ə AF m iː AB
उद्यान	ʊ AD d̪ j AA ɑː AB n
उद्योग	ʊ AD d̪ j AA oː AC ɡ
उद्योगपति	ʊ AD d̪ j AA oː AC ɡ p ə AF t̪ iː AB
उद्योगी	ʊ AD d̪ j AA oː AC ɡ iː AB
उद्योगीकरण	ʊ AD d̪ j AA oː AC ɡ iː AB k ə AF ɾ ə AF ɳ
उधड़ना	ʊ AD d̪ʱ ə AF ɽ n ɑː AB
उधार	ʊ AD d̪ʱ ɑː AB ɾ
उधेड़ना	ʊ AD d̪ʱ eː AB ɽ n ɑː AB
उनका	ʊ AD n k ɑː AB
उनको	ʊ AD n k oː AC
उनचास	ʊ AD n t ʃ ɑː AB s
उनतालीस	ʊ AD n t̪ ɑː AB l iː AB s
उनतीस	ʊ AD n t̪ iː AB s
उनसठ	ʊ AD n s ə AF ʈʰ
उनहत्तर	ʊ AD n ɦ AE ə AF t̪ t̪ ə AF ɾ
उनासी	ʊ AD n ɑː AB s iː AB
उनींदा	ʊ AD n iː AB n d̪ ɑː AB
उन्नत	ʊ AD n n ə AF t̪
उन्नति	ʊ AD n n ə AF t̪ iː AB
उन्नाव	ʊ AD n n ɑː AB ʋ AI
उन्नीस	ʊ AD n n iː AB s
उन्माद	ʊ AD n m ɑː AB d̪
उन्मुक्त	ʊ AD n m ʊ AD k t̪
उन्मूलन	ʊ AD n m uː AC l ə AF n
उन्यासी	ʊ AD n j AA ɑː AB s iː AB
उन्हें	ʊ AD n ɦ AE ẽː
उन्होंने	ʊ AD n ɦ AE õː n eː AB
उपकरण	ʊ AD p k ə AF ɾ ə AF ɳ
उपकार	ʊ AD p k ɑː AB ɾ
उपग्रह	ʊ AD p ɡ ɾ ə AF ɦ AE
उपचार	ʊ AD p t ʃ ɑː AB ɾ
उपचुनाव	ʊ AD p t ʃ ʊ AD n ɑː AB ʋ AI
उपजना	ʊ AD p ə AF d ʒ n ɑː AB
उपजाऊ	ʊ AD p d ʒ ɑː AB uː AC
उपदान	ʊ AD p d̪ ɑː AB n
उपदेश	ʊ AD p d̪ eː AB ʃ
उपधान	ʊ AD p d̪ʱ ɑː AB n
उपधारा	ʊ AD p d̪ʱ ɑː AB ɾ ɑː AB
उपनगर	ʊ AD p n ə AF ɡ ə AF ɾ
उपनाम	ʊ AD p n ɑː AB m
उपनायिका	ʊ AD p n ɑː AB j AA ɪ AF k ɑː AB
उपनिर्देशक	ʊ AD p n ɪ AF ɾ d̪ eː AB ʃ ə AF k
उपनिषद्	ʊ AD p n ɪ AF ʂ ə AF d̪
उपन्यास	ʊ AD p ə AF n j AA ɑː AB s
उपन्यासकार	ʊ AD p ə AF n j AA ɑː AB s k ɑː AB ɾ
उपपत्ति	ʊ AD p p ə AF t̪ t̪ iː AB
उपबोली	ʊ AD p b oː AC l iː AB
उपभाषा	ʊ AD p ə AF bʱ ɑː AB ʂ ɑː AB
उपभोक्ता	ʊ AD p bʱ oː AC k t̪ ɑː AB
उपभोग	ʊ AD p bʱ oː AC ɡ
उपयुक्त	ʊ AD p j AA ʊ AD k t̪
उपयोग	ʊ AD p j AA oː AC ɡ
उपयोगिता	ʊ AD p j AA oː AC ɡ ɪ AF t̪ ɑː AB
उपयोगी	ʊ AD p j AA oː AC ɡ iː AB
उपरांत	ʊ AD p ɾ ɑː AB n t̪
उपलब्ध	ʊ AD p l ə AF b d̪ʱ
उपलब्धि	ʊ AD p l ə AF b d̪ʱ iː AB
उपला	ʊ AD p l ɑː AB
उपवन	ʊ AD p ʋ AI ə AF n
उपवास	ʊ AD p ʋ AI ɑː AB s
उपसचिव	ʊ AD p ə AF s t ʃ ɪ AF ʋ AI
उपसमुच्चय	ʊ AD p ə AF s m ʊ AD t ʃ t ʃ ə AF j AA
उपसर्ग	ʊ AD p s ə AF ɾ ɡ
उपस्थित	ʊ AD p ə AF s t̪ʰ ɪ AF t̪
उपस्थिति	ʊ AD p ə AF s t̪ʰ ɪ AF t̪ iː AB
उपहार	ʊ AD pʰ ɑː AB ɾ
उपाधि	ʊ AD p ɑː AB d̪ʱ iː AB
उपाध्याय	ʊ AD p ɑː AB d̪ʱ j AA ɑː AB j AA
उपाय	ʊ AD p ɑː AB j AA
उपायुक्त	ʊ AD p ɑː AB j AA ʊ AD k t̪
उपासक	ʊ AD p ɑː AB s ə AF k
उपेक्षा	ʊ AD p eː AB k ʂ ɑː AB
उफ़	ʊ AD pʰ
उबरना	ʊ AD b ə AF ɾ n ɑː AB
उबाऊ	ʊ AD b ɑː AB uː AC
उबालना	ʊ AD b ɑː AB l n ɑː AB
उभरना	ʊ AD bʱ ə AF ɾ n ɑː AB
उमंग	ʊ AD m ə AF ŋ ɡ
उमड़ना	ʊ AD m ə AF ɽ n ɑː AB
उमर	ʊ AD m ə AF ɾ
उमरा	ʊ AD m ɾ ɑː AB
उमस	ʊ AD m ə AF s
उमा	ʊ AD m ɑː AB
उम्दा	ʊ AD m d̪ ɑː AB
उम्मीदवार	ʊ AD m m iː AB d̪ ʋ AI ɑː AB ɾ
उम्मीद्वार	ʊ AD m m iː AB d̪ ʋ AI ɑː AB ɾ
उम्रक़ैद	ʊ AD m ɾ ə AF q ɛː AB d̪
उरु	ʊ AD ɾ uː AC
उरुग्वे	ʊ AD ɾ ʊ AD ɡ ʋ AI eː AB
उरुमची	ʊ AD ɾ ʊ AD m t ʃ iː AB
उरोस्थि	ʊ AD ɾ oː AC s t̪ʰ iː AB
उर्दू	ʊ AD ɾ d̪ uː AC
उर्फ़	ʊ AD ɾ pʰ
उर्वरक	ʊ AD ɾ ʋ AI ə AF ɾ ə AF k
उर्वशी	ʊ AD ɾ ʋ AI ə AF ʃ iː AB
उलझन	ʊ AD l d ʒʱ ə AF n
उलझना	ʊ AD l ə AF d ʒʱ n ɑː AB
उलझाना	ʊ AD l d ʒʱ ɑː AB n ɑː AB
उलटना	ʊ AD l ə AF ʈ n ɑː AB
उलटा	ʊ AD l ʈ ɑː AB
उलटी	ʊ AD l ʈ iː AB
उलफ़त	ʊ AD l pʰ ə AF t̪
उलहना	ʊ AD l ə AF ɦ AE n ɑː AB
उलाहना	ʊ AD l ɑː AB ɦ AE n ɑː AB
उलीचना	ʊ AD l iː AB t ʃ n ɑː AB
उलूक	ʊ AD l uː AC k
उल्का	ʊ AD l k ɑː AB
उल्टा	ʊ AD l ʈ ɑː AB
उल्टी	ʊ AD l ʈ iː AB
उल्लंघन	ʊ AD l l ə AF ŋ ɡʱ ə AF n
उल्लू	ʊ AD l l uː AC
उल्लेख	ʊ AD l l eː AB kʰ
उषा	ʊ AD ʂ ɑː AB
उस	ʊ AD s
उसका	ʊ AD s k ɑː AB
उसको	ʊ AD s k oː AC
उसमान	ʊ AD s m ɑː AB n
उससे	ʊ AD s s eː AB
उसाँस	ʊ AD s ɑ̃ː AH s
उसांस	ʊ AD s ɑ̃ː AH s
उसी	ʊ AD s iː AB
उसूल	ʊ AD s uː AC l
उसे	ʊ AD s eː AB
उस्ताद	ʊ AD s t̪ ɑː AB d̪
उस्मानाबाद	ʊ AD s m ɑː AB n ɑː AB b ɑː AB d̪
उस्मानी	ʊ AD s m ɑː AB n iː AB
ऊ	uː AC
ऊँचा	ũː t ʃ ɑː AB
ऊँचाई	ũː t ʃ ɑː AB iː AB
ऊँट	ũː ʈ
ऊंचा	ũː t ʃ ɑː AB
ऊंचाई	ũː t ʃ ɑː AB iː AB
ऊख	uː AC kʰ
ऊटपटांग	uː AC ʈ ə AF p ʈ ɑː AB ŋ ɡ
ऊद	uː AC d̪
ऊदबिलाव	uː AC d̪ b ɪ AF l ɑː AB ʋ AI
ऊन	uː AC n
ऊना	uː AC n ɑː AB
ऊनी	uː AC n iː AB
ऊपर	uː AC p ə AF ɾ
ऊपरवाला	uː AC p ə AF ɾ ʋ AI ɑː AB l ɑː AB
ऊपरी	uː AC p ɾ iː AB
ऊफ़ा	uː AC pʰ ɑː AB
ऊब	uː AC b
ऊबना	uː AC b n ɑː AB
ऊर्जा	uː AC ɾ d ʒ ɑː AB
ऊर्णा	uː AC ɾ ɳ ɑː AB
ऊर्ध्ववायु	uː AC ɾ d̪ʱ ʋ AI ə AF ʋ AI ɑː AB j AA uː AC
ऊर्ध्वाधर	uː AC ɾ d̪ʱ ʋ AI ɑː AB d̪ʱ ə AF ɾ
ऊष्मा	uː AC ʂ m ɑː AB
ऊष्मीकरण	uː AC ʂ m iː AB k ə AF ɾ ə AF ɳ
ऊसर	uː AC s ə AF ɾ
ऊह	uː AC ɦ AE
ऋ	ɾ iː AB
ऋग्वेद	ɾ ɪ AF ɡ ʋ AI eː AB d̪
ऋण	ɾ ɪ AF ɳ
ऋणदाता	ɾ ɪ AF ɳ d̪ ɑː AB t̪ ɑː AB
ऋणदाताओ	ɾ ɪ AF ɳ d̪ ɑː AB t̪ ɑː AB oː AC
ऋणदाताओं	ɾ ɪ AF ɳ d̪ ɑː AB t̪ ɑː AB õː
ऋणमुक्त	ɾ ɪ AF ɳ m ʊ AD k t̪
ऋणायन	ɾ ɪ AF ɳ ɑː AB j AA ə AF n
ऋणी	ɾ ɪ AF ɳ iː AB
ऋतु	ɾ ɪ AF t̪ uː AC
ऋषि	ɾ ɪ AF ʂ iː AB
ऋषिकेश	ɾ ɪ AF ʂ ɪ AF k eː AB ʃ
ए	eː AB
एक	eː AB k
एकजुट	eː AB k d ʒ ʊ AD ʈ
एकजुटता	eː AB k d ʒ ʊ AD ʈ t̪ ɑː AB
एकड़	eː AB k ə AF ɽ
एकतरफ़ा	eː AB k t̪ ə AF ɾ pʰ ɑː AB
एकता	eː AB k t̪ ɑː AB
एकदम	eː AB k d̪ ə AF m
एकरूपता	eː AB k ɾ uː AC p t̪ ɑː AB
एकल	eː AB k ə AF l
एकवचन	eː AB k ʋ AI ə AF t ʃ ə AF n
एकसदनीयता	eː AB k s ə AF d̪ ə AF n iː AB j AA t̪ ɑː AB
एकसमान	eː AB k s ə AF m ɑː AB n
एकांत	eː AB k ɑː AB n t̪
एकाएक	eː AB k ɑː AB eː AB k
एकाध	eː AB k ɑː AB d̪ʱ
एकाधिकार	eː AB k ɑː AB d̪ʱ ɪ AF k ɑː AB ɾ
एकीकरण	eː AB k iː AB k ə AF ɾ ə AF ɳ
एजेंट	eː AB d ʒ eː AB ɳ ʈ
एजेंसी	eː AB d ʒ eː AB n s iː AB
एटीएम	eː AB ʈ iː AB eː AB m
एडवायज़री	eː AB ɖ ʋ AI ɑː AB j AA z ə AF ɾ iː AB
एड़ी	eː AB ɽ iː AB
एडिलेड	eː AB ɖ ɪ AF l eː AB ɖ
एड्ज़	eː AB ɖ z
एड्स	eː AB ɖ s
एतबार	eː AB t̪ b ɑː AB ɾ
एतराज़	eː AB t̪ ɾ ɑː AB z
एयरलाइन	eː AB j AA ə AF ɾ l ɑː AB ɪ AF n
एलची	eː AB l t ʃ iː AB
एलान	eː AB l ɑː AB n
एल्युमिनियम	eː AB l j AA ʊ AD m ɪ AF n ɪ AF j AA ə AF m
एवं	eː AB ʋ AI ə AF m
एवज़	eː AB ʋ AI ə AF z
एशिया	eː AB ʃ ɪ AF j AA ɑː AB
एसोसिएशन	eː AB s oː AC s ɪ AF eː AB ʃ ə AF n
एस्केलेटर	eː AB s k eː AB l eː AB ʈ ə AF ɾ
एस्टोनिया	eː AB s ʈ oː AC n ɪ AF j AA ɑː AB
एस्पेरांतो	eː AB s p eː AB ɾ ɑː AB n t̪ oː AC
एस्पेरान्तो	eː AB s p eː AB ɾ ɑː AB n t̪ oː AC
