'n	ə AK n
euros	ɔ AI ʏ̯ r o AG s
eurozeichen	ɔ AI ɪ̯ BB ʁ o AG t s a AC ɪ̯ BB ç n̩
euter	ʔ ɔ AI ɪ̯ BB t ɐ BE
euthanasie	ɔ AI ɪ̯ BB t a AC n a AC z iː AF
euthyreot	ɔ AI ɪ̯ BB t y AG ʁ e AE oː AH t
eutroph	ɔ AI ɪ̯ BB t ʀ oː AH f
eva	eː AF f a AC
evakuierung	e AE v a AC k u AG iː AF ʁ ʊ AI ŋ
evangelikal	ɛ AK v a AC ŋ ɡ eː AF l i AE k aː AD l
evangelisch	ɛ AK v a AC ŋ ɡ eː AF l ɪ AK ʃ
event	i AE v ɛ AK n t
eventuell	e AE v ɛ AK n t u̯ BF ɛ AK l
ever	ɛ AK v ɐ BE
evidenz	e AE v i AE d ɛ AK n t s
evolutionist	e AE v o AG l u AG t s ɪ̯ BB o AG n ɪ AK s t
evolutionistin	e AE v o AG l u AG t s ɪ̯ BB o AG n ɪ AK s t ɪ AK n
evolutionistisch	e AE v o AG l u AG t s ɪ̯ BB o AG n ɪ AK s t ɪ AK ʃ
evolutionär	e AE v o AG l u AG t s ɪ̯ BB o AG n ɛː AM ʁ
evozieren	e AE v o AG t s iː AF ʁ ə AK n
ewig	eː AF v ɪ AK ç
ewigerweise	eː AF v ɪ AK ɡ ɐ BE v a AC ɪ̯ BB z ə AK
ewiggestrig	eː AF v ɪ AK ç ɡ ɛ AK s t ʀ ɪ AK ç
ewigkeitskosten	eː AF v ɪ AK ç k a AC ɪ̯ BB t s k ɔ AI s t ə AK n
ewiglich	eː AF v ɪ AK ɡ l ɪ AK ç
ex	ʔ ɛ AK k s
exaltiertheit	ɛ AK k s a AC l t iː AF ɐ̯ t h AA a AC ɪ̯ BB t
examen	ɛ AK k s aː AD m ə AK n
excel	ɪ AK k s ɛ AK l
exegese	ɛ AK k s ə AK ɡ eː AF z ə AK
exekutive	ɛ AK k s e AE k u AG t iː AF v ə AK
exerzieren	ɛ AK k s ɛ AK ʁ t s iː AF ʁ ə AK n
exil	ɛ AK k s iː AF l
exilant	ɛ AK k s i AE l a AC n t
exilregierung	ɛ AK k s iː AF l ʁ e AE ɡ iː AF ʁ ʊ AI ŋ
existenzangst	ɛ AK k s ɪ AK s t ɛ AK n t s ʔ a AC ŋ s t
existieren	ɛ AK k s ɪ AK s t iː AF ʀ ə AK n
exitus	ɛ AK k s i AE t ʊ AI s
exkrement	ʔ ɛ AK k s k ʁ e AE m ɛ AK n t
exkremente	ʔ ɛ AK k s k ʀ e AE m ɛ AK n t ə AK
exmann	ɛ AK k s m a AC n
exonym	ɛ AK k s o AG n yː AH m
exorzieren	ɛ AK k s ɔ AI ʁ t s iː AF ʀ ə AK n
exoskelett	ɛ AK k s o AG s k ə AK l ɛ AK t
exosphäre	ɛ AK k s o AG s f ɛː AM ʁ ə AK
exot	ɛ AK k s oː AH t
experiment	ɛ AK k s p e AE ʀ i AE m ɛ AK n t
experte	ɛ AK k s p ɛ AK ʁ t ə AK
expertin	ʔ ɛ AK k s p ɛ AK ɐ̯ t ɪ AK n
explizit	ɛ AK k s p l i AE t s ɪ AK t
explosiv	ɛ AK k s p l o AG z iː AF f
exponat	ɛ AK k s p o AG n aː AD t
exponent	ɛ AK k s p o AG n ɛ AK n t
exponentiell	ɛ AK k s p o AG n ɛ AK n t s j AB ɛ AK l
exportieren	ɛ AK k s p ɔ AI ʁ t iː AF ʁ ə AK n
expressiv	ɛ AK k s p ʀ ɛ AK s iː AF f
exquisit	ɛ AK k s k v i AE z iː AF t
extemporieren	ɛ AK k s t ɛ AK m p o AG ʁ iː AF ʁ ə AK n
externalität	ɛ AK k s t ɛ AK ʁ n a AC l i AE t ɛː AM t
extinkt	ɛ AK k s t ɪ AK ŋ k t
extra	ɛ AK k s t ʁ a AC
extralegal	ɛ AK k s t ʀ a AC l e AE ɡ aː AD l
extraordinär	ɛ AK k s t ʁ a AC ʔ ɔ AI ʁ d i AE n ɛː AM ʁ
extrem	ɛ AK k s t ʁ eː AF m
extremität	ɛ AK k s t ʀ e AE m i AE t ɛː AM t
extremitäten	ɛ AK k s t ʁ e AE m i AE t ɛː AM t ə AK n
extrudieren	ɛ AK k s t ʁ u AG d iː AF ʁ ə AK n
exzellent	ɛ AK k s ə AK l ɛ AK n t
exzellenz	ɛ AK k s t s ɛ AK l ɛ AK n t s
exzerpt	ɛ AK k s t s ɛ AK ʁ p t
exzess	ʔ ɛ AK k s t s ɛ AK s
exzesse	ʔ ɛ AK k s t s ɛ AK s ə AK
exzesses	ʔ ɛ AK k s t s ɛ AK s ə AK s
ey	ɛ AK ɪ̯ BB
fabel	f aː AD b ə AK l
fabelhaft	f aː AD b ə AK l h AA a AC f t
fabian	f aː AD b i AE a AC n
fabrik	f a AC b ʀ ɪ AK k
fabriken	f a AC b ʀ iː AF k n̩
facebook	f ɛ AK ɪ̯ BB s b ʊ AI k
facebooken	f ɛ AK ɪ̯ BB s b ʊ AI k n̩
facebooks	f eː AF s b ʊ AI k s
facette	f a AC s ɛ AK t ə AK
facetten	f a AC s ɛ AK t ə AK n
facettenreich	f a AC s ɛ AK t ə AK n ʀ a AC ɪ̯ BB ç
facettenreicher	f a AC s ɛ AK t ə AK n ʀ a AC ɪ̯ BB ç ɐ BE
fach	f a AC χ
fachausdruck	f a AC x ʔ a AC ʊ̯ BC s d ʁ ʊ AI k
fachausdruckes	f a AC x ʔ a AC ʊ̯ BC s d ʁ ʊ AI k ə AK s
fachausdrucks	f a AC x ʔ a AC ʊ̯ BC s d ʁ ʊ AI k s
fachausdrücke	f a AC x ʔ a AC ʊ̯ BC s d ʁ ʏ AI k ə AK
fachbegriff	f a AC x b ə AK ɡ ʁ ɪ AK f
fachbegriffes	f a AC x b ə AK ɡ ʁ ɪ AK f ə AK s
fachbegriffs	f a AC x b ə AK ɡ ʁ ɪ AK f s
fachbereich	f a AC x b ə AK ʁ a AC ɪ̯ BB ç
fachbereiche	f a AC x b ə AK ʁ a AC ɪ̯ BB ç ə AK
fachbereiches	f a AC x b ə AK ʁ a AC ɪ̯ BB ç ə AK s
fachbereichs	f a AC x b ə AK ʁ a AC ɪ̯ BB ç s
fachchinesisch	f a AC x ç i AE n eː AF z ɪ AK ʃ
fache	f a AC x ə AK
fachen	f a AC x n̩
fachkenntnis	f a AC x k ɛ AK n t n ɪ AK s
fachkundig	f a AC x k ʊ AI n d ɪ AK ç
fachsimpeln	f a AC x z ɪ AK m p l̩ n
fachsprache	f a AC x ʃ p ʀ aː AD x ə AK
fachsprachlich	f a AC x ʃ p ʁ aː AD x l ɪ AK ç
fachunkundig	f a AC x ʔ ʊ AI n k ʊ AI n d ɪ AK ç
fachwerk	f a AC x v ɛ AK ʁ k
fachwerkhaus	f a AC x v ɛ AK ʁ k h AA a AC ʊ̯ BC s
fachwort	f a AC x v ɔ AI ʁ t
fackel	f a AC k ə AK l
fad	f aː AD t
fade	f aː AD d ə AK
faden	f aː AD d n̩
fadenscheinig	f aː AD d n̩ ʃ a AC ɪ̯ BB n ɪ AK ç
fagott	f a AC ɡ ɔ AI t
fahl	f aː AD l
fahnder	f aː AD n d ɐ BE
fahndung	f aː AD n d ʊ AI ŋ
fahnenfluchten	f aː AD n ə AK n f l ʊ AI x t ə AK n
fahnenflüchtiger	f aː AD n ə AK n f l ʏ AI ç t ɪ AK ɡ ɐ BE
fahnenmast	f aː AD n ə AK n m a AC s t
fahnenstange	f aː AD n ə AK n ʃ t a AC ŋ ə AK
fahnenstangen	f aː AD n ə AK n ʃ t a AC ŋ ə AK n
fahnenträger	f aː AD n ə AK n t ʁ ɛː AM ɡ ɐ BE
fahrausweis	f aː AD ɐ̯ ʔ a AC ʊ̯ BC s v a AC ɪ̯ BB s
fahrdamm	f aː AD ɐ̯ d a AC m
fahren	f aː AD ʁ ə AK n
fahrend	f aː AD r ə AK n t
fahrenheit	f aː AD ʁ ə AK n h AA a AC ɪ̯ BB t
fahrer	f aː AD ʁ ɐ BE
fahrerin	f aː AD ʀ ə AK ʁ ɪ AK n
fahrgast	f aː AD ɐ̯ ɡ a AC s t
fahrgeld	f aː AD ɐ̯ ɡ ɛ AK l t
fahrig	f aː AD ʁ ɪ AK ç
fahrrad	f aː AD ɐ̯ ʁ aː AD t
fahrradparkplatz	f aː AD ɐ̯ ʁ a AC t p a AC ɐ̯ k p l a AC t s
fahrradweg	f aː AD ɐ̯ ʁ aː AD t v eː AF k
fahrräder	f aː AD ɐ̯ ʀ ɛː AM d ɐ BE
fahrschule	f aː AD ɐ̯ ʃ uː AH l ə AK
fahrstuhl	f aː AD ɐ̯ ʃ t uː AH l
fahrstuhls	f aː AD ɐ̯ ʃ t uː AH l s
fahrstühle	f aː AD ɐ̯ ʃ t yː AH l ə AK
fahrt	f aː AD r t
fahrten	f aː AD ɐ̯ t ə AK n
fahrtwind	f aː AD r t v ɪ AK n t
fahrwasser	f aː AD ɐ̯ v a AC s ɐ BE
fahrzeug	f aː AD ɐ̯ t s ɔ AI ʏ̯ k
fahrzeuge	f aː AD ɐ̯ t s ɔ AI ɪ̯ BB ɡ ə AK
fahrzeuges	f aː AD ɐ̯ t s ɔ AI ɪ̯ BB ɡ ə AK s
fahrzeugs	f aː AD ɐ̯ t s ɔ AI ɪ̯ BB k s
faible	f ɛː AM b ə AK l
fair	f ɛː AM r
fairerweise	f ɛː AM ʁ ɐ BE v a AC ɪ̯ BB z ə AK
fairness	f ɛː AM ɐ̯ n ɛ AK s
fake	f ɛ AK ɪ̯ BB k
faken	f ɛ AK ɪ̯ BB k ə AK n
fakenews	f ɛ AK ɪ̯ BB k n j AB uː AH s
faktencheck	f a AC k t n̩ t ʃ ɛ AK k
faktizität	f a AC k t i AE t s i AE t ɛː AM t
faktorei	f a AC k t o AG ʁ a AC ɪ̯ BB
fakultät	f a AC k ʊ AI l t ɛː AM t
falb	f a AC l p
falbe	f a AC l b ə AK
falbel	f a AC l b l̩
falke	f a AC l k ə AK
falkenstein	f a AC l k n̩ ʃ t a AC ɪ̯ BB n
fall	f a AC l
falle	f a AC l ə AK
fallen	f a AC l ə AK n
fallend	f a AC l ə AK n t
fallensteller	f a AC l ə AK n ʃ t ɛ AK l ɐ BE
fallest	f a AC l ə AK s t
fallet	f a AC l ə AK t
fallobst	f a AC l ʔ oː AH p s t
fallout	f ɔː AJ l ʔ a AC ʊ̯ BC t
fallreep	f a AC l ʁ eː AF p
fallrohr	f a AC l ʀ oː AH ɐ̯
falls	f a AC l s
fallschirm	f a AC l ʃ ɪ AK ʁ m
fallschirmjäger	f a AC l ʃ ɪ AK ʁ m j AB ɛː AM ɡ ɐ BE
fallsucht	f a AC l z ʊ AI χ t
fallsüchtig	f a AC l z ʏ AI ç t ɪ AK ç
fallt	f a AC l t
falsch	f a AC l ʃ
falschaussage	f a AC l ʃ ʔ a AC ʊ̯ BC s z aː AD ɡ ə AK
falschfahrer	f a AC l ʃ f aː AD ʁ ɐ BE
falschheit	f a AC l ʃ h AA a AC ɪ̯ BB t
falschliegen	f a AC l ʃ l iː AF ɡ n̩
falschschreibung	f a AC l ʃ ʃ ʁ a AC ɪ̯ BB b ʊ AI ŋ
falsett	f a AC l z ɛ AK t
faltblatt	f a AC l t b l a AC t
faltenmagen	f a AC l t ə AK n m aː AD ɡ ə AK n
falter	f a AC l t ɐ BE
faltig	f a AC l t ɪ AK ç
familie	f a AC m iː AF l i AE ə AK
famos	f a AC m oː AH s
fand	f a AC n t
fanden	f a AC n d ə AK n
fandest	f a AC n d ə AK s t
fandet	f a AC n d ə AK t
fanfare	f a AC n f aː AD ʀ ə AK
fang	f a AC ŋ
fange	f a AC ŋ ə AK
fangen	f a AC ŋ ə AK n
fangzahn	f a AC ŋ t s aː AD n
fangzähne	f a AC ŋ t s ɛː AM n ə AK
fanmeile	f ɛ AK n m a AC ɪ̯ BB l ə AK
fantasie	f a AC n t a AC z iː AF
farbbild	f a AC ʁ p b ɪ AK l t
farbe	f aː AD b ə AK
farbenblind	f a AC ʁ b n̩ b l ɪ AK n t
farbenblindheit	f a AC ʁ b n̩ b l ɪ AK n t h AA a AC ɪ̯ BB t
farbenfroh	f a AC ʁ b n̩ f ʁ oː AH
farbenlehre	f a AC ʁ b n̩ l eː AF ʁ ə AK
farbenpracht	f a AC ʁ b n̩ p ʁ a AC x t
farbenspiel	f a AC ʁ b n̩ ʃ p iː AF l
farbgebung	f a AC ʁ p ɡ eː AF b ʊ AI ŋ
farbig	f a AC ʁ b ɪ AK ç
farbige	f a AC ʁ b ɪ AK ɡ ə AK
farbiger	f a AC ʁ b ɪ AK ɡ ɐ BE
farbigkeit	f a AC ʁ b ɪ AK ç k a AC ɪ̯ BB t
farbintensität	f a AC ʁ p ʔ ɪ AK n t ɛ AK n z i AE t ɛː AM t
farbraum	f a AC ʁ p ʁ a AC ʊ̯ BC m
farbstabilisator	f a AC ʁ p ʃ t a AC b i AE l i AE z aː AD t o AG ɐ̯
farbstift	f a AC ʁ b ʃ t ɪ AK f t
farbstiftkasten	f a AC ʁ b ʃ t ɪ AK f t k a AC s t n̩
farbstoff	f a AC ʁ p ʃ t ɔ AI f
farbstärke	f a AC ʁ p ʃ t ɛ AK r k ə AK
farbsättigung	f a AC ʁ p z ɛ AK t ɪ AK ɡ ʊ AI ŋ
farbton	f a AC ʁ p t oː AH n
farbänderung	f aː AD b ɛ AK n d ə AK ʀ ʊ AI ŋ
farn	f a AC r n
farnkraut	f a AC ʁ n k ʁ a AC ʊ̯ BC t
fas	f aː AD s
fasan	f a AC z aː AD n
faschiertes	f a AC ʃ iː AF ɐ̯ t ə AK s
fasching	f a AC ʃ ɪ AK ŋ
faschismus	f a AC ʃ ɪ AK s m ʊ AI s
fase	f aː AD z ə AK
faseln	f aː AD z l̩ n
fasen	f aː AD z n̩
faserig	f aː AD z ə AK ʁ ɪ AK ç
fass	f a AC s
fassbar	f a AC s b aː AD ɐ̯
fassbier	f a AC s b iː AF ɐ̯
fassen	f a AC s ə AK n
fasses	f a AC s ə AK s
fassette	f a AC s ɛ AK t ə AK
fassetten	f a AC s ɛ AK t ə AK n
fassettenreich	f a AC s ɛ AK t ə AK n ʀ a AC ɪ̯ BB ç
fasst	f a AC s t
fassung	f a AC s ʊ AI ŋ
fassungsvermögen	f a AC s ʊ AI ŋ s f ɛ AK ɐ̯ m øː AH ɡ n̩
fast	f aː AD s t
faste	f aː AD s t ə AK
fasten	f aː AD s t ə AK n
fastenbrechen	f a AC s t n̩ b ʁ ɛ AK ç n̩
fastest	f aː AD s t ə AK s t
fastet	f aː AD s t ə AK t
fastnacht	f a AC s t n a AC x t
faszinieren	f a AC s t s i AE n iː AF r ə AK n
faten	f ɔː AJ t n̩
fatum	f aː AD t ʊ AI m
fatwa	f a AC t v a AC
fauchen	f a AC ʊ̯ BC x ə AK n
faul	f a AC ʊ̯ BC l
faulen	f a AC ʊ̯ BC l ə AK n
faulenzen	f a AC ʊ̯ BC l ɛ AK n t s ə AK n
faulenzer	f a AC ʊ̯ BC l ɛ AK n t s ɐ BE
faulig	f a AC ʊ̯ BC l ɪ AK ç
faustdicker	f a AC ʊ̯ BC s t d ɪ AK k ɐ BE
fausthandschuh	f a AC ʊ̯ BC s t h AA a AC n t ʃ uː AH
faustkampf	f a AC ʊ̯ BC s t k a AC m p f
faustschlag	f a AC ʊ̯ BC s t ʃ l aː AD k
fauteuil	f o AG t ɔ AI ɪ̯ BB
fauxpas	f o AG p aː AD s
favorit	f a AC v o AG ʁ ɪ AK t
faxe	f a AC k s ə AK
fazit	f aː AD t s i AE t
feber	f eː AF b ɐ BE
febril	f e AE b ʀ iː AF l
februar	f eː AF b r u AG aː AD r
fechten	f ɛ AK ç t ə AK n
fechterin	f ɛ AK ç t ɐ BE ʁ ɪ AK n
feder	f eː AF d ə AK ʁ
federball	f eː AF d ɐ BE b a AC l
federballspielerin	b aː AD s k ə AK t b a AC l ʃ p iː AF l ə AK ʁ ɪ AK n
federbett	f eː AF d ɐ BE b ɛ AK t
federchen	f eː AF d ɐ BE ç ə AK n
federchens	f eː AF d ɐ BE ç ə AK n s
federkiel	f eː AF d ɐ BE k iː AF l
federstrich	f eː AF d ɐ BE ʃ t ʁ ɪ AK ç
federweiss	f eː AF d ə AK ʁ v a AC ɪ̯ BB s
federweisser	f eː AF d ə AK ʁ v a AC ɪ̯ BB s ə AK ʁ
federzeichnung	f eː AF d ɐ BE t s a AC ɪ̯ BB ç n ʊ AI ŋ
fee	f eː AF
feedback	f iː AF d b ɛ AK k
feengleich	f eː AF ə AK n ɡ l a AC ɪ̯ BB ç
fegefeuer	f eː AF ɡ ə AK f ɔ AI ʏ̯ ɐ BE
fegt	f eː AF ç t
feh	f eː AF
fehde	f eː AF d ə AK
fehdehandschuh	f eː AF d ə AK h AA a AC n t ʃ uː AH
fehe	f eː AF ə AK
fehl	f eː AF l
fehlbar	f eː AF l b aː AD ɐ̯
fehlbetrag	f eː AF l b ə AK t ʁ aː AD k
fehleinschätzung	f eː AF l ʔ a AC ɪ̯ BB n ʃ ɛ AK t s ʊ AI ŋ
fehlen	f eː AF l ə AK n
fehlentscheidung	f eː AF l ʔ ɛ AK n t ʃ a AC ɪ̯ BB d ʊ AI ŋ
fehler	f eː AF l ɐ BE
fehlerbehebung	f eː AF l ɐ BE b ə AK h AA eː AF b ʊ AI ŋ
fehlerquelle	f eː AF l ɐ BE k v ɛ AK l ə AK
fehlgriff	f eː AF l ɡ r ɪ AK f
fehlinterpretieren	f eː AF l ʔ ɪ AK n t ɐ BE p ʁ e AE t iː AF ʁ ə AK n
fehlleistung	f eː AF l l a AC ɪ̯ BB s t ʊ AI ŋ
fehlplanung	f eː AF l p l aː AD n ʊ AI ŋ
fehlschlag	f eː AF l ʃ l aː AD k
fehlsichtig	f eː AF l z ɪ AK ç t ɪ AK ç
fehlstart	f eː AF l ʃ t a AC ʁ t
fehs	f eː AF s
feien	f a AC ɪ̯ BB ə AK n
feierbiest	f a AC ɪ̯ BB ɐ BE b iː AF s t
feierlich	f a AC ɪ̯ BB ɐ BE l ɪ AK ç
feierlichkeit	f a AC ɪ̯ BB ɐ BE l ɪ AK ç k a AC ɪ̯ BB t
feiern	f a AC ɪ̯ BB ɐ BE n
feiertag	f a AC ɪ AK ɐ̯ t aː AD x
feig	f a AC ɪ̯ BB ç
feige	f a AC ɪ̯ BB ɡ ə AK
feigenbaum	f a AC ɪ̯ BB ɡ ə AK n b a AC ʊ̯ BC m
feigenblatt	f a AC ɪ̯ BB ɡ n̩ b l a AC t
feigenblattes	f a AC ɪ̯ BB ɡ n̩ b l a AC t ə AK s
feigenblatts	f a AC ɪ̯ BB ɡ n̩ b l a AC t s
feigenblättchen	f a AC ɪ̯ BB ɡ ə AK n b l ɛ AK t ç ə AK n
feigenblättchens	f a AC ɪ̯ BB ɡ ə AK n b l ɛ AK t ç ə AK n s
feigenblätter	f a AC ɪ̯ BB ɡ n̩ b l ɛ AK t ɐ BE
feigheit	f a AC ɪ̯ BB ç h AA a AC ɪ̯ BB t
feigling	f a AC ɪ̯ BB ç l ɪ AK ŋ
feile	f a AC ɪ̯ BB l ə AK
feilhaben	f a AC ɪ̯ BB l h AA aː AD b n̩
feilschen	f a AC i AE l ʃ n̩
fein	f a AC ɪ̯ BB n
feind	f a AC ɪ̯ BB n t
feindlich	f a AC ɪ̯ BB n t l ɪ AK ç
feindschaft	f a AC ɪ̯ BB n t ʃ a AC f t
feindselig	f a AC ɪ̯ BB n t z eː AF l ɪ AK ç
feinfühlig	f a AC ɪ̯ BB n f yː AH l ɪ AK ç
feinfühligkeit	f a AC ɪ̯ BB n f yː AH l ɪ AK ç k a AC ɪ̯ BB t
feingebäck	f a AC ɪ̯ BB n ɡ ə AK b ɛ AK k
feingliedrig	f a AC ɪ̯ BB n ɡ l iː AF d ʁ ɪ AK ç
feinguss	f a AC ɪ̯ BB n ɡ ʊ AI s
feinkörnig	f a AC ɪ̯ BB n k œ AI ʁ n ɪ AK ç
feinmaschig	f a AC ɪ̯ BB n m a AC ʃ ɪ AK ç
feinporig	f a AC ɪ̯ BB n p oː AH ʁ ɪ AK ç
feinpulvrig	f a AC ɪ̯ BB n p ʊ AI l f ʁ ɪ AK ç
feinschmecker	f a AC ɪ̯ BB n ʃ m ɛ AK k ɐ BE
feist	f a AC ɪ̯ BB s t
feitel	f a AC ɪ̯ BB t ə AK l
feld	f ɛ AK l t
felder	f ɛ AK l d ɐ BE
feldes	f ɛ AK l d ə AK s
feldherr	f ɛ AK l t h AA ɛ AK ʁ
feldjäger	f ɛ AK l t j AB ɛː AM ɡ ɐ BE
feldmarschall	f ɛ AK l t m a AC ʁ ʃ a AC l
feldmaus	f ɛ AK l t m a AC ʊ̯ BC s
feldmesser	f ɛ AK l t m ɛ AK s ɐ BE
feldmäuse	f ɛ AK l t m ɔ AI ɪ̯ BB z ə AK
felds	f ɛ AK l t s
feldstein	f ɛ AK l t ʃ t a AC ɪ̯ BB n
feldwebel	f ɛ AK l t v eː AF b ə AK l
feldweg	f ɛ AK l t v eː AF k
feldzeichen	f ɛ AK l t t s a AC ɪ̯ BB ç n̩
felge	f ɛ AK l ɡ ə AK
felix	f eː AF l ɪ AK k s
fell	f ɛ AK l
fellache	f ɛ AK l a AC χ ə AK
fellachin	f ɛ AK l a AC χ ɪ AK n
fellatio	f ɛ AK l aː AD t s j AB o AG
fellchen	f ɛ AK l ç ə AK n
felle	f ɛ AK l ə AK
fellen	f ɛ AK l ə AK n
fellhandschuh	f ɛ AK l h AA a AC n t ʃ uː AH
fels	f ɛ AK l s
felsboden	f ɛ AK l s b oː AH d ə AK n
felsbrocken	f ɛ AK l s b ʁ ɔ AI k n̩
felsvorsprung	f ɛ AK l s f oː AH ɐ̯ ʃ p ʀ ʊ AI ŋ
feme	f eː AF m ə AK
feminismus	f ɛ AK m ɪ AK n ɪ AK s m ʊ AI s
femur	f eː AF m ʊ AI ʁ
fenn	f ɛ AK n
fennek	f ɛ AK n ɛ AK k
fennich	f ɛ AK n ɪ AK ç
fenriswolf	f ɛ AK n ʀ ɪ AK s v ɔ AI l f
fenster	f ɛ AK n s t ɐ BE
fensterbank	f ɛ AK n s t ɐ BE b a AC ŋ k
fensterbrett	f ɛ AK n s t ɐ BE b ʁ ɛ AK t
fensterglas	f ɛ AK n s t ɐ BE ɡ l aː AD s
fensterkitt	f ɛ AK n s t ɐ BE k ɪ AK t
fensterln	f ɛ AK n s t ɐ BE l n
fensterlos	f ɛ AK n s t ɐ BE l oː AH s
fensterraute	f ɛ AK n s t ɐ BE ʁ a AC ʊ̯ BC t ə AK
fensterscheibe	f ɛ AK n s t ɐ BE ʃ a AC ɪ̯ BB b ə AK
fentanyl	f ɛ AK n t a AC n yː AH l
ferienhaus	f eː AF ʁ i AE ə AK n h AA a AC ʊ̯ BC s
ferienhauses	f eː AF ʁ i AE ə AK n h AA a AC ʊ̯ BC z ə AK s
ferienhäuschen	f eː AF ʁ i AE ə AK n h AA ɔ AI ɪ̯ BB s ç ə AK n
ferienhäuser	f eː AF ʁ i AE ə AK n h AA ɔ AI ɪ̯ BB z ɐ BE
ferkel	f ɛ AK r k ə AK l
ferkelkraut	f ɛ AK ɐ̯ k ə AK l k r a AC ʊ̯ BC t
fern	f ɛ AK ʁ n
ferne	f ɛ AK ʀ n ə AK
ferngespräch	f ɛ AK ʁ n ɡ ə AK ʃ p ʁ ɛː AM ç
fernglas	f ɛ AK ʁ n ɡ l aː AD s
fernhalten	f ɛ AK ʁ n h AA a AC l t n̩
fernrohr	f ɛ AK ʁ n ʀ oː AH ɐ̯
fernschreiber	f ɛ AK ʁ n ʃ ʁ a AC ɪ̯ BB b ɐ BE
fernsehapparat	f ɛ AK ʁ n z eː AF a AC p a AC ʀ aː AD t
fernsehen	f ɛ AK ʁ n z eː AF ə AK n
fernseher	f ɛ AK ʁ n z eː AF ɐ BE
fernsehgerät	f ɛ AK ʁ n z eː AF ɡ ə AK ʁ ɛː AM t
fernsehsender	f ɛ AK ʁ n z eː AF z ɛ AK n d ɐ BE
fernuniversität	f ɛ AK ʁ n ʔ u AG n i AE v ɛ AK ʁ z i AE t ɛː AM t
fernunterricht	f ɛ AK ʁ n ʊ AI n t ɐ BE ʀ ɪ AK ç t
fernweh	f ɛ AK ʁ n v eː AF
ferse	f ɛ AK ɐ BE z ə AK
fersen	f ɛ AK ʁ z ə AK n
fertig	f ɛː AM d ɪ AK ç
fertigen	f ɛ AK ʁ t ɪ AK ɡ n̩
fertighaus	f ɛ AK ʁ t ɪ AK ç h AA a AC ʊ̯ BC s
fessel	f ɛ AK s l̩
fest	f ɛ AK s t
feste	f ɛ AK s t ə AK
festessen	f ɛ AK s t ʔ ɛ AK s n̩
festland	f ɛ AK s t l a AC n t
festlegen	f ɛ AK s t l eː AF ɡ ə AK n
festmahl	f ɛ AK s t m aː AD l
festnageln	f ɛ AK s t n aː AD ɡ ə AK l n
festnetz	f ɛ AK s t n ɛ AK t s
festschmaus	f ɛ AK s t ʃ m a AC ʊ̯ BC s
feststellen	f ɛ AK s t ʃ t ɛ AK l ə AK n
feststellung	f ɛ AK s t ʃ t ɛ AK l ʊ AI ŋ
festtag	f ɛ AK s t t aː AD k
festung	f ɛ AK s t ʊ AI ŋ
fete	f eː AF t ə AK
fetisch	f eː AF t ɪ AK ʃ
fetischisieren	f e AE t ɪ AK ʃ ɪ AK z iː AF ʁ ə AK n
fett	f ɛ AK t
fettabsaugung	f ɛ AK t ʔ a AC p z a AC ʊ̯ BC ɡ ʊ AI ŋ
fettarsch	f ɛ AK t ʔ a AC r ʃ
fetten	f ɛ AK t ə AK n
fetthaltig	f ɛ AK t h AA a AC l t ɪ AK ç
fetthältig	f ɛ AK t h AA ɛ AK l t ɪ AK ç
fettig	f ɛ AK t ɪ AK ç
fettigkeit	f ɛ AK t ɪ AK ç k a AC ɪ̯ BB t
fettleber	f ɛ AK t l eː AF b ɐ BE
fettsüchtig	f ɛ AK t z ʏ AI ç t ɪ AK ç
fettwanst	f ɛ AK t v a AC n s t
fetus	f eː AF t ʊ AI s
fetzig	f ɛ AK t s ɪ AK ç
feucht	f ɔ AI ʏ̯ ç t
feuchter	f ɔ AI ʏ̯ ç t ɐ BE
feuchtfröhlich	f ɔ AI ɪ̯ BB ç t f ʁ øː AH l ɪ AK ç
feuchtigkeit	f ɔ AI ʏ AI ç t ɪ AK ç k a AC ɪ̯ BB t
feudal	f ɔ AI ɪ̯ BB d aː AD l
feuer	f ɔ AI ʏ̯ ə AK r
feuerbestattung	f ɔ AI ɪ̯ BB ɐ BE b ə AK ʃ t a AC t ʊ AI ŋ
feuerbohne	f ɔ AI ɪ̯ BB ɐ BE b oː AH n ə AK
feuerbohnen	f ɔ AI ɪ̯ BB ɐ BE b oː AH n ə AK n
feuerfarben	f ɔ AI ɪ̯ BB ɐ BE f a AC ʁ b n̩
feuerfisch	f ɔ AI ɪ̯ BB ɐ BE f ɪ AK ʃ
feuerfische	f ɔ AI ɪ̯ BB ɐ BE f ɪ AK ʃ ə AK
feuerfisches	f ɔ AI ɪ̯ BB ɐ BE f ɪ AK ʃ ə AK s
feuergefährlich	f ɔ AI ɪ̯ BB ɐ BE ɡ ə AK f ɛː AM ɐ̯ l ɪ AK ç
feuerholz	f ɔ AI ɪ̯ BB ɐ BE h AA ɔ AI l t s
feuerkäfer	f ɔ AI ɪ̯ BB ɐ BE k ɛː AM f ɐ BE
feuerland	f ɔ AI ʏ̯ ɐ BE l a AC n t
feuerleiter	f ɔ AI ɪ̯ BB ɐ BE l a AC ɪ̯ BB t ɐ BE
feuerleitern	f ɔ AI ɪ̯ BB ɐ BE l a AC ɪ̯ BB t ɐ BE n
