あ	a̠ AI
こころぼそい	k o̞ AF k o̞ AF ɾ o̞ AF b o̞ AF s o̞ AF i AC
こころみ	k o̞ AF k o̞ AF ɾ o̞ AF mʲ i AC
こころみる	k o̞ AF k o̞ AF ɾ o̞ AF mʲ i AC ɾ ɯ̟ᵝ
こころもち	k o̞ AF k o̞ AF ɾ o̞ AF m o̞ AF t ɕ i AC
こころゆくまで	k o̞ AF k o̞ AF ɾ o̞ AF j AB ɯ̟ᵝ k ɯ̟ᵝ m a̠ AI d e̞ AC
こころよい	k o̞ AF k o̞ AF ɾ o̞ AF j AB o̞ AF i AC
ここんとこ	k o̞ AF k õ̞ n t o̞ AF k o̞ AF
こご	k o̞ AF ɡ o̞ AF
こごえ	k o̞ AF ɡ o̞ AF e̞ AC
こごえしぬ	k o̞ AF ɡ o̞ AF e̞ AC ɕ i AC n ɯ̟ᵝ
こごえる	k o̞ AF ɡ o̞ AF e̞ AC ɾ ɯ̟ᵝ
こごま	k o̞ AF ɡ o̞ AF m a̠ AI
こごる	k o̞ AF ɡ o̞ AF ɾ ɯ̟ᵝ
こさか	k o̞ AF s a̠ AI k a̠ AI
こさけ	k o̞ AF s a̠ AI k e̞ AC
こさめ	k o̞ AF s a̠ AI m e̞ AC
こさん	k o̞ AF s ã̠ ɴ
こざかな	k o̞ AF z a̠ AI k a̠ AI n a̠ AI
こし	k o̞ AF ɕ i AC
こしかける	k o̞ AF ɕ i AC k a̠ AI k e̞ AC ɾ ɯ̟ᵝ
こしつき	k o̞ AF ɕ i AC t s ɨᵝ kʲ i AC
こしぬけ	k o̞ AF ɕ i AC n ɯ̟ᵝ k e̞ AC
こしばき	k o̞ AF ɕ i AC b a̠ AI kʲ i AC
こしふり	k o̞ AF ɕ i AC ɸ ɯ̟ᵝ ɾʲ i AC
こしょ	k o̞ AF ɕ o̞ AF
こしょう	k o̞ AF ɕ o̞ː AE
こしょくぶつがく	k o̞ AF ɕ o̞ AF k ɯ̟ᵝ b ɯ̟ᵝ t s ɨᵝ ɡ a̠ AI k ɯ̟ᵝ
こしょばい	k o̞ AF ɕ o̞ AF b a̠ AI i AC
こしらえる	k o̞ AF ɕ i AC ɾ a̠ AI e̞ AC ɾ ɯ̟ᵝ
こしをおろす	k o̞ AF ɕ i AC o̞ AF o̞ AF ɾ o̞ AF s ɨᵝ
こしんとう	k o̞ AF ɕ ĩ n t o̞ː AE
こじ	k o̞ AF ʑ i AC
こじあける	k o̞ AF ʑ i AC a̠ AI k e̞ AC ɾ ɯ̟ᵝ
こじいん	k o̞ AF ʑ i AC ĩ ɴ
こじしざ	k o̞ AF ʑ i AC ɕ i AC z a̠ AI
こじつけ	k o̞ AF ʑ i AC t s ɨᵝ k e̞ AC
こじつける	k o̞ AF ʑ i AC t s ɨᵝ k e̞ AC ɾ ɯ̟ᵝ
こじつよみ	k o̞ AF ʑ i AC t s ɨᵝ j AB o̞ AF mʲ i AC
こじま	k o̞ AF ʑ i AC m a̠ AI
こじる	k o̞ AF ʑ i AC ɾ ɯ̟ᵝ
こじん	k o̞ AF ʑ ĩ ɴ
こじんてき	k o̞ AF ʑ ĩ n t e̞ AC kʲ i AC
こす	k o̞ AF s ɨᵝ
こすい	k o̞ AF s ɨᵝ i AC
こすう	k o̞ AF s ɨᵝː
こすれる	k o̞ AF s ɨᵝ ɾ e̞ AC ɾ ɯ̟ᵝ
こずえ	k o̞ AF z ɨᵝ e̞ AC
こせい	k o̞ AF s e̞ː AD
こせいだい	k o̞ AF s e̞ː AD d a̠ AI i AC
こせいぶつがく	k o̞ AF s e̞ː AD b ɯ̟ᵝ t s ɨᵝ ɡ a̠ AI k ɯ̟ᵝ
こせがれ	k o̞ AF s e̞ AC ɡ a̠ AI ɾ e̞ AC
こせき	k o̞ AF s e̞ AC kʲ i AC
こせんきょう	k o̞ AF s ẽ̞ ŋʲ kʲ o̞ː AE
こぜに	k o̞ AF z e̞ AC ɲ̟ i AC
こぜりあい	k o̞ AF z e̞ AC ɾʲ i AC a̠ AI i AC
こそう	k o̞ AF s o̞ː AE
こそうじ	k o̞ AF s o̞ː AE ʑ i AC
こそすれ	k o̞ AF s o̞ AF s ɨᵝ ɾ e̞ AC
こそだて	k o̞ AF s o̞ AF d a̠ AI t e̞ AC
こそどろ	k o̞ AF s o̞ AF d o̞ AF ɾ o̞ AF
こぞう	k o̞ AF z o̞ː AE
こぞって	k o̞ AF z o̞ AF t̚ t e̞ AC
こぞる	k o̞ AF z o̞ AF ɾ ɯ̟ᵝ
こたい	k o̞ AF t a̠ AI i AC
こたえ	k o̞ AF t a̠ AI e̞ AC
こたえる	k o̞ AF t a̠ AI e̞ AC ɾ ɯ̟ᵝ
こたけ	k o̞ AF t a̠ AI k e̞ AC
こたつ	k o̞ AF t a̠ AI t s ɨᵝ
こたま	k o̞ AF d a̠ AI m a̠ AI
こだい	k o̞ AF d a̠ AI i AC
こだいこうこく	k o̞ AF d a̠ AI i AC k o̞ː AE k o̞ AF k ɯ̟ᵝ
こだいさんき	k o̞ AF d a̠ AI i AC s ã̠ ŋʲ kʲ i AC
こだいじん	k o̞ AF d a̠ AI i AC ʑ ĩ ɴ
こだいせんでん	k o̞ AF d a̠ AI i AC s ẽ̞ n d ẽ̞ ɴ
こだいもうそう	k o̞ AF d a̠ AI i AC m o̞ː AE s o̞ː AE
こだかい	k o̞ AF d a̠ AI k a̠ AI i AC
こだわる	k o̞ AF d a̠ AI ɰᵝ a̠ AI ɾ ɯ̟ᵝ
こち	k o̞ AF t ɕ i AC
こちとら	k o̞ AF t ɕ i AC t o̞ AF ɾ a̠ AI
こちゃ	k o̞ AF t ɕ a̠ AI
こちょう	k o̞ AF t ɕ o̞ː AE
こちょうせん	k o̞ AF t ɕ o̞ː AE s ẽ̞ ɴ
こちら	k o̞ AF t ɕ i AC ɾ a̠ AI
こちりがく	k o̞ AF t ɕ i AC ɾʲ i AC ɡ a̠ AI k ɯ̟ᵝ
こぢんまり	k o̞ AF ʑ ĩ mː a̠ AI ɾʲ i AC
こっか	k o̞ AF k̚ k a̠ AI
こっかい	k o̞ AF k̚ k a̠ AI i AC
こっかく	k o̞ AF k̚ k a̠ AI k ɯ̟ᵝ
こっかしゃかいしゅぎ	k o̞ AF k̚ k a̠ AI ɕ a̠ AI k a̠ AI i AC ɕ ɨᵝ ɡʲ i AC
こっかしゅぎ	k o̞ AF k̚ k a̠ AI ɕ ɨᵝ ɡʲ i AC
こっから	k o̞ AF k̚ k a̠ AI ɾ a̠ AI
こっかん	k o̞ AF k̚ k ã̠ ɴ
こっき	k o̞ AF k̚ʲ kʲ i AC
こっきょう	k o̞ AF k̚ʲ kʲ o̞ː AE
こっきん	k o̞ AF k̚ʲ kʲ ĩ ɴ
こっくん	k o̞ AF k̚ k ɯ̟̃ᵝ ɴ
こっけいせつ	k o̞ AF k̚ k e̞ː AD s e̞ AC t s ɨᵝ
こっけん	k o̞ AF k̚ k ẽ̞ ɴ
こっこう	k o̞ AF k̚ k o̞ː AE
こっこく	k o̞ AF k̚ k o̞ AF k ɯ̟ᵝ
こっし	k o̞ AF ɕː i AC
こっせつ	k o̞ AF sː e̞ AC t s ɨᵝ
こっそうがく	k o̞ AF sː o̞ː AE ɡ a̠ AI k ɯ̟ᵝ
こっそり	k o̞ AF sː o̞ AF ɾʲ i AC
こったん	k o̞ AF t̚ t ã̠ ɴ
こっち	k o̞ AF t̚ t ɕ i AC
こっとう	k o̞ AF t̚ t o̞ː AE
こっとうひん	k o̞ AF t̚ t o̞ː AE ç ĩ ɴ
こっぱい	k o̞ AF p̚ p a̠ AI i AC
こっぱみじん	k o̞ AF p̚ p a̠ AI mʲ i AC ʑ ĩ ɴ
こつずい	k o̞ AF t s ɨᵝ z ɨᵝ i AC
こつそしょうしょう	k o̞ AF t s ɨ̥ᵝ s o̞ AF ɕ o̞ː AE ɕ o̞ː AE
こつつぼ	k o̞ AF t s ɨᵝ t s ɨᵝ b o̞ AF
こつばん	k o̞ AF t s ɨᵝ b ã̠ ɴ
こつぶ	k o̞ AF t s ɨᵝ b ɯ̟ᵝ
こづか	k o̞ AF z ɨᵝ k a̠ AI
こづかい	k o̞ AF z ɨᵝ k a̠ AI i AC
こづくり	k o̞ AF z ɨᵝ k ɯ̟ᵝ ɾʲ i AC
こづち	k o̞ AF z ɨᵝ t ɕ i AC
こづつみ	k o̞ AF z ɨᵝ t s ɨᵝ mʲ i AC
こてい	k o̞ AF t e̞ː AD
こていちょう	k o̞ AF t e̞ː AD t ɕ o̞ː AE
こていでんわ	k o̞ AF t e̞ː AD d ẽ̞ ɰ̃ AK ɰᵝ a̠ AI
こていばいたい	k o̞ AF t e̞ː AD b a̠ AI i AC t a̠ AI i AC
こてん	k o̞ AF t ẽ̞ ɴ
こてんこだい	k o̞ AF t ẽ̞ ŋ k o̞ AF d a̠ AI i AC
こてんしゅぎ	k o̞ AF t ẽ̞ ɰ̃ AK ɕ ɨᵝ ɡʲ i AC
こてんてき	k o̞ AF t ẽ̞ n t e̞ AC kʲ i AC
こてんりきがく	k o̞ AF t ẽ̞ n ɾʲ i AC kʲ i AC ɡ a̠ AI k ɯ̟ᵝ
こと	k o̞ AF t o̞ AF
ことあまつかみ	k o̞ AF t o̞ AF a̠ AI m a̠ AI t s ɨᵝ k a̠ AI mʲ i AC
ことう	k o̞ AF t o̞ː AE
ことかく	k o̞ AF t o̞ AF k a̠ AI k ɯ̟ᵝ
ことがら	k o̞ AF t o̞ AF ɡ a̠ AI ɾ a̠ AI
ことごとく	k o̞ AF t o̞ AF ɡ o̞ AF t o̞ AF k ɯ̟ᵝ
ことさら	k o̞ AF t o̞ AF s a̠ AI ɾ a̠ AI
ことさらめく	k o̞ AF t o̞ AF s a̠ AI ɾ a̠ AI m e̞ AC k ɯ̟ᵝ
ことざ	k o̞ AF t o̞ AF z a̠ AI
ことし	k o̞ AF t o̞ AF ɕ i AC
ことだま	k o̞ AF t o̞ AF d a̠ AI m a̠ AI
ことどり	k o̞ AF t o̞ AF d o̞ AF ɾʲ i AC
ことなかれしゅぎ	k o̞ AF t o̞ AF n a̠ AI k a̠ AI ɾ e̞ AC ɕ ɨᵝ ɡʲ i AC
ことなる	k o̞ AF t o̞ AF n a̠ AI ɾ ɯ̟ᵝ
ことのは	k o̞ AF t o̞ AF n o̞ AF h AA a̠ AI
ことは	k o̞ AF t o̞ AF h AA a̠ AI
ことば	k o̞ AF t o̞ AF b a̠ AI
ことばあそび	k o̞ AF t o̞ AF b a̠ AI a̠ AI s o̞ AF bʲ i AC
ことばづかい	k o̞ AF t o̞ AF b a̠ AI z ɨᵝ k a̠ AI i AC
ことみ	k o̞ AF t o̞ AF mʲ i AC
ことわざ	k o̞ AF t o̞ AF ɰᵝ a̠ AI z a̠ AI
ことわり	k o̞ AF t o̞ AF ɰᵝ a̠ AI ɾʲ i AC
ことわる	k o̞ AF t o̞ AF ɰᵝ a̠ AI ɾ ɯ̟ᵝ
こどう	k o̞ AF d o̞ː AE
こどおじ	k o̞ AF d o̞ AF o̞ AF ʑ i AC
こどく	k o̞ AF d o̞ AF k ɯ̟ᵝ
こどくかん	k o̞ AF d o̞ AF k ɯ̟ᵝ k ã̠ ɴ
こども	k o̞ AF d o̞ AF m o̞ AF
こどもたち	k o̞ AF d o̞ AF m o̞ AF t a̠ AI t ɕ i AC
こどもだまし	k o̞ AF d o̞ AF m o̞ AF d a̠ AI m a̠ AI ɕ i AC
こどものひ	k o̞ AF d o̞ AF m o̞ AF n o̞ AF ç i AC
こどもべやおじさん	k o̞ AF d o̞ AF m o̞ AF b e̞ AC j AB a̠ AI o̞ AF ʑ i AC s ã̠ ɴ
こないだ	k o̞ AF n a̠ AI i AC d a̠ AI
こなす	k o̞ AF n a̠ AI s ɨᵝ
こなた	k o̞ AF n a̠ AI t a̠ AI
こなちゃ	k o̞ AF n a̠ AI t ɕ a̠ AI
こなべ	k o̞ AF n a̠ AI b e̞ AC
こなべだて	k o̞ AF n a̠ AI b e̞ AC d a̠ AI t e̞ AC
こなみ	k o̞ AF n a̠ AI mʲ i AC
こなゆき	k o̞ AF n a̠ AI j AB ɯ̟ᵝ kʲ i AC
こねこ	k o̞ AF n e̞ AC k o̞ AF
この	k o̞ AF n o̞ AF
このさい	k o̞ AF n o̞ AF s a̠ AI i AC
このさき	k o̞ AF n o̞ AF s a̠ AI kʲ i AC
このたび	k o̞ AF n o̞ AF t a̠ AI bʲ i AC
このは	k o̞ AF n o̞ AF h AA a̠ AI
このはなのさくやひめ	k o̞ AF n o̞ AF h AA a̠ AI n a̠ AI n o̞ AF s a̠ AI k ɯ̟ᵝ j AB a̠ AI ç i AC m e̞ AC
このましい	k o̞ AF n o̞ AF m a̠ AI ɕ iː AD
このみ	k o̞ AF n o̞ AF mʲ i AC
このむ	k o̞ AF n o̞ AF m ɯ̟ᵝ
このよ	k o̞ AF n o̞ AF j AB o̞ AF
こはく	k o̞ AF h AA a̠ AI k ɯ̟ᵝ
こはば	k o̞ AF h AA a̠ AI b a̠ AI
こはるびより	k o̞ AF h AA a̠ AI ɾ ɯ̟ᵝ bʲ i AC j AB o̞ AF ɾʲ i AC
こはん	k o̞ AF h AA ã̠ ɴ
こばか	k o̞ AF b a̠ AI k a̠ AI
こばかにする	k o̞ AF b a̠ AI k a̠ AI ɲ̟ i AC s ɨᵝ ɾ ɯ̟ᵝ
こばと	k o̞ AF b a̠ AI t o̞ AF
こばな	k o̞ AF b a̠ AI n a̠ AI
こばむ	k o̞ AF b a̠ AI m ɯ̟ᵝ
こばん	k o̞ AF b ã̠ ɴ
こばんざめ	k o̞ AF b ã̠ n d z a̠ AI m e̞ AC
こひ	k o̞ AF ç i AC
こひつじ	k o̞ AF ç i̥ AC t s ɨᵝ ʑ i AC
こひょう	k o̞ AF ç o̞ː AE
こび	k o̞ AF bʲ i AC
こびる	k o̞ AF bʲ i AC ɾ ɯ̟ᵝ
こびん	k o̞ AF bʲ ĩ ɴ
こふう	k o̞ AF ɸ ɯ̟ᵝː
こぶ	k o̞ AF b ɯ̟ᵝ
こぶうし	k o̞ AF b ɯ̟ᵝ ɯ̟ᵝ ɕ i AC
こぶし	k o̞ AF b ɯ̟ᵝ ɕ i AC
こぶはくちょう	k o̞ AF b ɯ̟ᵝ h AA a̠ AI k ɯ̟̊ᵝ t ɕ o̞ː AE
こぶり	k o̞ AF b ɯ̟ᵝ ɾʲ i AC
こべつしどう	k o̞ AF b e̞ AC t s ɨᵝ ɕ i AC d o̞ː AE
こぼく	k o̞ AF b o̞ AF k ɯ̟ᵝ
こぼし	k o̞ AF b o̞ AF ɕ i AC
こぼす	k o̞ AF b o̞ AF s ɨᵝ
こぼね	k o̞ AF b o̞ AF n e̞ AC
こぼれ	k o̞ AF b o̞ AF ɾ e̞ AC
こぼれる	k o̞ AF b o̞ AF ɾ e̞ AC ɾ ɯ̟ᵝ
こま	k o̞ AF m a̠ AI
こまい	k o̞ AF m a̠ AI i AC
こまおくり	k o̞ AF m a̠ AI o̞ AF k ɯ̟ᵝ ɾʲ i AC
こまかい	k o̞ AF m a̠ AI k a̠ AI i AC
こまごま	k o̞ AF m a̠ AI ɡ o̞ AF m a̠ AI
こまだい	k o̞ AF m a̠ AI d a̠ AI i AC
こまち	k o̞ AF m a̠ AI t ɕ i AC
こまつ	k o̞ AF m a̠ AI t s ɨᵝ
こまどり	k o̞ AF m a̠ AI d o̞ AF ɾʲ i AC
こまびと	k o̞ AF m a̠ AI bʲ i AC t o̞ AF
こまぶえ	k o̞ AF m a̠ AI b ɯ̟ᵝ e̞ AC
こまります	k o̞ AF m a̠ AI ɾʲ i AC m a̠ AI s ɨᵝ
こまる	k o̞ AF m a̠ AI ɾ ɯ̟ᵝ
こみいる	k o̞ AF mʲ iː AD ɾ ɯ̟ᵝ
こみやま	k o̞ AF mʲ i AC j AB a̠ AI m a̠ AI
こむ	k o̞ AF m ɯ̟ᵝ
こむぎ	k o̞ AF m ɯ̟ᵝ ɡʲ i AC
こむぎこ	k o̞ AF m ɯ̟ᵝ ɡʲ i AC k o̞ AF
こむすび	k o̞ AF m ɯ̟ᵝ s ɨᵝ bʲ i AC
こむすめ	k o̞ AF m ɯ̟ᵝ s ɨᵝ m e̞ AC
こむそう	k o̞ AF m ɯ̟ᵝ s o̞ː AE
こめ	k o̞ AF m e̞ AC
こめい	k o̞ AF m e̞ː AD
こめかみ	k o̞ AF m e̞ AC k a̠ AI mʲ i AC
こめじるし	k o̞ AF m e̞ AC ʑ i AC ɾ ɯ̟ᵝ ɕ i AC
こめる	k o̞ AF m e̞ AC ɾ ɯ̟ᵝ
こもごも	k o̞ AF m o̞ AF ɡ o̞ AF m o̞ AF
こもじ	k o̞ AF m o̞ AF ʑ i AC
こもの	k o̞ AF m o̞ AF n o̞ AF
こもりうた	k o̞ AF m o̞ AF ɾʲ i AC ɯ̟ᵝ t a̠ AI
こもりぐま	k o̞ AF m o̞ AF ɾʲ i AC ɡ ɯ̟ᵝ m a̠ AI
こもる	k o̞ AF m o̞ AF ɾ ɯ̟ᵝ
こもれび	k o̞ AF m o̞ AF ɾ e̞ AC bʲ i AC
こもん	k o̞ AF m õ̞ ɴ
こもんじょがく	k o̞ AF m õ̞ ɲ̟ d ʑ o̞ AF ɡ a̠ AI k ɯ̟ᵝ
こやす	k o̞ AF j AB a̠ AI s ɨᵝ
こやま	o̞ AF j AB a̠ AI m a̠ AI
こゆうめいし	k o̞ AF j AB ɯ̟ᵝː m e̞ː AD ɕ i AC
こゆき	k o̞ AF j AB ɯ̟ᵝ kʲ i AC
こゆび	k o̞ AF j AB ɯ̟ᵝ bʲ i AC
こよい	k o̞ AF j AB o̞ AF i AC
こよぎ	k o̞ AF j AB o̞ AF ɡʲ i AC
こより	k o̞ AF j AB o̞ AF ɾʲ i AC
こら	k o̞ AF ɾ a̠ AI
こらい	k o̞ AF ɾ a̠ AI i AC
こらえる	k o̞ AF ɾ a̠ AI e̞ AC ɾ ɯ̟ᵝ
こらしめる	k o̞ AF ɾ a̠ AI ɕ i AC m e̞ AC ɾ ɯ̟ᵝ
こらす	k o̞ AF ɾ a̠ AI s ɨᵝ
こり	k o̞ AF ɾʲ i AC
こりごり	k o̞ AF ɾʲ i AC ɡ o̞ AF ɾʲ i AC
こりつ	k o̞ AF ɾʲ i AC t s ɨᵝ
こりつご	k o̞ AF ɾʲ i AC t s ɨᵝ ɡ o̞ AF
こりつは	k o̞ AF ɾʲ i AC t s ɨᵝ h AA a̠ AI
こりる	k o̞ AF ɾʲ i AC ɾ ɯ̟ᵝ
こりん	k o̞ AF ɾʲ ĩ ɴ
こる	k o̞ AF ɾ ɯ̟ᵝ
こるり	k o̞ AF ɾ ɯ̟ᵝ ɾʲ i AC
これ	k o̞ AF ɾ e̞ AC
これから	k o̞ AF ɾ e̞ AC k a̠ AI ɾ a̠ AI
これだけ	k o̞ AF ɾ e̞ AC d a̠ AI k e̞ AC
これまで	k o̞ AF ɾ e̞ AC m a̠ AI d e̞ AC
これる	k o̞ AF ɾ e̞ AC ɾ ɯ̟ᵝ
ころ	k o̞ AF ɾ o̞ AF
ころがす	k o̞ AF ɾ o̞ AF ɡ a̠ AI s ɨᵝ
ころがる	k o̞ AF ɾ o̞ AF ɡ a̠ AI ɾ ɯ̟ᵝ
ころし	k o̞ AF ɾ o̞ AF ɕ i AC
ころしや	k o̞ AF ɾ o̞ AF ɕ i AC j AB a̠ AI
ころす	k o̞ AF ɾ o̞ AF s ɨᵝ
ころばぬさきのつえ	k o̞ AF ɾ o̞ AF b a̠ AI n ɯ̟ᵝ s a̠ AI kʲ i AC n o̞ AF t s ɨᵝ e̞ AC
ころぶ	k o̞ AF ɾ o̞ AF b ɯ̟ᵝ
ころも	k o̞ AF ɾ o̞ AF m o̞ AF
ころもじらみ	k o̞ AF ɾ o̞ AF m o̞ AF ʑ i AC ɾ a̠ AI mʲ i AC
こわい	k o̞ AF ɰᵝ a̠ AI i AC
こわがる	k o̞ AF ɰᵝ a̠ AI ɡ a̠ AI ɾ ɯ̟ᵝ
こわす	k o̞ AF ɰᵝ a̠ AI s ɨᵝ
こわだか	k o̞ AF ɰᵝ a̠ AI d a̠ AI k a̠ AI
こわれる	k o̞ AF ɰᵝ a̠ AI ɾ e̞ AC ɾ ɯ̟ᵝ
こん	k õ̞ ɴ
こんい	k õ̞ ɰ̃ AK i AC
こんいろ	k õ̞ ɰ̃ AK i AC ɾ o̞ AF
こんいんのびょうどう	k õ̞ ɰ̃ AK ĩ n n o̞ AF bʲ o̞ː AE d o̞ː AE
こんかい	k õ̞ ŋ k a̠ AI i AC
こんかつ	k õ̞ ŋ k a̠ AI t s ɨᵝ
こんき	k õ̞ ŋʲ kʲ i AC
こんきゅう	k õ̞ ŋʲ kʲ ɨᵝː
こんきょ	k õ̞ ŋʲ kʲ o̞ AF
こんげつ	k õ̞ ŋ ɡ e̞ AC t s ɨᵝ
こんげん	k õ̞ ŋ ɡ ẽ̞ ɴ
こんこうりん	k õ̞ ŋ k o̞ː AE ɾʲ ĩ ɴ
こんこん	k õ̞ ŋ k õ̞ ɴ
こんご	k õ̞ ŋ ɡ o̞ AF
こんごう	k õ̞ ŋ ɡ o̞ː AE
こんごういんこ	k õ̞ ŋ ɡ o̞ː AE ĩ ŋ k o̞ AF
こんごうきょう	k õ̞ ŋ ɡ o̞ː AE kʲ o̞ː AE
こんごうさん	k õ̞ ŋ ɡ o̞ː AE s ã̠ ɴ
こんごうせき	k õ̞ ŋ ɡ o̞ː AE s e̞ AC kʲ i AC
こんごうづえ	k õ̞ ŋ ɡ o̞ː AE z ɨᵝ e̞ AC
こんごうりん	k õ̞ ŋ ɡ o̞ː AE ɾʲ ĩ ɴ
こんざい	k õ̞ n d z a̠ AI i AC
こんざつ	k õ̞ n d z a̠ AI t s ɨᵝ
こんしょく	k õ̞ ɰ̃ AK ɕ o̞ AF k ɯ̟ᵝ
こんしん	k õ̞ ɰ̃ AK ɕ ĩ ɴ
こんしんかい	k õ̞ ɰ̃ AK ɕ ĩ ŋ k a̠ AI i AC
こんじゃく	k õ̞ ɲ̟ d ʑ a̠ AI k ɯ̟ᵝ
こんじょう	k õ̞ ɲ̟ d ʑ o̞ː AE
こんせき	k õ̞ ɰ̃ AK s e̞ AC kʲ i AC
こんせつ	k õ̞ ɰ̃ AK s e̞ AC t s ɨᵝ
こんせん	k õ̞ ɰ̃ AK s ẽ̞ ɴ
こんぜつ	k õ̞ n d z e̞ AC t s ɨᵝ
こんた	k õ̞ n t a̠ AI
こんたん	k õ̞ n t ã̠ ɴ
こんだけ	k õ̞ n d a̠ AI k e̞ AC
こんちくしょう	k õ̞ ɲ̟ t ɕ i AC k ɯ̟ᵝ ɕ o̞ː AE
こんちゅう	k õ̞ ɲ̟ t ɕ ɨᵝː
こんとん	k õ̞ n t õ̞ ɴ
こんど	k õ̞ n d o̞ AF
こんにち	k õ̞ ɲ̟ ɲ̟ i AC t ɕ i AC
こんにちは	k õ̞ ɲ̟ ɲ̟ i AC t ɕ i AC ɰᵝ a̠ AI
こんにゃく	k õ̞ ɲ̟ ɲ̟ a̠ AI k ɯ̟ᵝ
こんばん	k õ̞ m b ã̠ ɴ
こんばんは	k õ̞ m b ã̠ ɰ̃ AK ɰᵝ a̠ AI
こんばんわ	k õ̞ m b ã̠ ɰ̃ AK ɰᵝ a̠ AI
こんぶちゃ	k õ̞ m b ɯ̟ᵝ t ɕ a̠ AI
こんぺき	k õ̞ m p e̞ AC kʲ i AC
こんぽん	k õ̞ m p õ̞ ɴ
こんやく	k õ̞ ɰ̃ AK j AB a̠ AI k ɯ̟ᵝ
こんやくしゃ	k õ̞ ɰ̃ AK j AB a̠ AI k ɯ̟̊ᵝ ɕ a̠ AI
こんよう	k õ̞ ɰ̃ AK j AB o̞ː AE
こんよく	k õ̞ ɰ̃ AK j AB o̞ AF k ɯ̟ᵝ
こんらん	k õ̞ n ɾ ã̠ ɴ
こんりゅう	k õ̞ n ɾʲ ɨᵝː
こんりんざい	k õ̞ n ɾʲ ĩ n d z a̠ AI i AC
こんれい	k õ̞ n ɾ e̞ː AD
こんろ	k õ̞ n ɾ o̞ AF
こんわく	k õ̞ ɰ̃ AK ɰᵝ a̠ AI k ɯ̟ᵝ
こ゚	ŋ o̞ AF
ご	ɡ o̞ AF
ごあく	ɡ o̞ AF a̠ AI k ɯ̟ᵝ
ごい	ɡ o̞ AF i AC
ごいさぎ	ɡ o̞ AF i AC s a̠ AI ɡʲ i AC
ごいしゅう	ɡ o̞ AF i AC ɕ ɨᵝː
ごいりょく	ɡ o̞ AF i AC ɾʲ o̞ AF k ɯ̟ᵝ
ごいん	ɡ o̞ AF ĩ ɴ
ごう	ɡ o̞ː AE
ごうい	ɡ o̞ː AE i AC
ごうう	ɡ o̞ː AE ɯ̟ᵝ
ごうか	ɡ o̞ː AE k a̠ AI
ごうかい	ɡ o̞ː AE k a̠ AI i AC
ごうかん	ɡ o̞ː AE k ã̠ ɴ
ごうかんはん	ɡ o̞ː AE k ã̠ ɰ̃ AK h AA ã̠ ɴ
ごうがしゃ	ɡ o̞ː AE ɡ a̠ AI ɕ a̠ AI
ごうがふかい	ɡ o̞ː AE ɡ a̠ AI ɸ ɯ̟ᵝ k a̠ AI i AC
ごうきん	ɡ o̞ː AE kʲ ĩ ɴ
ごうぎ	ɡ o̞ː AE ɡʲ i AC
ごうけい	ɡ o̞ː AE k e̞ː AD
ごうけん	ɡ o̞ː AE k ẽ̞ ɴ
ごうご	ɡ o̞ː AE ɡ o̞ AF
ごうざい	ɡ o̞ː AE z a̠ AI i AC
ごうじ	ɡ o̞ː AE ʑ i AC
ごうせい	ɡ o̞ː AE s e̞ː AD
ごうせいご	ɡ o̞ː AE s e̞ː AD ɡ o̞ AF
ごうせいすう	ɡ o̞ː AE s e̞ː AD s ɨᵝː
ごうせいせんざい	ɡ o̞ː AE s e̞ː AD s ẽ̞ n d z a̠ AI i AC
ごうせつ	ɡ o̞ː AE s e̞ AC t s ɨᵝ
ごうだつ	ɡ o̞ː AE d a̠ AI t s ɨᵝ
ごうてい	ɡ o̞ː AE t e̞ː AD
ごうどうし	ɡ o̞ː AE d o̞ː AE ɕ i AC
ごうにいってはごうにしたがえ	ɡ o̞ː AE ɲ̟ i AC i AC t̚ t e̞ AC ɰᵝ a̠ AI ɡ o̞ː AE ɲ̟ i AC ɕ i AC t a̠ AI ɡ a̠ AI e̞ AC
ごうべんがいしゃ	ɡ o̞ː AE b ẽ̞ ŋ ɡ a̠ AI i AC ɕ a̠ AI
ごうほう	ɡ o̞ː AE h AA o̞ː AE
ごうもん	ɡ o̞ː AE m õ̞ ɴ
ごうよく	ɡ o̞ː AE j AB o̞ AF k ɯ̟ᵝ
ごうり	ɡ o̞ː AE ɾʲ i AC
ごうりか	ɡ o̞ː AE ɾʲ i AC k a̠ AI
ごうりてき	ɡ o̞ː AE ɾʲ i AC t e̞ AC kʲ i AC
ごうりゃくがな	ɡ o̞ː AE ɾʲ a̠ AI k ɯ̟ᵝ ɡ a̠ AI n a̠ AI
ごうりゅう	ɡ o̞ː AE ɾʲ ɨᵝː
ごうん	ɡ o̞ AF ɯ̟̃ᵝ ɴ
ごえい	ɡ o̞ AF e̞ː AD
ごえもんぶろ	ɡ o̞ AF e̞ AC m õ̞ m b ɯ̟ᵝ ɾ o̞ AF
ごおん	ɡ o̞ AF õ̞ ɴ
ごか	ɡ o̞ AF k a̠ AI
ごかくけい	ɡ o̞ AF k a̠ AI k ɯ̟̊ᵝ k e̞ː AD
ごかん	ɡ o̞ AF k ã̠ ɴ
ごかんせい	ɡ o̞ AF k ã̠ ɰ̃ AK s e̞ː AD
ごがつ	ɡ o̞ AF ɡ a̠ AI t s ɨᵝ
