ᆜ	j AB ɯ AD
머핀	m ʌ̹ pʰ i AD n
먹	m ʌ̹ k̚
먹구름	m ʌ̹ k̚ k͈ u AE ɾ ɯ AD m
먹다	m ʌ̹ k̚ t͈ a̠ AF
먹물	m ʌ̹ ŋ m u AE ɭ
먹방	m ʌ̹ k̚ p͈ a̠ AF ŋ
먹이	m ʌ̹ ɡ i AD
먹이그물	m ʌ̹ ɡ i AD ɡ ɯ AD m u AE ɭ
먹이다	m ʌ̹ ɡ i AD d a̠ AF
먼저	m ʌ̹ ɲ d ʑ ʌ̹
먼지	m ʌ̹ ɲ d ʑ i AD
먿	m ʌ̹ t̚
멀다	m ɘː AD ɭ d a̠ AF
멀리	m ɘː AD ʎ ʎ i AD
멀미	m ʌ̹ ɭ m i AD
멀어지다	m ɘː AD ɾ ʌ̹ d ʑ i AD d a̠ AF
멀쩡	m ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ
멀쩡하다	m ʌ̹ ʎ t ɕ͈ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
멀찌감치	m ʌ̹ ʎ t ɕ͈ i AD ɡ a̠ AF m t ɕʰ i AD
멈	m ʌ̹ m
멈추다	m ʌ̹ m t ɕʰ u AE d a̠ AF
멈칫	m ʌ̹ m t ɕʰ i AD t̚
멋	m ʌ̹ t̚
멋없다	m ʌ̹ d ʌ̹ p̚ t͈ a̠ AF
멋있다	m ʌ̹ ɕʰ i AD t̚ t͈ a̠ AF
멋지다	m ʌ̹ t̚ t ɕ͈ i AD d a̠ AF
멍멍	m ʌ̹ ŋ m ʌ̹ ŋ
멍멍이	m ʌ̹ ŋ m ʌ̹ ŋ i AD
멍에	m ʌ̹ ŋ e̞ AD
멍청이	m ʌ̹ ŋ t ɕʰ ʌ̹ ŋ i AD
멍청하다	m ʌ̹ ŋ t ɕʰ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
멍텅구리	m ʌ̹ ŋ tʰ ʌ̹ ŋ ɡ u AE ɾ i AD
멍하다	m ɘː AD ŋ ɦ AA a̠ AF d a̠ AF
멎다	m ʌ̹ t̚ t͈ a̠ AF
멓	m ʌ̹ t̚
메	m e̞ AD
메가나	m e̞ AD ɡ a̠ AF n a̠ AF
메기	m e̞ː AD ɡ i AD
메뉴	m e̞ AD ɲ j AB u AE
메다	m e̞ː AD d a̠ AF
메달	m e̞ AD d a̠ AF ɭ
메뚜기	m e̞ AD t͈ u AE ɡ i AD
메모	m e̞ AD m o̞ AE
메모리	m e̞ AD m o̞ AE ɾ i AD
메밀	m e̞ AD m i AD ɭ
메서드	m e̞ AD sʰ ʌ̹ d ɯ AD
메소드	m e̞ AD sʰ o̞ AE d ɯ AD
메시아	m e̞ AD ɕʰ i AD a̠ AF
메시지	m e̞ AD ɕʰ i AD d ʑ i AD
메쏘드	m e̞ AD s͈ o̞ AE d ɯ AD
메아리	m e̞ AD a̠ AF ɾ i AD
메이스	m e̞ AD i AD sʰ ɯ AD
메인트	m e̞ AD i AD n tʰ ɯ AD
메일	m e̞ AD i AD ɭ
메추라기	m e̞ AD t ɕʰ u AE ɾ a̠ AF ɡ i AD
메카	m e̞ AD kʰ a̠ AF
메탄	m e̞ AD tʰ a̠ AF n
메탐페타민	m e̞ AD tʰ a̠ AF m pʰ e̞ AD tʰ a̠ AF m i AD n
메터	m e̞ AD tʰ ʌ̹
메테인	m e̞ AD tʰ e̞ AD i AD n
메토끼	m e̞ AD tʰ o̞ AE k͈ i AD
메히꼬	m e̞ AD ʝ i AD k͈ o̞ AE
멕	m e̞ AD k̚
멕시코	m e̞ AD k ɕ͈ i AD kʰ o̞ AE
멕시코시티	m e̞ AD k ɕ͈ i AD kʰ o̞ AE ɕʰ i AD tʰ i AD
멘델레븀	m e̞ AD n d e̞ AD ɭ ɭ e̞ AD b j AB u AE m
멘붕	m e̞ AD n b u AE ŋ
멛	m e̞ AD t̚
멜라닌	m e̞ AD ɭ ɭ a̠ AF n i AD n
멜로	m e̞ AD ɭ ɭ o̞ AE
멜로드라마	m e̞ AD ɭ ɭ o̞ AE d ɯ AD ɾ a̠ AF m a̠ AF
멜로디	m e̞ AD ɭ ɭ o̞ AE d i AD
멜론	m e̞ AD ɭ ɭ o̞ AE n
멜버른	m e̞ AD ɭ b ʌ̹ ɾ ɯ AD n
멜번	m e̞ AD ɭ b ʌ̹ n
멤	m e̞ AD m
멤버	m e̞ AD m b ʌ̹
멥쌀	m e̞ AD p s͈ a̠ AF ɭ
멧닭	m e̞ AD t̚ t͈ a̠ AF k̚
멧박쥐	m e̞ AD t̚ p͈ a̠ AF k̚ t ɕ͈ ɥ AC i AD
멧밭쥐	m e̞ AD t̚ p͈ a̠ AF t̚ t ɕ͈ ɥ AC i AD
멧토끼	m e̞ AD t̚ tʰ o̞ AE k͈ i AD
멩	m e̞ AD ŋ
멯	m e̞ AD t̚
며느리	m j AB ʌ̹ n ɯ AD ɾ i AD
며칠	m j AB ʌ̹ t ɕʰ i AD ɭ
멱	m j AB ʌ̹ k̚
멱살	m j AB ʌ̹ k s͈ a̠ AF ɭ
면	m j AB ʌ̹ n
면도	m j AB ɘː AD n d o̞ AE
면도기	m j AB ɘː AD n d o̞ AE ɡ i AD
면도칼	m j AB ɘː AD n d o̞ AE kʰ a̠ AF ɭ
면도하다	m j AB ɘː AD n d o̞ AE ɦ AA a̠ AF d a̠ AF
면밀히	m j AB ʌ̹ n m i AD ɾ ʝ i AD
면발	m j AB ʌ̹ n b a̠ AF ɭ
면사	m j AB ʌ̹ n sʰ a̠ AF
면서	m j AB ʌ̹ n sʰ ʌ̹
면세	m j AB ɘː AD n sʰ e̞ AD
면양	m j AB ʌ̹ ɲ j AB a̠ AF ŋ
면역	m j AB ɘː AD ɲ j AB ʌ̹ k̚
면역학	m j AB ɘː AD ɲ j AB ʌ̹ kʰ a̠ AF k̚
면적	m j AB ɘː AD ɲ d ʑ ʌ̹ k̚
면전	m j AB ʌ̹ ɲ d ʑ ʌ̹ n
면접	m j AB ɘː AD ɲ d ʑ ʌ̹ p̚
면포	m j AB ʌ̹ n pʰ o̞ AE
면하다	m j AB ɘː AD n ɦ AA a̠ AF d a̠ AF
면허증	m j AB ɘː AD n ɦ AA ʌ̹ t ɕ͈ ɯ AD ŋ
멷	m j AB ʌ̹ t̚
멸	m j AB ʌ̹ ɭ
멸망	m j AB ʌ̹ ɭ m a̠ AF ŋ
멸시	m j AB ʌ̹ ɭ ɕʰ i AD
멸종	m j AB ʌ̹ ʎ t ɕ͈ o̞ AE ŋ
멸치	m j AB ʌ̹ ʎ t ɕʰ i AD
몀	m j AB ʌ̹ m
몁	m j AB ʌ̹ p̚
몂	m j AB ʌ̹ p̚
몃	m j AB ʌ̹ t̚
몄	m j AB ʌ̹ t̚
명	m j AB ʌ̹ ŋ
명곡	m j AB ʌ̹ ŋ ɡ o̞ AE k̚
명관	m j AB ʌ̹ ŋ ɡ w AC a̠ AF n
명단	m j AB ʌ̹ ŋ d a̠ AF n
명동	m j AB ʌ̹ ŋ d o̞ AE ŋ
명란	m j AB ʌ̹ ŋ n a̠ AF n
명령	m j AB ɘː AD ŋ ɲ j AB ʌ̹ ŋ
명령법	m j AB ɘː AD ŋ ɲ j AB ʌ̹ ŋ p͈ ʌ̹ p̚
명령하다	m j AB ɘː AD ŋ ɲ j AB ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
명말청초	m j AB ʌ̹ ŋ m a̠ AF ʎ t ɕʰ ʌ̹ ŋ t ɕʰ o̞ AE
명명	m j AB ɘː AD ŋ m j AB ʌ̹ ŋ
명명법	m j AB ɘː AD ŋ m j AB ʌ̹ ŋ p͈ ʌ̹ p̚
명명하다	m j AB ɘː AD ŋ m j AB ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
명부	m j AB ʌ̹ ŋ b u AE
명사	m j AB ʌ̹ ŋ sʰ a̠ AF
명성	m j AB ʌ̹ ŋ sʰ ʌ̹ ŋ
명소	m j AB ʌ̹ ŋ sʰ o̞ AE
명수	m j AB ʌ̹ ŋ sʰ u AE
명예	m j AB ʌ̹ ŋ j AB e̞ AD
명왕성	m j AB ʌ̹ ŋ w AC a̠ AF ŋ sʰ ʌ̹ ŋ
명운	m j AB ɘː AD ŋ u AE n
명의	m j AB ʌ̹ ŋ ɰ AB i AD
명인	m j AB ʌ̹ ŋ i AD n
명일	m j AB ʌ̹ ŋ i AD ɭ
명자	m j AB ʌ̹ ŋ t ɕ͈ a̠ AF
명절	m j AB ʌ̹ ŋ d ʑ ʌ̹ ɭ
명주	m j AB ʌ̹ ŋ d ʑ u AE
명중	m j AB ɘː AD ŋ d ʑ u AE ŋ
명칭	m j AB ʌ̹ ŋ t ɕʰ i AD ŋ
명하다	m j AB ɘː AD ŋ ɦ AA a̠ AF d a̠ AF
명함	m j AB ʌ̹ ŋ ɦ AA a̠ AF m
몆	m j AB ʌ̹ t̚
몇	m j AB ʌ̹ t̚
몇몇	m j AB ʌ̹ n m j AB ʌ̹ t̚
몋	m j AB ʌ̹ t̚
몓	m j AB e̞ AD t̚
몜	m j AB e̞ AD m
몡	m j AB e̞ AD ŋ
몧	m j AB e̞ AD t̚
모가디슈	m o̞ AE ɡ a̠ AF d i AD ɕʰ u AE
모과	m o̞ː AE ɡ w AC a̠ AF
모교	m o̞ː AE ɡ j AB o AE
모국	m o̞ː AE ɡ u AE k̚
모국어	m o̞ː AE ɡ u AE ɡ ʌ̹
모금	m o̞ AE ɡ ɯ AD m
모기	m o̞ː AE ɡ i AD
모나코	m o̞ AE n a̠ AF kʰ o̞ AE
모니터	m o̞ AE n i AD tʰ ʌ̹
모니터링	m o̞ AE n i AD tʰ ʌ̹ ɾ i AD ŋ
모델	m o̞ AE d e̞ AD ɭ
모뎀	m o̞ AE d e̞ AD m
모독	m o̞ː AE d o̞ AE k̚
모두	m o̞ AE d u AE
모듈	m o̞ AE d j AB u AE ɭ
모드	m o̞ AE d ɯ AD
모든	m o̞ː AE d ɯ AD n
모듬	m o̞ AE d ɯ AD m
모란	m o̞ AE ɾ a̠ AF n
모란봉	m o̞ AE ɾ a̠ AF n b o̞ AE ŋ
모레	m o̞ː AE ɾ e̞ AD
모로니	m o̞ AE ɾ o̞ AE n i AD
모로코	m o̞ AE ɾ o̞ AE kʰ o̞ AE
모루	m o̞ː AE ɾ u AE
모르다	m o̞ː AE ɾ ɯ AD d a̠ AF
모르폴린	m o̞ AE ɾ ɯ AD pʰ o̞ AE ʎ ʎ i AD n
모르핀	m o̞ AE ɾ ɯ AD pʰ i AD n
모리셔스	m o̞ AE ɾ i AD ɕʰ ʌ̹ sʰ ɯ AD
모리타니	m o̞ AE ɾ i AD tʰ a̠ AF n i AD
모반	m o̞ː AE b a̠ AF n
모방	m o̞ AE b a̠ AF ŋ
모방하다	m o̞ AE b a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
모사	m o̞ AE sʰ a̠ AF
모서리	m o̞ AE sʰ ʌ̹ ɾ i AD
모세	m o̞ AE sʰ e̞ AD
모세관	m o̞ AE sʰ e̞ AD ɡ w AC a̠ AF n
모세혈관	m o̞ AE sʰ e̞ AD ʝ j AB ʌ̹ ɭ ɡ w AC a̠ AF n
모순	m o̞ AE sʰ u AE n
모스코븀	m o̞ AE sʰ ɯ AD kʰ o̞ AE b j AB u AE m
모스크	m o̞ AE sʰ ɯ AD k x ɯ AD
모스크바	m o̞ AE sʰ ɯ AD k x ɯ AD b a̠ AF
모슬포	m o̞ AE sʰ ɯ AD ɭ pʰ o̞ AE
모습	m o̞ AE sʰ ɯ AD p̚
모시다	m o̞ː AE ɕʰ i AD d a̠ AF
모양	m o̞ AE j AB a̠ AF ŋ
모어	m o̞ː AE ʌ̹
모에	m o̞ AE e̞ AD
모오케	m o̞ AE o̞ AE kʰ e̞ AD
모욕	m o̞ː AE j AB o AE k̚
모욕하다	m o̞ː AE j AB o AE kʰ a̠ AF d a̠ AF
모용	m o̞ AE j AB o AE ŋ
모으다	m o̞ AE ɯ AD d a̠ AF
모음	m o̞ː AE ɯ AD m
모음조화	m o̞ː AE ɯ AD m d ʑ o̞ AE β w AC a̠ AF
모이	m o̞ AE i AD
모이다	m o̞ AE i AD d a̠ AF
모임	m o̞ AE i AD m
모자	m o̞ː AE d ʑ a̠ AF
모자라다	m o̞ː AE d ʑ a̠ AF ɾ a̠ AF d a̠ AF
모자반	m o̞ AE d ʑ a̠ AF b a̠ AF n
모자이크	m o̞ AE d ʑ a̠ AF i AD k x ɯ AD
모잠비크	m o̞ AE d ʑ a̠ AF m b i AD k x ɯ AD
모전	m o̞ AE d ʑ ʌ̹ n
모조리	m o̞ AE d ʑ o̞ AE ɾ i AD
모처럼	m o̞ AE t ɕʰ ʌ̹ ɾ ʌ̹ m
모충	m o̞ AE t ɕʰ u AE ŋ
모치망둑	m o̞ AE t ɕʰ i AD m a̠ AF ŋ d u AE k̚
모터	m o̞ AE tʰ ʌ̹
모터보트	m o̞ AE tʰ ʌ̹ b o̞ AE tʰ ɯ AD
모텔	m o̞ AE tʰ e̞ AD ɭ
모토	m o̞ AE tʰ o̞ AE
모퉁이	m o̞ AE tʰ u AE ŋ i AD
모페드	m o̞ AE pʰ e̞ AD d ɯ AD
모피	m o̞ AE pʰ i AD
모험	m o̞ː AE ɦ AA ʌ̹ m
모형	m o̞ AE ʝ j AB ʌ̹ ŋ
모호하다	m o̞ AE β o̞ AE ɦ AA a̠ AF d a̠ AF
목	m o̞ AE k̚
목격자	m o̞ AE k̚ k͈ j AB ʌ̹ k̚ t ɕ͈ a̠ AF
목구멍	m o̞ AE k̚ k͈ u AE m ʌ̹ ŋ
목금	m o̞ AE k̚ k͈ ɯ AD m
목다리	m o̞ AE k̚ t͈ a̠ AF ɾ i AD
목도리	m o̞ AE k̚ t͈ o̞ AE ɾ i AD
목란	m o̞ AE ŋ n a̠ AF n
목련	m o̞ AE ŋ ɲ j AB ʌ̹ n
목록	m o̞ AE ŋ n o̞ AE k̚
목마	m o̞ AE ŋ m a̠ AF
목마르다	m o̞ AE ŋ m a̠ AF ɾ ɯ AD d a̠ AF
목마름	m o̞ AE ŋ m a̠ AF ɾ ɯ AD m
목면	m o̞ AE ŋ m j AB ʌ̹ n
목발	m o̞ AE k̚ p͈ a̠ AF ɭ
목사	m o̞ AE k s͈ a̠ AF
목사님	m o̞ AE k s͈ a̠ AF n i AD m
목석	m o̞ AE k s͈ ʌ̹ k̚
목성	m o̞ AE k s͈ ʌ̹ ŋ
목소리	m o̞ AE k s͈ o̞ AE ɾ i AD
목수	m o̞ AE k s͈ u AE
목숨	m o̞ AE k s͈ u AE m
목슈권	m o̞ AE k ɕ͈ u AE ɡ w AC ʌ̹ n
목요일	m o̞ AE ɡ j AB o AE i AD ɭ
목욕	m o̞ AE ɡ j AB o AE k̚
목욕실	m o̞ AE ɡ j AB o AE k ɕ͈ i AD ɭ
목욕탕	m o̞ AE ɡ j AB o AE k̚ tʰ a̠ AF ŋ
목욕하다	m o̞ AE ɡ j AB o AE kʰ a̠ AF d a̠ AF
목자	m o̞ AE k̚ t ɕ͈ a̠ AF
목장	m o̞ AE k̚ t ɕ͈ a̠ AF ŋ
목적	m o̞ AE k̚ t ɕ͈ ʌ̹ k̚
목적론	m o̞ AE k̚ t ɕ͈ ʌ̹ ŋ n o̞ AE n
목적지	m o̞ AE k̚ t ɕ͈ ʌ̹ k̚ t ɕ͈ i AD
목전	m o̞ AE k̚ t ɕ͈ ʌ̹ n
목젖	m o̞ AE k̚ t ɕ͈ ʌ̹ t̚
목차	m o̞ AE k̚ t ɕʰ a̠ AF
목청	m o̞ AE k̚ t ɕʰ ʌ̹ ŋ
목청껏	m o̞ AE k̚ t ɕʰ ʌ̹ ŋ k͈ ʌ̹ t̚
목탄	m o̞ AE k̚ tʰ a̠ AF n
목통	m o̞ AE k̚ tʰ o̞ AE ŋ
목표	m o̞ AE k̚ pʰ j AB o AE
목피	m o̞ AE k̚ pʰ i AD
목화	m o̞ AE kʰ w AC a̠ AF
몪	m o̞ AE k̚
몫	m o̞ AE k̚
몫몫이	m o̞ AE ŋ m o̞ AE k ɕ͈ i AD
몬	m o̞ AE n
몬로비아	m o̞ AE ɭ ɭ o̞ AE b i AD a̠ AF
몬순	m o̞ AE n sʰ u AE n
몬스터	m o̞ AE n sʰ ɯ AD tʰ ʌ̹
몬테네그로	m o̞ AE n tʰ e̞ AD n e̞ AD ɡ ɯ AD ɾ o̞ AE
몬테비데오	m o̞ AE n tʰ e̞ AD b i AD d e̞ AD o̞ AE
몬트리올	m o̞ AE n tʰ ɯ AD ɾ i AD o̞ AE ɭ
몯	m o̞ AE t̚
몰	m o̞ AE ɭ
몰골	m o̞ AE ɭ ɡ o̞ AE ɭ
몰다	m o̞ː AE ɭ d a̠ AF
몰다비아	m o̞ AE ɭ d a̠ AF b i AD a̠ AF
몰도바	m o̞ AE ɭ d o̞ AE b a̠ AF
몰디브	m o̞ AE ɭ d i AD b ɯ AD
몰라	m o̞ AE ɭ ɭ a̠ AF
몰리브데넘	m o̞ AE ʎ ʎ i AD b ɯ AD d e̞ AD n ʌ̹ m
몰상식	m o̞ AE ɭ s͈ a̠ AF ŋ ɕʰ i AD k̚
몰약	m o̞ AE ɾ j AB a̠ AF k̚
몰카	m o̞ AE ɭ kʰ a̠ AF
몰타	m o̞ AE ɭ tʰ a̠ AF
몰타어	m o̞ AE ɭ tʰ a̠ AF ʌ̹
몸	m o̞ AE m
몸비누	m o̞ AE m b i AD n u AE
몸빛깔	m o̞ AE m p͈ i AD t̚ k͈ a̠ AF ɭ
몸살	m o̞ AE m sʰ a̠ AF ɭ
몸소	m o̞ AE m sʰ o̞ AE
몸조리	m o̞ AE m d ʑ o̞ AE ɾ i AD
몸짓	m o̞ AE m t ɕ͈ i AD t̚
몸통	m o̞ AE m tʰ o̞ AE ŋ
몹	m o̞ AE p̚
몹시	m o̞ː AE p ɕ͈ i AD
몺	m o̞ AE p̚
못	m o̞ː AE t̚
못지않다	m o̞ː AE t̚ t ɕ͈ i AD a̠ AF n tʰ a̠ AF
못하다	m o̞ AE tʰ a̠ AF d a̠ AF
몼	m o̞ AE t̚
몽	m o̞ AE ŋ
몽강	m o̞ AE ŋ ɡ a̠ AF ŋ
몽고	m o̞ AE ŋ ɡ o̞ AE
몽골	m o̞ AE ŋ ɡ o̞ AE ɭ
몽골어	m o̞ AE ŋ ɡ o̞ AE ɾ ʌ̹
몽구스	m o̞ AE ŋ ɡ u AE sʰ ɯ AD
몽둥이	m o̞ AE ŋ d u AE ŋ i AD
몽따쥬	m o̞ AE ŋ t͈ a̠ AF d ʑ u AE
몽롱	m o̞ AE ŋ n o̞ AE ŋ
몽롱하다	m o̞ AE ŋ n o̞ AE ŋ ɦ AA a̠ AF d a̠ AF
몽어	m o̞ AE ŋ ʌ̹
몽정	m o̞ː AE ŋ d ʑ ʌ̹ ŋ
몽타주	m o̞ AE ŋ tʰ a̠ AF d ʑ u AE
몾	m o̞ AE t̚
몿	m o̞ AE t̚
뫀	m o̞ AE k̚
뫁	m o̞ AE t̚
뫂	m o̞ AE p̚
뫃	m o̞ AE t̚
묘	m j AB o AE
묘미	m j AB oː AE m i AD
묘사	m j AB oː AE sʰ a̠ AF
묘사하다	m j AB oː AE sʰ a̠ AF ɦ AA a̠ AF d a̠ AF
묘지	m j AB oː AE d ʑ i AD
묠니르	m j AB o AE ʎ ʎ i AD ɾ ɯ AD
무	m uː AE
무겁다	m u AE ɡ ʌ̹ p̚ t͈ a̠ AF
무게	m u AE ɡ e̞ AD
무관심하다	m u AE ɡ w AC a̠ AF n ɕʰ i AD m ɦ AA a̠ AF d a̠ AF
무국적	m u AE ɡ u AE k̚ t ɕ͈ ʌ̹ k̚
무궁화	m u AE ɡ u AE ŋ β w AC a̠ AF
무기	m uː AE ɡ i AD
무기고	m uː AE ɡ i AD ɡ o̞ AE
무너지다	m u AE n ʌ̹ d ʑ i AD d a̠ AF
무능	m u AE n ɯ AD ŋ
무능력	m u AE n ɯ AD ŋ ɲ j AB ʌ̹ k̚
무능력자	m u AE n ɯ AD ŋ ɲ j AB ʌ̹ k̚ t ɕ͈ a̠ AF
무늬	m u AE n i AD
무늬망둑	m u AE n i AD m a̠ AF ŋ d u AE k̚
무닥데기	m u AE d a̠ AF k̚ t͈ e̞ AD ɡ i AD
무당	m uː AE d a̠ AF ŋ
무당벌레	m u AE d a̠ AF ŋ b ʌ̹ ɭ ɭ e̞ AD
무덤	m u AE d ʌ̹ m
무덥다	m u AE d ʌ̹ p̚ t͈ a̠ AF
무디다	m u AE d i AD d a̠ AF
무뚝뚝하다	m u AE t͈ u AE k̚ t͈ u AE kʰ a̠ AF d a̠ AF
무려	m u AE ɾ j AB ʌ̹
무력	m u AE ɾ j AB ʌ̹ k̚
무렵	m u AE ɾ j AB ʌ̹ p̚
무례	m u AE ɾ j AB e̞ AD
무료	m u AE ɾ j AB o AE
무르다	m u AE ɾ ɯ AD d a̠ AF
무릇	m u AE ɾ ɯ AD t̚
무릎	m u AE ɾ ɯ AD p̚
무리	m u AE ɾ i AD
무리하다	m u AE ɾ i AD ɦ AA a̠ AF d a̠ AF
무마	m u AE m a̠ AF
무명	m u AE m j AB ʌ̹ ŋ
무모하다	m u AE m o̞ AE ɦ AA a̠ AF d a̠ AF
무법	m u AE b ʌ̹ p̚
무빙워크	m u AE b i AD ŋ w AC ʌ̹ k x ɯ AD
무사	m uː AE sʰ a̠ AF
무사도	m uː AE sʰ a̠ AF d o̞ AE
무사하다	m u AE sʰ a̠ AF ɦ AA a̠ AF d a̠ AF
무산쇠족제비	m uː AE sʰ a̠ AF n sʰ w AC e̞ AD d ʑ o̞ AE k̚ t ɕ͈ e̞ AD b i AD
무서움	m u AE sʰ ʌ̹ u AE m
무서워하다	m u AE sʰ ʌ̹ w AC ʌ̹ ɦ AA a̠ AF d a̠ AF
무선	m u AE sʰ ʌ̹ n
무선전화	m u AE sʰ ʌ̹ ɲ d ʑ ʌ̹ n β w AC a̠ AF
무섭다	m u AE sʰ ʌ̹ p̚ t͈ a̠ AF
무성하다	m uː AE sʰ ʌ̹ ŋ ɦ AA a̠ AF d a̠ AF
무속	m uː AE sʰ o̞ AE k̚
무속인	m uː AE sʰ o̞ AE ɡ i AD n
무쇠	m u AE sʰ w AC e̞ AD
무수	m u AE sʰ u AE
무술	m uː AE sʰ u AE ɭ
무스카트	m u AE sʰ ɯ AD kʰ a̠ AF tʰ ɯ AD
무슨	m u AE sʰ ɯ AD n
무슬림	m u AE sʰ ɯ AD ʎ ʎ i AD m
무승부	m u AE sʰ ɯ AD ŋ b u AE
무시하다	m u AE ɕʰ i AD ɦ AA a̠ AF d a̠ AF
무신론	m u AE ɕʰ i AD n n o̞ AE n
무쌍하다	m u AE s͈ a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
무아	m u AE a̠ AF
무어	m u AE ʌ̹
무언가	m u AE ʌ̹ n ɡ a̠ AF
무언증	m u AE ʌ̹ ɲ t ɕ͈ ɯ AD ŋ
무얼	m u AE ʌ̹ ɭ
무엇	m u AE ʌ̹ t̚
무엇하다	m u AE ʌ̹ tʰ a̠ AF d a̠ AF
무역	m uː AE j AB ʌ̹ k̚
무예	m uː AE j AB e̞ AD
무용	m uː AE j AB o AE ŋ
무용하다	m u AE j AB o AE ŋ ɦ AA a̠ AF d a̠ AF
무익하다	m u AE i AD kʰ a̠ AF d a̠ AF
무인도	m u AE i AD n d o̞ AE
무인점포	m u AE i AD ɲ d ʑ ʌ̹ m pʰ o̞ AE
무장하다	m uː AE d ʑ a̠ AF ŋ ɦ AA a̠ AF d a̠ AF
무정부주의	m u AE d ʑ ʌ̹ ŋ b u AE d ʑ u AE ɰ AB i AD
무제한	m u AE d ʑ e̞ AD ɦ AA a̠ AF n
무조건	m u AE d ʑ o̞ AE k͈ ʌ̹ n
무죄	m u AE d ʑ w AC e̞ AD
무중력	m u AE d ʑ u AE ŋ ɲ j AB ʌ̹ k̚
무지하다	m u AE d ʑ i AD ɦ AA a̠ AF d a̠ AF
무진	m u AE d ʑ i AD n
무진장	m u AE d ʑ i AD ɲ d ʑ a̠ AF ŋ
무찌르다	m u AE t ɕ͈ i AD ɾ ɯ AD d a̠ AF
무척	m u AE t ɕʰ ʌ̹ k̚
무치다	m u AE t ɕʰ i AD d a̠ AF
무쿠리	m u AE kʰ u AE ɾ i AD
무탈	m u AE tʰ a̠ AF ɭ
무한	m u AE ɦ AA a̠ AF n
무화과	m u AE β w AC a̠ AF ɡ w AC a̠ AF
묵	m u AE k̚
묵가	m u AE k̚ k͈ a̠ AF
묵납자루	m u AE ŋ n a̠ AF p̚ t ɕ͈ a̠ AF ɾ u AE
묵념	m u AE ŋ ɲ j AB ʌ̹ m
묵다	m u AE k̚ t͈ a̠ AF
묵은지	m u AE ɡ ɯ AD ɲ d ʑ i AD
묵주	m u AE k̚ t ɕ͈ u AE
묶다	m u AE k̚ t͈ a̠ AF
묶음	m u AE k͈ ɯ AD m
문	m u AE n
문과	m u AE n k͈ w AC a̠ AF
문구	m u AE n ɡ u AE
문구점	m u AE n ɡ u AE d ʑ ʌ̹ m
문둥이	m u AE n d u AE ŋ i AD
문둥이박쥐	m u AE n d u AE ŋ i AD b a̠ AF k̚ t ɕ͈ ɥ AC i AD
문드러지다	m u AE n d ɯ AD ɾ ʌ̹ d ʑ i AD d a̠ AF
문득	m u AE n d ɯ AD k̚
문란	m uː AE ɭ ɭ a̠ AF n
문명	m u AE n m j AB ʌ̹ ŋ
문바람	m u AE n b a̠ AF ɾ a̠ AF m
문방	m u AE n b a̠ AF ŋ
문법	m u AE n p͈ ʌ̹ p̚
문서	m u AE n sʰ ʌ̹
문어	m u AE n ʌ̹
문어다리	m u AE n ʌ̹ d a̠ AF ɾ i AD
문의	m uː AE n ɰ AB i AD
문자	m u AE ɲ t ɕ͈ a̠ AF
문자반	m u AE ɲ t ɕ͈ a̠ AF b a̠ AF n
문장	m u AE ɲ d ʑ a̠ AF ŋ
문절망둑	m u AE ɲ d ʑ ʌ̹ ɭ m a̠ AF ŋ d u AE k̚
문제	m uː AE ɲ d ʑ e̞ AD
문제점	m u AE ɲ d ʑ e̞ AD d ʑ ʌ̹ m
문지기	m u AE ɲ d ʑ i AD ɡ i AD
문지르다	m u AE ɲ d ʑ i AD ɾ ɯ AD d a̠ AF
문지방	m u AE ɲ d ʑ i AD b a̠ AF ŋ
문진	m u AE ɲ d ʑ i AD n
문천	m u AE ɲ t ɕʰ ʌ̹ n
문턱	m u AE n tʰ ʌ̹ k̚
문틈	m u AE n tʰ ɯ AD m
문학	m u AE n ɦ AA a̠ AF k̚
문헌	m u AE n ɦ AA ʌ̹ n
문혁	m u AE n ʝ j AB ʌ̹ k̚
문화	m u AE n β w AC a̠ AF
문화어	m u AE n β w AC a̠ AF ʌ̹
문화원	m uː AE n β w AC a̠ AF w AC ʌ̹ n
문화적	m u AE n β w AC a̠ AF d ʑ ʌ̹ k̚
묻다	m uː AE t̚ t͈ a̠ AF
묻히다	m u AE tʰ i AD d a̠ AF
물	m u AE ɭ
물가	m u AE ɭ k͈ a̠ AF
물건	m u AE ɭ ɡ ʌ̹ n
물결	m u AE ɭ k͈ j AB ʌ̹ ɭ
물결길이	m u AE ɭ ɡ j AB ʌ̹ ɭ ɡ i AD ɾ i AD
물고기	m u AE ɭ k͈ o̞ AE ɡ i AD
물고기떡	m u AE ɭ ɡ o̞ AE ɡ i AD t͈ ʌ̹ k̚
물고기알	m u AE ɭ ɡ o̞ AE ɡ i AD a̠ AF ɭ
물공원	m u AE ɭ ɡ o̞ AE ŋ w AC ʌ̹ n
물굽이	m u AE ɭ ɡ u AE b i AD
물기	m u AE ɭ k͈ i AD
