a	a AD
garagardo	ɡ a AD ɾ a AD ɡ a AD r d o AE
garagarril	ɡ a AD ɾ a AD ɡ a AD r i AD ʎ
garai	ɡ a AD ɾ a AD i AD
garbantzu	ɡ a AD r b a AD n t s̻ u AE
garesti	ɡ a AD ɾ e AD s̺ t i AD
garil	ɡ a AD ɾ i AD ʎ
gasteiz	ɡ a AD s̺ t e AD i AD s̻
gatazka	ɡ a AD t a AD s̻ k a AD
gatoz	ɡ a AD t o AE s̻
gatozen	ɡ a AD t o AE s̻ e AD n
gatozke	ɡ a AD t o AE s̻ k e AD
gatxezkie	ɡ a AD t ʃ e AD s̻ k i AD e AD
gatxezkik	ɡ a AD t ʃ e AD s̻ k i AD k
gatxezkin	ɡ a AD t ʃ e AD s̻ k i AD n
gatxezkio	ɡ a AD t ʃ e AD s̻ k i AD o AE
gatxezkizu	ɡ a AD t ʃ e AD s̻ k i AD s̻ u AE
gatxezkizue	ɡ a AD t ʃ e AD s̻ k i AD s̻ u AE e AD
gatz	ɡ a AD t s̻
gau	ɡ a AD u AE
gaude	ɡ a AD u AE d e AD
gaudeke	ɡ a AD u AE d e AD k e AD
gauden	ɡ a AD u AE d e AD n
gauenara	ɡ a AD u AE e AD n a AD ɾ a AD
gaupasa	ɡ a AD w AC p a AD s̺ a AD
gaur	ɡ a AD u AE r
gautza	ɡ a AD u AE t s̻ a AD
gauza	ɡ a AD u AE s̻ a AD
gazi	ɡ a AD s̻ i AD
gaztaina	ɡ a AD s̻ t a AD ɲ a AD
gazte	ɡ a AD s̻ t e AD
gaztela	ɡ a AD s̻ t e AD l a AD
gaztelania	ɡ a AD s̻ t e AD l a AD n i AD a AD
gaztelera	ɡ a AD s̻ t e AD l e AD ɾ a AD
ge	ɡ e AD
genbiltzan	ɡ e AD n b i AD l t s̻ a AD n
genbilzke	ɡ e AD n b i AD l s̻ k e AD
genbilzkeen	ɡ e AD n b i AD l s̻ k e AD e AD n
genkizkien	ɡ e AD n k i AD s̻ k i AD e AD n
genkizkion	ɡ e AD n k i AD s̻ k i AD o AE n
gentozen	ɡ e AD n t o AE s̻ e AD n
gentozke	ɡ e AD n t o AE s̻ k e AD
gentozkeen	ɡ e AD n t o AE s̻ k e AD e AD n
gentxezkiake	ɡ e AD n t ʃ e AD s̻ k i AD a AD k e AD
gentxezkian	ɡ e AD n t ʃ e AD s̻ k i AD a AD n
gentxezkieke	ɡ e AD n t ʃ e AD s̻ k i AD e AD k e AD
gentxezkien	ɡ e AD n t ʃ e AD s̻ k i AD e AD n
gentxezkinake	ɡ e AD n t ʃ e AD s̻ k i AD n a AD k e AD
gentxezkinan	ɡ e AD n t ʃ e AD s̻ k i AD n a AD n
gentxezkioke	ɡ e AD n t ʃ e AD s̻ k i AD o AE k e AD
gentxezkion	ɡ e AD n t ʃ e AD s̻ k i AD o AE n
gentxezkizueke	ɡ e AD n t ʃ e AD s̻ k i AD s̻ u AE e AD k e AD
gentxezkizuen	ɡ e AD n t ʃ e AD s̻ k i AD s̻ u AE e AD n
gentxezkizuke	ɡ e AD n t ʃ e AD s̻ k i AD s̻ u AE k e AD
gentxezkizun	ɡ e AD n t ʃ e AD s̻ k i AD s̻ u AE n
georgia	ɡ e AD o AE r ɡ j AB a AD
georgiar	ɡ e AD o AE r ɡ j AB a AD r
georgiera	ɡ e AD o AE r ɡ j AB e AD ɾ a AD
gerezi	ɡ e AD ɾ e AD s̻ i AD
gero	ɡ e AD ɾ o AE
gerra	ɡ e AD r a AD
geu	ɡ e AD u̯ AC
geundeke	ɡ e AD u AE n d e AD k e AD
geundekeen	ɡ e AD u AE n d e AD k e AD e AD n
geunden	ɡ e AD u AE n d e AD n
geuntzake	ɡ e AD u AE n t s̻ a AD k e AD
geuntzan	ɡ e AD u AE n t s̻ a AD n
geure	ɡ e AD w AC ɾ e AD
gezi	ɡ e AD s̻ i AD
ghana	ɡ a AD n a AD
ghanan	ɡ a AD n a AD n
gibel	ɡ i AD b e AD l
giltza	ɡ i AD l t s̻ a AD
giltzurrun	ɡ i AD l t s̻ u AE r u AE n
ginen	ɡ i AD ɲ e AD n
gintezen	ɡ i AD n t e AD s̻ e AD n
gintezke	ɡ i AD n t e AD s̻ k e AD
gintezkeen	ɡ i AD n t e AD s̻ k e AD e AD n
gipuzkoa	ɡ i AD p u AE s̻ k o AE a AD
gipuzkoan	ɡ i AD p u AE s̻ k o AE a AD n
gizon	ɡ i AD s̻ o AE n
goaz	ɡ o AE a AD s̻
gogo	ɡ o AE ɡ o AE
gontz	ɡ o AE n t s̻
gora	ɡ o AE ɾ a AD
gorotzil	ɡ o AE ɾ o AE t s̻ i AD ʎ
gorri	ɡ o AE r i AD
gorrimin	ɡ o AE r i AD m i AD ɲ
gorrimotel	ɡ o AE r i AD m o AE t e AD l
gorringo	ɡ o AE r i AD n ɡ o AE
gosaldu	ɡ o AE s̺ a AD l d u AE
gozo	ɡ o AE s̻ o AE
grezia	ɡ r e AD s̻ j AB a AD
gris	ɡ r i AD s̺
gu	ɡ u AE
guda	ɡ u AE d a AD
guk	ɡ u AE k
gune	ɡ u AE n e AD
guneka	ɡ u AE n e AD k a AD
gurdi	ɡ u AE r d i AD
gure	ɡ u AE ɾ e AD
guri	ɡ u AE ɾ i AD
gurpil	ɡ u AE r p i AD ʎ
h	h AA a AD t ʃ e AD
habe	h AA a AD b e AD
habil	h AA a AD b i AD l
habilke	h AA a AD b i AD l k e AD
hadi	h AA a AD d i AD
hadin	h AA a AD d i AD n
hago	h AA a AD ɡ o AE
hagoke	h AA a AD ɡ o AE k e AD
haiei	h AA a AD j AB e AD i AD
haiek	h AA a AD j AB e AD k
haien	h AA a AD j AB e AD n
haiteke	h AA a AD j AB t e AD k e AD
haitz	ɦ AA a AD i AD t s̻
haiz	h AA a AD j AB s̪
hakar	h AA a AD k a AD ɾ
hakien	h AA a AD k i AD e AD n
hala	ɦ AA a AD l a AD
hamabi	h AA a AD m a AD b i AD
hamabost	h AA a AD m a AD b o AE s̺ t
hamaika	h AA a AD m a AD i AD k a AD
hamairu	h AA a AD m a AD i AD ɾ u AE
hamalau	h AA a AD m a AD l a AD u AE
hamar	h AA a AD m a AD r
haren	h AA a AD ɾ e AD n
hari	h AA a AD ɾ i AD
haritz	h AA a AD ɾ i AD t s̻
haritzezko	ɦ AA a AD ɾ i AD t s̻ e AD s̻ k o AE
harizki	h AA a AD r i AD s k i AD
hark	h AA a AD r k
harri	ɦ AA a AD r i AD
hartan	h AA a AD r t a AD n
hartara	h AA a AD r t a AD ɾ a AD
hartarat	h AA a AD r t a AD ɾ a AD t
hartz	ɦ AA a AD r t s̻
hator	h AA a AD t o AE ɾ
hatorke	h AA a AD t o AE r k e AD
hatxe	h AA a AD t ʃ e AD
hatxekie	h AA a AD t ʃ e AD k i AD e AD
hatxekigu	h AA a AD t ʃ e AD k i AD ɡ u AE
hatxekio	h AA a AD t ʃ e AD k i AD o AE
hatxekit	h AA a AD t ʃ e AD k i AD t
hatza	h AA a AD t s̪ a AD
hau	h AA a AD w AC
hauei	h AA a AD w AC e AD i AD
hauek	h AA a AD w AC e AD k
hauen	h AA a AD w AC e AD n
hauka	h AA a AD w AC k a AD
haukat	h AA a AD w AC k a AD t
hazil	a AD s̺ i AD l
hebreera	ɦ AA e AD b r e AD e AD ɾ a AD
hegal	ɦ AA e AD ɡ a AD l
hego	ɦ AA e AD ɡ o AE
helio	h AA e AD l j AB o AE
hemen	ɦ AA e AD m e AD n
henbilen	h AA e AD n b i AD ʎ e AD n
henbilke	h AA e AD n b i AD l k e AD
henbilkeen	h AA e AD n b i AD l k e AD e AD n
hendin	h AA e AD n d i AD n
hengoen	h AA e AD n ɡ o AE e AD n
hengoke	h AA e AD n ɡ o AE k e AD
hengokeen	h AA e AD n ɡ o AE k e AD e AD n
henkien	h AA e AD n k i AD e AD n
henkion	h AA e AD n k i AD o AE n
hentorke	h AA e AD n t o AE r k e AD
hentorkeen	h AA e AD n t o AE r k e AD
hentorren	h AA e AD n t o AE r e AD n
hentxekidake	h AA e AD n t ʃ e AD k i AD d a AD k e AD
hentxekidan	h AA e AD n t ʃ e AD k i AD d a AD n
hentxekieke	h AA e AD n t ʃ e AD k i AD e AD k e AD
hentxekien	h AA e AD n t ʃ e AD k i AD e AD n
hentxekiguke	h AA e AD n t ʃ e AD k i AD ɡ u AE k e AD
hentxekigun	h AA e AD n t ʃ e AD k i AD ɡ u AE n
hentxekioke	h AA e AD n t ʃ e AD k i AD o AE k e AD
hentxekion	h AA e AD n t ʃ e AD k i AD o AE n
hentzake	h AA e AD n t s̪ a AD k e AD
hentzan	h AA e AD n t s̪ a AD n
heren	h AA e AD ɾ e AD n
herenegun	ɦ AA e AD ɾ e AD n e AD ɡ u AE n
heroan	h AA e AD ɾ o AE a AD n
herri	h AA e AD r i AD
heu	h AA e AD u̯ AC
heuk	h AA e AD w AC k
heure	h AA e AD w AC ɾ e AD
hezur	ɦ AA e AD s̻ u AE r
hezurdura	ɦ AA e AD s̻ u AE r d u AE ɾ a AD
hezurtegi	ɦ AA e AD s̻ u AE r t e AD ɡ i AD
hi	i AD
hidrogeno	i AD d r o AE x e AD n o AE
hiena	ɦ AA j AB e AD n a AD
higan	i AD ɡ a AD n
hik	i AD k
hil	ɦ AA i AD ʎ
hinteke	i AD n t e AD k e AD
hintekeen	i AD n t e AD k e AD e AD n
hire	i AD ɾ e AD
hiregan	i AD ɾ e AD ɡ a AD n
hiri	i AD ɾ i AD
hirigintza	ɦ AA i AD ɾ i AD ɡ i AD n t s̻ a AD
hiru	ɦ AA i AD ɾ u AE
hirugarren	i AD ɾ u AE ɡ a AD r e AD n
hirukoitz	i AD ɾ u AE k o AE i AD t s̻
hitan	i AD t a AD n
hoa	o AE a AD
hodei	ɦ AA o AE d e AD i AD
hogei	ɦ AA o AE ɡ e AD i AD
honek	o AE n e AD k
honen	o AE n e AD n
honi	o AE n i AD
hori	o AE ɾ i AD
horrek	o AE r e AD k
horren	o AE r e AD n
horri	o AE r i AD
hostaro	o AE s t a AD ɾ o AE
hots	ɦ AA o AE t s̺
hotz	o AE t s̻
hozkailu	o AE s̻ k a AD ʎ u AE
hungaria	ɦ AA u AE n ɡ a AD ɾ j AB a AD
hungariako	ɦ AA u AE n ɡ a AD ɾ j AB a AD k o AE
hungarian	ɦ AA u AE n ɡ a AD ɾ j AB a AD n
hungariar	ɦ AA u AE n ɡ a AD ɾ j AB a AD r
hungariera	ɦ AA u AE n ɡ a AD ɾ j AB e AD ɾ a AD
hur	ɦ AA u AE r
hura	u AE ɾ a AD
huts	u AE t s̺
hutsik	ɦ AA u AE t s̺ i AD k
i	i AD
ia	i AD a AD
iaz	i AD a AD s̻
ibai	i AD b a AD i AD
ibili	i AD b i AD ʎ i AD
idatzi	i AD d a AD t s̻ i AD
idazle	i AD d a AD s̻ l e AD
ido	i AD d o AE
igande	i AD ɡ a AD n d e AD
igaz	i AD ɡ a AD s̻
igel	i AD ɡ e AD l
igo	i AD ɡ o AE
igorri	i AD ɡ o AE r i AD
iharduki	i AD ɦ AA a AD r d u AE k i AD
ikasgai	i AD k a AD s̺ ɡ a AD i AD
ikasi	i AD k a AD s̺ i AD
ikatz	i AD k a AD t s̻
iker	i AD k e AD r
ikertu	i AD k e AD r t u AE
ikus	i AD k u AE s̺
ikusi	i AD k u AE s̺ i AD
ikusiko	i AD k u AE s̺ i AD k o AE
ikuste	i AD k u AE s̺ t e AD
ikusten	i AD k u AE s̺ t e AD n
ilargi	i AD ʎ a AD r ɡ i AD
ilbeltz	i AD l b e AD l t s̻
ilen	i AD ʎ e AD n
independentzia	i AD n d e AD p e AD n d e AD n t s̻ j AB a AD
indonesiera	i AD n d o AE n e AD s̺ j AB e AD ɾ a AD
ingalaterra	i AD n ɡ a AD l a AD t e AD r a AD
ingelera	i AD n ɡ e AD l e AD ɾ a AD
ingeles	i AD n ɡ e AD l e AD s̺
internazional	i AD n t e AD r n a AD s̻ j AB o AE n a AD l
intsektu	i AD n t s̺ e AD k t u AE
intxaur	i AD n t ʃ a AD u AE r
inurri	i AD ɲ u AE r i AD
ipar	i AD p a AD r
irail	i AD ɾ a AD ʎ
irakatsi	i AD ɾ a AD k a AD t s̺ i AD
irakin	i AD ɾ a AD k i AD ɲ
irakurri	i AD ɾ a AD k u AE r i AD
iraun	i AD ɾ a AD u AE n
iritzi	i AD ɾ i AD t s̻ i AD
irla	i AD r l a AD
irlanda	i AD r l a AD n d a AD
irudi	i AD ɾ u AE d i AD
irudiko	i AD ɾ u AE d i AD k o AE
iruña	i AD ɾ u AE ɲ a AD
iruñea	i AD ɾ u AE ɲ e AD a AD
islandia	i AD s̺ l a AD n d j AB a AD
islandiar	i AD s̺ l a AD n d j AB a AD r
islandiera	i AD s̺ l a AD n d j AB e AD ɾ a AD
ispilu	i AD s̺ p i AD ʎ u AE
italia	i AD t a AD l j AB a AD
italian	i AD t a AD l j AB a AD n
italiar	i AD t a AD l j AB a AD r
italiera	i AD t a AD l j AB e AD ɾ a AD
ito	i AD t o AE
itsu	i AD t s̺ u AE
itsusi	i AD t s̺ u AE s̺ i AD
iturri	i AD t u AE r i AD
itzuli	i AD t s̻ u AE l i AD
itzultzaile	i AD t s̻ u AE l t s̻ a AD ʎ e AD
ixa	i AD ʃ a AD
izan	i AD s̻ a AD n
izeba	i AD s̻ e AD b a AD
izeko	i AD s̻ e AD k o AE
izen	i AD s e AD n
izokin	i AD s̻ o AE k i AD ɲ
izotz	i AD s̻ o AE t s̻
izotzil	i AD s̻ o AE t s̻ i AD ʎ
izurde	i AD s̻ u AE r d e AD
jakin	ʒ a AD k i AD n
jan	x a AD n
janari	x a AD n a AD ɾ i AD
japonia	x a AD p o AE n j AB a AD
japoniera	x a AD p o AE n j AB e AD ɾ a AD
jardun	ʒ a AD r d u AE n
jarraiki	ʒ a AD r a AD j AB t e AD
joan	x o AE a AD n
jokatu	x o AE k a AD t u AE
jorrail	ʝ o AE r a AD ʎ
jugoslavia	j AB u AE ɡ o AE s̺ l a AD b j AB a AD
jugoslavian	j AB u AE ɡ o AE s̺ l a AD b j AB a AD n
k	k a AD
ka	k a AD
kaixo	k a AD j AB ʃ̺ o AE
kako	k a AD k o AE
kamerun	k a AD m e AD ɾ u AE n
kameu	k a AD m e AD u AE
kanpai	k a AD m p a AD i AD
karbono	k a AD r b o AE n o AE
karlistada	k a AD r l i AD s̺ t a AD d a AD
karlistaldi	k a AD r l i AD s̺ t a AD l d i AD
karmele	k a AD r m e AD l e AD
katagorri	k a AD t a AD ɡ o AE r i AD
kate	k a AD t e AD
katu	k a AD t u AE
kazakhera	k a AD s̻ a AD x e AD ɾ a AD
kazakhstan	k a AD s̻ a AD x s̺ t a AD n
ke	k e AD
kemen	k e AD m e AD n
ketsu	k e AD t s̺ u AE
kirol	k i AD ɾ o AE l
kirolari	k i AD ɾ o AE l a AD ɾ i AD
kiroldegi	k i AD ɾ o AE l d e AD ɡ i AD
koaderno	k w AC a AD d e AD r n o AE
kobre	k o AE b r e AD
koronabirus	k o AE ɾ o AE n a AD b i AD ɾ u AE s̺
korsikera	k o AE r s̺ i AD k e AD ɾ a AD
koru	k o AE ɾ u AE
kroazia	k r o AE a AD s̻ j AB a AD
kroaziar	k r o AE a AD s̻ j AB a AD r
kroaziera	k r o AE a AD s̻ j AB e AD ɾ a AD
ku	k u AE
kukutxeztul	k u AE k u AE t ʃ e AD s̺ t u AE l
l	e AD l e AD
labar	l a AD b a AD r
labe	l a AD b e AD
labezomorro	l a AD b e AD s̻ o AE m o AE r o AE
labezomorroa	l a AD b e AD s̪ o AE m o AE r o AE a AD
labezomorroak	l a AD b e AD s̪ o AE m o AE r o AE a AD k
labezomorroarenganantz	l a AD b e AD s̪ o AE m o AE r o AE a AD ɾ e AD n ɡ a AD n a AD n t s̪
labezomorroek	l a AD b e AD s̺ o AE m o AE r o AE e AD k
labezomorroenganantz	l a AD b e AD s̪ o AE m o AE r o AE e AD n ɡ a AD n a AD n t s̪
labezomorrok	l a AD b e AD s̪ o AE m o AE r o AE k
labezomorrorenganako	l a AD b e AD s̪ o AE m o AE r o AE ɾ e AD n ɡ a AD n a AD k o AE
labezomorrorenganantz	l a AD b e AD s̪ o AE m o AE r o AE ɾ e AD n ɡ a AD n a AD n t s̪
labezomorrorengandik	l a AD b e AD s̪ o AE m o AE r o AE ɾ e AD n ɡ a AD n d i AD k
labezomorrorik	l a AD b e AD s̪ o AE m o AE r o AE ɾ i AD k
labezomorrotzat	l a AD b e AD s̪ o AE m o AE r o AE t s̪ a AD t
labur	l a AD b u AE r
laga	l a AD ɡ a AD
lagun	l a AD ɡ u AE n
lagundu	l a AD ɡ u AE n d u AE
laino	l a AD ɲ o AE
lari	l a AD ɾ i AD
larunbat	l a AD ɾ u AE n b a AD t
lastail	l a AD s t a AD ʎ
laster	l a AD s̺ t e AD r
lau	l a AD u AE
lauburu	l a AD u AE b u AE ɾ u AE
laugarren	l a AD u AE ɡ a AD r e AD n
laukoitz	l a AD u AE k o AE i AD t s̻
laurden	l a AD u AE r d e AD n
lebilke	l e AD b i AD l k e AD
lebilzke	l e AD b i AD l s̪ k e AD
legoke	l e AD ɡ o AE k e AD
lehen	l e AD h AA e AD n
lehendakari	l e AD ɦ AA e AD n d a AD k a AD ɾ i AD
lera	l e AD ɾ a AD
lerak	l e AD ɾ a AD k
leraren	l e AD ɾ a AD ɾ e AD n
lerari	l e AD ɾ a AD ɾ i AD
lerei	l e AD ɾ e AD i AD
lerek	l e AD ɾ e AD k
letonia	l e AD t o AE n j AB a AD
letoniera	l e AD t o AE n j AB e AD ɾ a AD
letorke	l e AD t o AE r k e AD
letozke	l e AD t o AE s̪ k e AD
letxekiake	l e AD t ʃ e AD k i AD a AD k e AD
letxekidake	l e AD t ʃ e AD k i AD d a AD k e AD
letxekieke	l e AD t ʃ e AD k i AD e AD k e AD
letxekiguke	l e AD t ʃ e AD k i AD ɡ u AE k e AD
letxekinake	l e AD t ʃ e AD k i AD n a AD k e AD
letxekioke	l e AD t ʃ e AD k i AD o AE k e AD
letxekizueke	l e AD t ʃ e AD k i AD s̪ u AE e AD k e AD
letxekizuke	l e AD t ʃ e AD k i AD s̪ u AE k e AD
letxezkiake	l e AD t ʃ e AD s̪ k i AD a AD k e AD
letxezkidake	l e AD t ʃ e AD s̪ k i AD d a AD k e AD
letxezkieke	l e AD t ʃ e AD s̪ k i AD e AD k e AD
letxezkiguke	l e AD t ʃ e AD s̪ k i AD ɡ u AE k e AD
letxezkinake	l e AD t ʃ e AD s̪ k i AD n a AD k e AD
letxezkioke	l e AD t ʃ e AD s̪ k i AD o AE k e AD
letxezkizueke	l e AD t ʃ e AD s̪ k i AD s̪ u AE e AD k e AD
letxezkizuke	l e AD t ʃ e AD s̪ k i AD s̪ u AE k e AD
letzake	l e AD t s̪ a AD k e AD
leudeke	l e AD w AC d e AD k e AD
leutzake	l e AD w AC t s̪ a AD k e AD
lipschitzar	l i AD p ʃ i AD t s̻ j AB a AD r
liteke	l i AD t e AD k e AD
litezke	l i AD t e AD s̪ k e AD
litio	l i AD t j AB o AE
lituania	l i AD t w AC a AD n j AB a AD
lituaniera	l i AD t w AC a AD n j AB e AD ɾ a AD
lizar	l i AD s a AD r
lizarki	l i AD s a AD r k i AD
lorail	l o AE ɾ a AD ʎ
lotazil	l o AE t a AD s̻ i AD l
lotu	l o AE t u AE
lur	l u AE r
lurra	l u AE r a AD
luze	l u AE s̻ e AD
m	e AD m e AD
madril	m a AD d r i AD ʎ
maiatz	m a AD i AD a AD t s̻
maitatu	m a AD i AD t a AD t u AE
makaronesia	m a AD k a AD ɾ o AE n e AD s̺ j AB a AD
maltera	m a AD l t e AD ɾ a AD
mapa	m a AD p a AD
marasma	m a AD ɾ a AD s m a AD
maroko	m a AD ɾ o AE k o AE
marroi	m a AD r o AE i AD
marti	m a AD r t i AD
martitzen	m a AD r t i AD t s̻ e AD n
martxo	m a AD r t ʃ o AE
mazedoniera	m a AD s̻ e AD d o AE n j AB e AD ɾ a AD
mendebal	m e AD n d e AD b a AD l
mendi	m e AD n d i AD
merkatu	m e AD r k a AD t u AE
merkatü	m e AD r k a AD t y AE
merkhatü	m e AD r kʰ a AD t y AE
mesede	m e AD s̺ e AD d e AD
mesedez	m e AD s̺ e AD d e AD s̻
milesker	m i AD ʎ e AD s̺ k e AD r
mintzatu	m i AD n t s̻ a AD t u AE
misantropo	m i AD s a AD n t r o AE p o AE
moldavia	m o AE l d a AD b j AB a AD
moldavian	m o AE l d a AD b j AB a AD n
mongoliera	m o AE n ɡ o AE l j AB e AD ɾ a AD
motz	m o AE t s̻
mutil	m u AE t i AD ʎ
n	e AD n e AD
nabil	n a AD b i AD l
nabilen	n a AD b i AD ʎ e AD n
nabilke	n a AD b i AD l k e AD
nadin	n a AD d i AD n
nago	n a AD ɡ o AE
nagoen	n a AD ɡ o AE e AD n
nagoke	n a AD ɡ o AE k e AD
naiteke	n a AD j AB t e AD k e AD
naiz	n a AD i AD s̻
naizateke	n a AD i AD s̻ a AD t e AD k e AD
nakar	n a AD k a AD ɾ
nakie	n a AD k i AD e AD
naski	n a AD s̺ k i AD
nator	n a AD t o AE ɾ
natorke	n a AD t o AE r k e AD
natorkio	n a AD t o AE r k i AD o AE
natorkioke	n a AD t o AE r k i AD o AE k e AD
natorkion	n a AD t o AE r k i AD o AE n
natorren	n a AD t o AE r e AD n
natxekie	n a AD t ʃ e AD k i AD e AD
natxekik	n a AD t ʃ e AD k i AD k
natxekin	n a AD t ʃ e AD k i AD n
natxekio	n a AD t ʃ e AD k i AD o AE
natxekizu	n a AD t ʃ e AD k i AD s̪ u AE
natxekizue	n a AD t ʃ e AD k i AD s̪ u AE e AD
natza	n a AD t s̪ a AD
nauka	n a AD w AC k a AD
nederlandera	n e AD d e AD r l a AD n d e AD ɾ a AD
neguil	n e AD ɡ u AE i AD ʎ
nekatu	n e AD k a AD t u AE
nenbilen	n e AD n b i AD ʎ e AD n
nenbilke	n e AD n b i AD l k e AD
nenbilkeen	n e AD n b i AD l k e AD e AD n
nendin	n e AD n d i AD n
nengoen	n e AD n ɡ o AE e AD n
nengoke	n e AD n ɡ o AE k e AD
nengokeen	n e AD n ɡ o AE k e AD e AD n
nenkien	n e AD n k i AD e AD n
nenkion	n e AD n k i AD o AE n
nentorke	n e AD n t o AE r k e AD
nentorkeen	n e AD n t o AE r k e AD e AD n
nentorkioke	n e AD n t o AE r k i AD o AE k e AD
nentorkiokeen	n e AD n t o AE r k i AD o AE k e AD e AD n
nentorkion	n e AD n t o AE r k i AD o AE n
nentorren	n e AD n t o AE r e AD n
nentxekiake	n e AD n t ʃ e AD k i AD a AD k e AD
nentxekian	n e AD n t ʃ e AD k i AD a AD n
nentxekieke	n e AD n t ʃ e AD k i AD e AD k e AD
nentxekien	n e AD n t ʃ e AD k i AD e AD n
nentxekinake	n e AD n t ʃ e AD k i AD n a AD k e AD
nentxekinan	n e AD n t ʃ e AD k i AD n a AD n
nentxekioke	n e AD n t ʃ e AD k i AD o AE k e AD
nentxekion	n a AD t ʃ e AD k i AD o AE n
nentxekizueke	n e AD n t ʃ e AD k i AD s̪ u AE e AD k e AD
nentxekizuen	n e AD n t ʃ e AD k i AD s̪ u AE e AD n
nentxekizuke	n e AD n t ʃ e AD k i AD s̪ u AE k e AD
nentxekizun	n e AD n t ʃ e AD k i AD s̪ u AE n
nentzake	n e AD n t s̪ a AD k e AD
nentzan	n e AD n t s̪ a AD n
neon	n e AD o AE n
neska	n e AD s̺ k a AD
neskenegun	n e AD s k e AD n e AD ɡ u AE n
neu	n e AD u̯ AC
neuk	n e AD w AC k
neurri	n e AD u AE r i AD
ni	n i AD
nigan	n i AD ɡ a AD n
nik	n i AD k
ninteke	n i AD n t e AD k e AD
nintekeen	n i AD n t e AD k e AD e AD n
nintzateke	n i AD n t s̻ a AD t e AD k e AD
nintzatekeen	n i AD n t s̻ a AD t e AD k e AD e AD n
nintzen	n i AD n t s̻ e AD n
nire	n i AD ɾ e AD
niregan	n i AD ɾ e AD ɡ a AD n
nitan	n i AD t a AD n
nitrogeno	n i AD t r o AE x e AD n o AE
noa	n o AE a AD
nola	n o AE l a AD
non	n o AE n
nor	n o AE r
nora	n o AE ɾ a AD
nori	n o AE ɾ i AD
nork	n o AE r k
nortzuk	n o AE r t s̪ u AE k
norvegia	n o AE r b e AD ɡ j AB a AD
norvegiera	n o AE r b e AD ɡ j AB e AD ɾ a AD
o	o AE
oheratu	o AE ɦ AA e AD ɾ a AD t u AE
oilaur	o AE ʎ a AD u AE r
oin	o AE ɲ
oinarri	o AE ɲ a AD r i AD
oka	o AE k a AD
okin	o AE k i AD ɲ
okzitaniera	o AE k s̻ i AD t a AD n j AB e AD ɾ a AD
olerkari	o AE l e AD r k a AD ɾ i AD
olerkaritza	o AE l e AD r k a AD ɾ i AD t s̪ a AD
olerki	o AE l e AD r k i AD
on	o AE n
ondo	o AE n d o AE
onil	o AE n i AD ʎ
ontzi	o AE n t s̻ i AD
ordenatu	o AE r d e AD n a AD t u AE
ordots	o AE r d o AE t s̺
orein	o AE ɾ e AD ɲ
oreka	o AE ɾ e AD k a AD
orri	o AE r i AD
orril	o AE r i AD ʎ
ortzegun	o AE r t s̻ e AD ɡ u AE n
ortzi	o AE r t s̻ i AD
ortzirale	o AE r t s̻ i AD ɾ a AD l e AD
osaba	o AE s̺ a AD b a AD
ostegun	o AE s̺ t e AD ɡ u AE n
ostiral	o AE s̺ t i AD ɾ a AD l
otsail	o AE t s̺ a AD ʎ
otso	o AE t s̺ o AE
oxigeno	o AE k s̺ i AD x e AD n o AE
ozpin	o AE s̻ p i AD ɲ
oztin	o AE s̻ t i AD ɲ
oñati	o AE ɲ a AD t i AD
p	p e AD
pago	p a AD ɡ o AE
pandemia	p a AD n d e AD m j AB a AD
patata	p a AD t a AD t a AD
patxaran	p a AD t ʃ a AD ɾ a AD n
pauso	p a AD u AE s̺ o AE
pe	p e AD
penintsula	p e AD n i AD n t s̺ u AE l a AD
pintxo	p i AD n t ʃ o AE
piraña	p i AD ɾ a AD ɲ a AD
piztu	p i AD s̻ t u AE
poeta	p o AE e AD t a AD
polen	p o AE l e AD n
polit	p o AE l i AD t
politikari	p o AE l i AD t i AD k a AD ɾ i AD
polje	p o AE ʎ e AD
polonia	p o AE l o AE n j AB a AD
polonian	p o AE l o AE n j AB a AD n
poloniera	p o AE l o AE n j AB e AD ɾ a AD
portugalera	p o AE r t u AE ɡ a AD l e AD ɾ a AD
portuges	p o AE r t u AE ɡ e AD s̺
potasio	p o AE t a AD s̺ j AB o AE
pozoi	p o AE s̻ o AE i AD
pozoidun	p o AE s̻ o AE i AD d u AE n
pozoidura	p o AE s̻ o AE i AD d u AE ɾ a AD
pozoitasun	p o AE s̻ o AE i AD t a AD s̺ u AE n
pozoitsu	p o AE s̻ o AE i AD t s̺ u AE
pozoitu	p o AE s̻ o AE i AD t u AE
q	k u AE
r	e AD r e AD
rabbi	r a AD b i AD
s	e AD s̺ e AD
sagar	s̺ a AD ɡ a AD r
sagardo	s̺ a AD ɡ a AD r d o AE
sagarrondo	s̺ a AD ɡ a AD r o AE n d o AE
saguzar	s̺ a AD ɡ u AE s̻ a AD r
saldu	s̺ a AD l d u AE
sartalde	s̺ a AD r t a AD l d e AD
sartu	s̺ a AD r t u AE
satan	s̺ a AD t a AD n
sator	s̺ a AD t o AE r
sei	s̺ e AD i AD
seigarren	s̺ e AD i AD ɡ a AD r e AD n
seikoitz	s̺ e AD i AD k o AE i AD t s̻
sein	s̺ e AD i̯ AB ɲ
seiren	s̺ e AD i AD ɾ e AD n
sekretu	s̺ e AD k r e AD t u AE
seme	s̺ e AD m e AD
serbia	s̺ e AD r b j AB a AD
