'y	ɪ AM
dalang	d AI a AM l AD ɐ BA ŋ AK
dalaw	d AI a AM l AD a AM ʊ̯ AJ
dalubhasa	d AI ɐ BA l AD ʊ BA b AG h AA a AM s AH ɐ BA ʔ AL
dalusong	d AI ɐ BA l AD ʊ BA s AH o BA ŋ AK
dantay	d AI ɐ BA n AF t AI a AM ɪ̯ AB
dapdap	d AI ɐ BA p AG d AI a AM p AG
datapwa	d AI ɐ BA t AI ɐ BA p AG w AJ a AM ʔ AL
datinguinoo	d AI ɐ BA t AI ɪ AM ŋ AK ɪ AM n AF o BA o BA
daw	ɾ BE a AM ʊ̯ AJ
daya	d AI a AM j AB ɐ BA ʔ AL
dayag	d AI ɐ BA j AB ɐ BA ɡ AC
dayami	d AI ɐ BA j AB ɐ BA m AE ɪ AM
dayanghirang	d AI ɐ BA j AB ɐ BA ŋ AK h AA ɪ AM ɾ BE ɐ BA ŋ AK
dayrit	d AI a AM ɪ̯ AB ɾ BE ɪ AM t AI
dazo	d AI ɐ BA s AH o BA
deang	d AI ʒ AH ɐ BA ŋ AK
decena	d AI ɛ AM s AH ɛ AM n AF ɐ BA
dee	d AI ɪ AM
dekada	d AI ɛ AM x BC a AM d AI ɐ BA
dekorasyon	d AI ɛ AM x BC o BA ɾ BE ɐ BA ʃ AH o BA n AF
delegasyon	d AI ɛ AM l AD ɛ AM ɰ AB ɐ BA ʃ AH o BA n AF
demonyo	d AI ɛ AM m AE o BA ɲ AK o BA
dentista	d AI ɛ AM n AF t AI i AM s AH t AI ɐ BA
depensahan	d AI ɛ AM p AG ɛ AM n AF s AH ɐ BA h AA a AM n AF
desisyon	d AI ɛ AM s AH ɪ AM ʃ AH o BA n AF
diamante	d AI ɪ AM ɐ BA m AE ɐ BA n AF t AI ɛ AM
dijamco	d AI ɪ AM d AI ʒ AH ɐ BA m AE k AC o BA
dilaw	d AI ɪ AM l AD a AM ʊ̯ AJ
dimaala	d AI ɪ AM m AE ɐ BA ɐ BA l AD ɐ BA
dimaandal	d AI ɪ AM m AE ɐ BA ɐ BA n AF d AI ɐ BA l AD
dimaapi	d AI ɪ AM m AE ɐ BA ɐ BA p AG ɪ AM
dimacali	d AI ɪ AM m AE ɐ BA x BC ɐ BA l AD ɪ AM
dimagiba	d AI ɪ AM m AE ɐ BA ɰ AB ɪ AM b AG ɐ BA
dimailig	d AI ɪ AM m AE a AM ɪ̯ AB l AD ɪ AM ɡ AC
dimalaluan	d AI ɪ AM m AE ɐ BA l AD ɐ BA l AD ʊ BA ɐ BA n AF
dimalanta	d AI ɪ AM m AE ɐ BA l AD ɐ BA n AF t AI ɐ BA
dimapilis	d AI ɪ AM m AE ɐ BA p AG ɪ AM l AD ɪ AM s AH
dimaranan	d AI ɪ AM m AE ɐ BA ɾ BE ɐ BA n AF ɐ BA n AF
dimatatac	d AI ɪ AM m AE ɐ BA t AI ɐ BA t AI ɐ BA k AC
diokno	d AI ɪ AM o BA k AC n AF o BA
dipasupil	d AI ɪ AM p AG ɐ BA s AH ʊ BA p AG ɪ AM l AD
diplomasya	d AI ɪ AM p AG l AD o BA m AE a AM ʃ AH ɐ BA
disisais	d AI ɪ AM s AH ɪ AM s AH ɐ BA ʔ AL i AM s AH
diskumpiyado	d AI ɪ AM s AH k AC u BA m AE p AG j AB ɐ BA d AI o BA
dismayado	d AI ɪ AM s AH m AE ɐ BA j AB ɐ BA d AI o BA
diyablo	d AI ʒ AH ɐ BA b AG l AD o BA
diyamante	d AI ʒ AH a AM m AE a AM n AF t AI ɛ AM
diño	d AI ɪ AM ɲ AK o BA
domantay	d AI o BA m AE ɐ BA n AF t AI a AM ɪ̯ AB
domingo	d AI o BA m AE ɪ AM ŋ AK ɡ AC o BA
dueñas	d AI ʊ BA ɛ AM ɲ AK ɐ BA s AH
duhat	d AI u BA h AA ɐ BA t AI
dukot	d AI u BA x BC o BA t AI
dukwang	d AI ʊ BA k AC w AJ a AM ŋ AK
dulay	d AI ʊ BA l AD a AM ɪ̯ AB
duldol	d AI ʊ BA l AD d AI o BA l AD
dumaguing	d AI ʊ BA m AE ɐ BA ɰ AB ɪ AM ŋ AK
dumating	d AI ʊ BA m AE ɐ BA t AI ɪ AM ŋ AK
dumlao	d AI ʊ BA m AE l AD ɐ BA o BA
dumpit	d AI u BA m AE p AG ɪ AM t AI
dumungaw	d AI ʊ BA m AE u BA ŋ AK a AM ʊ̯ AJ
dumura	d AI ʊ BA m AE ʊ BA ɾ BE a AM ʔ AL
dungaw	d AI u BA ŋ AK a AM ʊ̯ AJ
dura	d AI ʊ BA ɾ BE a AM ʔ AL
durante	d AI ʊ BA ɾ BE ɐ BA n AF t AI ɛ AM
duwag	d AI w AJ a AM ɡ AC
dyahe	d AI ʒ AH ɐ BA h AA ɛ AM
dyaket	d AI ʒ AH a AM x BC ɛ AM t AI
dyanitor	d AI ʒ AH a AM n AF ɪ AM t AI o BA ɾ BE
echano	ʔ AL ɛ AM t AI ʃ AH ɐ BA n AF o BA
echevarria	ʔ AL ɛ AM t AI ʃ AH ɛ AM b AG ɐ BA ɾ BE j AB ɐ BA
edisyon	ʔ AL ɛ AM d AI ɪ AM ʃ AH o BA n AF
ekis	ʔ AL ɛ AM x BC ɪ AM s AH
ekisan	ʔ AL ɛ AM x BC ɪ AM s AH ɐ BA n AF
ekonomiya	ʔ AL ɛ AM x BC o BA n AF o BA m AE ɪ AM ɐ BA
elamparo	ʔ AL ɛ AM l AD ɐ BA m AE p AG ɐ BA ɾ BE o BA
elizaga	ʔ AL ɛ AM t AI ʃ AH ɛ AM b AG ɐ BA ɾ BE j AB ɐ BA
encarnado	ʔ AL ɛ AM ŋ AK k AC ɐ BA ɾ BE n AF ɐ BA d AI o BA
encinas	ʔ AL ɛ AM n AF s AH ɪ AM n AF ɐ BA s AH
endaya	ʔ AL ɛ AM n AF d AI ɐ BA j AB ɐ BA
epidemya	ʔ AL ɛ AM p AG ɪ AM d AI ɛ AM m AE j AB ɐ BA
ermitanyo	ʔ AL ɛ AM ɾ BE m AE ɪ AM t AI ɐ BA ɲ AK o BA
escalona	ʔ AL ɛ AM s AH k AC ɐ BA l AD o BA n AF ɐ BA
escaño	ʔ AL ɛ AM s AH k AC ɐ BA ɲ AK o BA
esguerra	ʔ AL ɛ AM s AH ɡ AC ɛ AM ɾ BE ɾ BE ɐ BA
eskaparate	ʔ AL ɛ AM s AH k AC ɐ BA p AG ɐ BA ɾ BE a AM t AI ɛ AM
espadahan	ʔ AL ɛ AM s AH p AG ɐ BA d AI ɐ BA h AA a AM n AF
espasyo	ʔ AL ɛ AM s AH p AG a AM ʃ AH o BA
espinoza	ʔ AL ɛ AM s AH p AG ɪ AM n AF o BA s AH ɐ BA
esquivel	ʔ AL ɛ AM s AH k AC ɪ AM b AG ɛ AM l AD
estabillo	ʔ AL ɛ AM s AH t AI ɐ BA b AG ɪ AM l AD l AD o BA
estrella	ʔ AL ɛ AM s AH t AI ɾ BE ɛ AM l AD l AD ɐ BA
eugenio	j AB ʊ BA h AA ɛ AM ɲ AK o BA
fabregas	p AG ɐ BA b AG ɾ BE ɛ AM ɰ AB ɐ BA s AH
fabros	p AG ɐ BA b AG ɾ BE o BA s AH
fajardo	p AG ɐ BA d AI ʒ AH ɐ BA ɾ BE d AI o BA
falcon	p AG ɐ BA l AD k AC o BA n AF
faltado	p AG ɐ BA l AD t AI ɐ BA d AI o BA
fernandez	p AG ɛ AM ɾ BE n AF ɐ BA n AF d AI ɛ AM s AH
ferriols	p AG ɛ AM ɾ BE ɾ BE ɪ AM o BA l AD s AH
figueras	p AG ɪ AM ɰ AB ɛ AM ɾ BE ɐ BA s AH
figueroa	p AG ɪ AM ɰ AB ɛ AM ɾ BE o BA ɐ BA
fojas	p AG o BA d AI ʒ AH ɐ BA s AH
fonacier	p AG o BA n AF ɐ BA s AH ɪ AM ɛ AM ɾ BE
fontelera	p AG o BA n AF t AI ɛ AM l AD ɛ AM ɾ BE ɐ BA
fontillas	p AG o BA n AF t AI ɪ AM l AD l AD ɐ BA s AH
forteza	p AG o BA ɾ BE t AI ɛ AM s AH ɐ BA
fortich	p AG o BA ɾ BE t AI ɪ AM t AI ʃ AH
frias	p AG ɾ BE ɪ AM ɐ BA s AH
fronda	p AG ɾ BE o BA n AF d AI ɐ BA
fuentebella	p AG ʊ BA ɛ AM n AF t AI ɛ AM b AG ɛ AM l AD l AD ɐ BA
furagganan	p AG ʊ BA ɾ BE ɐ BA ɡ AC ɡ AC ɐ BA n AF ɐ BA n AF
gabi	ɡ AC ɐ BA b AG ɪ AM
gabiana	ɡ AC ɐ BA b AG ɪ AM ɐ BA n AF ɐ BA
gacula	ɡ AC ɐ BA x BC ʊ BA l AD ɐ BA
gacusan	ɡ AC ɐ BA x BC ʊ BA s AH ɐ BA n AF
gacutan	ɡ AC ɐ BA x BC ʊ BA t AI ɐ BA n AF
galamay	ɡ AC ɐ BA l AD ɐ BA m AE a AM ɪ̯ AB
galapong	ɡ AC ɐ BA l AD ɐ BA p AG o BA ŋ AK
galis	ɡ AC ɐ BA l AD i AM s AH
gallo	ɡ AC ɐ BA l AD l AD o BA
gan	ɡ AC ɐ BA n AF
ganap	ɡ AC ɐ BA n AF a AM p AG
gancayco	ɡ AC ɐ BA ŋ AK k AC a AM ɪ̯ AB x BC o BA
gansa	ɡ AC ɐ BA n AF s AH a AM
ganti	ɡ AC ɐ BA n AF t AI i AM
ganzon	ɡ AC ɐ BA n AF s AH o BA n AF
garalde	ɡ AC ɐ BA ɾ BE ɐ BA l AD d AI ɛ AM
garapata	ɡ AC ɐ BA ɾ BE ɐ BA p AG ɐ BA t AI ɐ BA
garay	ɡ AC ɐ BA ɾ BE a AM ɪ̯ AB
garces	ɡ AC ɐ BA ɾ BE s AH ɛ AM s AH
garchitorena	ɡ AC ɐ BA ɾ BE t AI ʃ AH ɪ AM t AI o BA ɾ BE ɛ AM n AF ɐ BA
garciano	ɡ AC ɐ BA ɾ BE s AH ɪ AM ɐ BA n AF o BA
gascon	ɡ AC ɐ BA s AH k AC o BA n AF
gaslaw	ɡ AC ɐ BA s AH l AD a AM ʊ̯ AJ
gasolinahan	ɡ AC ɐ BA s AH o BA l AD ɪ AM n AF ɐ BA h AA a AM n AF
gaspang	ɡ AC ɐ BA s AH p AG a AM ŋ AK
gaston	ɡ AC ɐ BA s AH t AI o BA n AF
gatbonton	ɡ AC ɐ BA t AI b AG o BA n AF t AI o BA n AF
gatchalian	ɡ AC ɐ BA t AI t AI ʃ AH ɐ BA l AD j AB ɐ BA n AF
gayuma	ɡ AC ɐ BA j AB u BA m AE ɐ BA
gerilya	ɡ AC ɛ AM ɾ BE ɪ AM l AD j AB ɐ BA
gerodias	d AI ʒ AH ɛ AM ɾ BE o BA d AI ʒ AH ɐ BA s AH
geronimo	h AA ɛ AM ɾ BE o BA n AF ɪ AM m AE o BA
gilagid	ɡ AC ɪ AM l AD a AM ɰ AB ɪ AM d AI
ginhawa	ɡ AC ɪ AM ŋ AK h AA a AM w AJ ɐ BA
ginto	ɡ AC ɪ AM n AF t AI o BA ʔ AL
giron	h AA ɪ AM ɾ BE o BA n AF
gisa	ɡ AC ɪ AM s AH a AM
gitna	ɡ AC ɪ AM t AI n AF a AM ʔ AL
godoy	ɡ AC o BA d AI o BA ɪ̯ AB
gradweyt	ɡ AC ɾ BE a AM d AI w AJ ɛ AM ɪ̯ AB t AI
grasa	ɡ AC ɾ BE ɐ BA s AH ɐ BA
grasya	ɡ AC ɾ BE a AM ʃ AH ɐ BA
grumadweyt	ɡ AC ɾ BE ʊ BA m AE a AM d AI w AJ ɛ AM ɪ̯ AB t AI
guanzon	ɡ AC ʊ BA ɐ BA n AF s AH o BA n AF
gubat	ɡ AC ʊ BA b AG ɐ BA t AI
guerra	ɡ AC ɛ AM ɾ BE ɐ BA
gulpi	ɡ AC ʊ BA l AD p AG i AM
gumapac	ɡ AC ʊ BA m AE ɐ BA p AG ɐ BA k AC
gumiran	ɡ AC ʊ BA m AE ɪ AM ɾ BE ɐ BA n AF
guwantes	ɡ AC w AJ ɐ BA n AF t AI ɛ AM s AH
guwardiya	ɡ AC w AJ a AM ɾ BE d AI ʒ AH ɐ BA
habagat	h AA ɐ BA b AG a AM ɰ AB ɐ BA t AI
hagod	h AA a AM ɰ AB o BA d AI
hagok	h AA a AM ɰ AB o BA k AC
hagulgol	h AA ɐ BA ɰ AB ʊ BA l AD ɡ AC o BA l AD
hagulhol	h AA ɐ BA ɰ AB ʊ BA l AD h AA o BA l AD
hagupit	h AA ɐ BA ɰ AB ʊ BA p AG i AM t AI
halabos	h AA ɐ BA l AD ɐ BA b AG o BA s AH
halaga	h AA ɐ BA l AD ɐ BA ɰ AB a AM
halasan	h AA ɐ BA l AD ɐ BA s AH ɐ BA n AF
haligi	h AA ɐ BA l AD i AM ɰ AB ɪ AM
halik	h AA ɐ BA l AD i AM k AC
halimaw	h AA ɐ BA l AD ɪ AM m AE a AM ʊ̯ AJ
hambalang	h AA ɐ BA m AE b AG a AM l AD ɐ BA ŋ AK
hamog	h AA ɐ BA m AE o BA ɡ AC
hangal	h AA ɐ BA ŋ AK a AM l AD
hapdi	h AA ɐ BA p AG d AI i AM ʔ AL
hapit	h AA ɐ BA p AG ɪ AM t AI
hapo	h AA ɐ BA p AG o BA ʔ AL
hapones	h AA ɐ BA p AG o BA n AF ɛ AM s AH
hapunan	h AA ɐ BA p AG ʊ BA n AF ɐ BA n AF
harana	h AA ɐ BA ɾ BE ɐ BA n AF ɐ BA
harang	h AA a AM ɾ BE ɐ BA ŋ AK
harap	h AA ɐ BA ɾ BE a AM p AG
hasik	h AA ɐ BA s AH i AM k AC
hawa	h AA ɐ BA w AJ ɐ BA
hawla	h AA a AM ʊ̯ AJ l AD ɐ BA
hayag	h AA ɐ BA j AB ɐ BA ɡ AC
herradura	ʔ AL ɛ AM ɾ BE ɐ BA d AI ʊ BA ɾ BE ɐ BA
higop	h AA ɪ AM ɰ AB o BA p AG
hilab	h AA i AM l AD ɐ BA b AG
hilaw	h AA ɪ AM l AD a AM ʊ̯ AJ
hilera	h AA ɪ AM l AD ɛ AM ɾ BE ɐ BA
himala	h AA ɪ AM m AE ɐ BA l AD a AM ʔ AL
himasok	h AA ɪ AM m AE a AM s AH o BA k AC
himatayin	h AA ɪ AM m AE ɐ BA t AI ɐ BA j AB i AM n AF
hina	h AA i AM n AF ɐ BA ʔ AL
hinagpis	h AA ɪ AM n AF ɐ BA ɡ AC p AG i AM s AH
hinala	h AA ɪ AM n AF a AM l AD ɐ BA ʔ AL
hinga	h AA ɪ AM ŋ AK a AM
hinlalaki	h AA ɪ AM n AF l AD ɐ BA l AD ɐ BA x BC i AM
hinog	h AA ɪ AM n AF o BA ɡ AC
hintuturo	h AA ɪ AM n AF t AI ʊ BA t AI ʊ BA ɾ BE o BA ʔ AL
hipolito	h AA ɪ AM p AG o BA l AD ɪ AM t AI o BA
hipon	h AA ɪ AM p AG o BA n AF
hira	ç i AM r BB a AM ʔ AL
hirap	h AA ɪ AM ɾ BE a AM p AG
hithit	h AA ɪ AM t AI h AA i AM t AI
hitsura	h AA ɪ AM t AI ʃ AH u BA ɾ BE ɐ BA
hiwalay	h AA ɪ AM w AJ ɐ BA l AD a AM ɪ̯ AB
hiya	h AA ɪ AM a AM ʔ AL
hiyaw	h AA ɪ AM a AM ʊ̯ AJ
hizon	h AA ɪ AM s AH o BA n AF
homiliya	h AA o BA m AE ɪ AM l AD ɪ AM ɐ BA
hortaleza	h AA o BA ɾ BE t AI ɐ BA l AD ɛ AM s AH ɐ BA
hulog	h AA ʊ BA l AD o BA ɡ AC
humagulgol	h AA ʊ BA m AE ɐ BA ɰ AB ʊ BA l AD ɡ AC o BA l AD
humandusay	h AA ʊ BA m AE ɐ BA n AF d AI u BA s AH a AM ɪ̯ AB
huni	h AA u BA n AF ɪ AM
husga	h AA ʊ BA s AH ɡ AC a AM
husgado	h AA ʊ BA s AH ɡ AC ɐ BA d AI o BA
husgahan	h AA ʊ BA s AH ɡ AC ɐ BA h AA a AM n AF
huweteng	h AA ʊ BA ɛ AM t AI ɛ AM ŋ AK
ibasco	ʔ AL ɪ AM b AG ɐ BA s AH k AC o BA
igib	ʔ AL ɪ AM ɰ AB i AM b AG
ignacio	ʔ AL ɪ AM ɡ AC n AF ɐ BA ʃ AH o BA
ignoransiya	ʔ AL ɪ AM ɡ AC n AF o BA ɾ BE a AM n AF ʃ AH ɐ BA
ignorante	ʔ AL ɪ AM ɡ AC n AF o BA ɾ BE a AM n AF t AI ɛ AM
ilag	ʔ AL i AM l AD ɐ BA ɡ AC
ilao	ʔ AL ɪ AM l AD a AM ʊ̯ AJ
iling	ʔ AL ɪ AM l AD i AM ŋ AK
ilog	ʔ AL ɪ AM l AD o BA ɡ AC
ilong	ʔ AL ɪ AM l AD o BA ŋ AK
ilustre	ʔ AL ɪ AM l AD ʊ BA s AH t AI ɾ BE ɛ AM
imahen	ʔ AL ɪ AM m AE a AM h AA ɛ AM n AF
imbentaryo	ʔ AL ɪ AM m AE b AG ɛ AM n AF t AI ɐ BA ɾ BE j AB o BA
imperial	ʔ AL ɪ AM m AE p AG ɛ AM ɾ BE j AB ɐ BA l AD
impluwensiya	ʔ AL ɪ AM m AE p AG l AD ʊ BA ɛ AM n AF s AH ɪ AM ɐ BA
importansiya	ʔ AL ɪ AM m AE p AG o BA ɾ BE t AI a AM n AF ʃ AH ɐ BA
importante	ʔ AL ɪ AM m AE p AG o BA ɾ BE t AI a AM n AF t AI ɛ AM
ina	ʔ AL ɪ AM n AF a AM
inahin	ʔ AL ɪ AM n AF ɐ BA h AA i AM n AF
infante	ʔ AL ɪ AM n AF p AG ɐ BA n AF t AI ɛ AM
ingay	ʔ AL ɪ AM ŋ AK a AM ɪ̯ AB
inggit	ʔ AL ɪ AM ŋ AK ɡ AC i AM t AI
inggitero	ʔ AL ɪ AM ŋ AK ɡ AC ɪ AM t AI ɛ AM ɾ BE o BA
inggo	ʔ AL ɪ AM ŋ AK ɡ AC o BA ʔ AL
ingrato	ʔ AL ɪ AM ŋ AK ɡ AC ɾ BE ɐ BA t AI o BA
inip	ʔ AL ɪ AM n AF i AM p AG
inosente	ʔ AL ɪ AM n AF o BA s AH ɛ AM n AF t AI ɛ AM
insulto	ʔ AL ɪ AM n AF s AH ʊ BA l AD t AI o BA
interbiyu	ʔ AL ɪ AM n AF t AI ɛ AM ɾ BE b AG ɪ AM ʊ̯ AJ
interes	ʔ AL ɪ AM n AF t AI ɛ AM ɾ BE ɛ AM s AH
intsik	ʔ AL ɪ AM n AF t AI ʃ AH i AM k AC
inumin	ʔ AL ɪ AM n AF ʊ BA m AE ɪ AM n AF
inutil	ʔ AL ɪ AM n AF u BA t AI ɪ AM l AD
ipagbilin	ʔ AL ɪ AM p AG ɐ BA ɡ AC b AG ɪ AM l AD ɪ AM n AF
ipamigay	ʔ AL ɪ AM p AG ɐ BA m AE ɪ AM ɰ AB a AM ɪ̯ AB
ipis	ʔ AL i AM p AG ɪ AM s AH
irebisa	ʔ AL ɪ AM ɾ BE ɛ AM b AG ɪ AM s AH a AM
isa	ʔ AL ɪ AM s AH a AM
isagani	ʔ AL ɪ AM s AH ɐ BA ɰ AB ɐ BA n AF ɪ AM
isangkot	ʔ AL ɪ AM s AH ɐ BA ŋ AK k AC o BA t AI
ishinare	ʔ AL ɪ AM s AH h AA ɪ AM n AF ɛ AM ɾ BE
isidro	ʔ AL ɪ AM s AH ɪ AM d AI ɾ BE o BA
isisi	ʔ AL ɪ AM s AH ɪ AM s AH ɪ AM
iskedyul	ʔ AL ɪ AM s AH k AC ɛ AM d AI ʒ AH ʊ BA l AD
iskolar	ʔ AL ɪ AM s AH k AC o BA l AD ɐ BA ɾ BE
iskrip	ʔ AL ɪ AM s AH k AC ɾ BE i AM p AG
istorya	ʔ AL ɪ AM s AH t AI o BA ɾ BE j AB ɐ BA
itlog	ʔ AL ɪ AM t AI l AD o BA ɡ AC
ito	ʔ AL ɪ AM t AI o BA
jalandoni	d AI ʒ AH ɐ BA l AD ɐ BA n AF d AI o BA n AF ɪ AM
jamisola	d AI ʒ AH ɐ BA m AE ɪ AM s AH o BA l AD ɐ BA
jara	d AI ʒ AH ɐ BA ɾ BE ɐ BA
jaramillo	d AI ʒ AH ɐ BA ɾ BE ɐ BA m AE ɪ AM l AD l AD o BA
jaranilla	d AI ʒ AH ɐ BA ɾ BE ɐ BA n AF ɪ AM l AD l AD ɐ BA
juarez	d AI ʒ AH ʊ BA ɐ BA ɾ BE ɛ AM s AH
jumarang	d AI ʒ AH ʊ BA m AE ɐ BA ɾ BE ɐ BA ŋ AK
juntilla	d AI ʒ AH ʊ BA n AF t AI ɪ AM l AD l AD ɐ BA
jurado	d AI ʒ AH ʊ BA ɾ BE ɐ BA d AI o BA
jusi	d AI ʒ AH ʊ BA s AH ɪ AM
justiniano	d AI ʒ AH ʊ BA s AH t AI ɪ AM n AF ɪ AM ɐ BA n AF o BA
kababaihan	k AC x BC ɐ BA b AG ɐ BA b AG ɐ BA ʔ AL ɪ AM h AA ɐ BA n AF
kabaligtaran	k AC x BC ɐ BA b AG ɐ BA l AD ɪ AM ɡ AC t AI ɐ BA ɾ BE a AM n AF
kabaong	k AC x BC ɐ BA b AG a AM o BA ŋ AK
kabastusan	k AC x BC ɐ BA b AG ɐ BA s AH t AI ʊ BA s AH a AM n AF
kabayo	k AC x BC ɐ BA b AG ɐ BA j AB o BA
kaberdehan	k AC x BC ɐ BA b AG ɛ AM ɾ BE d AI ɛ AM h AA a AM n AF
kabig	k AC x BC a AM b AG ɪ AM ɡ AC
kabiling	k AC x BC ɐ BA b AG ɪ AM l AD ɪ AM ŋ AK
kabuwanan	k AC x BC ɐ BA b AG w AJ ɐ BA n AF ɐ BA n AF
kadena	k AC x BC ɐ BA d AI ɛ AM n AF ɐ BA
kadugo	k AC x BC ɐ BA d AI ʊ BA ɰ AB o BA ʔ AL
kadyos	k AC x BC ɐ BA d AI ʒ AH o BA s AH
kagalingan	k AC x BC ɐ BA ɰ AB ɐ BA l AD ɪ AM ŋ AK ɐ BA n AF
kagaw	k AC x BC ɐ BA ɰ AB a AM ʊ̯ AJ
kaha	k AC x BC ɐ BA h AA ɐ BA
kahabagan	k AC x BC ɐ BA h AA ɐ BA b AG ɐ BA ɰ AB a AM n AF
kahandaan	k AC x BC ɐ BA h AA ɐ BA n AF d AI ɐ BA ʔ AL a AM n AF
kahero	k AC x BC ɐ BA h AA ɛ AM ɾ BE o BA
kahihiyan	k AC x BC a AM h AA ɪ AM h AA ɪ AM a AM n AF
kahoy	k AC x BC a AM h AA o BA ɪ̯ AB
kaibigan	k AC x BC a AM ɪ̯ AB b AG ɪ AM ɰ AB a AM n AF
kakarampot	k AC x BC ɐ BA x BC ɐ BA ɾ BE ɐ BA m AE p AG o BA t AI
kakulangan	k AC x BC ɐ BA x BC ʊ BA l AD ɐ BA ŋ AK a AM n AF
kalaguyo	k AC x BC ɐ BA l AD ɐ BA ɰ AB u BA j AB o BA ʔ AL
kalaliman	k AC x BC ɐ BA l AD ɐ BA l AD ɪ AM m AE ɐ BA n AF
kalan	k AC x BC ɐ BA l AD a AM n AF
kalantas	k AC x BC ɐ BA l AD ɐ BA n AF t AI a AM s AH
kalaswaan	k AC x BC ɐ BA l AD ɐ BA s AH w AJ ɐ BA ʔ AL a AM n AF
kalatas	k AC x BC ɐ BA l AD ɐ BA t AI a AM s AH
kalatsutsi	k AC x BC ɐ BA l AD ɐ BA t AI ʃ AH u BA t AI ʃ AH ɪ AM ʔ AL
kalawang	k AC x BC ɐ BA l AD a AM w AJ ɐ BA ŋ AK
kalawangin	k AC x BC ɐ BA l AD ɐ BA w AJ ɐ BA ŋ AK ɪ AM n AF
kalbaryo	k AC x BC ɐ BA l AD b AG a AM ɾ BE j AB o BA
kaldero	k AC x BC ɐ BA l AD d AI ɛ AM ɾ BE o BA
kalendaryo	k AC x BC ɐ BA l AD ɛ AM n AF d AI a AM ɾ BE j AB o BA
kalibre	k AC x BC ɐ BA l AD ɪ AM b AG ɾ BE ɛ AM
kalibugan	k AC x BC ɐ BA l AD ɪ AM b AG ʊ BA ɰ AB ɐ BA n AF
kalidad	k AC x BC ɐ BA l AD ɪ AM d AI a AM d AI
kaligayahan	k AC x BC ɐ BA l AD ɪ AM ɰ AB ɐ BA j AB ɐ BA h AA ɐ BA n AF
kaligkig	k AC x BC ɐ BA l AD ɪ AM ɡ AC k AC i AM ɡ AC
kalis	k AC x BC a AM l AD ɪ AM s AH
kaliskis	k AC x BC ɐ BA l AD ɪ AM s AH k AC ɪ AM s AH
kaliwanagan	k AC x BC ɐ BA l AD ɪ AM w AJ ɐ BA n AF ɐ BA ɰ AB ɐ BA n AF
kaliwete	k AC x BC ɐ BA l AD ɪ AM w AJ ɛ AM t AI ɛ AM
kalso	k AC x BC ɐ BA l AD s AH o BA
kalungsuran	k AC x BC ɐ BA l AD ʊ BA ŋ AK s AH ʊ BA ɾ BE a AM n AF
kaluwalhatian	k AC x BC ɐ BA l AD ʊ BA l AD ʊ BA ɐ BA l AD h AA ɐ BA t AI i AM ʔ AL ɐ BA n AF
kalyo	k AC x BC ɐ BA l AD j AB o BA
kamandag	k AC x BC ɐ BA m AE ɐ BA n AF d AI a AM ɡ AC
kamangmangan	k AC x BC ɐ BA m AE ɐ BA ŋ AK m AE ɐ BA ŋ AK a AM n AF
kamatayan	k AC x BC ɐ BA m AE ɐ BA t AI ɐ BA j AB ɐ BA n AF
kambal	k AC x BC ɐ BA m AE b AG ɐ BA l AD
kambyo	k AC x BC ɐ BA m AE b AG j AB o BA
kampana	k AC x BC ɐ BA m AE p AG a AM n AF ɐ BA ʔ AL
kampante	k AC x BC ɐ BA m AE p AG a AM n AF t AI ɛ AM
kampanya	k AC x BC ɐ BA m AE p AG ɐ BA ɲ AK a AM
kamukha	k AC x BC ɐ BA m AE ʊ BA k AC h AA a AM ʔ AL
kamunduhan	k AC x BC ɐ BA m AE ʊ BA n AF d AI ʊ BA h AA a AM n AF
kandidato	k AC x BC ɐ BA n AF d AI ɪ AM d AI a AM t AI o BA
kandila	k AC x BC ɐ BA n AF d AI i AM l AD ɐ BA ʔ AL
kanduli	k AC x BC ɐ BA n AF d AI u BA l AD ɪ AM ʔ AL
kangkungan	k AC x BC ɐ BA ŋ AK k AC ʊ BA ŋ AK ɐ BA n AF
kanina	k AC x BC ɐ BA n AF i AM n AF ɐ BA
kanino	k AC x BC ɐ BA n AF ɪ AM n AF o BA
kaniyugan	k AC x BC ɐ BA ɲ AK ʊ BA ɰ AB ɐ BA n AF
kanlong	k AC x BC ɐ BA n AF l AD o BA ŋ AK
kanlungan	k AC x BC ɐ BA n AF l AD ʊ BA ŋ AK ɐ BA n AF
kanselasyon	k AC x BC ɐ BA n AF s AH ɛ AM l AD ɐ BA ʃ AH o BA n AF
kanser	k AC x BC a AM n AF s AH ɛ AM ɾ BE
kanta	k AC x BC ɐ BA n AF t AI a AM
kantahin	k AC x BC ɐ BA n AF t AI ɐ BA h AA i AM n AF
kaopisina	k AC x BC ɐ BA o BA p AG ɪ AM s AH ɪ AM n AF ɐ BA
kapabayaan	k AC x BC ɐ BA p AG ɐ BA b AG ɐ BA j AB ɐ BA a AM n AF
kapakanan	k AC x BC ɐ BA p AG ɐ BA x BC ɐ BA n AF ʔ AL a AM n AF
kapalit	k AC x BC ɐ BA p AG ɐ BA l AD i AM t AI
kapanahunan	k AC x BC ɐ BA p AG ɐ BA n AF ɐ BA h AA ʊ BA n AF ɐ BA n AF
kapatawaran	k AC x BC ɐ BA p AG ɐ BA t AI ɐ BA w AJ ɐ BA ɾ BE a AM n AF
