aa	ɑː AE
helakanpunainen	h AA e̞ AD l ɑ AD k ɑ AD m p u AF n ɑ AD i̯ AB n e̞ AD n
helakansininen	h AA e̞ AD l ɑ AD k ɑ AD n s̠ i AD n i AD n e̞ AD n
helakasti	h AA e̞ AD l ɑ AD k ɑ AD s̠ t̪ i AD ʔ
helakka	h AA e̞ AD l ɑ AD kː ɑ AD
helakkuus	h AA e̞ AD l ɑ AD kː uː AG s̠
helapäinen	h AA e̞ AD l ɑ AD p æ AD i̯ AB n e̞ AD n
helapää	h AA e̞ AD l ɑ AD p æː AE
helari	h AA e̞ AD l ɑ AD r i AD
helatorstai	h AA e̞ AD l ɑ AD t̪ o̞ AF r s̠ t̪ ɑ AD i̯ AB
helavyö	h AA e̞ AD l ɑ AD ʋ AC y AF ø̞̯
hele	h AA e̞ AD l e̞ AD ʔ
heleena	h AA e̞ AD l e̞ː AE n ɑ AD
helena	h AA e̞ AD l e̞ AD n ɑ AD
heleys	h AA e̞ AD l e̞ AD y AF s̠
heleä	h AA e̞ AD l e̞ AD æ AD
heleäihoinen	h AA e̞ AD l e̞ AD æ AD i̯ AB ɦ AA o̞ AF i̯ AB n e̞ AD n
heleänkeltainen	h AA e̞ AD l e̞ AD æ AD ŋ k e̞ AD l t̪ ɑ AD i̯ AB n e̞ AD n
heleänpunainen	h AA e̞ AD l e̞ AD æ AD m p u AF n ɑ AD i̯ AB n e̞ AD n
heleänvärinen	h AA e̞ AD l e̞ AD æ AD n ʋ AC æ AD r i AD n e̞ AD n
heleäsointinen	h AA e̞ AD l e̞ AD æ AD s̠ o̞ AF i̯ AB n̪ t̪ i AD n e̞ AD n
heleästi	h AA e̞ AD l e̞ AD æ AD s̠ t̪ i AD ʔ
heli	h AA e̞ AD l i AD
helikopteriasema	h AA e̞ AD l i AD k o̞ AF p t̪ e̞ AD r i AD ɑ AD s̠ e̞ AD m ɑ AD
helikopterikenttä	h AA e̞ AD l i AD k o̞ AF p t̪ e̞ AD r i AD k e̞ AD n̪ t̪ː æ AD
helikopterikuljetus	h AA e̞ AD l i AD k o̞ AF p t̪ e̞ AD r i AD k u AF l j AB e̞ AD t̪ u AF s̠
helikopterionnettomuus	h AA e̞ AD l i AD k o̞ AF p t̪ e̞ AD r i AD o̞ AF nː e̞ AD t̪ t̪ o̞ AF m uː AG s̠
helinä	h AA e̞ AD l i AD n æ AD
heliometri	h AA e̞ AD l i AD o̞ AF m e̞ AD t̪ r i AD
heliosentrismi	h AA e̞ AD l i AD o̞ AF s̠ e̞ AD n̪ t̪ r i AD s̠ m i AD
heliotrooppinen	h AA e̞ AD l i AD o̞ AF t̪ r o̞ː AG p p i AD n e̞ AD n
heliseminen	h AA e̞ AD l i AD s̠ e̞ AD m i AD n e̞ AD n
helisiteetti	h AA e̞ AD l i AD s̠ i AD t̪ e̞ː AE t̪ː i AD
helistellä	h AA e̞ AD l i AD s̠ t̪ e̞ AD lː æ AD ʔ
helistin	h AA e̞ AD l i AD s̠ t̪ i AD n
helistä	h AA e̞ AD l i AD s̠ t̪ æ AD ʔ
helistää	h AA e̞ AD l i AD s̠ t̪ æː AE ʔ
heljä	h AA e̞ AD l j AB æ AD
helka	h AA e̞ AD l k ɑ AD
helkatuli	h AA e̞ AD l k ɑ AD t̪ u AF l i AD
helkavalkea	h AA e̞ AD l k ɑ AD ʋ AC ɑ AD l k e̞ AD ɑ AD
helkkarinmoinen	h AA e̞ AD l kː ɑ AD r i AD m m o̞ AF i̯ AB n e̞ AD n
helkkaristi	h AA e̞ AD l kː ɑ AD r i AD s̠ t̪ i AD ʔ
helkytellä	h AA e̞ AD l k y AF t̪ e̞ AD lː æ AD ʔ
helkyttäminen	h AA e̞ AD l k y AF t̪ t̪ æ AD m i AD n e̞ AD n
helkytys	h AA e̞ AD l k y AF t̪ y AF s̠
helkähtää	h AA e̞ AD l k æ AD h AA t̪ æː AE ʔ
hella	h AA e̞ AD lː ɑ AD
hellahuone	h AA e̞ AD lː ɑ AD h AA u AF o̞̯ n e̞ AD ʔ
hellakoukku	h AA e̞ AD lː ɑ AD k o̞ AF u̯ AC kː u AF
hellanlettas	h AA e̞ AD lː ɑ AD n l e̞ AD t̪ː ɑ AD s̠
hellanrengas	h AA e̞ AD lː ɑ AD n r e̞ AD ŋː ɑ AD s̠
hellanrinki	h AA e̞ AD lː ɑ AD n r i AD ŋ k i AD
hellapuu	h AA e̞ AD lː ɑ AD p uː AG
hellari	h AA e̞ AD lː ɑ AD r i AD
helle	h AA e̞ AD lː e̞ AD ʔ
helleasu	h AA e̞ AD lː e̞ AD ʔ ɑ AD s̠ u AF
hellehattu	h AA e̞ AD lː e̞ AD h AA h AA ɑ AD t̪ː u AF
hellelukema	h AA e̞ AD lː e̞ AD l l u AF k e̞ AD m ɑ AD
hellemekko	h AA e̞ AD lː e̞ AD m m e̞ AD kː o̞ AF
hellenisoida	h AA e̞ AD lː e̞ AD n i AD s̠ o̞ AF i̯ AB d ɑ AD ʔ
hellepäivä	h AA e̞ AD lː e̞ AD p̚ p æ AD i̯ AB ʋ AC æ AD
helleraja	h AA e̞ AD lː e̞ AD r r ɑ AD j AB ɑ AD
hellesää	h AA e̞ AD lː e̞ AD s̠ s̠ æː AE
hellevaate	h AA e̞ AD lː e̞ AD ʋ AC ʋ AC ɑː AE t̪ e̞ AD ʔ
hellevi	h AA e̞ AD lː e̞ AD ʋ AC i AD
helli	h AA e̞ AD lː i AD
hellin	h AA e̞ AD lː i AD n
hellitellä	h AA e̞ AD lː i AD t̪ e̞ AD lː æ AD ʔ
hellittelynimi	h AA e̞ AD lː i AD t̪ t̪ e̞ AD l y AF n i AD m i AD
hellittelysana	h AA e̞ AD lː i AD t̪ t̪ e̞ AD l y AF s̠ ɑ AD n ɑ AD
hellittäminen	h AA e̞ AD lː i AD t̪ t̪ æ AD m i AD n e̞ AD n
hellittämättömästi	h AA e̞ AD lː i AD t̪ː æ AD m æ AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
hellitä	h AA e̞ AD lː i AD t̪ æ AD ʔ
helliä	h AA e̞ AD lː i AD æ AD ʔ
helluntai	h AA e̞ AD lː u AF n̪ t̪ ɑ AD i̯ AB
helluntaiherätys	h AA e̞ AD lː u AF n̪ t̪ ɑ AD i̯ AB h AA e̞ AD r æ AD t̪ y AF s̠
helluntaipäivä	h AA e̞ AD lː u AF n̪ t̪ ɑ AD i̯ AB p æ AD i̯ AB ʋ AC æ AD
helluntaiseurakunta	h AA e̞ AD lː u AF n̪ t̪ ɑ AD i̯ AB s̠ e̞ AD u̯ AC r ɑ AD k u AF n̪ t̪ ɑ AD
helluntaiystävä	h AA e̞ AD lː u AF n̪ t̪ ɑ AD i̯ AB y AF s̠ t̪ æ AD ʋ AC æ AD
helluntalainen	h AA e̞ AD lː u AF n̪ t̪ ɑ AD l ɑ AD i̯ AB n e̞ AD n
hellyttävä	h AA e̞ AD lː y AF t̪ t̪ æ AD ʋ AC æ AD
hellyydenkaipuu	h AA e̞ AD lː yː AG d e̞ AD ŋ k ɑ AD i̯ AB p uː AG
hellyydenkipeä	h AA e̞ AD lː yː AG d e̞ AD ŋ k i AD p e̞ AD æ AD
hellyydenosoitus	h AA e̞ AD lː yː AG d e̞ AD n o̞ AF s̠ o̞ AF i̯ AB t̪ u AF s̠
hellyydentarve	h AA e̞ AD lː yː AG d e̞ AD n t̪ ɑ AD r ʋ AC e̞ AD ʔ
hellyys	h AA e̞ AD lː yː AG s̠
hellä	h AA e̞ AD lː æ AD
helläkätinen	h AA e̞ AD lː æ AD k æ AD t̪ i AD n e̞ AD n
helläkätisesti	h AA e̞ AD lː æ AD k æ AD t̪ i AD s̠ e̞ AD s̠ t̪ i AD ʔ
helläkätisyys	h AA e̞ AD lː æ AD k æ AD t̪ i AD s̠ yː AG s̠
helläluonteinen	h AA e̞ AD lː æ AD l u AF o̞̯ n̪ t̪ e̞ AD i̯ AB n e̞ AD n
helläluontoinen	h AA e̞ AD lː æ AD l u AF o̞̯ n̪ t̪ o̞ AF i̯ AB n e̞ AD n
hellämielinen	h AA e̞ AD lː æ AD m i AD e̞̯ l i AD n e̞ AD n
helläsydäminen	h AA e̞ AD lː æ AD s̠ y AF d æ AD m m i AD n e̞ AD n
helläsydämisesti	h AA e̞ AD lː æ AD s̠ y AF d æ AD m i AD s̠ e̞ AD s̠ t̪ i AD ʔ
helläsydämisyys	h AA e̞ AD lː æ AD s̠ y AF d æ AD m i AD s̠ yː AG s̠
hellätunteinen	h AA e̞ AD lː æ AD t̪ u AF n̪ t̪ e̞ AD i̯ AB n e̞ AD n
hellätunteisesti	h AA e̞ AD lː æ AD t̪ u AF n̪ t̪ e̞ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
hellätunteisuus	h AA e̞ AD lː æ AD t̪ u AF n̪ t̪ e̞ AD i̯ AB s̠ uː AG s̠
hellätä	h AA e̞ AD lː æ AD t̪ æ AD ʔ
hellävaroin	h AA e̞ AD lː æ AD ʋ AC ɑ AD r o̞ AF i̯ AB n
helma	h AA e̞ AD l m ɑ AD
helmeillä	h AA e̞ AD l m e̞ AD i̯ AB lː æ AD ʔ
helmenharmaa	h AA e̞ AD l m e̞ AD n h AA ɑ AD r m ɑː AE
helmenkalastaja	h AA e̞ AD l m e̞ AD ŋ k ɑ AD l ɑ AD s̠ t̪ ɑ AD j AB ɑ AD
helmenkalastus	h AA e̞ AD l m e̞ AD ŋ k ɑ AD l ɑ AD s̠ t̪ u AF s̠
helmenpyynti	h AA e̞ AD l m e̞ AD m p yː AG n̪ t̪ i AD
helmenpyytäjä	h AA e̞ AD l m e̞ AD m p yː AG t̪ æ AD j AB æ AD
helmenviljely	h AA e̞ AD l m e̞ AD n ʋ AC i AD l j AB e̞ AD l y AF
helmestys	h AA e̞ AD l m e̞ AD s̠ t̪ y AF s̠
helmestäminen	h AA e̞ AD l m e̞ AD s̠ t̪ æ AD m i AD n e̞ AD n
helmestää	h AA e̞ AD l m e̞ AD s̠ t̪ æː AE ʔ
helmi	h AA e̞ AD l m i AD
helmihirssi	h AA e̞ AD l m i AD h AA i AD r s̠ː i AD
helmihopeatäplä	h AA e̞ AD l m i AD h AA o̞ AF p e̞ AD ɑ AD t̪ æ AD p l æ AD
helmihyasintti	h AA e̞ AD l m i AD h AA y AF ɑ AD s̠ i AD n̪ t̪ː i AD
helmiina	h AA e̞ AD l m iː AE n ɑ AD
helmikirjailu	h AA e̞ AD l m i AD k i AD r j AB ɑ AD i̯ AB l u AF
helmikirjoahven	h AA e̞ AD l m i AD k i AD r j AB o̞ AF ɑ AD x ʋ AC e̞ AD n
helmikirjonta	h AA e̞ AD l m i AD k i AD r j AB o̞ AF n̪ t̪ ɑ AD
helmikoriste	h AA e̞ AD l m i AD k o̞ AF r i AD s̠ t̪ e̞ AD ʔ
helmikoristeinen	h AA e̞ AD l m i AD k o̞ AF r i AD s̠ t̪ e̞ AD i̯ AB n e̞ AD n
helmikuu	h AA e̞ AD l m i AD k uː AG
helmilanka	h AA e̞ AD l m i AD l ɑ AD ŋ k ɑ AD
helmililja	h AA e̞ AD l m i AD l i AD l j AB ɑ AD
helminen	h AA e̞ AD l m i AD n e̞ AD n
helmineule	h AA e̞ AD l m i AD n e̞ AD u̯ AC l e̞ AD ʔ
helmiompelu	h AA e̞ AD l m i AD o̞ AF m p e̞ AD l u AF
helmipartamonni	h AA e̞ AD l m i AD p ɑ AD r t̪ ɑ AD m o̞ AF nː i AD
helmipeite	h AA e̞ AD l m i AD p e̞ AD i̯ AB t̪ e̞ AD ʔ
helmipensas	h AA e̞ AD l m i AD p e̞ AD n s̠ ɑ AD s̠
helmipisto	h AA e̞ AD l m i AD p i AD s̠ t̪ o̞ AF
helmipuuro	h AA e̞ AD l m i AD p uː AG r o̞ AF
helmipöllö	h AA e̞ AD l m i AD p ø̞ AF lː ø̞ AF
helmirihmakala	h AA e̞ AD l m i AD r i AD ç m ɑ AD k ɑ AD l ɑ AD
helmisimpukka	h AA e̞ AD l m i AD s̠ i AD m p u AF kː ɑ AD
helmistä	h AA e̞ AD l m i AD s̠ t̪ æ AD
helmisuurimo	h AA e̞ AD l m i AD s̠ uː AG r i AD m o̞ AF
helmisuurimot	h AA e̞ AD l m i AD s̠ uː AG r i AD m o̞ AF t̪
helmitaulu	h AA e̞ AD l m i AD t̪ ɑ AD u̯ AC l u AF
helmitinami	h AA e̞ AD l m i AD t̪ i AD n ɑ AD m i AD
helmivalkosipuli	h AA e̞ AD l m i AD ʋ AC ɑ AD l k o̞ AF s̠ i AD p u AF l i AD
helmivyö	h AA e̞ AD l m i AD ʋ AC y AF ø̞̯
helmiäishohto	h AA e̞ AD l m i AD æ AD i̯ AB s̠ h AA o̞ AF h AA t̪ o̞ AF
helmiäishohtoinen	h AA e̞ AD l m i AD æ AD i̯ AB s̠ h AA o̞ AF h AA t̪ o̞ AF i̯ AB n e̞ AD n
helmiäishuulipuna	h AA e̞ AD l m i AD æ AD i̯ AB s̠ h AA uː AG l i AD p u AF n ɑ AD
helmiäiskiilto	h AA e̞ AD l m i AD æ AD i̯ AB s̠ k iː AE l t̪ o̞ AF
helmiäiskiiltoinen	h AA e̞ AD l m i AD æ AD i̯ AB s̠ k iː AE l t̪ o̞ AF i̯ AB n e̞ AD n
helmiäisnappi	h AA e̞ AD l m i AD æ AD i̯ AB s̠ n ɑ AD pː i AD
helmiäistonkija	h AA e̞ AD l m i AD æ AD i̯ AB s̠ t̪ o̞ AF ŋ k i AD j AB ɑ AD
helmus	h AA e̞ AD l m u AF s̠
helmusta	h AA e̞ AD l m u AF s̠ t̪ ɑ AD
helo	h AA e̞ AD l o̞ AF
heloittaa	h AA e̞ AD l o̞ AF i̯ AB t̪ː ɑː AE ʔ
heloittaminen	h AA e̞ AD l o̞ AF i̯ AB t̪ t̪ ɑ AD m i AD n e̞ AD n
heloitus	h AA e̞ AD l o̞ AF i̯ AB t̪ u AF s̠
helokka	h AA e̞ AD l o̞ AF kː ɑ AD
helokki	h AA e̞ AD l o̞ AF kː i AD
helokkiöljy	h AA e̞ AD l o̞ AF kː i AD ø̞ AF l j AB y AF
helokkiöljykapseli	h AA e̞ AD l o̞ AF kː i AD ø̞ AF l j AB y AF k ɑ AD p s̠ e̞ AD l i AD
helottaa	h AA e̞ AD l o̞ AF t̪ː ɑː AE ʔ
helottaminen	h AA e̞ AD l o̞ AF t̪ t̪ ɑ AD m i AD n e̞ AD n
helotus	h AA e̞ AD l o̞ AF t̪ u AF s̠
helpoiten	h AA e̞ AD l p o̞ AF i̯ AB t̪ e̞ AD n
helpontaa	h AA e̞ AD l p o̞ AF n̪ t̪ ɑː AE ʔ
helposti	h AA e̞ AD l p o̞ AF s̠ t̪ i AD ʔ
helpota	h AA e̞ AD l p o̞ AF t̪ ɑ AD ʔ
helpottaminen	h AA e̞ AD l p o̞ AF t̪ t̪ ɑ AD m i AD n e̞ AD n
helpottava	h AA e̞ AD l p o̞ AF t̪ t̪ ɑ AD ʋ AC ɑ AD
helpottua	h AA e̞ AD l p o̞ AF t̪ t̪ u AF ɑ AD ʔ
helpottuminen	h AA e̞ AD l p o̞ AF t̪ t̪ u AF m i AD n e̞ AD n
helpottuneesti	h AA e̞ AD l p o̞ AF t̪ː u AF n e̞ː AE s̠ t̪ i AD ʔ
helppo	h AA e̞ AD l pː o̞ AF
helppoheikki	h AA e̞ AD l pː o̞ AF h AA e̞ AD i̯ AB kː i AD
helppohintainen	h AA e̞ AD l pː o̞ AF h AA i AD n̪ t̪ ɑ AD i̯ AB n e̞ AD n
helppohoitoinen	h AA e̞ AD l pː o̞ AF h AA o̞ AF i̯ AB t̪ o̞ AF i̯ AB n e̞ AD n
helppohoitoisuus	h AA e̞ AD l pː o̞ AF h AA o̞ AF i̯ AB t̪ o̞ AF i̯ AB s̠ uː AG s̠
helppokulkuinen	h AA e̞ AD l pː o̞ AF k u AF l k u AF i̯ AB n e̞ AD n
helppokäyttöinen	h AA e̞ AD l pː o̞ AF k æ AD y̯ t̪ː ø̞ AF i̯ AB n e̞ AD n
helppokäyttöisyys	h AA e̞ AD l pː o̞ AF k æ AD y̯ t̪ː ø̞ AF i̯ AB s̠ yː AG s̠
helppoliukoinen	h AA e̞ AD l pː o̞ AF l i AD u̯ AC k o̞ AF i̯ AB n e̞ AD n
helppolukuisesti	h AA e̞ AD l pː o̞ AF l u AF k u AF i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
helppolukuisuus	h AA e̞ AD l pː o̞ AF l u AF k u AF i̯ AB s̠ uː AG s̠
helppopääsyinen	h AA e̞ AD l pː o̞ AF p æː AE s̠ y AF i̯ AB n e̞ AD n
helpposivelteinen	h AA e̞ AD l pː o̞ AF s̠ i AD ʋ AC e̞ AD l t̪ e̞ AD i̯ AB n e̞ AD n
helppotajuisesti	h AA e̞ AD l pː o̞ AF t̪ ɑ AD j AB u AF i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
helppotajuistaa	h AA e̞ AD l pː o̞ AF t̪ ɑ AD j AB u AF i̯ AB s̠ t̪ ɑː AE ʔ
helppotajuisuus	h AA e̞ AD l pː o̞ AF t̪ ɑ AD j AB u AF i̯ AB s̠ uː AG s̠
helppotöinen	h AA e̞ AD l pː o̞ AF t̪ ø̞ AF i̯ AB n e̞ AD n
helppotöisyys	h AA e̞ AD l pː o̞ AF t̪ ø̞ AF i̯ AB s̠ yː AG s̠
helppous	h AA e̞ AD l pː o̞ AF u AF s̠
helppoymmärteinen	h AA e̞ AD l pː o̞ AF y AF mː æ AD r t̪ e̞ AD i̯ AB n e̞ AD n
helppoymmärteisyys	h AA e̞ AD l pː o̞ AF y AF mː æ AD r t̪ e̞ AD i̯ AB s̠ yː AG s̠
helsingin	h AA e̞ AD l s̠ i AD ŋː i AD n
helsingör	h AA e̞ AD l s̠ i AD ŋː ø̞ː AG r
helsinki	h AA e̞ AD l s̠ i AD ŋ k i AD
helsinkiitti	h AA e̞ AD l s̠ i AD ŋ k iː AE t̪ː i AD
helsinkiläinen	h AA e̞ AD l s̠ i AD ŋ k i AD l æ AD i̯ AB n e̞ AD n
helsinkiläistyä	h AA e̞ AD l s̠ i AD ŋ k i AD l æ AD i̯ AB s̠ t̪ y AF æ AD ʔ
helsinkiläistää	h AA e̞ AD l s̠ i AD ŋ k i AD l æ AD i̯ AB s̠ t̪ æː AE ʔ
helskytellä	h AA e̞ AD l s̠ k y AF t̪ e̞ AD lː æ AD ʔ
helskyttäminen	h AA e̞ AD l s̠ k y AF t̪ t̪ æ AD m i AD n e̞ AD n
helskytys	h AA e̞ AD l s̠ k y AF t̪ y AF s̠
helskähtää	h AA e̞ AD l s̠ k æ AD h AA t̪ æː AE ʔ
helteisesti	h AA e̞ AD l t̪ e̞ AD i̯ AB s̠ e̞ AD s̠ t̪ i AD ʔ
helteisyys	h AA e̞ AD l t̪ e̞ AD i̯ AB s̠ yː AG s̠
heltiäminen	h AA e̞ AD l t̪ i AD æ AD m i AD n e̞ AD n
heltta	h AA e̞ AD l t̪ː ɑ AD
helttakurki	h AA e̞ AD l t̪ː ɑ AD k u AF r k i AD
helttasieni	h AA e̞ AD l t̪ː ɑ AD s̠ i AD e̞̯ n i AD
heltymättömyys	h AA e̞ AD l t̪ y AF m æ AD t̪ː ø̞ AF m yː AG s̠
heltymättömästi	h AA e̞ AD l t̪ y AF m æ AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
heltyä	h AA e̞ AD l t̪ y AF æ AD ʔ
helve	h AA e̞ AD l ʋ AC e̞ AD ʔ
helvi	h AA e̞ AD l ʋ AC i AD
hely	h AA e̞ AD l y AF
helykruunu	h AA e̞ AD l y AF k r uː AG n u AF
helähdys	h AA e̞ AD l æ AD h AA d y AF s̠
helähtäminen	h AA e̞ AD l æ AD h AA t̪ æ AD m i AD n e̞ AD n
helähtää	h AA e̞ AD l æ AD h AA t̪ æː AE ʔ
hemaisevasti	h AA e̞ AD m ɑ AD i̯ AB s̠ e̞ AD ʋ AC ɑ AD s̠ t̪ i AD ʔ
hemangiooma	h AA e̞ AD m ɑ AD ŋː i AD o̞ː AG m ɑ AD
hematiini	h AA e̞ AD m ɑ AD t̪ iː AE n i AD
hematologi	h AA e̞ AD m ɑ AD t̪ o̞ AF l o̞ AF ɡ i AD
hematologia	h AA e̞ AD m ɑ AD t̪ o̞ AF l o̞ AF ɡ i AD ɑ AD
hematooma	h AA e̞ AD m ɑ AD t̪ o̞ː AG m ɑ AD
hemeralopia	h AA e̞ AD m e̞ AD r ɑ AD l o̞ AF p i AD ɑ AD
hemi	h AA e̞ AD m i AD
hemiini	h AA e̞ AD m iː AE n i AD
hemiola	h AA e̞ AD m i AD o̞ AF l ɑ AD
hemiselluloosa	h AA e̞ AD m i AD s̠ e̞ AD lː u AF l o̞ː AG s̠ ɑ AD
hemmetinmoinen	h AA e̞ AD mː e̞ AD t̪ i AD m m o̞ AF i̯ AB n e̞ AD n
hemmetisti	h AA e̞ AD mː e̞ AD t̪ i AD s̠ t̪ i AD ʔ
hemminki	h AA e̞ AD mː i AD ŋ k i AD
hemmo	h AA e̞ AD mː o̞ AF
hemmottelu	h AA e̞ AD mː o̞ AF t̪ t̪ e̞ AD l u AF
hempeillä	h AA e̞ AD m p e̞ AD i̯ AB lː æ AD ʔ
hempeily	h AA e̞ AD m p e̞ AD i̯ AB l y AF
hempeys	h AA e̞ AD m p e̞ AD y AF s̠
hempeämielinen	h AA e̞ AD m p e̞ AD æ AD m i AD e̞̯ l i AD n e̞ AD n
hempeämielisesti	h AA e̞ AD m p e̞ AD æ AD m i AD e̞̯ l i AD s̠ e̞ AD s̠ t̪ i AD ʔ
hempeämielisyys	h AA e̞ AD m p e̞ AD æ AD m i AD e̞̯ l i AD s̠ yː AG s̠
hempeästi	h AA e̞ AD m p e̞ AD æ AD s̠ t̪ i AD ʔ
hempukka	h AA e̞ AD m p u AF kː ɑ AD
hengaaminen	h AA e̞ AD ŋː ɑː AE m i AD n e̞ AD n
hengari	h AA e̞ AD ŋː ɑ AD r i AD
hengata	h AA e̞ AD ŋː ɑ AD t̪ ɑ AD ʔ
hengenahdistus	h AA e̞ AD ŋː e̞ AD n ɑ AD x d i AD s̠ t̪ u AF s̠
hengenelämä	h AA e̞ AD ŋː e̞ AD n e̞ AD l æ AD m æ AD
hengenheimolaisuus	h AA e̞ AD ŋː e̞ AD n h AA e̞ AD i̯ AB m o̞ AF l ɑ AD i̯ AB s̠ uː AG s̠
hengenhätä	h AA e̞ AD ŋː e̞ AD n h AA æ AD t̪ æ AD
hengenlaatu	h AA e̞ AD ŋː e̞ AD n l ɑː AE t̪ u AF
hengenlahjat	h AA e̞ AD ŋː e̞ AD n l ɑ AD x j AB ɑ AD t̪
hengenlähtö	h AA e̞ AD ŋː e̞ AD n l æ AD h AA t̪ ø̞ AF
hengenmeno	h AA e̞ AD ŋː e̞ AD m m e̞ AD n o̞ AF
hengenmies	h AA e̞ AD ŋː e̞ AD m m i AD e̞̯ s̠
hengenpelastaja	h AA e̞ AD ŋː e̞ AD m p e̞ AD l ɑ AD s̠ t̪ ɑ AD j AB ɑ AD
hengenpelastus	h AA e̞ AD ŋː e̞ AD m p e̞ AD l ɑ AD s̠ t̪ u AF s̠
hengenpelastusmitali	h AA e̞ AD ŋː e̞ AD m p e̞ AD l ɑ AD s̠ t̪ u AF s̠ m i AD t̪ ɑ AD lː i AD
hengenpelastusväline	h AA e̞ AD ŋː e̞ AD m p e̞ AD l ɑ AD s̠ t̪ u AF s̠ ʋ AC æ AD l i AD n e̞ AD ʔ
hengenpidin	h AA e̞ AD ŋː e̞ AD m p i AD d i AD n
hengenravinto	h AA e̞ AD ŋː e̞ AD n r ɑ AD ʋ AC i AD n̪ t̪ o̞ AF
hengentuote	h AA e̞ AD ŋː e̞ AD n t̪ u AF o̞̯ t̪ e̞ AD ʔ
hengenvaara	h AA e̞ AD ŋː e̞ AD n ʋ AC ɑː AE r ɑ AD
hengenvaarallisuus	h AA e̞ AD ŋː e̞ AD n ʋ AC ɑː AE r ɑ AD l l i AD s̠ uː AG s̠
hengenviljely	h AA e̞ AD ŋː e̞ AD n ʋ AC i AD l j AB e̞ AD l y AF
hengenvoima	h AA e̞ AD ŋː e̞ AD n ʋ AC o̞ AF i̯ AB m ɑ AD
hengettömyys	h AA e̞ AD ŋː e̞ AD t̪ t̪ ø̞ AF m yː AG s̠
hengettömästi	h AA e̞ AD ŋː e̞ AD t̪ː ø̞ AF m æ AD s̠ t̪ i AD ʔ
hengi	h AA e̞ AD ŋː i AD ʔ
hengiltäotto	h AA e̞ AD ŋː i AD l t̪ æ AD o̞ AF t̪ː o̞ AF
hengittäminen	h AA e̞ AD ŋː i AD t̪ t̪ æ AD m i AD n e̞ AD n
hengittää	h AA e̞ AD ŋː i AD t̪ː æː AE ʔ
hengityksensuojain	h AA e̞ AD ŋː i AD t̪ y AF k s̠ e̞ AD n s̠ u AF o̞ AF j AB ɑ AD i AD n
hengitys	h AA e̞ AD ŋː i AD t̪ y AF s̠
hengityshalvaus	h AA e̞ AD ŋː i AD t̪ y AF s̠ h AA ɑ AD l ʋ AC ɑ AD u AF s̠
hengitysharjoitus	h AA e̞ AD ŋː i AD t̪ y AF s̠ h AA ɑ AD r j AB o̞ AF i̯ AB t̪ u AF s̠
hengitysilma	h AA e̞ AD ŋː i AD t̪ y AF s̠ i AD l m ɑ AD
hengityskatkos	h AA e̞ AD ŋː i AD t̪ y AF s̠ k ɑ AD t̪ k o̞ AF s̠
hengityskeskus	h AA e̞ AD ŋː i AD t̪ y AF s̠ k e̞ AD s̠ k u AF s̠
hengityskone	h AA e̞ AD ŋː i AD t̪ y AF s̠ k o̞ AF n e̞ AD ʔ
hengityslaite	h AA e̞ AD ŋː i AD t̪ y AF s̠ l ɑ AD i̯ AB t̪ e̞ AD ʔ
hengityslihas	h AA e̞ AD ŋː i AD t̪ y AF s̠ l i AD ɦ AA ɑ AD s̠
hengitysliike	h AA e̞ AD ŋː i AD t̪ y AF s̠ l iː AE k e̞ AD ʔ
hengitysmerkki	h AA e̞ AD ŋː i AD t̪ y AF s̠ m e̞ AD r kː i AD
hengityssuojain	h AA e̞ AD ŋː i AD t̪ y AF s̠ s̠ u AF o̞̯ j AB ɑ AD i̯ AB n
hengitystaajuus	h AA e̞ AD ŋː i AD t̪ y AF s̠ t̪ ɑː AE j AB uː AG s̠
hengitysteitse	h AA e̞ AD ŋː i AD t̪ y AF s̠ t̪ e̞ AD i̯ AB t s̠ e̞ AD ʔ
hengitystie	h AA e̞ AD ŋː i AD t̪ y AF s̠ t̪ i AD e̞̯
hengitystieallergia	h AA e̞ AD ŋː i AD t̪ y AF s̠ t̪ i AD e̞̯ ɑ AD lː e̞ AD r ɡ i AD ɑ AD
hengitysääni	h AA e̞ AD ŋː i AD t̪ y AF s̠ æː AE n i AD
hengähdys	h AA e̞ AD ŋː æ AD h AA d y AF s̠
hengähdystauko	h AA e̞ AD ŋː æ AD h AA d y AF s̠ t̪ ɑ AD u̯ AC k o̞ AF
hengähtäminen	h AA e̞ AD ŋː æ AD h AA t̪ æ AD m i AD n e̞ AD n
hengästyminen	h AA e̞ AD ŋː æ AD s̠ t̪ y AF m i AD n e̞ AD n
hengästys	h AA e̞ AD ŋː æ AD s̠ t̪ y AF s̠
hengästyttävä	h AA e̞ AD ŋː æ AD s̠ t̪ y AF t̪ː æ AD ʋ AC æ AD
hengästyttävästi	h AA e̞ AD ŋː æ AD s̠ t̪ y AF t̪ː æ AD ʋ AC æ AD s̠ t̪ i AD ʔ
henkari	h AA e̞ AD ŋ k ɑ AD r i AD
henkeen	h AA e̞ AD ŋ k e̞ː AE n
