ᆜ	j AB ɯ AJ
도료	t AC o̞ AK ɾ BA j AB o AK
도루	t AC o̞ AK ɾ BA u AK
도륙	t AC o̞ AK ɾ BA j AB u AK k̚
도리	t AC o̞ː AK ɾ BA i AJ
도리어	t AC o̞ AK ɾ BA i AJ ʌ̹
도마	t AC o̞ AK m AE a̠ AJ
도망	t AC o̞ AK m AE a̠ AJ ŋ AF
도망치다	t AC o̞ AK m AE a̠ AJ ŋ AF t AC ɕʰ BB i AJ d AC a̠ AJ
도망하다	t AC o̞ AK m AE a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
도메인	t AC o̞ AK m AE e̞ AJ i AJ n AF
도모	t AC o̞ AK m AE o̞ AK
도모하다	t AC o̞ AK m AE o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
도미니카	t AC o̞ AK m AE i AJ n AF i AJ kʰ AD a̠ AJ
도박	t AC o̞ AK b AG a̠ AJ k̚
도벽	t AC o̞ AK b AG j AB ʌ̹ k̚
도살장	t AC o̞ AK sʰ BB a̠ AJ ʎ AN t AC ɕ͈ a̠ AJ ŋ AF
도삽	t AC o̞ AK sʰ BB a̠ AJ p̚
도서관	t AC o̞ AK sʰ BB ʌ̹ ɡ AC w AI a̠ AJ n AF
도시	t AC o̞ AK ɕʰ BB i AJ
도시락	t AC o̞ AK ɕʰ BB i AJ ɾ BA a̠ AJ k̚
도안	t AC o̞ AK a̠ AJ n AF
도예	t AC o̞ AK j AB e̞ AJ
도와주다	t AC o̞ AK w AI a̠ AJ d AC ʑ AL u AK d AC a̠ AJ
도우미	t AC o̞ AK u AK m AE i AJ
도움	t AC o̞ AK u AK m AE
도움말	t AC o̞ AK u AK m AE m AE a̠ AJ ɭ AN
도이췰란드	t AC o̞ AK i AJ t AC ɕʰ BB ɥ AI i AJ ɭ AN ɭ AN a̠ AJ n AF d AC ɯ AJ
도입	t AC o̞ː AK i AJ p̚
도입부	t AC o̞ AK i AJ p̚ p͈ AG u AK
도자기	t AC o̞ AK d AC ʑ AL a̠ AJ ɡ AC i AJ
도작	t AC o̞ AK d AC ʑ AL a̠ AJ k̚
도장	t AC o̞ AK d AC ʑ AL a̠ AJ ŋ AF
도저히	t AC o̞ː AK d AC ʑ AL ʌ̹ ʝ AL i AJ
도적	t AC o̞ AK d AC ʑ AL ʌ̹ k̚
도전	t AC o̞ AK d AC ʑ AL ʌ̹ n AF
도중	t AC o̞ː AK d AC ʑ AL u AK ŋ AF
도착하다	t AC o̞ː AK t AC ɕʰ BB a̠ AJ kʰ AD a̠ AJ d AC a̠ AJ
도청	t AC o̞ː AK t AC ɕʰ BB ʌ̹ ŋ AF
도청기	t AC o̞ AK t AC ɕʰ BB ʌ̹ ŋ AF ɡ AC i AJ
도체	t AC o̞ː AK t AC ɕʰ BB e̞ AJ
도토리	t AC o̞ AK tʰ AD o̞ AK ɾ BA i AJ
도파민	t AC o̞ AK pʰ AH a̠ AJ m AE i AJ n AF
도표	t AC o̞ AK pʰ AH j AB o AK
도하	t AC o̞ AK ɦ AA a̠ AJ
도합	t AC o̞ AK ɦ AA a̠ AJ p̚
도회인	t AC o̞ AK β AM w AI e̞ AJ i AJ n AF
독	t AC o̞ AK k̚
독감	t AC o̞ AK k̚ k͈ AC a̠ AJ m AE
독극물	t AC o̞ AK k̚ k͈ AC ɯ AJ ŋ AF m AE u AK ɭ AN
독도	t AC o̞ AK k̚ t͈ AC o̞ AK
독립	t AC o̞ AK ŋ AF n AF i AJ p̚
독립성	t AC o̞ AK ŋ AF n AF i AJ p AG s͈ AL ʌ̹ ŋ AF
독물	t AC o̞ AK ŋ AF m AE u AK ɭ AN
독방	t AC o̞ AK k̚ p͈ AG a̠ AJ ŋ AF
독사	t AC o̞ AK k AC s͈ AL a̠ AJ
독살	t AC o̞ AK k AC s͈ AL a̠ AJ ɭ AN
독서	t AC o̞ AK k AC s͈ AL ʌ̹
독서실	t AC o̞ AK k AC s͈ AL ʌ̹ ɕʰ BB i AJ ɭ AN
독소	t AC o̞ AK k AC s͈ AL o̞ AK
독수리	t AC o̞ AK k AC s͈ AL u AK ɾ BA i AJ
독신	t AC o̞ AK k AC ɕ͈ i AJ n AF
독신자	t AC o̞ AK k AC ɕ͈ i AJ ɲ AF d AC ʑ AL a̠ AJ
독어	t AC o̞ AK ɡ AC ʌ̹
독음	t AC o̞ AK ɡ AC ɯ AJ m AE
독일	t AC o̞ AK ɡ AC i AJ ɭ AN
독일어	t AC o̞ AK ɡ AC i AJ ɾ BA ʌ̹
독자	t AC o̞ AK k̚ t AC ɕ͈ a̠ AJ
독점	t AC o̞ AK k̚ t AC ɕ͈ ʌ̹ m AE
독주	t AC o̞ AK k̚ t AC ɕ͈ u AK
독특하다	t AC o̞ AK k̚ tʰ AD ɯ AJ kʰ AD a̠ AJ d AC a̠ AJ
돈	t AC o̞ː AK n AF
돈가스	t AC o̞ AK n AF ɡ AC a̠ AJ sʰ BB ɯ AJ
돈까스	t AC o̞ AK n AF k͈ AC a̠ AJ sʰ BB ɯ AJ
돈벌레	t AC o̞ AK n AF p͈ AG ʌ̹ ɭ AN ɭ AN e̞ AJ
돋다	t AC o̞ AK t̚ t͈ AC a̠ AJ
돋보기	t AC o̞ AK t̚ p͈ AG o̞ AK ɡ AC i AJ
돋우다	t AC o̞ AK d AC u AK d AC a̠ AJ
돌	t AC o̞ː AK ɭ AN
돌가자미	t AC o̞ AK ɭ AN ɡ AC a̠ AJ d AC ʑ AL a̠ AJ m AE i AJ
돌격	t AC o̞ AK ɭ AN ɡ AC j AB ʌ̹ k̚
돌고기	t AC o̞ AK ɭ AN ɡ AC o̞ AK ɡ AC i AJ
돌다	t AC o̞ː AK ɭ AN d AC a̠ AJ
돌돔	t AC o̞ː AK ɭ AN d AC o̞ AK m AE
돌드	t AC o̞ AK ɭ AN d AC ɯ AJ
돌려주다	t AC o̞ AK ʎ AN ʎ AN j AB ʌ̹ d AC ʑ AL u AK d AC a̠ AJ
돌리다	t AC o̞ AK ʎ AN ʎ AN i AJ d AC a̠ AJ
돌마자	t AC o̞ AK ɭ AN m AE a̠ AJ d AC ʑ AL a̠ AJ
돌멩이	t AC o̞ː AK ɭ AN m AE e̞ AJ ŋ AF i AJ
돌보다	t AC o̞ː AK ɭ AN b AG o̞ AK d AC a̠ AJ
돌상어	t AC o̞ AK ɭ AN sʰ BB a̠ AJ ŋ AF ʌ̹
돌솥	t AC o̞ː AK ɭ AN sʰ BB o̞ AK t̚
돌아가다	t AC o̞ AK ɾ BA a̠ AJ ɡ AC a̠ AJ d AC a̠ AJ
돌아가시다	t AC o̞ AK ɾ BA a̠ AJ ɡ AC a̠ AJ ɕʰ BB i AJ d AC a̠ AJ
돌아다니다	t AC o̞ AK ɾ BA a̠ AJ d AC a̠ AJ n AF i AJ d AC a̠ AJ
돌아보다	t AC o̞ AK ɾ BA a̠ AJ b AG o̞ AK d AC a̠ AJ
돌아서다	t AC o̞ AK ɾ BA a̠ AJ sʰ BB ʌ̹ d AC a̠ AJ
돌아오다	t AC o̞ AK ɾ BA a̠ AJ o̞ AK d AC a̠ AJ
돌연	t AC o̞ AK ɾ BA j AB ʌ̹ n AF
돌연변이	t AC o̞ AK ɾ BA j AB ʌ̹ n AF b AG j AB ʌ̹ n AF i AJ
돌연사	t AC o̞ AK ɾ BA j AB ʌ̹ n AF sʰ BB a̠ AJ
돌잔치	t AC o̞ AK ʎ AN d AC ʑ AL a̠ AJ ɲ AF t AC ɕʰ BB i AJ
돌잡이	t AC o̞ AK ʎ AN d AC ʑ AL a̠ AJ b AG i AJ
돌파	t AC o̞ AK ɭ AN pʰ AH a̠ AJ
돌팔이	t AC o̞ː AK ɭ AN pʰ AH a̠ AJ ɾ BA i AJ
돌하르방	t AC o̞ː AK ɾ BA ɦ AA a̠ AJ ɾ BA ɯ AJ b AG a̠ AJ ŋ AF
돕다	t AC o̞ː AK p̚ t͈ AC a̠ AJ
돗자리	t AC o̞ AK t̚ t AC ɕ͈ a̠ AJ ɾ BA i AJ
동	t AC o̞ː AK ŋ AF
동갑	t AC o̞ AK ŋ AF ɡ AC a̠ AJ p̚
동거	t AC o̞ AK ŋ AF ɡ AC ʌ̹
동거인	t AC o̞ AK ŋ AF ɡ AC ʌ̹ i AJ n AF
동경	t AC o̞ AK ŋ AF ɡ AC j AB ʌ̹ ŋ AF
동공	t AC o̞ː AK ŋ AF ɡ AC o̞ AK ŋ AF
동굴	t AC o̞ː AK ŋ AF ɡ AC u AK ɭ AN
동그라미	t AC o̞ AK ŋ AF ɡ AC ɯ AJ ɾ BA a̠ AJ m AE i AJ
동글	t AC o̞ AK ŋ AF ɡ AC ɯ AJ ɭ AN
동글다	t AC o̞ AK ŋ AF ɡ AC ɯ AJ ɭ AN d AC a̠ AJ
동기	t AC o̞ AK ŋ AF ɡ AC i AJ
동남	t AC o̞ AK ŋ AF n AF a̠ AJ m AE
동남아시아	t AC o̞ AK ŋ AF n AF a̠ AJ m AE a̠ AJ ɕʰ BB i AJ a̠ AJ
동네	t AC o̞ː AK ŋ AF n AF e̞ AJ
동등하다	t AC o̞ AK ŋ AF d AC ɯ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
동력	t AC o̞ː AK ŋ AF ɲ AF j AB ʌ̹ k̚
동료	t AC o̞ AK ŋ AF ɲ AF j AB o AK
동명사	t AC o̞ː AK ŋ AF m AE j AB ʌ̹ ŋ AF sʰ BB a̠ AJ
동명인	t AC o̞ AK ŋ AF m AE j AB ʌ̹ ŋ AF i AJ n AF
동무	t AC o̞ AK ŋ AF m AE u AK
동문서답	t AC o̞ AK ŋ AF m AE u AK n AF sʰ BB ʌ̹ d AC a̠ AJ p̚
동물	t AC o̞ː AK ŋ AF m AE u AK ɭ AN
동물원	t AC o̞ː AK ŋ AF m AE u AK ɾ BA w AI ʌ̹ n AF
동물학	t AC o̞ː AK ŋ AF m AE u AK ɾ BA ɦ AA a̠ AJ k̚
동반자	t AC o̞ AK ŋ AF b AG a̠ AJ ɲ AF d AC ʑ AL a̠ AJ
동방	t AC o̞ AK ŋ AF b AG a̠ AJ ŋ AF
동부	t AC o̞ AK ŋ AF b AG u AK
동사	t AC o̞ AK ŋ AF sʰ BB a̠ AJ
동사리	t AC o̞ AK ŋ AF sʰ BB a̠ AJ ɾ BA i AJ
동산	t AC o̞ AK ŋ AF sʰ BB a̠ AJ n AF
동성	t AC o̞ AK ŋ AF sʰ BB ʌ̹ ŋ AF
동시	t AC o̞ AK ŋ AF ɕʰ BB i AJ
동아리	t AC o̞ AK ŋ AF a̠ AJ ɾ BA i AJ
동안	t AC o̞ AK ŋ AF a̠ AJ n AF
동양	t AC o̞ AK ŋ AF j AB a̠ AJ ŋ AF
동업자	t AC o̞ AK ŋ AF ʌ̹ p̚ t AC ɕ͈ a̠ AJ
동역학	t AC o̞ AK ŋ AF j AB ʌ̹ kʰ AD a̠ AJ k̚
동요	t AC o̞ AK ŋ AF j AB o AK
동의	t AC o̞ AK ŋ AF ɰ AB i AJ
동의어	t AC o̞ AK ŋ AF ɰ AB i AJ ʌ̹
동의하다	t AC o̞ AK ŋ AF ɰ AB i AJ ɦ AA a̠ AJ d AC a̠ AJ
동이	t AC o̞ AK ŋ AF i AJ
동일	t AC o̞ AK ŋ AF i AJ ɭ AN
동일하다	t AC o̞ AK ŋ AF i AJ ɾ BA ɦ AA a̠ AJ d AC a̠ AJ
동자	t AC o̞ː AK ŋ AF d AC ʑ AL a̠ AJ
동작	t AC o̞ː AK ŋ AF d AC ʑ AL a̠ AJ k̚
동전	t AC o̞ AK ŋ AF d AC ʑ AL ʌ̹ n AF
동전주	t AC o̞ AK ŋ AF d AC ʑ AL ʌ̹ ɲ AF d AC ʑ AL u AK
동정	t AC o̞ AK ŋ AF d AC ʑ AL ʌ̹ ŋ AF
동지	t AC o̞ AK ŋ AF d AC ʑ AL i AJ
동쪽	t AC o̞ AK ŋ AF t AC ɕ͈ o̞ AK k̚
동창	t AC o̞ AK ŋ AF t AC ɕʰ BB a̠ AJ ŋ AF
동티모르	t AC o̞ AK ŋ AF tʰ AD i AJ m AE o̞ AK ɾ BA ɯ AJ
동포	t AC o̞ AK ŋ AF pʰ AH o̞ AK
동호회	t AC o̞ AK ŋ AF β AM o̞ AK β AM w AI e̞ AJ
동화	t AC o̞ː AK ŋ AF β AM w AI a̠ AJ
돼지	t AC w AI ɛː AJ d AC ʑ AL i AJ
돼지고기	t AC w AI ɛː AJ d AC ʑ AL i AJ ɡ AC o̞ AK ɡ AC i AJ
돼지꿈	t AC w AI ɛː AJ d AC ʑ AL i AJ k͈ AC u AK m AE
되	t AC w AI e̞ AJ
되게	t AC w AI e̞ː AJ ɡ AC e̞ AJ
되놈	t AC w AI e̞ AJ n AF o̞ AK m AE
되뇌다	t AC w AI e̞ AJ n AF w AI e̞ AJ d AC a̠ AJ
되다	t AC w AI e̞ AJ d AC a̠ AJ
되돌리다	t AC w AI e̞ AJ d AC o̞ AK ʎ AN ʎ AN i AJ d AC a̠ AJ
되살다	t AC w AI e̞ AJ sʰ BB a̠ AJ ɭ AN d AC a̠ AJ
되살리다	t AC w AI e̞ AJ sʰ BB a̠ AJ ʎ AN ʎ AN i AJ d AC a̠ AJ
되찾다	t AC w AI e̞ AJ t AC ɕʰ BB a̠ AJ t̚ t͈ AC a̠ AJ
되풀이	t AC w AI e̞ AJ pʰ AH u AK ɾ BA i AJ
되풀이하다	t AC w AI e̞ AJ pʰ AH u AK ɾ BA i AJ ɦ AA a̠ AJ d AC a̠ AJ
된기윽	t AC w AI e̞ AJ n AF ɡ AC i AJ ɯ AJ k̚
된디읃	t AC w AI e̞ AJ n AF d AC i AJ ɯ AJ t̚
된비읍	t AC w AI e̞ AJ n AF b AG i AJ ɯ AJ p̚
된소리	t AC w AI e̞ː AJ n AF sʰ BB o̞ AK ɾ BA i AJ
된시옷	t AC w AI e̞ː AJ n AF ɕʰ BB i AJ o̞ AK t̚
된장	t AC w AI e̞ː AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF
된장녀	t AC w AI e̞ː AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF ɲ AF j AB ʌ̹
된장풀	t AC w AI e̞ AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF pʰ AH u AK ɭ AN
된지읒	t AC w AI e̞ AJ ɲ AF d AC ʑ AL i AJ ɯ AJ t̚
됨됨	t AC w AI e̞ AJ m AE d AC w AI e̞ AJ m AE
됨됨이	t AC w AI e̞ AJ m AE d AC w AI e̞ AJ m AE i AJ
됭경모치	t AC w AI e̞ AJ ŋ AF ɡ AC j AB ʌ̹ ŋ AF m AE o̞ AK t AC ɕʰ BB i AJ
두	t AC uː AK
두건	t AC u AK ɡ AC ʌ̹ n AF
두견	t AC u AK ɡ AC j AB ʌ̹ n AF
두근거리다	t AC u AK ɡ AC ɯ AJ n AF ɡ AC ʌ̹ ɾ BA i AJ d AC a̠ AJ
두근두근	t AC u AK ɡ AC ɯ AJ n AF d AC u AK ɡ AC ɯ AJ n AF
두꺼비	t AC u AK k͈ AC ʌ̹ b AG i AJ
두껍다	t AC u AK k͈ AC ʌ̹ p̚ t͈ AC a̠ AJ
두께	t AC u AK k͈ AC e̞ AJ
두뇌	t AC u AK n AF w AI e̞ AJ
두다	t AC u AK d AC a̠ AJ
두더지	t AC u AK d AC ʌ̹ d AC ʑ AL i AJ
두덩	t AC u AK d AC ʌ̹ ŋ AF
두드러기	t AC u AK d AC ɯ AJ ɾ BA ʌ̹ ɡ AC i AJ
두드러지다	t AC u AK d AC ɯ AJ ɾ BA ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
두드리다	t AC u AK d AC ɯ AJ ɾ BA i AJ d AC a̠ AJ
두려움	t AC u AK ɾ BA j AB ʌ̹ u AK m AE
두려워하다	t AC u AK ɾ BA j AB ʌ̹ w AI ʌ̹ ɦ AA a̠ AJ d AC a̠ AJ
두렵다	t AC u AK ɾ BA j AB ʌ̹ p̚ t͈ AC a̠ AJ
두루마기	t AC u AK ɾ BA u AK m AE a̠ AJ ɡ AC i AJ
두루미	t AC u AK ɾ BA u AK m AE i AJ
두르다	t AC u AK ɾ BA ɯ AJ d AC a̠ AJ
두리안	t AC u AK ɾ BA i AJ a̠ AJ n AF
두마	t AC u AK m AE a̠ AJ
두만가시고기	t AC u AK m AE a̠ AJ n AF ɡ AC a̠ AJ ɕʰ BB i AJ ɡ AC o̞ AK ɡ AC i AJ
두만강	t AC u AK m AE a̠ AJ n AF ɡ AC a̠ AJ ŋ AF
두만강자그사니	t AC u AK m AE a̠ AJ n AF ɡ AC a̠ AJ ŋ AF d AC ʑ AL a̠ AJ ɡ AC ɯ AJ sʰ BB a̠ AJ n AF i AJ
두목	t AC u AK m AE o̞ AK k̚
두바이	t AC u AK b AG a̠ AJ i AJ
두반장	t AC u AK b AG a̠ AJ ɲ AF d AC ʑ AL a̠ AJ ŋ AF
두발	t AC u AK b AG a̠ AJ ɭ AN
두벌식	t AC u AK b AG ʌ̹ ɭ AN ɕʰ BB i AJ k̚
두부	t AC u AK b AG u AK
두상	t AC u AK sʰ BB a̠ AJ ŋ AF
두샨베	t AC u AK ɕʰ BB a̠ AJ n AF b AG e̞ AJ
두서너	t AC u AK sʰ BB ʌ̹ n AF ʌ̹
두서넛	t AC u AK sʰ BB ʌ̹ n AF ʌ̹ t̚
두세	t AC u AK sʰ BB e̞ AJ
두셋	t AC u AK sʰ BB e̞ AJ t̚
두어	t AC u AK ʌ̹
두어서넛	t AC u AK ʌ̹ sʰ BB ʌ̹ n AF ʌ̹ t̚
두연	t AC u AK j AB ʌ̹ n AF
두음	t AC u AK ɯ AJ m AE
두음법칙	t AC u AK ɯ AJ m AE b AG ʌ̹ p̚ t AC ɕʰ BB i AJ k̚
두절	t AC u AK d AC ʑ AL ʌ̹ ɭ AN
두줄망둑	t AC uː AK d AC ʑ AL u AK ɭ AN m AE a̠ AJ ŋ AF d AC u AK k̚
두통	t AC u AK tʰ AD o̞ AK ŋ AF
두티다	t AC u AK tʰ AD i AJ d AC a̠ AJ
둑	t AC u AK k̚
둔치다	t AC u AK ɲ AF t AC ɕʰ BB i AJ d AC a̠ AJ
둘	t AC uː AK ɭ AN
둘러보다	t AC u AK ɭ AN ɭ AN ʌ̹ b AG o̞ AK d AC a̠ AJ
둘러싸다	t AC u AK ɭ AN ɭ AN ʌ̹ s͈ AL a̠ AJ d AC a̠ AJ
둘치	t AC u AK ʎ AN t AC ɕʰ BB i AJ
둥간어	t AC u AK ŋ AF ɡ AC a̠ AJ n AF ʌ̹
둥글다	t AC u AK ŋ AF ɡ AC ɯ AJ ɭ AN d AC a̠ AJ
둥지	t AC u AK ŋ AF d AC ʑ AL i AJ
둥치	t AC u AK ŋ AF t AC ɕʰ BB i AJ
둬	t AC w AI ɘː AJ
뒤	t AC ɥ AI iː AJ
뒤늦다	t AC ɥ AI iː AJ n AF ɯ AJ t̚ t͈ AC a̠ AJ
뒤따르다	t AC ɥ AI iː AJ t͈ AC a̠ AJ ɾ BA ɯ AJ d AC a̠ AJ
뒤떨어지다	t AC ɥ AI iː AJ t͈ AC ʌ̹ ɾ BA ʌ̹ d AC ʑ AL i AJ d AC a̠ AJ
뒤보다	t AC ɥ AI i AJ b AG o̞ AK d AC a̠ AJ
뒤섞다	t AC ɥ AI i AJ sʰ BB ʌ̹ k̚ t͈ AC a̠ AJ
뒤쥐	t AC ɥ AI i AJ d AC ʑ AL ɥ AI i AJ
뒤지다	t AC ɥ AI i AJ d AC ʑ AL i AJ d AC a̠ AJ
뒤집다	t AC ɥ AI i AJ d AC ʑ AL i AJ p̚ t͈ AC a̠ AJ
뒤쫓다	t AC ɥ AI iː AJ t AC ɕ͈ o̞ AK t̚ t͈ AC a̠ AJ
뒷간	t AC ɥ AI iː AJ t̚ k͈ AC a̠ AJ n AF
뒷다리	t AC ɥ AI iː AJ t̚ t͈ AC a̠ AJ ɾ BA i AJ
뒷마당	t AC ɥ AI iː AJ n AF m AE a̠ AJ d AC a̠ AJ ŋ AF
뒷면	t AC ɥ AI iː AJ n AF m AE j AB ʌ̹ n AF
뒷모습	t AC ɥ AI iː AJ n AF m AE o̞ AK sʰ BB ɯ AJ p̚
뒹굴다	t AC ɥ AI i AJ ŋ AF ɡ AC u AK ɭ AN d AC a̠ AJ
뒹굴뒹굴	t AC ɥ AI i AJ ŋ AF ɡ AC u AK ɭ AN d AC ɥ AI i AJ ŋ AF ɡ AC u AK ɭ AN
듀엣	t AC j AB u AK e̞ AJ t̚
듀오	t AC j AB u AK o̞ AK
드디어	t AC ɯ AJ d AC i AJ ʌ̹
드라마	t AC ɯ AJ ɾ BA a̠ AJ m AE a̠ AJ
드라이기	t AC ɯ AJ ɾ BA a̠ AJ i AJ ɡ AC i AJ
드라이브	t AC ɯ AJ ɾ BA a̠ AJ i AJ b AG ɯ AJ
드라이브하다	t AC ɯ AJ ɾ BA a̠ AJ i AJ b AG ɯ AJ ɦ AA a̠ AJ d AC a̠ AJ
드러나다	t AC ɯ AJ ɾ BA ʌ̹ n AF a̠ AJ d AC a̠ AJ
드럼	t AC ɯ AJ ɾ BA ʌ̹ m AE
드렁허리	t AC ɯ AJ ɾ BA ʌ̹ ŋ AF ɦ AA ʌ̹ ɾ BA i AJ
드레스	t AC ɯ AJ ɾ BA e̞ AJ s͈ AL ɯ AJ
드론	t AC ɯ AJ ɾ BA o̞ AK n AF
드르렁	t AC ɯ AJ ɾ BA ɯ AJ ɾ BA ʌ̹ ŋ AF
드르렁드르렁	t AC ɯ AJ ɾ BA ɯ AJ ɾ BA ʌ̹ ŋ AF d AC ɯ AJ ɾ BA ɯ AJ ɾ BA ʌ̹ ŋ AF
드리다	t AC ɯ AJ ɾ BA i AJ d AC a̠ AJ
드립	t AC ɯ AJ ɾ BA i AJ p̚
드물다	t AC ɯ AJ m AE u AK ɭ AN d AC a̠ AJ
드시다	t AC ɯ AJ ɕʰ BB i AJ d AC a̠ AJ
득	t AC ɯ AJ k̚
득남	t AC ɯ AJ ŋ AF n AF a̠ AJ m AE
득녀	t AC ɯ AJ ŋ AF ɲ AF j AB ʌ̹
득도	t AC ɯ AJ k̚ t͈ AC o̞ AK
득도하다	t AC ɯ AJ k̚ t͈ AC o̞ AK ɦ AA a̠ AJ d AC a̠ AJ
득점	t AC ɯ AJ k̚ t AC ɕ͈ ʌ̹ m AE
득템	t AC ɯ AJ k̚ tʰ AD e̞ AJ m AE
듣다	t AC ɯ AJ t̚ t͈ AC a̠ AJ
들	t AC ɯː AJ ɭ AN
들것	t AC ɯ AJ ɭ AN ɡ AC ʌ̹ t̚
들국화	t AC ɯ AJ ɭ AN ɡ AC u AK kʰ AD w AI a̠ AJ
들기름	t AC ɯ AJ ɭ AN ɡ AC i AJ ɾ BA ɯ AJ m AE
들꿩	t AC ɯ AJ ɭ AN k͈ AC w AI ʌ̹ ŋ AF
들끓다	t AC ɯ AJ ɭ AN k͈ AC ɯ AJ ɭ AN tʰ AD a̠ AJ
들다	t AC ɯ AJ ɭ AN d AC a̠ AJ
들뜨다	t AC ɯ AJ ɭ AN t͈ AC ɯ AJ d AC a̠ AJ
들러리	t AC ɯ AJ ɭ AN ɭ AN ʌ̹ ɾ BA i AJ
들려오다	t AC ɯ AJ ʎ AN ʎ AN j AB ʌ̹ o̞ AK d AC a̠ AJ
들르다	t AC ɯ AJ ɭ AN ɭ AN ɯ AJ d AC a̠ AJ
들리다	t AC ɯ AJ ʎ AN ʎ AN i AJ d AC a̠ AJ
들소	t AC ɯː AJ ɭ AN s͈ AL o̞ AK
들숨	t AC ɯ AJ ɭ AN sʰ BB u AK m AE
들어가다	t AC ɯ AJ ɾ BA ʌ̹ ɡ AC a̠ AJ d AC a̠ AJ
들어서다	t AC ɯ AJ ɾ BA ʌ̹ sʰ BB ʌ̹ d AC a̠ AJ
들어오다	t AC ɯ AJ ɾ BA ʌ̹ o̞ AK d AC a̠ AJ
들어옮기다	t AC ɯ AJ ɾ BA ʌ̹ o̞ AK m AE ɡ AC i AJ d AC a̠ AJ
들여다보다	t AC ɯ AJ ɾ BA j AB ʌ̹ d AC a̠ AJ b AG o̞ AK d AC a̠ AJ
들이다	t AC ɯ AJ ɾ BA i AJ d AC a̠ AJ
들쭉날쭉하다	t AC ɯ AJ ʎ AN t AC ɕ͈ u AK ŋ AF n AF a̠ AJ ʎ AN t AC ɕ͈ u AK kʰ AD a̠ AJ d AC a̠ AJ
들치기	t AC ɯ AJ ʎ AN t AC ɕʰ BB i AJ ɡ AC i AJ
들판	t AC ɯː AJ ɭ AN pʰ AH a̠ AJ n AF
듯	t AC ɯ AJ t̚
듯이	t AC ɯ AJ ɕʰ BB i AJ
듯하다	t AC ɯ AJ tʰ AD a̠ AJ d AC a̠ AJ
등	t AC ɯ AJ ŋ AF
등걸	t AC ɯ AJ ŋ AF ɡ AC ʌ̹ ɭ AN
등광	t AC ɯ AJ ŋ AF ɡ AC w AI a̠ AJ ŋ AF
등급	t AC ɯ AJ ŋ AF ɡ AC ɯ AJ p̚
등기우편	t AC ɯ AJ ŋ AF ɡ AC i AJ u AK pʰ AH j AB ʌ̹ n AF
등나무	t AC ɯ AJ ŋ AF n AF a̠ AJ m AE u AK
등등	t AC ɯː AJ ŋ AF d AC ɯ AJ ŋ AF
등락	t AC ɯ AJ ŋ AF n AF a̠ AJ k̚
등록	t AC ɯ AJ ŋ AF n AF o̞ AK k̚
등록기	t AC ɯ AJ ŋ AF n AF o̞ AK k̚ k͈ AC i AJ
등롱	t AC ɯ AJ ŋ AF n AF o̞ AK ŋ AF
등반	t AC ɯ AJ ŋ AF b AG a̠ AJ n AF
등받이	t AC ɯ AJ ŋ AF b AG a̠ AJ d AC i AJ
등불	t AC ɯ AJ ŋ AF p͈ AG u AK ɭ AN
등산	t AC ɯ AJ ŋ AF sʰ BB a̠ AJ n AF
등산하다	t AC ɯ AJ ŋ AF sʰ BB a̠ AJ n AF ɦ AA a̠ AJ d AC a̠ AJ
등신	t AC ɯː AJ ŋ AF ɕʰ BB i AJ n AF
등심	t AC ɯ AJ ŋ AF ɕʰ BB i AJ m AE
등유	t AC ɯ AJ ŋ AF j AB u AK
등자	t AC ɯ AJ ŋ AF d AC ʑ AL a̠ AJ
등장	t AC ɯ AJ ŋ AF d AC ʑ AL a̠ AJ ŋ AF
등장인물	t AC ɯ AJ ŋ AF d AC ʑ AL a̠ AJ ŋ AF i AJ n AF m AE u AK ɭ AN
등장하다	t AC ɯ AJ ŋ AF d AC ʑ AL a̠ AJ ŋ AF ɦ AA a̠ AJ d AC a̠ AJ
등줄숭어	t AC ɯ AJ ŋ AF t AC ɕ͈ u AK ɭ AN sʰ BB u AK ŋ AF ʌ̹
등줄쥐	t AC ɯ AJ ŋ AF d AC ʑ AL u AK ʎ AN d AC ʑ AL ɥ AI i AJ
등피	t AC ɯ AJ ŋ AF pʰ AH i AJ
등허리	t AC ɯ AJ ŋ AF ɦ AA ʌ̹ ɾ BA i AJ
디귿	t AC i AJ ɡ AC ɯ AJ t̚
디디다	t AC i AJ d AC i AJ d AC a̠ AJ
디바이스	t AC i AJ b AG a̠ AJ i AJ s͈ AL ɯ AJ
디스켓	t AC i AJ sʰ BB ɯ AJ kʰ AD e̞ AJ t̚
디스코	t AC i AJ sʰ BB ɯ AJ kʰ AD o̞ AK
디스크	t AC i AJ sʰ BB ɯ AJ k AC x AL ɯ AJ
디스프로슘	t AC i AJ sʰ BB ɯ AJ pʰ AH ɯ AJ ɾ BA o̞ AK ɕʰ BB u AK m AE
디스플레이	t AC i AJ sʰ BB ɯ AJ pʰ AH ɯ AJ ɭ AN ɭ AN e̞ AJ i AJ
디엔에이	t AC i AJ e̞ AJ n AF e̞ AJ i AJ
