'tain	t ɛ̃ AM
bonheur	b ɔ AF n œ AI ʁ
bonhomme	b ɔ AF n ɔ AF m
boniface	b ɔ AF n i AE f a AC s
bonifacio	b ɔ AF n i AE f a AC s j AA o AF
bonjour	b ɔ̃ BA ʒ u AG ʁ
bonnard	b ɔ AF n a AC ʁ
bonnards	b ɔ AF n a AC ʁ
bonne	b ɔ AF n
bonnement	b ɔ AF n m ɑ̃ BB
bonnes	b ɔ AF n
bonnet	b ɔ AF n ɛ AD
bonnetier	b ɔ AF n ə AJ t j AA e AD
bonnette	b ɔ AF n ɛ AD t
bonnisme	b ɔ AF n i AE s m
bons	b ɔ̃ BA z
bonsaï	b ɔ̃ BA z a AC j AA
bonsaïfiable	b ɔ̃ BA z a AC i AE f j AA a AC b l
bonsaïfier	b ɔ̃ BA z a AC i AE f j AA e AD
bonsaïs	b ɔ̃ BA s a AC j AA
bonshommes	b ɔ̃ BA z ɔ AF m
bonsoir	b ɔ̃ BA s w AB a AC ʁ
bonté	b ɔ̃ BA t e AD
bonus	b ɔ AF n y AH s
bonzaï	b ɔ̃ BA z a AC j AA
bonze	b ɔ̃ BA z
boob	b u AG b
booker	b u AG k e AD
bookmaker	b u AG k m ɛ AD k œ AI ʁ
booké	b u AG k e AD
boom	b u AG m
boomer	b u AG m œ AI ʁ
boomerang	b u AG m ʁ ɑ̃ BB ɡ
boraine	b ɔ AF ʁ ɛ AD n
borasse	b ɔ AF ʁ a AC s
boratée	b ɔ AF ʁ a AC t e AD
bord	b ɔ AF ʁ
bordeaux	b ɔ AF ʁ d o AF
bordel	b ɔ AF ʁ d ɛ AD l
border	b ɔ AF ʁ d e AD
bordigue	b ɔ AF ʁ d i AE ɡ
bordure	b ɔ AF ʁ d y AH ʁ
bordée	b ɔ AF ʁ d e AD
bordélique	b ɔ AF ʁ d e AD l i AE k
bore	b ɔ AF ʁ
borgne	b ɔ AF ʁ ɲ
borie	b ɔ AF ʁ i AE
borne	b ɔ AF ʁ n
borner	b ɔ AF ʁ n e AD
borné	b ɔ AF ʁ n e AD
bornéo	b ɔ AF ʁ n e AD o AF
borroméenne	b ɔ AF ʁ ɔ AF m e AD ɛ AD n
borure	b ɔ AF ʁ y AH ʁ
borures	b ɔ AF ʁ y AH ʁ
boré	b ɔ AF ʁ e AD
boréal	b ɔ AF ʁ e AD a AC l
boréale	b ɔ AF ʁ e AD a AC l
boréales	b ɔ AF ʁ e AD a AC l
boréaux	b ɔ AF ʁ e AD o AF
borée	b ɔ AF ʁ e AD
borélienne	b ɔ AF ʁ e AD l j AA ɛ AD n
bosco	b ɔ AF s k o AF
bosniaque	b o AF z n j AA a AC k
bosnie	b o AF z n i AE
bosnien	b ɔ AF s n j AA ɛ̃ AM
boson	b o AF z ɔ̃ BA
bosquet	b ɔ AF s k ɛ AD
boss	b ɔ AF s
bossale	b ɔ AF s a AC l
bosse	b ɔ AF s
bosseler	b ɔ AF s l e AD
bosselé	b ɔ AF s l e AD
bosser	b ɔ AF s e AD
bosses	b ɔ AF s
bosseuses	b ɔ AF s ø AI z
bossoir	b ɔ AF s w AB a AC ʁ
bossu	b ɔ AF s y AH
bossué	b ɔ AF s ɥ AN e AD
bostonien	b ɔ AF s t ɔ AF n j AA ɛ̃ AM
bostonner	b ɔ AF s t ɔ AF n e AD
botanique	b ɔ AF t a AC n i AE k
botanisa	b ɔ AF t a AC n i AE z a AC
botanisai	b ɔ AF t a AC n i AE z e AD
botanisaient	b ɔ AF t a AC n i AE z ɛ AD
botanisais	b ɔ AF t a AC n i AE z ɛ AD
botanisait	b ɔ AF t a AC n i AE z ɛ AD
botanisant	b ɔ AF t a AC n i AE z ɑ̃ BB
botanisas	b ɔ AF t a AC n i AE z ɑ AK
botanisasse	b ɔ AF t a AC n i AE z a AC s
botanisassent	b ɔ AF t a AC n i AE z a AC s
botanisasses	b ɔ AF t a AC n i AE z a AC s
botanisassiez	b ɔ AF t a AC n i AE z a AC s j AA e AD
botanisassions	b ɔ AF t a AC n i AE z a AC s j AA ɔ̃ BA
botanise	b ɔ AF t a AC n i AE z
botanisent	b ɔ AF t a AC n i AE z
botaniser	b ɔ AF t a AC n i AE z e AD
botanisera	b ɔ AF t a AC n i AE z ʁ a AC
botaniserai	b ɔ AF t a AC n i AE z ʁ e AD
botaniseraient	b ɔ AF t a AC n i AE z ʁ ɛ AD
botaniserais	b ɔ AF t a AC n i AE z ʁ ɛ AD
botaniserait	b ɔ AF t a AC n i AE z ʁ ɛ AD
botaniseras	b ɔ AF t a AC n i AE z ʁ ɑ AK
botaniserez	b ɔ AF t a AC n i AE z ʁ e AD
botaniseriez	b ɔ AF t a AC n i AE z ə AJ ʁ j AA e AD
botaniserions	b ɔ AF t a AC n i AE z ə AJ ʁ j AA ɔ̃ BA
botaniserons	b ɔ AF t a AC n i AE z ʁ ɔ̃ BA
botaniseront	b ɔ AF t a AC n i AE z ʁ ɔ̃ BA
botanises	b ɔ AF t a AC n i AE z
botaniseur	b ɔ AF t a AC n i AE z œ AI ʁ
botaniseurs	b ɔ AF t a AC n i AE z œ AI ʁ
botaniseuse	b ɔ AF t a AC n i AE z ø AI z
botaniseuses	b ɔ AF t a AC n i AE z ø AI z
botanisez	b ɔ AF t a AC n i AE z e AD
botanisiez	b ɔ AF t a AC n i AE z j AA e AD
botanisions	b ɔ AF t a AC n i AE z j AA ɔ̃ BA
botanisons	b ɔ AF t a AC n i AE z ɔ̃ BA
botanisâmes	b ɔ AF t a AC n i AE z ɑ AK m
botanisât	b ɔ AF t a AC n i AE z ɑ AK
botanisâtes	b ɔ AF t a AC n i AE z ɑ AK t
botanisèrent	b ɔ AF t a AC n i AE z ɛ AD ʁ
botanisé	b ɔ AF t a AC n i AE z e AD
botanisée	b ɔ AF t a AC n i AE z e AD
botanisées	b ɔ AF t a AC n i AE z e AD
botanisés	b ɔ AF t a AC n i AE z e AD
botswana	b ɔ AF t s w AB a AC n a AC
botta	b ɔ AF t a AC
bottai	b ɔ AF t e AD
bottaient	b ɔ AF t ɛ AD
bottais	b ɔ AF t ɛ AD
bottait	b ɔ AF t ɛ AD
bottant	b ɔ AF t ɑ̃ BB
bottas	b ɔ AF t ɑ AK
bottasse	b ɔ AF t a AC s
bottassent	b ɔ AF t a AC s
bottasses	b ɔ AF t a AC s
bottassiez	b ɔ AF t a AC s j AA e AD
bottassions	b ɔ AF t a AC s j AA ɔ̃ BA
botte	b ɔ AF t
bottent	b ɔ AF t
botter	b ɔ AF t e AD
bottera	b ɔ AF t ʁ a AC
botterai	b ɔ AF t ʁ e AD
botteraient	b ɔ AF t ʁ ɛ AD
botterais	b ɔ AF t ʁ ɛ AD
botterait	b ɔ AF t ʁ ɛ AD
botteras	b ɔ AF t ʁ ɑ AK
botterez	b ɔ AF t ʁ e AD
botteriez	b ɔ AF t ə AJ ʁ j AA e AD
botterions	b ɔ AF t ə AJ ʁ j AA ɔ̃ BA
botterons	b ɔ AF t ʁ ɔ̃ BA
botteront	b ɔ AF t ʁ ɔ̃ BA
bottez	b ɔ AF t e AD
bottier	b ɔ AF t j AA e AD
bottiers	b ɔ AF t j AA e AD
bottiez	b ɔ AF t j AA e AD
bottillon	b ɔ AF t i AE j AA ɔ̃ BA
bottine	b ɔ AF t i AE n
bottions	b ɔ AF t j AA ɔ̃ BA
bottière	b ɔ AF t j AA ɛ AD ʁ
bottières	b ɔ AF t j AA ɛ AD ʁ
bottons	b ɔ AF t ɔ̃ BA
bottâmes	b ɔ AF t ɑ AK m
bottât	b ɔ AF t ɑ AK
bottâtes	b ɔ AF t ɑ AK t
bottèrent	b ɔ AF t ɛ AD ʁ
botté	b ɔ AF t e AD
bou	b u AG
bouc	b u AG k
boucan	b u AG k ɑ̃ BB
boucana	b u AG k a AC n a AC
boucanai	b u AG k a AC n e AD
boucanaient	b u AG k a AC n ɛ AD
boucanais	b u AG k a AC n ɛ AD
boucanait	b u AG k a AC n ɛ AD
boucanant	b u AG k a AC n ɑ̃ BB
boucanas	b u AG k a AC n ɑ AK
boucanasse	b u AG k a AC n a AC s
boucanassent	b u AG k a AC n a AC s
boucanasses	b u AG k a AC n a AC s
boucanassiez	b u AG k a AC n a AC s j AA e AD
boucanassions	b u AG k a AC n a AC s j AA ɔ̃ BA
boucane	b u AG k a AC n
boucanent	b u AG k a AC n
boucaner	b u AG k a AC n e AD
boucanera	b u AG k a AC n ʁ a AC
boucanerai	b u AG k a AC n ʁ e AD
boucaneraient	b u AG k a AC n ʁ ɛ AD
boucanerais	b u AG k a AC n ʁ ɛ AD
boucanerait	b u AG k a AC n ʁ ɛ AD
boucaneras	b u AG k a AC n ʁ ɑ AK
boucanerez	b u AG k a AC n ʁ e AD
boucaneriez	b u AG k a AC n ə AJ ʁ j AA e AD
boucanerions	b u AG k a AC n ə AJ ʁ j AA ɔ̃ BA
boucanerons	b u AG k a AC n ʁ ɔ̃ BA
boucaneront	b u AG k a AC n ʁ ɔ̃ BA
boucanes	b u AG k a AC n
boucanez	b u AG k a AC n e AD
boucanier	b u AG k a AC n j AA e AD
boucaniez	b u AG k a AC n j AA e AD
boucanions	b u AG k a AC n j AA ɔ̃ BA
boucanons	b u AG k a AC n ɔ̃ BA
boucanâmes	b u AG k a AC n ɑ AK m
boucanât	b u AG k a AC n ɑ AK
boucanâtes	b u AG k a AC n ɑ AK t
boucanèrent	b u AG k a AC n ɛ AD ʁ
boucané	b u AG k a AC n e AD
boucaque	b u AG k a AC k
bouchard	b u AG ʃ a AC ʁ
bouche	b u AG ʃ
boucher	b u AG ʃ e AD
boucherie	b u AG ʃ ʁ i AE
bouchon	b u AG ʃ ɔ̃ BA
bouchonner	b u AG ʃ ɔ AF n e AD
bouchère	b u AG ʃ ɛ AD ʁ
bouché	b u AG ʃ e AD
bouclage	b u AG k l a AC ʒ
bouclages	b u AG k l a AC ʒ
boucle	b u AG k l
boucler	b u AG k l e AD
bouclette	b u AG k l ɛ AD t
bouclier	b u AG k l i AE j AA e AD
bouddha	b u AG d a AC
bouddhique	b u AG d i AE k
bouddhisme	b u AG d i AE z m
bouddhiste	b u AG d i AE s t
bouder	b u AG d e AD
boudeur	b u AG d œ AI ʁ
boudin	b u AG d ɛ̃ AM
boudiner	b u AG d i AE n e AD
boudoir	b u AG d w AB a AC ʁ
boue	b u AG
bouette	b w AB ɛ AD t
boueuse	b w AB ø AI z
boueuses	b w AB ø AI z
boueux	b w AB ø AI
bouffable	b u AG f a AC b l
bouffables	b u AG f a AC b l
bouffe	b u AG f
bouffer	b u AG f e AD
bouffeur	b u AG f œ AI ʁ
bouffeurs	b u AG f œ AI ʁ
bouffeuse	b u AG f ø AI z
bouffeuses	b u AG f ø AI z
bouffi	b u AG f i AE
bouffon	b u AG f ɔ̃ BA
bouffonnerie	b u AG f ɔ AF n ʁ i AE
bouffons	b u AG f ɔ̃ BA
bouffée	b u AG f e AD
bougainvillier	b u AG ɡ ɛ̃ AM v i AE l j AA e AD
bougainvillée	b u AG ɡ ɛ̃ AM v i AE l e AD
bouge	b u AG ʒ
bougeoir	b u AG ʒ w AB a AC ʁ
bouger	b u AG ʒ e AD
bougette	b u AG ʒ ɛ AD t
bougettes	b u AG ʒ ɛ AD t
bougie	b u AG ʒ i AE
bougnat	b u AG ɲ a AC
bougnoule	b u AG ɲ u AG l
bougonna	b u AG ɡ ɔ AF n a AC
bougonnai	b u AG ɡ ɔ AF n e AD
bougonnaient	b u AG ɡ ɔ AF n ɛ AD
bougonnais	b u AG ɡ ɔ AF n ɛ AD
bougonnait	b u AG ɡ ɔ AF n ɛ AD
bougonnant	b u AG ɡ ɔ AF n ɑ̃ BB
bougonnas	b u AG ɡ ɔ AF n ɑ AK
bougonnasse	b u AG ɡ ɔ AF n a AC s
bougonnassent	b u AG ɡ ɔ AF n a AC s
bougonnasses	b u AG ɡ ɔ AF n a AC s
bougonnassiez	b u AG ɡ ɔ AF n a AC s j AA e AD
bougonnassions	b u AG ɡ ɔ AF n a AC s j AA ɔ̃ BA
bougonne	b u AG ɡ ɔ AF n
bougonnent	b u AG ɡ ɔ AF n
bougonner	b u AG ɡ ɔ AF n e AD
bougonnera	b u AG ɡ ɔ AF n ʁ a AC
bougonnerai	b u AG ɡ ɔ AF n ʁ e AD
bougonneraient	b u AG ɡ ɔ AF n ʁ ɛ AD
bougonnerais	b u AG ɡ ɔ AF n ʁ ɛ AD
bougonnerait	b u AG ɡ ɔ AF n ʁ ɛ AD
bougonneras	b u AG ɡ ɔ AF n ʁ ɑ AK
bougonnerez	b u AG ɡ ɔ AF n ʁ e AD
bougonneriez	b u AG ɡ ɔ AF n ə AJ ʁ j AA e AD
bougonnerions	b u AG ɡ ɔ AF n ə AJ ʁ j AA ɔ̃ BA
bougonnerons	b u AG ɡ ɔ AF n ʁ ɔ̃ BA
bougonneront	b u AG ɡ ɔ AF n ʁ ɔ̃ BA
bougonnes	b u AG ɡ ɔ AF n
bougonnez	b u AG ɡ ɔ AF n e AD
bougonniez	b u AG ɡ ɔ AF n j AA e AD
bougonnions	b u AG ɡ ɔ AF n j AA ɔ̃ BA
bougonnons	b u AG ɡ ɔ AF n ɔ̃ BA
bougonnâmes	b u AG ɡ ɔ AF n ɑ AK m
bougonnât	b u AG ɡ ɔ AF n ɑ AK
bougonnâtes	b u AG ɡ ɔ AF n ɑ AK t
bougonnèrent	b u AG ɡ ɔ AF n ɛ AD ʁ
bougonné	b u AG ɡ ɔ AF n e AD
bougre	b u AG ɡ ʁ
bougresse	b u AG ɡ ʁ ɛ AD s
bouh	b u AG
bouiboui	b w AB i AE b w AB i AE
bouif	b w AB i AE f
bouillabaisse	b u AG j AA a AC b ɛ AD s
bouillant	b u AG j AA ɑ̃ BB
bouilli	b u AG j AA i AE
bouillie	b u AG j AA i AE
bouillies	b u AG j AA i AE
bouillir	b u AG j AA i AE ʁ
bouillis	b u AG j AA i AE
bouilloire	b u AG j AA w AB a AC ʁ
bouillon	b u AG j AA ɔ̃ BA
bouillonner	b u AG j AA ɔ AF n e AD
bouillotte	b u AG j AA ɔ AF t
bouillotter	b u AG j AA ɔ AF t e AD
boujadi	b u AG ʒ a AC d i AE
boulaie	b u AG l ɛ AD
boulange	b u AG l ɑ̃ BB ʒ
boulangea	b u AG l ɑ̃ BB ʒ a AC
boulangeai	b u AG l ɑ̃ BB ʒ e AD
boulangeaient	b u AG l ɑ̃ BB ʒ ɛ AD
boulangeais	b u AG l ɑ̃ BB ʒ ɛ AD
boulangeait	b u AG l ɑ̃ BB ʒ ɛ AD
boulangeant	b u AG l ɑ̃ BB ʒ ɑ̃ BB
boulangeas	b u AG l ɑ̃ BB ʒ ɑ AK
boulangeasse	b u AG l ɑ̃ BB ʒ a AC s
boulangeassent	b u AG l ɑ̃ BB ʒ a AC s
boulangeasses	b u AG l ɑ̃ BB ʒ a AC s
boulangeassiez	b u AG l ɑ̃ BB ʒ a AC s j AA e AD
boulangeassions	b u AG l ɑ̃ BB ʒ a AC s j AA ɔ̃ BA
boulangent	b u AG l ɑ̃ BB ʒ
boulangeons	b u AG l ɑ̃ BB ʒ ɔ̃ BA
boulanger	b u AG l ɑ̃ BB ʒ e AD
boulangera	b u AG l ɑ̃ BB ʒ ʁ a AC
boulangerai	b u AG l ɑ̃ BB ʒ ʁ e AD
boulangeraient	b u AG l ɑ̃ BB ʒ ʁ ɛ AD
boulangerais	b u AG l ɑ̃ BB ʒ ʁ ɛ AD
boulangerait	b u AG l ɑ̃ BB ʒ ʁ ɛ AD
boulangeras	b u AG l ɑ̃ BB ʒ ʁ ɑ AK
boulangerez	b u AG l ɑ̃ BB ʒ ʁ e AD
boulangerie	b u AG l ɑ̃ BB ʒ ʁ i AE
boulangeriez	b u AG l ɑ̃ BB ʒ ə AJ ʁ j AA e AD
boulangerions	b u AG l ɑ̃ BB ʒ ə AJ ʁ j AA ɔ̃ BA
boulangerons	b u AG l ɑ̃ BB ʒ ʁ ɔ̃ BA
boulangeront	b u AG l ɑ̃ BB ʒ ʁ ɔ̃ BA
boulanges	b u AG l ɑ̃ BB ʒ
boulangez	b u AG l ɑ̃ BB ʒ e AD
boulangeâmes	b u AG l ɑ̃ BB ʒ ɑ AK m
boulangeât	b u AG l ɑ̃ BB ʒ ɑ AK
boulangeâtes	b u AG l ɑ̃ BB ʒ ɑ AK t
boulangiez	b u AG l ɑ̃ BB ʒ j AA e AD
boulangions	b u AG l ɑ̃ BB ʒ j AA ɔ̃ BA
boulangère	b u AG l ɑ̃ BB ʒ ɛ AD ʁ
boulangèrent	b u AG l ɑ̃ BB ʒ ɛ AD ʁ
boulangé	b u AG l ɑ̃ BB ʒ e AD
bouldozeur	b u AG l d o AF z œ AI ʁ
bouldozeurs	b y AH l d o AF z œ AI ʁ
boule	b u AG l
bouleau	b u AG l o AF
bouleaux	b u AG l o AF
bouledogue	b u AG l d ɔ AF ɡ
boulet	b u AG l ɛ AD
boulette	b u AG l ɛ AD t
bouleute	b u AG l ø AI t
bouleutes	b u AG l ø AI t
boulevard	b u AG l v a AC ʁ
bouleversement	b u AG l v ɛ AD ʁ s ə AJ m ɑ̃ BB
bouleverser	b u AG l v ɛ AD ʁ s e AD
boulibané	b u AG l i AE b a AC n e AD
boulier	b u AG l j AA e AD
boulin	b u AG l ɛ̃ AM
bouline	b u AG l i AE n
boulingrin	b u AG l ɛ̃ AM ɡ ʁ ɛ̃ AM
boulocher	b u AG l ɔ AF ʃ e AD
boulon	b u AG l ɔ̃ BA
boulonnais	b u AG l ɔ AF n ɛ AD
boulonnaise	b u AG l ɔ AF n ɛ AD z
boulonner	b u AG l ɔ AF n e AD
boulonnerie	b u AG l ɔ AF n ʁ i AE
boulot	b u AG l o AF
boulu	b u AG l y AH
boum	b u AG m
boundou	b u AG n d u AG
bouque	b u AG k
bouquet	b u AG k ɛ AD
bouquetin	b u AG k t ɛ̃ AM
bouqueté	b u AG k t e AD
bouquin	b u AG k ɛ̃ AM
bouquinerie	b u AG k i AE n ʁ i AE
bourbakisme	b u AG ʁ b a AC k i AE s m
bourbe	b u AG ʁ b
bourbeux	b u AG ʁ b ø AI
bourbier	b u AG ʁ b j AA e AD
bourbine	b u AG ʁ b i AE n
bourbon	b u AG ʁ b ɔ̃ BA
bourbonien	b u AG ʁ b ɔ AF n j AA ɛ̃ AM
bourbonienne	b u AG ʁ b ɔ AF n j AA ɛ AD n
bourboniennes	b u AG ʁ b ɔ AF n j AA ɛ AD n
bourboniens	b u AG ʁ b ɔ AF n j AA ɛ̃ AM
bourdigue	b u AG ʁ d i AE ɡ
bourdon	b u AG ʁ d ɔ̃ BA
bourdonnement	b u AG ʁ d ɔ AF n m ɑ̃ BB
bourdonner	b u AG ʁ d ɔ AF n e AD
bourg	b u AG ʁ
bourgade	b u AG ʁ ɡ a AC d
bourgat	b u AG ʁ ɡ a AC
bourge	b u AG ʁ ʒ
bourgeois	b u AG ʁ ʒ w AB a AC
bourgeoisement	b u AG ʁ ʒ w AB a AC z m ɑ̃ BB
bourgeoisie	b u AG ʁ ʒ w AB a AC z i AE
bourgeon	b u AG ʁ ʒ ɔ̃ BA
bourgeonnante	b u AG ʁ ʒ ɔ AF n ɑ̃ BB t
bourgeonnement	b u AG ʁ ʒ ɔ AF n m ɑ̃ BB
bourgeonner	b u AG ʁ ʒ ɔ AF n e AD
bourgeron	b u AG ʁ ʒ ə AJ ʁ ɔ̃ BA
bourges	b u AG ʁ ʒ
bourgmestre	b u AG ʁ ɡ m ɛ AD s t ʁ
bourgogne	b u AG ʁ ɡ ɔ AF ɲ
bourguemaître	b u AG ʁ ɡ ə AJ m ɛ AD t ʁ
bourguibienne	b u AG ʁ ɡ i AE b j AA ɛ AD n
bourguignon	b u AG ʁ ɡ i AE ɲ ɔ̃ BA
bourguignonne	b u AG ʁ ɡ i AE ɲ ɔ AF n
bourlinguer	b u AG ʁ l ɛ̃ AM ɡ e AD
bouroundi	b u AG ʁ u AG n d i AE
bourrache	b u AG ʁ a AC ʃ
bourrage	b u AG ʁ a AC ʒ
bourrasque	b u AG ʁ a AC s k
bourre	b u AG ʁ
bourreau	b u AG ʁ o AF
bourrelet	b u AG ʁ l ɛ AD
bourriche	b u AG ʁ i AE ʃ
bourricot	b u AG ʁ i AE k o AF
bourride	b u AG ʁ i AE d
bourrique	b u AG ʁ i AE k
bourru	b u AG ʁ y AH
bourré	b u AG ʁ e AD
bourse	b u AG ʁ s
boursette	b u AG ʁ s ɛ AD t
boursicoter	b u AG ʁ s i AE k ɔ AF t e AD
boursier	b u AG ʁ s j AA e AD
boursière	b u AG ʁ s j AA ɛ AD ʁ
boursières	b u AG ʁ s j AA ɛ AD ʁ
boursouffler	b u AG ʁ s u AG f l e AD
boursoufler	b u AG ʁ s u AG f l e AD
boursouflure	b u AG ʁ s u AG f l y AH ʁ
boursouflé	b u AG ʁ s u AG f l e AD
bous	b u AG
bouscula	b u AG s k y AH l a AC
bousculai	b u AG s k y AH l e AD
bousculaient	b u AG s k y AH l ɛ AD
bousculais	b u AG s k y AH l ɛ AD
bousculait	b u AG s k y AH l ɛ AD
bousculant	b u AG s k y AH l ɑ̃ BB
bousculas	b u AG s k y AH l ɑ AK
bousculasse	b u AG s k y AH l a AC s
bousculassent	b u AG s k y AH l a AC s
bousculasses	b u AG s k y AH l a AC s
bousculassiez	b u AG s k y AH l a AC s j AA e AD
bousculassions	b u AG s k y AH l a AC s j AA ɔ̃ BA
bouscule	b u AG s k y AH l
bousculent	b u AG s k y AH l
bousculer	b u AG s k y AH l e AD
bousculera	b u AG s k y AH l ʁ a AC
bousculerai	b u AG s k y AH l ʁ e AD
bousculeraient	b u AG s k y AH l ʁ ɛ AD
bousculerais	b u AG s k y AH l ʁ ɛ AD
bousculerait	b u AG s k y AH l ʁ ɛ AD
bousculeras	b u AG s k y AH l ʁ ɑ AK
bousculerez	b u AG s k y AH l ʁ e AD
bousculeriez	b u AG s k y AH l ə AJ ʁ j AA e AD
bousculerions	b u AG s k y AH l ə AJ ʁ j AA ɔ̃ BA
bousculerons	b u AG s k y AH l ʁ ɔ̃ BA
bousculeront	b u AG s k y AH l ʁ ɔ̃ BA
bouscules	b u AG s k y AH l
bousculez	b u AG s k y AH l e AD
bousculiez	b u AG s k y AH l j AA e AD
bousculions	b u AG s k y AH l j AA ɔ̃ BA
bousculons	b u AG s k y AH l ɔ̃ BA
bousculâmes	b u AG s k y AH l ɑ AK m
bousculât	b u AG s k y AH l ɑ AK
bousculâtes	b u AG s k y AH l ɑ AK t
bousculèrent	b u AG s k y AH l ɛ AD ʁ
bousculé	b u AG s k y AH l e AD
bouse	b u AG z
bousier	b u AG z j AA e AD
bousiller	b u AG z i AE j AA e AD
boussole	b u AG s ɔ AF l
bout	b u AG t
bouta	b u AG t a AC
boutade	b u AG t a AC d
boutai	b u AG t e AD
boutaient	b u AG t ɛ AD
boutais	b u AG t ɛ AD
boutait	b u AG t ɛ AD
boutant	b u AG t ɑ̃ BB
boutante	b u AG t ɑ̃ BB t
boutas	b u AG t ɑ AK
boutasse	b u AG t a AC s
boutassent	b u AG t a AC s
boutasses	b u AG t a AC s
boutassiez	b u AG t a AC s j AA e AD
boutassions	b u AG t a AC s j AA ɔ̃ BA
boute	b u AG t
bouteille	b u AG t ɛ AD j AA
bouteilles	b u AG t ɛ AD j AA
boutent	b u AG t
bouter	b u AG t e AD
boutera	b u AG t ʁ a AC
bouterai	b u AG t ʁ e AD
bouteraient	b u AG t ʁ ɛ AD
bouterais	b u AG t ʁ ɛ AD
bouterait	b u AG t ʁ ɛ AD
bouteras	b u AG t ʁ ɑ AK
bouterez	b u AG t ʁ e AD
bouteriez	b u AG t ə AJ ʁ j AA e AD
bouterions	b u AG t ə AJ ʁ j AA ɔ̃ BA
bouterons	b u AG t ʁ ɔ̃ BA
bouteront	b u AG t ʁ ɔ̃ BA
boutes	b u AG t
boutez	b u AG t e AD
boutiez	b u AG t j AA e AD
boutions	b u AG t j AA ɔ̃ BA
boutique	b u AG t i AE k
boutoir	b u AG t w AB a AC ʁ
bouton	b u AG t ɔ̃ BA
boutonner	b u AG t ɔ AF n e AD
boutonneuse	b u AG t ɔ AF n ø AI z
boutonneux	b u AG t ɔ AF n ø AI
bouture	b u AG t y AH ʁ
boutâmes	b u AG t ɑ AK m
boutât	b u AG t ɑ AK
boutâtes	b u AG t ɑ AK t
boutèrent	b u AG t ɛ AD ʁ
bouté	b u AG t e AD
bouvier	b u AG v j AA e AD
bouvière	b u AG v j AA ɛ AD ʁ
bouvreuil	b u AG v ʁ œ AI j AA
bouziller	b u AG z i AE j AA e AD
bouzouki	b u AG z u AG k i AE
bouée	b w AB e AD
bovidé	b ɔ AF v i AE d e AD
bovin	b ɔ AF v ɛ̃ AM
bovine	b ɔ AF v i AE n
bowling	b u AG l i AE ŋ
box	b ɔ AF k s
boxe	b ɔ AF k s
boxer	b ɔ AF k s ɛ AD ʁ
boxeur	b ɔ AF k s œ AI ʁ
boxeurs	b ɔ AF k s œ AI ʁ
boxeuse	b ɔ AF k s ø AI z
boxeuses	b ɔ AF k s ø AI z
boy	b ɔ AF j AA
boyau	b w AB a AC j AA o AF
boyaux	b w AB a AC j AA o AF
boycott	b ɔ AF j AA k ɔ AF t
boycotter	b ɔ AF j AA k ɔ AF t e AD
boyer	b w AB a AC j AA e AD
bozouls	b o AF z u AG l
boète	b w AB ɛ AD t
boësse	b w AB ɛ AD s
boësser	b w AB ɛ AD s e AD
boîte	b w AB ɛː AL t
boîtelette	b w AB a AC t l ɛ AD t
bq	b e AD k y AH
brabant	b ʁ a AC b ɑ̃ BB
bracelet	b ʁ a AC s l ɛ AD
brachial	b ʁ a AC k j AA a AC l
brachiosaure	b ʁ a AC k j AA ɔ AF z o AF ʁ
brachiosaures	b ʁ a AC k j AA ɔ AF z o AF ʁ
brachylogie	b ʁ a AC k i AE l ɔ AF ʒ i AE
brachyœsophage	b ʁ a AC k j AA e AD z ɔ AF f a AC ʒ
braconna	b ʁ a AC k ɔ AF n a AC
braconnai	b ʁ a AC k ɔ AF n e AD
braconnaient	b ʁ a AC k ɔ AF n ɛ AD
braconnais	b ʁ a AC k ɔ AF n ɛ AD
braconnait	b ʁ a AC k ɔ AF n ɛ AD
braconnant	b ʁ a AC k ɔ AF n ɑ̃ BB
braconnas	b ʁ a AC k ɔ AF n ɑ AK
braconnasse	b ʁ a AC k ɔ AF n a AC s
braconnassent	b ʁ a AC k ɔ AF n a AC s
braconnasses	b ʁ a AC k ɔ AF n a AC s
braconnassiez	b ʁ a AC k ɔ AF n a AC s j AA e AD
braconnassions	b ʁ a AC k ɔ AF n a AC s j AA ɔ̃ BA
braconne	b ʁ a AC k ɔ AF n
braconnent	b ʁ a AC k ɔ AF n
braconnera	b ʁ a AC k ɔ AF n ʁ a AC
braconnerai	b ʁ a AC k ɔ AF n ʁ e AD
braconneraient	b ʁ a AC k ɔ AF n ʁ ɛ AD
braconnerais	b ʁ a AC k ɔ AF n ʁ ɛ AD
braconnerait	b ʁ a AC k ɔ AF n ʁ ɛ AD
braconneras	b ʁ a AC k ɔ AF n ʁ ɑ AK
braconnerez	b ʁ a AC k ɔ AF n ʁ e AD
braconneriez	b ʁ a AC k ɔ AF n ə AJ ʁ j AA e AD
braconnerions	b ʁ a AC k ɔ AF n ə AJ ʁ j AA ɔ̃ BA
braconnerons	b ʁ a AC k ɔ AF n ʁ ɔ̃ BA
braconneront	b ʁ a AC k ɔ AF n ʁ ɔ̃ BA
braconnes	b ʁ a AC k ɔ AF n
braconnez	b ʁ a AC k ɔ AF n e AD
braconnier	b ʁ a AC k ɔ AF n j AA e AD
braconniez	b ʁ a AC k ɔ AF n j AA e AD
braconnions	b ʁ a AC k ɔ AF n j AA ɔ̃ BA
