ँ	ə̃ AJ
कटार	k ə AD ʈ äː ɾ
कटोरा	k ə AD ʈ oː AE ɾ äː
कट्टर	k ə AD ʈ̚ ʈ ə AD ɾ
कट्ठा	k ə AD ʈ̚ ʈʰ äː
कठघरा	k ə AD ʈʰ ɡʱ ə AD ɾ äː
कठमुल्ला	k ə AD ʈʰ m ʊ AF l̪ l̪ äː
कठिन	k ə AD ʈʰ ɪ̃ AJ n̪
कठिनता	k ə AD ʈʰ ɪ̃ AJ n̪ t̪ äː
कठिनाई	k ə AD ʈʰ ɪ AD n̪ äː iː AC
कठुआ	k ə AD ʈʰ ʊ AF äː
कडपा	k ə AD ɖ p äː
कड़कड़ाना	k ə AD ɽ k ə AD ɽ äː n̪ äː
कड़वा	k ə AD ɽ ʋ AB äː
कड़वापन	k ə AD ɽ ʋ AB äː p ə̃ AJ n̪
कड़वाहट	k ə AD ɽ ʋ AB äː ɦ AG ə AD ʈ
कड़ा	k ə AD ɽ äː
कढ़ाई	k ə AD ɽʱ äː iː AC
कतराना	k ə AD t̪ ɾ äː n̪ äː
कतल	q ə AD t̪ ə AD l̪
कतार	q ə AD t̪ äː ɾ
कत्ल	q ə AD t̪ l̪
कथन	k ə AD t̪ʰ ə̃ AJ n̪
कथा	k ə AD t̪ʰ äː
कदन	k ə AD d̪ ə̃ AJ n̪
कदाचित्	k ə AD d̪ äː t ʃ ɪ AD t̪
कदापि	k ə AD d̪ äː p iː AC
कद्दू	k ə AD d̪̚ d̪ uː AE
कनटोप	k ə̃ AJ n̪ ʈ oː AE p
कनपटी	k ə̃ AJ n̪ p ə AD ʈ iː AC
कनपेड़	k ə̃ AJ n̪ p eː AC ɽ
कनाडा	k ə AD n̪ äː ɖ äː
कनिया	k ə AD n̪ i AD j AA äː
कनिष्ठ	k ə AD n̪ ɪ AD ʂ ʈʰ
कनिष्ठा	k ə AD n̪ ɪ AD ʃ ʈʰ äː
कनीज़	k ə AD n̪ iː AC z
कन्द	k ə̃ AJ n̪ d̪
कन्दरा	k ə̃ AJ n̪ d̪ ə AD ɾ äː
कन्दुक	k ə̃ AJ n̪ d̪ ʊ AF k
कन्नड	k ə̃ AJ n̪ n̪ ə AD ɖ
कन्नड़	k ə̃ AJ n̪ n̪ ə AD ɽ
कन्नौज	k ə̃ AJ n̪ n̪ ɔː AE d ʒ
कन्या	k ə̃ AJ n̪ j AA äː
कन्हैया	k ə̃ AJ n̪ ɦ AG ə̯ AK i AD j AA äː
कपड़ा	k ə AD p ɽ äː
कपाल	k ə AD p äː l̪
कपास	k ə AD p äː s̪
कपिलवस्तु	k ə AD p ɪ AD l̪ ʋ AB ə AD s̪ t̪ uː AE
कप्तान	k ə AD p t̪ ä̃ː n̪
कफ़न	k ə AD pʰ ə̃ AJ n̪
कबड्डी	k ə AD b ə AD ɖ̚ ɖ iː AC
कबाड़	k ə AD b äː ɽ
कबाब	k ə AD b äː b
कबूल	q ə AD b uː AE l̪
कम	k ə̃ AJ m
कमज़ोर	k ə̃ AJ m z oː AE ɾ
कमबख़्त	k ə̃ AJ m b ə AD x t̪
कमरबंद	k ə AD m ə AD ɾ b ə̃ AJ n̪ d̪
कमरबन्द	k ə AD m ə AD ɾ b ə̃ AJ n̪ d̪
कमरा	k ə̃ AJ m ɾ äː
कमर्शियल	k ə AD m ə AD ɾ ʃ i AD j AA ə AD l̪
कमल	k ə AD m ə AD l̪
कमली	k ə̃ AJ m l̪ iː AC
कमाई	k ə AD m äː iː AC
कमाऊ	k ə AD m äː uː AE
कमान	k ə AD m ä̃ː n̪
कमाल	k ə AD m äː l̪
कमिश्नर	k ə AD m ɪ AD ʃ n̪ ə AD ɾ
कमीना	k ə AD m iː AC n̪ äː
कमीनापन	k ə AD m iː AC n̪ äː p ə̃ AJ n̪
कमीशन	k ə AD m iː AC ʃ ə̃ AJ n̪
कमेंट	k ə AD m ẽː ɳ ʈ
कमेरा	k ə AD m eː AC ɾ äː
कम्प	k ə̃ AJ m p
कम्पन	k ə̃ AJ m p ə̃ AJ n̪
कम्पित	k ə̃ AJ m p ɪ AD t̪
कम्बल	k ə̃ AJ m b ə AD l̪
कम्बोडिया	k ə̃ AJ m b oː AE ɖ i AD j AA äː
कम्युनिजम	k ə̃ AJ m j AA ʊ AF n̪ ɪ AD z ə̃ AJ m
कम्युनिज़म	k ə̃ AJ m j AA ʊ AF n̪ ɪ AD z ə̃ AJ m
कम्युनिज़्म	k ə̃ AJ m j AA ʊ AF n̪ ɪ AD z m
कम्युनिज्म	k ə̃ AJ m j AA ʊ AF n̪ ɪ AD z m
कयामत	q ə AD j AA äː m ə AD t̪
करघा	k ə AD ɾ ɡʱ äː
करण	k ə AD ɾ ə̃ AJ ɳ
करता	k ə AD ɾ t̪ äː
करना	k ə AD ɾ n̪ äː
करनाल	k ə AD ɾ n̪ äː l̪
करनी	k ə AD ɾ n̪ iː AC
करनेवाला	k ə AD ɾ n̪ eː AC ʋ AB äː l̪ äː
कराची	k ə AD ɾ äː t ʃ iː AC
करारा	k ə AD ɾ äː ɾ äː
करिश्मा	k ə AD ɾ ɪ AD ʃ m äː
करूंगा	k ə AD ɾ ũː ŋ ɡ äː
करेला	k ə AD ɾ eː AC l̪ äː
करौंदा	k ə AD ɾ ɔ̃ː AH n̪ d̪ äː
कर्ता	k ə AD ɾ t̪ äː
कर्तृत्व	k ə AD ɾ t̪ ɾ ɪ AD t̪ w AB
कर्नाटक	k ə AD ɾ n̪ äː ʈ ə AD k
कर्मचारी	k ə AD ɾ m ə AD t ʃ äː ɾ iː AC
कर्मशाला	k ə AD ɾ m ə AD ʃ äː l̪ äː
कल	k ə AD l̪
कलंक	k ə AD l̪ ə̃ AJ ŋ k
कलकत्ता	k ə AD l̪ k ə AD t̪̚ t̪ äː
कलक्टर	k ə AD l̪ ə AD k ʈ ə AD ɾ
कलन	k ə AD l̪ ə̃ AJ n̪
कलम	k ə AD l̪ ə̃ AJ m
कलमकारी	k ə AD l̪ ə̃ AJ m k äː ɾ iː AC
कलमा	k ə AD l̪ m äː
कलसा	k ə AD l̪ s̪ äː
कलह	k ə AD l̪ ə AD ɦ AG
कला	k ə AD l̪ äː
कलाई	k ə AD l̪ äː iː AC
कलाकार	k ə AD l̪ äː k äː ɾ
कलात्मक	k ə AD l̪ äː t̪ m ə AD k
कलावंत	k ə AD l̪ äː ʋ AB ə̃ AJ n̪ t̪
कली	k ə AD l̪ iː AC
कलीसिया	k ə AD l̪ iː AC s̪ i AD j AA äː
कलेजा	k ə AD l̪ eː AC d ʒ äː
कलेवा	k ə AD l̪ eː AC ʋ AB äː
कलोर	k ə AD l̪ oː AE ɾ
कल्टी	k ə AD l̪ ʈ iː AC
कल्पना	k ə AD l̪ p ə AD n̪ äː
कल्पनादर्श	k ə AD l̪ p ə AD n̪ äː d̪ ə AD ɾ ʃ
कल्पित	k ə AD l̪ p ɪ AD t̪
कविता	k ə AD ʋ AB ɪ AD t̪ äː
कशमकश	k ə AD ʃ ə̃ AJ m k ə AD ʃ
कष्टसाध्य	k ə AD ʂ ʈ s̪ äː d̪ʱ j AA
कसके	k ə AD s̪ k eː AC
कसम	q ə AD s̪ ə̃ AJ m
कसर	k ə AD s̪ ə AD ɾ
कसरत	k ə AD s̪ ɾ ə AD t̪
कसाई	q ə AD s̪ äː iː AC
कसूर	q ə AD s̪ uː AE ɾ
कसेरा	k ə AD s̪ eː AC ɾ äː
कसौटी	k ə AD s̪ ɔː AE ʈ iː AC
कहना	k ɛ AD ɦ AG n̪ äː
कहनी	k ɛ AD ɦ AG n̪ iː AC
कहर	q ɛ AD ɦ AG ɛ AD ɾ
कहलाना	k ɛ AD ɦ AG l̪ äː n̪ äː
कहवा	q ɛ AD ɦ AG ʋ AB äː
कहा	k ə AD ɦ AG äː
कहाँ	k ə AD ɦ AG ä̃ː
कहानी	k ə AD ɦ AG äː n̪ iː AC
कहानीकार	k ə AD ɦ AG äː n̪ iː AC k äː ɾ
कहावत	k ə AD ɦ AG äː ʋ AB ə AD t̪
क़तरा	q ə AD t̪ ɾ äː
क़त्ल	q ə AD t̪ l̪
क़त्लेआम	q ə AD t̪ l̪ eː AC ä̃ː m
क़दम	q ə AD d̪ ə̃ AJ m
क़दमताल	q ə AD d̪ ə̃ AJ m t̪ äː l̪
क़दीम	q ə AD d̪ ĩː m
क़द्दावर	q ə AD d̪̚ d̪ äː ʋ AB ə AD ɾ
क़द्रदान	q ə AD d̪ ɾ ə AD d̪ ä̃ː n̪
क़फ़स	q ə AD f ə AD s̪
क़बीला	q ə AD b iː AC l̪ äː
क़बूल	q ə AD b uː AE l̪
क़ब्ज़ा	q ə AD b z äː
क़ब्रिस्तान	q ə AD b ɾ ɪ AD s̪ t̪ ä̃ː n̪
क़रार	q ə AD ɾ äː ɾ
क़रीबन	q ə AD ɾ iː AC b ə̃ AJ n̪
क़लम	q ə AD l̪ ə̃ AJ m
क़व्वाल	q ə AD ʋ AB ʋ AB äː l̪
क़व्वाली	q ə AD ʋ AB ʋ AB äː l̪ iː AC
क़सम	q ə AD s̪ ə̃ AJ m
क़साई	q ə AD s̪ äː iː AC
क़सीदा	q ə AD s̪ iː AC d̪ äː
क़सूर	q ə AD s̪ uː AE ɾ
क़स्बा	q ə AD s̪ b äː
क़हर	q ɛ AD ɦ AG ɛ AD ɾ
क़हवा	q ɛ AD ɦ AG ʋ AB äː
क़ाज़ी	q äː z iː AC
क़ातिल	q äː t̪ ɪ AD l̪
क़ातिलाना	q äː t̪ ɪ AD l̪ äː n̪ äː
क़ानून	q äː n̪ ũː n̪
क़ानूनगो	q äː n̪ ũː n̪ ɡ oː AE
क़ाफ़िला	q äː f ɪ AD l̪ äː
क़ाबिज़	q äː b ɪ AD z
क़ाबिल	q äː b ɪ AD l̪
क़ाबिलीयत	q äː b ɪ AD l̪ iː AC j AA ə AD t̪
क़ायदा	q äː j AA d̪ äː
क़ायम	q äː j AA ə̃ AJ m
क़ालीन	q äː l̪ ĩː n̪
क़ासिद	q äː s̪ ɪ AD d̪
क़ाहिरा	q äː ɦ AG ɪ AD ɾ äː
क़िला	q ɪ AD l̪ äː
क़िल्लत	q ɪ AD l̪ l̪ ə AD t̪
क़िस्त	q ɪ AD s̪ t̪
क़िस्म	q ɪ AD s̪ m
क़िस्मत	q ɪ AD s̪ m ə AD t̪
क़िस्सा	q ɪ AD s̪ s̪ äː
क़ुरान	q ʊ AF ɾ ä̃ː n̪
क़ुल्फ़ी	q ʊ AF l̪ f iː AC
क़ैंची	q ɛ̃ː AI n̪ t ʃ iː AC
क़ैदख़ाना	q ɛː AC d̪ x äː n̪ äː
क़ौम	q ɔ̃ː AH m
का	k äː
काँख	k ä̃ː kʰ
काँच	k ä̃ː t ʃ
काँटा	k ä̃ː ʈ äː
काँपना	k ä̃ː p n̪ äː
काँव	k ä̃ː ʋ AB
काँस	k ä̃ː s̪
काँसा	k ä̃ː s̪ äː
कांग्रेस	k ä̃ː ŋ ɡ ɾ eː AC s̪
कांग्रेसी	k ä̃ː ŋ ɡ ɾ eː AC s̪ iː AC
कांटा	k ä̃ː ʈ äː
कांति	k ä̃ː n̪ t̪ iː AC
कांदा	k ä̃ː n̪ d̪ äː
कांसा	k ä̃ː n̪ s̪ äː
कांसी	k ä̃ː n̪ s̪ iː AC
काका	k äː k äː
काकी	k äː k iː AC
कागज	k äː ɣ ə AD z
कागज़	k äː ɣ ə AD z
कागद	k äː ɡ ə AD d̪
काग़ज	k äː ɣ ə AD z
काग़ज़	k äː ɣ ə AD z
काग़ज़ात	k äː ɣ z äː t̪
काज	k äː d ʒ
काजल	k äː d ʒ ə AD l̪
काजू	k äː d ʒ uː AE
काटना	k äː ʈ n̪ äː
काठ	k äː ʈʰ
काठमांडू	k äː ʈʰ m ä̃ː ɳ ɖ uː AE
काढ़ना	k äː ɽʱ n̪ äː
कान	k ä̃ː n̪
कानपुर	k ä̃ː n̪ p ʊ AF ɾ
काना	k äː n̪ äː
कानून	q äː n̪ ũː n̪
कान्ति	k ä̃ː n̪ t̪ iː AC
कान्हा	k ä̃ː n̪ ɦ AG äː
कापी	k äː p iː AC
कापीराइट	k äː p iː AC ɾ äː ɪ AD ʈ
काफल	k äː pʰ ə AD l̪
काफ़ी	k äː pʰ iː AC
काफी	k äː pʰ iː AC
काबीना	k äː b iː AC n̪ äː
काबुकी	k äː b ʊ AF k iː AC
काबुल	k äː b ʊ AF l̪
काम	k ä̃ː m
कामकाज	k ä̃ː m k äː d ʒ
कामक्रिया	k äː m ə AD k ɾ i AD j AA äː
कामगार	k ä̃ː m ɡ äː ɾ
कामचोर	k ä̃ː m t ʃ oː AE ɾ
कामना	k ä̃ː m n̪ äː
कामयाब	k ä̃ː m j AA äː b
कामवाली	k ä̃ː m w AB äː l̪ iː AC
कामिल	k äː m ɪ AD l̪
कामी	k äː m iː AC
कामुक	k äː m ʊ AF k
कामुकता	k äː m ʊ AF k t̪ äː
कामोन्माद	k äː m õː n̪ m äː d̪
कायको	k äː j AA k oː AE
कायनात	k äː j AA n̪ äː t̪
कायर	k äː j AA ə AD ɾ
कायांतरण	k äː j AA ä̃ː n̪ t̪ ə AD ɾ ə̃ AJ ɳ
कायान्तरण	k äː j AA ä̃ː n̪ t̪ ə AD ɾ ə̃ AJ ɳ
कायोत्सर्ग	k äː j AA oː AE t̪ s̪ ə AD ɾ ɡ
कार	k äː ɾ
कारक	k äː ɾ ə AD k
कारख़ाना	k äː ɾ x äː n̪ äː
कारखाना	k äː ɾ x äː n̪ äː
कारगर	k äː ɾ ɡ ə AD ɾ
कारण	k äː ɾ ə̃ AJ ɳ
कारतूस	k äː ɾ t̪ uː AE s̪
कारनामा	k äː ɾ n̪ äː m äː
कारबार	k äː ɾ b äː ɾ
कारवाँ	k äː ɾ ʋ AB ä̃ː
कारा	k äː ɾ äː
कारावास	k äː ɾ äː ʋ AB äː s̪
कारोबारी	k äː ɾ oː AE b äː ɾ iː AC
कार्गो	k äː ɾ ɡ oː AE
कार्टून	k äː ɾ ʈ ũː n̪
कार्ड	k äː ɾ ɖ
कार्डिफ़	k äː ɾ ɖ ɪ AD pʰ
कार्तिक	k äː ɾ t̪ ɪ AD k
कार्त्तिक	k äː ɾ t̪ ɪ AD k
कार्थेज	k äː ɾ t̪ʰ eː AC d ʒ
कार्य	k äː ɾ j AA
कार्यकर्ता	k äː ɾ j AA ə AD k ə AD ɾ t̪ äː
कार्यकाल	k äː ɾ j AA ə AD k äː l̪
कार्यकुशल	k äː ɾ j AA ə AD k ʊ AF ʃ ə AD l̪
कार्यक्रम	k äː ɾ j AA ə AD k ɾ ə̃ AJ m
कार्यभार	k äː ɾ j AA ə AD bʱ äː ɾ
कार्यशाला	k äː ɾ j AA ə AD ʃ äː l̪ äː
कार्यसमिति	k äː ɾ j AA ə AD s̪ ə AD m ɪ AD t̪ iː AC
कार्यसूची	k äː ɾ j AA ə AD s̪ uː AE t ʃ iː AC
कार्यान्वित	k äː ɾ j AA ä̃ː n̪ w AB ɪ AD t̪
कार्यालय	k äː ɾ j AA äː l̪ ə AD j AA
कार्रवाई	k äː ɾ ɾ ə AD ʋ AB äː iː AC
काल	k äː l̪
कालक्रम	k äː l̪ k ɾ ə̃ AJ m
कालजयी	k äː l̪ d ʒ ə AD j AA iː AC
कालद्वीप	k äː l̪ ə AD d̪ w AB iː AC p
काला	k äː l̪ äː
कालाधन	k äː l̪ äː d̪ʱ ə̃ AJ n̪
कालापन	k äː l̪ äː p ə̃ AJ n̪
कालिज	k äː l̪ ɪ AD d ʒ
काली	k äː l̪ iː AC
कालीन	k äː l̪ ĩː n̪
कालू	k äː l̪ uː AE
कालेज	k äː l̪ eː AC d ʒ
काल्पनिक	k äː l̪ p ə AD n̪ ɪ AD k
काव्य	k äː ʋ AB j AA
काष्ठशर्करा	k äː ʂ ʈʰ ʃ ə AD ɾ k ə AD ɾ äː
कासा	k äː s̪ äː
किंतु	k ɪ̃ AJ n̪ t̪ uː AE
किंवदंती	k ɪ̃ AJ m w AB d̪ ə̃ AJ n̪ t̪ iː AC
किचन	k ɪ AD t ʃ ə̃ AJ n̪
कितना	k ɪ AD t̪̚ n̪ äː
कितने	k ɪ AD t̪̚ n̪ eː AC
किताब	k ɪ AD t̪ äː b
किन	k ɪ̃ AJ n̪
किनारा	k ɪ AD n̪ äː ɾ äː
किन्नर	k ɪ̃ AJ n̪ n̪ ə AD ɾ
किफ़ायत	k ɪ AD pʰ äː j AA ə AD t̪
किफ़ायती	k ɪ AD pʰ äː j AA ə AD t̪ iː AC
किया	k i AD j AA äː
किरकिला	k ɪ AD ɾ k ɪ AD l̪ äː
किरण	k ɪ AD ɾ ə̃ AJ ɳ
किरणपुंज	k ɪ AD ɾ ə̃ AJ ɳ p ʊ̃ AL n̪ d ʒ
किरदार	k ɪ AD ɾ d̪ äː ɾ
किराँची	k ɪ AD ɾ ä̃ː t ʃ iː AC
किराया	k ɪ AD ɾ äː j AA äː
किरायेदार	k ɪ AD ɾ äː j AA eː AC d̪ äː ɾ
किरासन	k ɪ AD ɾ äː s̪ ə̃ AJ n̪
किर्गिज़स्तान	k ɪ AD ɾ ɡ ɪ AD z ə AD s̪ t̪ ä̃ː n̪
किला	q ɪ AD l̪ äː
किलो	k ɪ AD l̪ oː AE
किलोग्राम	k ɪ AD l̪ oː AE ɡ ɾ ä̃ː m
किलोमीटर	k ɪ AD l̪ oː AE m iː AC ʈ ə AD ɾ
किशोरा	k ɪ AD ʃ oː AE ɾ äː
किसान	k ɪ AD s̪ ä̃ː n̪
किसानी	k ɪ AD s̪ äː n̪ iː AC
किस्म	q ɪ AD s̪ m
कीटाणु	k iː AC ʈ äː ɳ uː AE
कीड़ा	k iː AC ɽ aː AC
कीमिया	k iː AC m i AD j AA äː
कीर्तन	k iː AC ɾ t̪ ə̃ AJ n̪
कील	k iː AC l̪
कुँआ	k ʊ̃ AL äː
कुँआरी	k ʊ̃ AL äː ɾ iː AC
कुंजड़ा	k ʊ̃ AL n̪ d ʒ ɽ äː
कुंजी	k ʊ̃ AL n̪ d ʒ iː AC
कुंजीपटल	k ʊ̃ AL n̪ d ʒ iː AC p ə AD ʈ ə AD l̪
कुंडली	k ʊ̃ AL ɳ ɖ ə AD l̪ iː AC
कुंद	k ʊ̃ AL n̪ d̪
कुआँ	k ʊ AF ä̃ː
कुकुरमुत्ता	k ʊ AF k ʊ AF ɾ m ʊ AF t̪̚ t̪ äː
कुख्यात	k ʊ AF kʰ j AA äː t̪
कुख्याति	k ʊ AF kʰ j AA äː t̪ iː AC
कुचलना	k ʊ AF t ʃ ə AD l̪ n̪ äː
कुटिया	k ʊ AF ʈ i AD j AA äː
कुटिल	k ʊ AF ʈ ɪ AD l̪
कुटुंब	k ʊ AF ʈ ʊ̃ AL m b
कुट्टार	k ʊ AF ʈ̚ ʈ äː ɾ
कुतरना	k ʊ AF t̪ ə AD ɾ n̪ äː
कुत्ता	k ʊ AF t̪̚ t̪ äː
कुत्ती	k ʊ AF t̪̚ t̪ iː AC
कुत्रापि	k ʊ AF t̪ ɾ äː p iː AC
कुदाल	k ʊ AF d̪ äː l̪
कुनबा	k ʊ̃ AL n̪ b äː
कुप्पी	k ʊ AF p̚ p iː AC
कुमाऊँ	k ʊ AF m äː ũː
कुमारी	k ʊ AF m äː ɾ iː AC
कुमुदिनी	k ʊ AF m ʊ AF d̪ ɪ AD n̪ iː AC
कुम्हड़ा	k ʊ̃ AL m ɦ AG ə AD ɽ äː
कुम्हलाना	k ʊ̃ AL m ɦ AG l̪ äː n̪ äː
कुरता	k ʊ AF ɾ t̪ äː
कुरूपता	k ʊ AF ɾ uː AE p t̪ äː
कुर्नूल	k ʊ AF ɾ n̪ uː AE l̪
कुल	k ʊ AF l̪
कुलक	k ʊ AF l̪ ə AD k
कुलधर्म	k ʊ AF l̪ d̪ʱ ə AD ɾ m
कुल्चा	k ʊ AF l̪ t ʃ äː
कुल्ला	k ʊ AF l̪ l̪ äː
कुल्हड़	k ʊ AF l̪ ɦ AG ə AD ɽ
कुशल	k ʊ AF ʃ ə AD l̪
कुशासन	k ʊ AF ʃ äː s̪ ə̃ AJ n̪
कुसल	k ʊ AF s̪ ə AD l̪
कुसुम	k ʊ AF s̪ ʊ̃ AL m
कुसूर	q ʊ AF s̪ uː AE ɾ
कुहनी	k ɔ AF ɦ AG n̪ iː AC
कुहरा	k ɔ AF ɦ AG ɾ äː
कूटनीति	k uː AE ʈ n̪ iː AC t̪ iː AC
कूटनीतिक	k uː AE ʈ n̪ iː AC t̪ ɪ AD k
कूटनीतिज्ञ	k uː AE ʈ n̪ iː AC t̪ ɪ AD ɡ j AA
कूड़ा	k uː AE ɽ äː
कूड़ेदान	k uː AE ɽ eː AC d̪ ä̃ː n̪
कूदना	k uː AE d̪̚ n̪ äː
कूलॉम	k uː AE l̪ ɔ̃ AL m
कूल्हा	k uː AE l̪ ɦ AG äː
कृतित्व	k ɾ ɪ AD t̪ ɪ AD t̪ w AB
कृत्रिम	k ɾ ɪ AD t̪ ɾ ɪ̃ AJ m
कृदंत	k ɾ ɪ AD d̪ ə̃ AJ n̪ t̪
कृदन्त	k ɾ ɪ AD d̪ ə̃ AJ n̪ t̪
कृपया	k ɾ ɪ AD p j AA äː
कृष्ण	k ɾ ɪ AD ʃ ɳ äː
कृष्णा	k ɾ ɪ AD ʃ ɳ äː
कॅटलोनिया	k æ AD ʈ l̪ oː AE n̪ i AD j AA äː
कॅन्सर	k æ̃ AJ n̪ s̪ ə AD ɾ
केंद्र	k ẽː n̪ d̪ ɾ
केंद्रक	k ẽː n̪ d̪ ɾ ə AD k
केंद्रित	k ẽː n̪ d̪ ɾ ɪ AD t̪
केंद्रीकरण	k ẽː n̪ d̪ ɾ iː AC k ə AD ɾ ə̃ AJ ɳ
केकड़ा	k eː AC k ɽ aː AC
केतली	k eː AC t̪ l̪ iː AC
केन्द्र	k ẽː n̪ d̪ ɾ
केन्या	k ẽː n̪ j AA äː
केपटाउन	k eː AC p ʈ äː ʊ̃ AL n̪
केरल	k eː AC ɾ ə AD l̪
केला	k eː AC l̪ äː
केलि	k eː AC l̪ iː AC
कैंची	q ɛ̃ː AI n̪ t ʃ iː AC
कैंटीन	k ɛ̃ː AI ɳ ʈ ĩː n̪
कैंडी	k ɛ̃ː AI ɳ ɖ iː AC
कैंब्रिज	k ɛ̃ː AI m b ɾ ɪ AD d ʒ
कैंसर	k æ̃ AJ n̪ s̪ ə AD ɾ
कैथल	k ɛː AC t̪ʰ ə AD l̪
कैनबरा	k ɛː AC n̪ ə AD b ɾ äː
कैमरा	k ɛ̃ː AI m ɾ äː
कैरम	k ɛː AC ɾ ə̃ AJ m
कैलकुलेटर	k ɛː AC l̪ k ʊ AF l̪ eː AC ʈ ə AD ɾ
कैलगरी	k ɛː AC l̪ ɡ ə AD ɾ iː AC
कैलिफ़ोर्निया	k ɛː AC l̪ ɪ AD pʰ oː AE ɾ n̪ i AD j AA äː
कैसा	k ɛː AC s̪ äː
कॉपीराइट	k ɔ AF p iː AC ɾ äː ɪ AD ʈ
कॉमनवेल्थ	k ɔ AF m ə̃ AJ n̪ w AB eː AC l̪ t̪ʰ
कॉमेडियन	k ɔ AF m eː AC ɖ i AD j AA ə̃ AJ n̪
कोंकण	k õː ŋ k ə̃ AJ ɳ
कोंकणी	k õː ŋ k ɳ iː AC
कोंपल	k õː m p ə AD l̪
कोटवाल	k oː AE ʈ w AB äː l̪
कोटा	k oː AE ʈ äː
कोठा	k oː AE ʈʰ äː
कोठारी	k oː AE ʈʰ äː ɾ iː AC
कोड़ा	k oː AE ɽ äː
कोण	k õː ɳ
कोतवाल	k oː AE t̪ w AB äː l̪
कोपचा	k oː AE p t ʃ äː
कोमोरोस	k oː AE m oː AE ɾ oː AE s̪
कोयंबतूर	k oː AE j AA ə̃ AJ m b ə AD t̪ uː AE ɾ
कोयल	k oː AE j AA ə AD l̪
कोयला	k oː AE j AA l̪ aː AC
कोरा	k oː AE ɾ äː
कोरियन	k oː AE ɾ i AD j AA ə̃ AJ n̪
कोरिया	k oː AE ɾ i AD j AA äː
कोरियाई	k oː AE ɾ i AD j AA äː iː AC
कोरेगांव	k oː AE ɾ eː AC ɡ ä̃ː m w AB
कोरोनावायरस	k oː AE ɾ oː AE n̪ äː ʋ AB äː j AA ɾ ə AD s̪
कोलकाता	k oː AE l̪ k äː t̪ äː
कोलाहल	k oː AE l̪ äː ɦ AG ə AD l̪
कोशकला	k oː AE ʃ k ə AD l̪ äː
कोशिका	k oː AE ʃ ɪ AD k äː
कोष	k oː AE ʃ
कोष्ठक	k oː AE ʃ ʈʰ ə AD k
कोस	k oː AE s̪
कोसना	k oː AE s̪ n̪ äː
कोहनी	k oː AE ɦ AG n̪ iː AC
कोहराम	k oː AE ɦ AG ɾ ä̃ː m
कोहिमा	k oː AE ɦ AG ɪ AD m äː
कोहेनूर	k oː AE ɦ AG eː AC n̪ uː AE ɾ
कौंसिल	k ɔ̃ː AH n̪ s̪ ɪ AD l̪
कौआ	k ə̯ AK u AF ʋ AB äː
कौन	k ɔ̃ː AH n̪
कौमार्य	k ɔː AE m äː ɾ j AA
कौवा	k ə̯ AK u AF ʋ AB äː
क्या	k j AA äː
क्यूबा	k j AA uː AE b äː
क्योंकि	k j AA õː ŋ k iː AC
क्रम	k ɾ ə̃ AJ m
क्रमण	k ɾ ə AD m ə̃ AJ ɳ
क्रमबद्ध	k ɾ ə̃ AJ m b ə AD d̪ d̪ʱ
क्रमशः	k ɾ ə̃ AJ m ʃ ə AD ɦ AG
क्रमसूचक	k ɾ ə̃ AJ m s̪ uː AE t ʃ ə AD k
क्रमागत	k ɾ ə AD m äː ɡ ə AD t̪
क्रमादेशन	k ɾ ə AD m äː d̪ eː AC ʃ ə̃ AJ n̪
क्रांति	k ɾ ä̃ː n̪ t̪ iː AC
क्रांतिकारी	k ɾ ä̃ː n̪ t̪ ɪ AD k äː ɾ iː AC
क्राइस्टचर्च	k ɾ äː ɪ AD s̪ ʈ t ʃ ə AD ɾ t ʃ
क्रान्ति	k ɾ ä̃ː n̪ t̪ iː AC
क्रिया	k ɾ i AD j AA äː
क्रियाकलाप	k ɾ i AD j AA äː k ə AD l̪ äː p
क्रियापद	k ɾ i AD j AA äː p ə AD d̪
क्रियारूप	k ɾ i AD j AA äː ɾ uː AE p
क्रियावाचक	k ɾ i AD j AA äː ʋ AB äː t ʃ ə AD k
क्रियाविशेषण	k ɾ i AD j AA äː ʋ AB ɪ AD ʃ eː AC ʃ ə̃ AJ ɳ
क्रिसमस	k ɾ ɪ AD s̪ m ə AD s̪
क्रिस्टल	k ɾ ɪ AD s̪ ʈ ə AD l̪
क्रिस्मस	k ɾ ɪ AD s̪ m ə AD s̪
क्रीड़ा	k ɾ iː AC ɽ äː
क्रीड़ास्थल	k ɾ iː AC ɽ äː s̪ t̪ʰ ə AD l̪
क्रीड़िका	k ɾ iː AC ɽ ɪ AD k äː
क्रीडिका	k ɾ iː AC ɖ ɪ AD k äː
क्रीम	k ɾ ĩː m
क्रूस	k ɾ uː AE s̪
क्रेता	k ɾ eː AC t̪ äː
क्रेमलिन	k ɾ ẽː m l̪ ɪ̃ AJ n̪
क्रोएशिया	k ɾ oː AE eː AC ʃ i AD j AA äː
क्लब	k l̪ ə AD b
क्लर्क	k l̪ ə AD ɾ k
क्लास	k l̪ äː s̪
क्वथनांक	k w AB ə AD t̪ʰ ə AD n̪ ä̃ː k
क्वारंटीन	k w AB äː ɾ ə̃ AJ ɳ ʈ ĩː n̪
क्वार्टज़	k w AB äː ɾ ʈ z
क्विंटल	k w AB ɪ̃ AJ ɳ ʈ ə AD l̪
क्वेटा	k w AB eː AC ʈ äː
क्षण	k ʃ ə̃ AJ ɳ
क्षति	k ʃ ə AD t̪ iː AC
