က	k AC a̰ AL
စီးကလိပ်	s AJ i AL k AC ə AL l AE e AL ɪ AL ʔ AC
စီးနင်း	s AJ i AL n AG ɪ AL ɴ AG
စီးပွား	s AJ i AL b AH w AK a AL
စီးပွားရေး	s AJ i AL b AH w AK a AL j AB e AL
စီးပွားရေးသမား	s AJ i AL b AH w AK a AL j AB e AL ð AJ ə AL m AF a AL
စုတ်	s AJ o AM ʊ AM ʔ AC
စုန်း	s AJ o AM ʊ AM ɴ AG
စုပ်	s AJ o AM ʊ AM ʔ AC
စုပ်စုပ်	s AJ o AM ʊ AM ʔ AC s AJ o AM ʊ AM ʔ AC
စုလျား	s AJ ṵ j AB a AL
စုံစမ်း	s AJ o AM ʊ AM ɴ AG z AJ a AL ɴ AG
စုံထောက်	s AJ o AM ʊ AM ɴ AG d AC a AL ʊ AM ʔ AC
စုံဖက်	s AJ o AM ʊ AM ɴ AG pʰ AI ɛ AL ʔ AC
စူပါမားကတ်	s AJ u AM p AH ə AL m AF a AL k AC a AL ʔ AC
စူးစူး	s AJ u AM z AJ u AM
စေတနာ	s AJ e AL d AC ə AL n AG a AL
စေတနာရှင်	s AJ e AL d AC ə AL n AG a AL ʃ AJ ɪ AL ɴ AG
စေတီ	z AJ e AL d AC i AL
စော	s AJ ɔ AM
စောက်	s AJ a AL ʊ AM ʔ AC
စောင့်	s AJ a̰ AL ʊ AM ɴ AG
စောင်	s AJ a AL ʊ AM ɴ AG
စောင်း	s AJ a AL ʊ AM ɴ AG
စောင်းလျား	z AJ a AL ʊ AM ɴ AG j AB a AL
စောစော	s AJ ɔ AM z AJ ɔ AM
စောပြာ	s AJ ɔ AM b AH j AB a AL
စော်ဘွား	s AJ ɔ AM b AH w AK a AL
စေ့စပ်	s AJ ḛ z AJ a AL ʔ AC
စဲ	s AJ ɛ AL
စံပယ်	z AJ ə AL b AH ɛ AL
စွင့်	s AJ w AK ɪ̰ AL ɴ AG
စွတ်စွတ်နာ	s AJ ʊ AM ʔ AC s AJ ʊ AM ʔ AC n AG a AL
စွတ်ဖါး	s AJ ʊ AM ʔ AC pʰ AI a AL
စွန်	s AJ ʊ AM ɴ AG
စွန်ကုပ်	s AJ ʊ AM ɴ AG ɡ AC o AM ʊ AM ʔ AC
စွပ်	s AJ ʊ AM ʔ AC
စွပ်ပြုတ်	s AJ ʊ AM ʔ AC p AH j AB o AM ʊ AM ʔ AC
စွမ်း	s AJ w AK a AL ɴ AG
စွမ်းအင်	s AJ w AK a AL ɴ AG ʔ AC ɪ AL ɴ AG
စွယ်	s AJ w AK ɛ AL
စွေ့စွေ့	s AJ w AK ḛ z AJ w AK ḛ
ဆက္ကဂံ	sʰ BA ɛ AL ʔ AC k AC ə AL ɡ AC a AL ɴ AG
ဆက်	sʰ BA ɛ AL ʔ AC
ဆက်ဆံ	sʰ BA ɛ AL ʔ AC sʰ BA a AL ɴ AG
ဆက်သွယ်ရေး	sʰ BA ɛ AL ʔ AC θ AJ w AK ɛ AL j AB e AL
ဆင့်	sʰ BA ɪ̰ AL ɴ AG
ဆင်	sʰ BA ɪ AL ɴ AG
ဆင်ခြေထောက်ရောဂါ	sʰ BA ɪ AL ɴ AG t AC ɕʰ BA e AL d AC a AL ʊ AM ʔ AC j AB ɔ AM ɡ AC a AL
ဆင်စွယ်	sʰ BA ɪ AL ɴ AG z AJ w AK ɛ AL
ဆင်ဝင်	sʰ BA ɪ AL ɴ AG w AK ɪ AL ɴ AG
ဆင်း	sʰ BA ɪ AL ɴ AG
ဆင်းရဲ	sʰ BA ɪ AL ɴ AG j AB ɛ AL
ဆစ်ဒနီ	sʰ BA ɪ AL ʔ AC d AC ə AL n AG i AL
ဆဋ္ဌမ	sʰ BA a AL ʔ AC tʰ AD ə AL m AF a̰ AL
ဆန့်ကျင်	sʰ BA a̰ AL ɴ AG d AC ʑ AJ ɪ AL ɴ AG
ဆန့်ကျင်ဘက်	sʰ BA a̰ AL ɴ AG d AC ʑ AJ ɪ AL ɴ AG b AH ɛ AL ʔ AC
ဆန္ဒ	sʰ BA a AL ɴ AG d AC a̰ AL
ဆန္ဒပြပွဲ	sʰ BA a AL ɴ AG d AC a̰ AL p AH j AB a̰ AL b AH w AK ɛ AL
ဆန်	sʰ BA a AL ɴ AG
ဆန်ခါ	z AJ ə AL ɡ AC a AL
ဆန်ပြုတ်	sʰ BA a AL ɴ AG b AH j AB o AM ʊ AM ʔ AC
ဆန်မာရီနို	sʰ BA a AL ɴ AG m AF a AL ɹ AB i AL n AG o AM
ဆန်း	sʰ BA a AL ɴ AG
ဆန်းဒဝစ်	sʰ BA a AL ɴ AG d AC ə AL w AK ɪ AL ʔ AC
ဆနွင်းမကင်း	sʰ BA ə AL n AG w AK ɪ AL ɴ AG m AF ə AL k AC ɪ AL ɴ AG
ဆပ္ပတ်	sʰ BA a AL ʔ AC p AH a AL ʔ AC
ဆပ်	sʰ BA a AL ʔ AC
ဆပ်ကပ်	sʰ BA a AL ʔ AC k AC a AL ʔ AC
ဆပ်ပြာ	sʰ BA a AL ʔ AC p AH j AB a AL
ဆပ်သွားဖူး	sʰ BA a AL ʔ AC θ AJ w AK a AL pʰ AI u AM
ဆယ့်တစ်	sʰ BA ɛ̰ AL t AC ɪ AL ʔ AC
ဆယ့်တစ်လ	sʰ BA ɛ̰ AL t AC ɪ AL ʔ AC l AE a̰ AL
ဆယ့်နှစ်	sʰ BA ɛ̰ AL n̥ AG ɪ AL ʔ AC
ဆယ့်နှစ်ရာသီ	sʰ BA ɛ̰ AL n̥ AG ə AL j AB a AL θ AJ i AL
ဆယ့်နှစ်လ	sʰ BA ɛ̰ AL n̥ AG ə AL l AE a̰ AL
ဆယ်	sʰ BA ɛ AL
ဆယ်လ	sʰ BA ɛ AL l AE a̰ AL
ဆရာ	sʰ BA ə AL j AB a AL
ဆရာတော်	sʰ BA ə AL j AB a AL d AC ɔ AM
ဆရာမ	sʰ BA ə AL j AB a AL m AF a̰ AL
ဆရာလေး	sʰ BA ə AL j AB a AL l AE e AL
ဆရာဝန်	sʰ BA a̰ AL j AB a AL w AK ʊ AM ɴ AG
ဆရာသမား	sʰ BA a̰ AL j AB a AL θ AJ ə AL m AF a AL
ဆလတ်	sʰ BA ə AL l AE a AL ʔ AC
ဆလဗ	sʰ BA ə AL l AE a̰ AL b AH a̰ AL
ဆလိမ်	sʰ BA a̰ AL l AE e AL ɪ AL ɴ AG
ဆလိုင်း	sʰ BA ə AL l AE a AL ɪ AL ɴ AG
ဆလိုဗားကီးယား	sʰ BA ə AL l AE o AM b AH a AL k AC i AL j AB a AL
ဆလိုဗေးနီးယား	sʰ BA ə AL l AE o AM b AH e AL n AG i AL j AB a AL
ဆာ	sʰ BA a AL
ဆာဂျင်	sʰ BA a AL d AC ʑ AJ ɪ AL ɴ AG
ဆာမူရိုင်း	sʰ BA a AL m AF u AM ɹ AB a AL ɪ AL ɴ AG
ဆာယာ	sʰ BA a AL j AB a AL
ဆာရီ	sʰ BA a AL ɹ AB i AL
ဆာလဖာ	sʰ BA a AL l AE ə AL pʰ AI a AL
ဆား	sʰ BA a AL
ဆားကြက်ဥ	sʰ BA a AL t AC ɕ AJ ɛ AL ʔ AC ʔ AC ṵ
ဆားဘီးယား	sʰ BA a AL b AH i AL j AB a AL
ဆားဘဲဥ	sʰ BA a AL b AH ɛ AL ʔ AC ṵ
ဆားရည်	sʰ BA a AL j AB e AL
ဆိတ်	sʰ BA e AL ɪ AL ʔ AC
ဆိတ်ကုလား	sʰ BA e AL ɪ AL ʔ AC k AC ə AL l AE a AL
ဆိတ်ချေး	sʰ BA e AL ɪ AL ʔ AC t AC ɕʰ BA i AL
ဆိတ်ထီး	sʰ BA e AL ɪ AL ʔ AC tʰ AD i AL
ဆိတ်မ	sʰ BA e AL ɪ AL ʔ AC m AF a̰ AL
ဆိပ်	sʰ BA e AL ɪ AL ʔ AC
ဆိပ်ကမ်း	sʰ BA e AL ɪ AL ʔ AC k AC a AL ɴ AG
ဆိမ့်	sʰ BA ḛ ɪ AL ɴ AG
ဆို	sʰ BA o AM
ဆိုကရေးတီး	sʰ BA o AM k AC ə AL ɹ AB e AL t AC i AL
ဆိုက်	sʰ BA a AL ɪ AL ʔ AC
ဆိုက်ကား	sʰ BA a AL ɪ AL ʔ AC k AC a AL
ဆိုက်ပရပ်စ်	sʰ BA a AL ɪ AL ʔ AC p AH ə AL ɹ AB a AL ʔ AC s AJ
ဆိုက်ဘေးရီးယား	sʰ BA a AL ɪ AL ʔ AC b AH e AL ɹ AB i AL j AB a AL
ဆိုင်	sʰ BA a AL ɪ AL ɴ AG
ဆိုင်း	sʰ BA a AL ɪ AL ɴ AG
ဆိုင်းထိုး	sʰ BA a AL ɪ AL ɴ AG tʰ AD o AM
ဆိုင်းဘုတ်	sʰ BA a AL ɪ AL ɴ AG b AH o AM ʊ AM ʔ AC
ဆိုင်းဝိုင်း	sʰ BA a AL ɪ AL ɴ AG w AK a AL ɪ AL ɴ AG
ဆိုဆုံးမ	sʰ BA o AM sʰ BA o AM ʊ AM ɴ AG m AF a̰ AL
ဆိုထုံး	sʰ BA o AM d AC o AM ʊ AM ɴ AG
ဆိုဒီယမ်	sʰ BA o AM d AC i AL j AB a AL ɴ AG
ဆိုဖာ	sʰ BA o AM pʰ AI a AL
ဆိုဗီယက်	sʰ BA o AM b AH i AL j AB ɛ AL ʔ AC
ဆိုမာလီယာ	sʰ BA o AM m AF a AL l AE i AL j AB a AL
ဆိုမြည်	sʰ BA o AM m AF j AB i AL
ဆိုရိုးစကား	sʰ BA o AM j AB o AM z AJ ə AL ɡ AC a AL
ဆိုး	sʰ BA o AM
ဆိုးဆေး	sʰ BA o AM z AJ e AL
ဆီ	sʰ BA i AL
ဆီချက်	sʰ BA i AL d AC ʑ AJ ɛ AL ʔ AC
ဆီချက်ခေါက်ဆွဲ	sʰ BA i AL d AC ʑ AJ ɛ AL ʔ AC kʰ AD a AL ʊ AM ʔ AC sʰ BA w AK ɛ AL
ဆီထမင်း	sʰ BA i AL tʰ AD ə AL m AF ɪ AL ɴ AG
ဆီနီဂေါ	sʰ BA i AL n AG i AL ɡ AC ɔ AM
ဆီပြန်	sʰ BA i AL b AH j AB a AL ɴ AG
ဆီမီးတောက်	sʰ BA i AL m AF i AL d AC a AL ʊ AM ʔ AC
ဆီယူ	sʰ BA i AL j AB u AM
ဆီရာလီယွန်	sʰ BA i AL ɹ AB a AL l AE i AL j AB ʊ AM ɴ AG
ဆီး	sʰ BA i AL
ဆီးချို	sʰ BA i AL d AC ʑ AJ o AM
ဆီးချုပ်ရောဂါ	sʰ BA i AL d AC ʑ AJ o AM ʊ AM ʔ AC j AB ɔ AM ɡ AC a AL
ဆီးပူညောင်းကျ	sʰ BA i AL p AH u AM ɲ AG a AL ʊ AM ɴ AG t AC ɕ AJ a̰ AL
ဆီးဖြူ	z AJ i AL b AH j AB u AM
ဆီးရီးယား	sʰ BA i AL ɹ AB i AL j AB a AL
ဆီးအောင့်ရောဂါ	sʰ BA i AL ʔ AC a̰ AL ʊ AM ɴ AG j AB ɔ AM ɡ AC a AL
ဆု	sʰ BA ṵ
ဆုံး	sʰ BA o AM ʊ AM ɴ AG
ဆုံးဖြတ်	sʰ BA o AM ʊ AM ɴ AG pʰ AI j AB a AL ʔ AC
ဆူ	sʰ BA u AM
ဆူဒန်	sʰ BA u AM d AC a AL ɴ AG
ဆူရာနမ်	sʰ BA u AM ɹ AB a AL n AG a AL ɴ AG
ဆူရှီ	sʰ BA u AM ʃ AJ i AL
ဆူး	sʰ BA u AM
ဆူးပုပ်	sʰ BA u AM b AH o AM ʊ AM ʔ AC
ဆောက်	sʰ BA a AL ʊ AM ʔ AC
ဆောင်	sʰ BA a AL ʊ AM ɴ AG
ဆောင်ပုဒ်	sʰ BA a AL ʊ AM ɴ AG b AH o AM ʊ AM ʔ AC
ဆောင်း	sʰ BA a AL ʊ AM ɴ AG
ဆောင်းပါး	sʰ BA a AL ʊ AM ɴ AG b AH a AL
ဆောင်းရာသီ	sʰ BA a AL ʊ AM ɴ AG j AB a AL ð AJ i AL
ဆောင်းဦး	sʰ BA a AL ʊ AM ɴ AG ʔ AC u AM
ဆောင်းဦးရာသီ	sʰ BA a AL ʊ AM ɴ AG ʔ AC u AM j AB a AL ð AJ i AL
ဆောရီး	sʰ BA ɔ AM ɹ AB i AL
ဆော့	sʰ BA ɔ̰ AM
ဆော့ဖ်ဝဲလ်	sʰ BA a AL ʊ AM ʔ AC w AK ɛ AL
ဆော်ဒီအာရေဗျ	sʰ BA ɔ AM d AC i AL ʔ AC a AL ɹ AB e AL b AH j AB a̰ AL
ဆေး	sʰ BA e AL
ဆေးခန်း	sʰ BA e AL kʰ AD a AL ɴ AG
ဆေးခြောက်	sʰ BA e AL d AC ʑ AJ a AL ʊ AM ʔ AC
ဆေးဆိုင်	sʰ BA e AL z AJ a AL ɪ AL ɴ AG
ဆေးတံ	sʰ BA e AL d AC a AL ɴ AG
ဆေးပေါ့လိပ်	sʰ BA e AL b AH ɔ̰ AM l AE e AL ɪ AL ʔ AC
ဆေးပြင်းလိပ်	sʰ BA e AL b AH j AB ɪ AL ɴ AG l AE e AL ɪ AL ʔ AC
ဆေးဘဲဥ	sʰ BA e AL b AH ɛ AL ʔ AC ṵ
ဆေးရုံ	sʰ BA e AL j AB o AM ʊ AM ɴ AG
ဆေးရှဲ	sʰ BA e AL ʃ AJ ɛ AL
ဆေးလိပ်	sʰ BA e AL l AE e AL ɪ AL ʔ AC
ဆေးလိပ်မသောက်ရ	sʰ BA e AL l AE e AL ɪ AL ʔ AC m AF ə AL θ AJ a AL ʊ AM ʔ AC j AB a̰ AL
ဆေးလုံး	sʰ BA e AL l AE o AM ʊ AM ɴ AG
ဆံ	sʰ BA a AL ɴ AG
ဆံတော်ချ	sʰ BA a AL ɴ AG t AC ɔ AM t AC ɕʰ BA a̰ AL
ဆံပင်	z AJ ə AL b AH ɪ AL ɴ AG
ဆံပင်ညှပ်	z AJ ə AL b AH ɪ AL ɴ AG ɲ̊ AG a AL ʔ AC
ဆံပင်တု	z AJ ə AL b AH ɪ AL ɴ AG d AC ṵ
ဆွစ်ဇာလန်	sʰ BA w AK ɪ AL ʔ AC z AJ ə AL l AE a AL ɴ AG
ဆွဆွ	sʰ BA w AK a̰ AL z AJ w AK a̰ AL
ဆွပ်	sʰ BA ʊ AM ʔ AC
ဆွမ်း	sʰ BA ʊ AM ɴ AG
ဆွမ်းမွှေး	sʰ BA ʊ AM ɴ AG m̥ AF w AK e AL
ဆွမ်းအုပ်	sʰ BA ʊ AM ɴ AG ʔ AC o AM ʊ AM ʔ AC
ဆွယ်တာ	sʰ BA w AK ɛ AL t AC a AL
ဆွာဇီလန်	sʰ BA w AK a AL z AJ i AL l AE a AL ɴ AG
ဆွီဒင်	sʰ BA w AK i AL d AC ɪ AL ɴ AG
ဆွေခုနစ်ဆက်မျိုးခုနစ်ဆက်	sʰ BA w AK e AL kʰ AD ə AL n AG ə AL z AJ ɛ AL ʔ AC m AF j AB o AM kʰ AD ə AL n AG ə AL z AJ ɛ AL ʔ AC
ဆွဲ	sʰ BA w AK ɛ AL
ဇကွဲ	z AJ a̰ AL ɡ AC w AK ɛ AL
ဇင့်ခ်	z AJ ɪ̰ AL ɴ AG
ဇင်ဘာဘွေ	z AJ ɪ AL ɴ AG b AH a AL b AH w AK e AL
ဇင်းမယ်	z AJ ɪ AL ɴ AG m AF ɛ AL
ဇင်္ဂမဥစ္စာ	z AJ ɪ AL ɴ AG ɡ AC ə AL m AF a̰ AL ʔ AC o AM ʊ AM ʔ AC s AJ a AL
ဇစ်	z AJ ɪ AL ʔ AC
ဇနပုဒ်	z AJ ə AL n AG ə AL p AH o AM ʊ AM ʔ AC
ဇနီး	z AJ ə AL n AG i AL
ဇန်နဝါရီ	z AJ a AL ɴ AG n AG ə AL w AK a AL ɹ AB i AL
ဇမ်ဘီယာ	z AJ a AL ɴ AG b AH i AL j AB a AL
ဇယ	z AJ ə AL j AB a̰ AL
ဇယား	z AJ ə AL j AB a AL
ဇရပ်	z AJ ə AL j AB a AL ʔ AC
ဇရာ	z AJ ə AL j AB a AL
ဇလဗေဒ	z AJ ə AL l AE a̰ AL b AH e AL d AC a̰ AL
ဇလုံ	z AJ ə AL l AE o AM ʊ AM ɴ AG
ဇာ	z AJ a AL
ဇာဂနာ	z AJ a AL ɡ AC ə AL n AG a AL
ဇာတိ	z AJ a AL t AC ḭ
ဇာတိပ္ဖိုလ်	z AJ a AL d AC e AL ɪ AL ʔ AC pʰ AI o AM
ဇာတိပ္ဖိုလ်စေ့	z AJ a AL d AC e AL ɪ AL ʔ AC pʰ AI o AM z AJ ḛ
ဇာတ်	z AJ a AL ʔ AC
ဇာတ်ကား	z AJ a AL ʔ AC k AC a AL
ဇာတ်ကြီးဆယ်ဘွဲ့	z AJ a AL t AC d AC ʑ AJ i AL sʰ BA ɛ AL b AH w AK ɛ̰ AL
ဇာတ်ခုံ	z AJ a AL ʔ AC kʰ AD o AM ʊ AM ɴ AG
ဇာတ်ဆောင်	z AJ a AL ʔ AC sʰ BA a AL ʊ AM ɴ AG
ဇာတ်ညွှန်း	z AJ a AL t AC ɲ̊ AG ʊ AM ɴ AG
ဇာတ်တော်	z AJ a AL t AC
ဇာတ်ရုံ	z AJ a AL ʔ AC j AB o AM ʊ AM ɴ AG
ဇာနည်	z AJ a AL n AG i AL
ဇိန	z AJ ḭ n AG a̰ AL
ဇိမ်မယ်	z AJ e AL ɪ AL ɴ AG m AF ɛ AL
ဇီဇဝါ	z AJ i AL z AJ ə AL w AK a AL
ဇီရာ	z AJ i AL j AB a AL
ဇီရာစေ့	z AJ i AL j AB a AL s AJ ḛ
ဇီဝ	z AJ i AL w AK a̰ AL
ဇီဝကမ္မဗေဒ	z AJ i AL w AK a̰ AL k AC a AL ɴ AG m AF a̰ AL b AH e AL d AC a̰ AL
ဇီဝစက်	z AJ i AL w AK a̰ AL s AJ ɛ AL ʔ AC
ဇီဝဓာတုဗေဒ	z AJ i AL w AK a̰ AL d AC a AL t AC ṵ b AH e AL d AC a̰ AL
ဇီဝဗေဒ	z AJ i AL w AK a̰ AL b AH e AL d AC a̰ AL
ဇူလိုင်	z AJ u AM l AE a AL ɪ AL ɴ AG
ဇေ	z AJ e AL
ဇေယျ	z AJ e AL j AB a̰ AL
ဇေယျာပူရ	z AJ e AL j AB a AL p AH u AM ɹ AB a̰ AL
ဇော်ဂျီ	z AJ ɔ AM d AC ʑ AJ i AL
ဇွန်	z AJ ʊ AM ɴ AG
ဇွန်း	z AJ ʊ AM ɴ AG
ဈမျဉ်းဆွဲ	z AJ a̰ AL m AF j AB ɪ AL ɴ AG z AJ w AK ɛ AL
ဈာန်	z AJ a AL n AG
ဈာပန	z AJ a AL p AH ə AL n AG a̰ AL
ဈေး	z AJ e AL
ဈေးကြီး	z AJ e AL t AC ɕ AJ i AL
ဈေးချို	z AJ e AL t AC ɕʰ BA o AM
ဈေးနှုန်း	z AJ e AL n̥ AG o AM ʊ AM ɴ AG
ဉာဏ်	ɲ AG a AL n AG
ဉာဏ်စမ်း	ɲ AG a AL n AG s AJ a AL ɴ AG
ဉာဏ်တော်	ɲ AG a AL ɴ AG d AC ɔ AM
ဉာဏ်ပူဇော်ခ	ɲ AG a AL n AG p AH u AM z AJ ɔ AM kʰ AD a̰ AL
ည	ɲ AG a̰ AL
ညကလေး	ɲ AG a̰ AL k AC ə AL l AE e AL
ညကြီး	ɲ AG a̰ AL t AC ɕ AJ i AL
ညစာ	ɲ AG a̰ AL z AJ a AL
ညစ်	ɲ AG ɪ AL ʔ AC
ညစ်ထည်း	ɲ AG ɪ AL ʔ AC tʰ AD e AL
ညည်း	ɲ AG i AL
ညနေ	ɲ AG a̰ AL n AG e AL
ညနေခင်း	ɲ AG a̰ AL n AG e AL ɡ AC ɪ AL ɴ AG
ညလေး	ɲ AG a̰ AL l AE e AL
ညာ	ɲ AG a AL
ညို	ɲ AG o AM
ညီ	ɲ AG i AL
ညီနောင်	ɲ AG i AL n AG a AL ʊ AM ɴ AG
ညီမ	ɲ AG i AL m AF a̰ AL
ညီမျှခြင်း	ɲ AG i AL m̥ AF j AB a̰ AL d AC ʑ AJ ɪ AL ɴ AG
ညီလာခံ	ɲ AG i AL l AE a AL ɡ AC a AL ɴ AG
ညီအစ်ကို	ɲ AG i AL ʔ AC ə AL k AC o AM
ညီအစ်မ	ɲ AG i AL ʔ AC ə AL m AF a̰ AL
ညောင်	ɲ AG a AL ʊ AM ɴ AG
ညောင်ဖြူ	ɲ AG a AL ʊ AM ɴ AG b AH j AB u AM
ညောင်ဗောဓိ	ɲ AG a AL ʊ AM ɴ AG b AH ɔ AM d AC ḭ
ညောင်လေးပင်	ɲ AG a AL ʊ AM ɴ AG l AE e AL p AH ɪ AL ɴ AG
ညောင်းကျရောဂါ	ɲ AG a AL ʊ AM ɴ AG t AC ɕ AJ a̰ AL j AB ɔ AM ɡ AC a AL
ညေး	ɲ AG e AL
ညံစာစာ	ɲ AG a AL ɴ AG s AJ a AL z AJ a AL
ညွန့်	ɲ AG ʊ̰ AM ɴ AG
ညှင်း	ɲ̊ AG ɪ AL ɴ AG
ညှစ်	ɲ̊ AG ɪ AL ʔ AC
ညှပ်	ɲ̊ AG a AL ʔ AC
ညှာ	ɲ̊ AG a AL
ဋသန်လျင်းချိတ်	t AC a̰ AL θ AJ ə AL j AB ɪ AL ɴ AG d AC ʑ AJ e AL ɪ AL ʔ AC
ဌဝမ်းဘဲ	tʰ AD a̰ AL w AK ʊ AM ɴ AG b AH ɛ AL
ဌာန	tʰ AD a AL n AG a̰ AL
ဌာပနာ	tʰ AD a AL p AH ə AL n AG a AL
ဌေး	tʰ AD e AL
ဍရင်ကောက်	d AC a̰ AL j AB ɪ AL ɴ AG ɡ AC a AL ʊ AM ʔ AC
ဎရေမှုတ်	d AC a̰ AL j AB e AL m̥ AF o AM ʊ AM ʔ AC
ဏကြီး	n AG a̰ AL d AC ʑ AJ i AL
တ	t AC ə AL
တကယ်	d AC ə AL ɡ AC ɛ AL
တကာ	d AC ə AL ɡ AC a AL
တက္ကစီ	t AC ɛ AL ʔ AC k AC ə AL s AJ i AL
တက္ကဗေဒ	t AC ɛ AL ʔ AC k AC a̰ AL b AH e AL d AC a̰ AL
တက္ကသိုလ်	t AC ɛ AL ʔ AC k AC ə AL θ AJ o AM
တက်	t AC ɛ AL ʔ AC
တကွ	d AC ə AL ɡ AC w AK a̰ AL
တချို့	t AC ə AL t AC ɕʰ BA o̰ AM
တခြား	t AC ə AL t AC ɕʰ BA a AL
တင့်ကား	t AC ɪ̰ AL ɴ AG k AC a AL
တင်	t AC ɪ AL ɴ AG
တင်ကူး	t AC ɪ AL ɴ AG ɡ AC u AM
တင်ဒါ	t AC ɪ AL ɴ AG d AC a AL
တင်ပါ့ဘုရား	t AC ɪ AL ɴ AG b AH a̰ AL pʰ AI ə AL j AB a AL
တင်းတင်း	t AC ɪ AL ɴ AG t AC ɪ AL ɴ AG
တင်းထိမ်	t AC ɪ AL ɴ AG d AC e AL ɪ AL ɴ AG
တင်းနစ်	t AC ɪ AL ɴ AG n AG ɪ AL ʔ AC
တစပြင်	d AC ə AL z AJ a̰ AL b AH j AB ɪ AL ɴ AG
တစောင်း	d AC ə AL z AJ a AL ʊ AM ɴ AG
တစ္ဆေ	t AC ə AL sʰ BA e AL
တစ်	t AC ɪ AL ʔ AC
တစ်ခုလပ်	t AC ə AL kʰ AD ṵ l AE a AL ʔ AC
တစ်ချောင်းပုဒ်	t AC ə AL t AC ɕʰ BA a AL ʊ AM ɴ AG p AH o AM ʊ AM ʔ AC
တစ်ဆယ်	t AC ə AL z AJ ɛ AL
တစ်ထောင်	t AC ə AL tʰ AD a AL ʊ AM ɴ AG
တစ်ပင်တိုင်မင်းသမီး	d AC ə AL b AH ɪ AL ɴ AG d AC a AL ɪ AL ɴ AG m AF ɪ AL ɴ AG ð AJ ə AL m AF i AL
တစ်ရာ	t AC ə AL j AB a AL
တစ်လ	t AC ə AL l AE a̰ AL
တဆယ်	t AC ə AL z AJ ɛ AL
တဆေး	t AC ə AL sʰ BA e AL
တညင်း	d AC ə AL ɲ AG ɪ AL ɴ AG
တညင်းသီး	d AC ə AL ɲ AG ɪ AL ɴ AG ð AJ i AL
တည်	t AC ɛ AL
တည်ဆောက်	t AC i AL sʰ BA a AL ʊ AM ʔ AC
တည်တံ့	t AC i AL d AC a̰ AL ɴ AG
တည်း	tʰ AD ɛ AL
တဏှင်္ကရာ	t AC ə AL n̥ AG ɪ AL ɴ AG k AC ə AL ɹ AB a AL
တဏှင်္ကရာဘုရား	t AC ə AL n̥ AG ɪ AL ɴ AG k AC ə AL ɹ AB a AL pʰ AI ə AL j AB a AL
တဏှာ	t AC ə AL n̥ AG a AL
တတိယ	t AC a̰ AL t AC ḭ j AB a̰ AL
တတ်	ʔ AC
တန	t AC a̰ AL n AG a̰ AL
တနင်္ဂနွေ	t AC ə AL n AG ɪ AL ɴ AG ɡ AC ə AL n AG w AK e AL
တနင်္လာ	t AC ə AL n AG ɪ AL ɴ AG l AE a AL
တန်ခိုးရှင်	t AC a AL ɴ AG kʰ AD o AM ʃ AJ ɪ AL ɴ AG
တန်ခူး	d AC ə AL ɡ AC u AM
တန်ဆောင်မုန်း	d AC ə AL z AJ a AL ʊ AM ɴ AG m AF o AM ʊ AM ɴ AG
တန်ဇေးနီးယား	t AC a AL ɴ AG z AJ e AL n AG i AL j AB a AL
တပည့်တော်	d AC ə AL b AH ḭ d AC ɔ AM
တပည့်တော်မ	d AC ə AL b AH ḭ d AC ɔ AM m AF a̰ AL
တပို့တွဲ	d AC ə AL b AH o̰ AM d AC w AK ɛ AL
တပေါင်း	d AC ə AL b AH a AL ʊ AM ɴ AG
တပေါင်းလပြည့်နေ့	d AC ə AL b AH a AL ʊ AM ɴ AG l AE a̰ AL p AH j AB ḭ n AG ḛ
တပ်	t AC a AL ʔ AC
တပ်ကြပ်	t AC a AL ʔ AC t AC ɕ AJ a AL ʔ AC
တပ်ကြပ်ကြီး	t AC a AL ʔ AC t AC ɕ AJ a AL ʔ AC t AC ɕ AJ i AL
တပ်ခွဲတပ်ကြပ်ကြီး	t AC a AL ʔ AC kʰ AD w AK ɛ AL t AC a AL ʔ AC t AC ɕ AJ a AL ʔ AC t AC ɕ AJ i AL
တပ်မတော်	t AC a AL ʔ AC m AF ə AL d AC ɔ AM
တပ်မတော်နေ့	t AC a AL ʔ AC m AF ə AL d AC ɔ AM n AG ḛ
တဘက်	d AC ə AL b AH ɛ AL ʔ AC
တမန်	t AC ə AL m AF a AL ɴ AG
တမန်တော်	t AC ə AL m AF a AL ɴ AG d AC ɔ AM
တမလန်း	t AC ə AL m AF ə AL l AE a AL ɴ AG
တယော	t AC ə AL j AB ɔ AM
တယ်	t AC ɛ AL
တယ်လီဖုန်း	t AC ɛ AL l AE i AL pʰ AI o AM ʊ AM ɴ AG
တယ်လီဗီးရှင်း	t AC ɛ AL l AE i AL b AH i AL ʃ AJ ɪ AL ɴ AG
တရား	t AC ə AL j AB a AL
တရားခံ	t AC ə AL j AB ə AL kʰ AD a AL ɴ AG
တရားစွဲ	t AC ə AL j AB a AL s AJ w AK ɛ AL
တရားရုံး	t AC ə AL j AB a AL j AB o AM ʊ AM ɴ AG
တရားလွှတ်တော်	t AC ə AL j AB a AL l̥ AE ʊ AM ʔ AC t AC ɔ AM
တရားလွှတ်တော်ချုပ်	t AC ə AL j AB a AL l̥ AE ʊ AM ʔ AC t AC ɔ AM d AC ʑ AJ o AM ʊ AM ʔ AC
တရားသူကြီး	t AC ə AL j AB a AL ð AJ u AM d AC ʑ AJ i AL
