't	t
dalubtauhan	d a AD l u AF b t a AD ʔ u AF h AA a AD n
dalubwikaan	d a AD l u AF b w AC i AD k a AD ʔ a AD n
dalusong	d a AD l u AF s o AF ŋ
dama	d ɐ AF m a AD
damit	d a AD m i AD t
damo	d a AD m o AF
damot	d a AD m o AF t
damuhan	d ɐ AF m u AF h AA a AD n
damuho	d a AD m u AF h AA o AF ʔ
dantay	d a AD n t a AD i AD
danum	d a AD n u AF m
danumsigwasan	d a AD n u AF m s i AD ɡ w AC a AD s a AD n
danumtigilan	d a AD n u AF m t i AD ɡ i AD l a AD n
dao	d a AD ʔ o AF
dapat	d a AD p a AD t
dapdap	d a AD p d a AD p
datapwa	d a AD t a AD p w AC a AD ʔ
dati	d a AD t i AD
dating	d ɐ AF t i AD ŋ
datinguinoo	d a AD t i AD ŋ i AD n o AF o AF
davao	d a AD b a AD u AF
daw	ɾ a AD u AF
daya	d a AD j AB a AD ʔ
dayag	d a AD j AB a AD ɡ
dayami	d a AD j AB a AD m i AD
dayang	d a AD j AB a AD ŋ
dayanghirang	d a AD j AB a AD ŋ h AA i AD ɾ a AD ŋ
dayrit	d a AD i AD ɾ i AD t
dazo	d a AD s o AF
deang	d j AB a AD ŋ
deboto	d ɛ AD b o AF t o AF
decena	d ɛ AD s ɛ AD n a AD
dee	d i AD
dehado	d ɛ AD h AA a AD d o AF
dekada	d ɛ AD k a AD d a AD
dekorasyon	d ɛ AD k o AF ɾ a AD s j AB o AF n
dekreto	d ɛ AD k ɾ ɛ AD t o AF
delegasyon	d ɛ AD l ɛ AD ɡ a AD s j AB o AF n
demonyo	d ɛ AD m o AF n j AB o AF
dentista	d ɛ AD n t i AD s t a AD
depensahan	d ɛ AD p ɛ AD n s a AD h AA a AD n
desisyon	d ɛ AD s i AD s j AB o AF n
destino	d ɛ AD s t i AD n o AF
di	d ɛ AD
diamante	d i AD a AD m a AD n t ɛ AD
diigkasin	d i AD ʔ i AD ɡ k a AD s i AD n
diin	d i AD ʔ i AD n
dijamco	d i AD d ʒ a AD m k o AF
diklap	d i AD k l a AD p
dila	d i AD l a AD ʔ
dilaan	d i AD l a AD a AD n
dilaw	d i AD l a AD u AF
dilikas	d i AD l i AD k a AD s
dilim	d i AD l i AD m
dimaala	d i AD m a AD a AD l a AD
dimaandal	d i AD m a AD a AD n d a AD l
dimaapi	d i AD m a AD a AD p i AD
dimacali	d i AD m a AD k a AD l i AD
dimagiba	d i AD m a AD ɡ i AD b a AD
dimailig	d i AD m a AD i AD l i AD ɡ
dimalaluan	d i AD m a AD l a AD l u AF a AD n
dimalanta	d i AD m a AD l a AD n t a AD
dimapilis	d i AD m a AD p i AD l i AD s
dimaranan	d i AD m a AD ɾ a AD n a AD n
dimatatac	d i AD m a AD t a AD t a AD k
din	d i AD n
dinagipik	d i AD n a AD ɡ i AD p i AD k
dinamita	d i AD n a AD m i AD t a AD
dinding	d i AD n d i AD ŋ
dine	d i AD n ɛ AD
dingding	d i AD n d i AD ŋ
diokno	d i AD o AF k n o AF
dipasupil	d i AD p a AD s u AF p i AD l
diplomasya	d i AD p l o AF m a AD s j AB a AD
disisais	d i AD s i AD s a AD ʔ i AD s
diskumpiyado	d i AD s k u AF m p i AD a AD d o AF
dismayado	d i AD s m a AD j AB a AD d o AF
dito	d i AD t o AF
diyablo	d i AD a AD b l o AF
diyamante	d i AD a AD m a AD n t ɛ AD
diño	d i AD ɲ o AF
doctolero	d o AF k t o AF l ɛ AD ɾ o AF
dolores	d o AF l o AF ɾ ɛ AD s
domantay	d o AF m a AD n t a AD i AD
domingo	d o AF m i AD n ɡ o AF
doon	d o AF ʔ o AF n
dos	d o AF s
dueñas	d u AF ɛ AD ɲ a AD s
duhansipat	d u AF h AA a AD n s i AD p a AD t
duhat	d u AF h AA a AD t
dukot	d u AF k o AF t
dukwang	d u AF k w AC a AD ŋ
dulay	d u AF l a AD i AD
duldol	d u AF l d o AF l
dulos	d u AF l o AF s
dumaan	d u AF m a AD a AD n
dumaguing	d u AF m a AD ɡ i AD ŋ
dumapa	d u AF m a AD p a AD
dumating	d u AF m a AD t i AD ŋ
dumi	d u AF m ɪː AE
dumighay	d u AF m i AD ɡ h AA a AD y AF
dumilim	d u AF m i AD l i AD m
dumlao	d u AF m l a AD o AF
dumpit	d u AF m p i AD t
dumulas	d u AF m u AF l a AD s
dumungaw	d u AF m u AF ŋ a AD u AF
dumura	d u AF m u AF ɾ a AD ʔ
dungaw	d u AF ŋ a AD u AF
dunggot	d u AF ŋ ɡ o AF t
dupil	d u AF p i AD l
dura	d u AF ɾ a AD ʔ
durante	d u AF ɾ a AD n t ɛ AD
durungawan	d u AF ɾ u AF ŋ a AD w AC a AD n
dutaan	d u AF t a AD ʔ a AD n
duwag	d u AF a AD ɡ
duyan	d u AF j AB a AD n
dy	d iː AE
dyahe	d ʒ a AD h AA ɛ AD
dyaket	d ʒ a AD k ɛ AD t
dyanitor	d j AB a AD n i AD t o AF ɾ
dyaryo	ɟ ʝ ɑ AD rʲ ɔ AF
echano	ʔ ɛ AD t ʃ a AD n o AF
echevarria	ʔ ɛ AD t ʃ ɛ AD b a AD ɾ j AB a AD
edad	ɛ AD d a AD d
edisyon	ʔ ɛ AD d i AD s j AB o AF n
ekis	ʔ ɛ AD k i AD s
ekisan	ʔ ɛ AD k i AD s a AD n
ekonomiya	ʔ ɛ AD k o AF n o AF m i AD a AD
elamparo	ʔ ɛ AD l a AD m p a AD ɾ o AF
elegansya	ɛ AD l ɛ AD ɡ a AD n ʃ a AD
elizaga	ʔ ɛ AD t ʃ ɛ AD b a AD ɾ j AB a AD
encarnado	ʔ ɛ AD n k a AD ɾ n a AD d o AF
encinas	ʔ ɛ AD n s i AD n a AD s
endaya	ʔ ɛ AD n d a AD j AB a AD
endozo	ʔ ɛ AD n d o AF s o AF
enero	ɛ AD n ɛ AD ɾ o AF
engkanto	ʔ ɛ AD ŋ k a AD n t o AF
entusyasmo	ɛ AD n t u AF s j AB a AD s m o AF
epal	ɛ AD p a AD l
epekto	ʔ ɛ AD p ɛ AD k t o AF
epidemya	ʔ ɛ AD p i AD d ɛ AD m j AB a AD
episyente	ɛ AD p i AD ʃ ɛ AD n t ɛ AD
erehe	ʔ ɛ AD ɾ ɛ AD h AA ɛ AD
ermitanyo	ʔ ɛ AD ɾ m i AD t a AD n j AB o AF
escalona	ʔ ɛ AD s k a AD l o AF n a AD
escaño	ʔ ɛ AD s k a AD ɲ o AF
esguerra	ʔ ɛ AD s ɡ ɛ AD ɾ ɾ a AD
eskaparate	ʔ ɛ AD s k a AD p a AD ɾ a AD t ɛ AD
espadahan	ʔ ɛ AD s p a AD d a AD h AA a AD n
espasyo	ʔ ɛ AD s p a AD s j AB o AF
espinoza	ʔ ɛ AD s p i AD n o AF s a AD
esquivel	ʔ ɛ AD s k i AD b ɛ AD l
estabillo	ʔ ɛ AD s t a AD b i AD l l o AF
estrella	ʔ ɛ AD s t ɾ ɛ AD l l a AD
eugenio	j AB u AF h AA ɛ AD n j AB o AF
exconde	ʔ ɛ AD k s k o AF n d ɛ AD
fabregas	p a AD b ɾ ɛ AD ɡ a AD s
fabros	p a AD b ɾ o AF s
fajardo	p a AD d ʒ a AD ɾ d o AF
falcon	p a AD l k o AF n
faltado	p a AD l t a AD d o AF
fernandez	p ɛ AD ɾ n a AD n d ɛ AD s
ferriols	p ɛ AD ɾ ɾ i AD o AF l s
festejo	p ɛ AD s t ɛ AD d ʒ o AF
figueras	p i AD ɡ ɛ AD ɾ a AD s
figueroa	p i AD ɡ ɛ AD ɾ o AF a AD
filipino	p i AD l i AD p i AD n o AF
flojo	p l o AF d ʒ o AF
fojas	p o AF d ʒ a AD s
fonacier	p o AF n a AD s i AD ɛ AD ɾ
fontelera	p o AF n t ɛ AD l ɛ AD ɾ a AD
fontillas	p o AF n t i AD l l a AD s
forteza	p o AF ɾ t ɛ AD s a AD
fortich	p o AF ɾ t i AD t ʃ
frias	p ɾ i AD a AD s
fronda	p ɾ o AF n d a AD
fuentebella	p u AF ɛ AD n t ɛ AD b ɛ AD l l a AD
fung	p u AF ŋ
furagganan	p u AF ɾ a AD ɡ ɡ a AD n a AD n
gabi	ɡ a AD b i AD
gabiana	ɡ a AD b i AD a AD n a AD
gacula	ɡ a AD k u AF l a AD
gacusan	ɡ a AD k u AF s a AD n
gacutan	ɡ a AD k u AF t a AD n
gadgad	ɡ a AD d ɡ a AD d
galamay	ɡ a AD l a AD m a AD i AD
galapong	ɡ a AD l a AD p o AF ŋ
galauran	ɡ a AD l a AD ʔ u AF ɾ a AD n
galawan	ɡ a AD l a AD w AC a AD n
galing	ɡ a AD l i AD ŋ
galis	ɡ a AD l i AD s
galit	ɡ a AD l i AD t
gallo	ɡ a AD l l o AF
galos	ɡ a AD l o AF s
gan	ɡ a AD n
ganap	ɡ a AD n a AD p
gancayco	ɡ a AD n k a AD i AD k o AF
ganda	ɡ a AD n d a AD
gangsal	ɡ a AD ŋ s a AD l
ganid	ɡ a AD n i AD d
gansa	ɡ a AD n s a AD
gansal	ɡ a AD n s a AD l
ganti	ɡ a AD n t i AD
ganzon	ɡ a AD n s o AF n
gao	ɡ a AD w AC
garalde	ɡ a AD ɾ a AD l d ɛ AD
garapata	ɡ a AD ɾ a AD p a AD t a AD
garay	ɡ a AD ɾ a AD i AD
garces	ɡ a AD ɾ s ɛ AD s
garchitorena	ɡ a AD ɾ t ʃ i AD t o AF ɾ ɛ AD n a AD
garciano	ɡ a AD ɾ s i AD a AD n o AF
gargaran	ɡ a AD ɾ ɡ a AD ɾ a AD n
gascon	ɡ a AD s k o AF n
gaslaw	ɡ a AD s l a AD u AF
gasolinahan	ɡ a AD s o AF l i AD n a AD h AA a AD n
gaspang	ɡ a AD s p a AD ŋ
gaston	ɡ a AD s t o AF n
gatbonton	ɡ a AD t b o AF n t o AF n
gatchalian	ɡ a AD t t ʃ a AD l j AB a AD n
gatong	ɡ aː AE t ɔ AF ŋ
gavilan	ɡ a AD b i AD l a AD n
gaviola	ɡ a AD b j AB o AF l a AD
gayuma	ɡ a AD j AB u AF m a AD
gerilya	ɡ ɛ AD ɾ i AD l j AB a AD
gerodias	d ʒ ɛ AD ɾ o AF d j AB a AD s
geron	ɡ ɛ AD ɾ o AF n
geronimo	h AA ɛ AD ɾ o AF n i AD m o AF
gigil	ɡ i AD ɡ i AD l
gilagid	ɡ i AD l a AD ɡ i AD d
ginhawa	ɡ i AD n h AA a AD w AC a AD
ginto	ɡ i AD n t o AF ʔ
gipalpal	ɡ i AD p a AD l p a AD l
giron	h AA i AD ɾ o AF n
gisa	ɡ i AD s a AD
gising	ɡ i AD s i AD ŋ
gitara	ɡ i AD t a AD ɾ a AD
gitlawas	ɡ i AD t l a AD w AC a AD s
gitna	ɡ i AD t n a AD ʔ
giwa	ɡ i AD w AC a AD ʔ
go	ɡ ɔ AF
godoy	ɡ o AF d o AF i AD
goh	ɡ o AF
grabe	ɡ ɾ a AD b ɛ AD
gradweyt	ɡ ɾ a AD d w AC ɛ AD i AD t
grasa	ɡ ɾ a AD s a AD
grasya	ɡ ɾ a AD s j AB a AD
grumadweyt	ɡ ɾ u AF m a AD d w AC ɛ AD i AD t
guanzon	ɡ u AF a AD n s o AF n
gubat	ɡ u AF b a AD t
guerra	ɡ ɛ AD ɾ a AD
guinto	ɡ i AD n t o AF
gulang	ɡ u AF l a AD ŋ
gulay	ɡ u AF l a AD j AB
gulpi	ɡ u AF l p i AD
gumagad	ɡ u AF m a AD ɡ a AD d
gumala	ɡ u AF m a AD l a AD ʔ
gumaling	ɡ u AF m a AD l i AD ŋ
gumapac	ɡ u AF m a AD p a AD k
gumawa	ɡ u AF m a AD w AC a AD ʔ
gumilid	ɡ u AF m i AD l i AD d
gumiran	ɡ u AF m i AD ɾ a AD n
gumising	ɡ u AF m i AD s i AD ŋ
gumuho	ɡ u AF m u AF h AA ɔ AF ʔ
gumulong	ɡ u AF m u AF l ɔ AF ŋ
guwantes	ɡ u AF a AD n t ɛ AD s
guwardiya	ɡ u AF a AD ɾ d j AB a AD
habagat	h AA a AD b a AD ɡ a AD t
hagikgik	h AA a AD ɡ ɪ AD k ɡ ɪ AD k
hagod	h AA a AD ɡ o AF d
hagok	h AA a AD ɡ o AF k
hagulgol	h AA a AD ɡ u AF l ɡ o AF l
hagulhol	h AA a AD ɡ u AF l h AA o AF l
hagupit	h AA a AD ɡ u AF p i AD t
halabos	h AA a AD l a AD b o AF s
halaga	h AA a AD l a AD ɡ a AD
halalan	h AA a AD l a AD l a AD n
halari	h AA a AD l a AD ɾ i AD ʔ
halasan	h AA a AD l a AD s a AD n
haligi	h AA a AD l i AD ɡ i AD
halik	h AA a AD l i AD k
halimaw	h AA a AD l i AD m a AD u AF
hambalang	h AA a AD m b a AD l a AD ŋ
hamog	h AA a AD m o AF ɡ
hamon	h AA a AD m o AF n
hangal	h AA a AD ŋ a AD l
hangin	h AA a AD ŋ i AD n
hanginsigan	h AA a AD ŋ i AD n s i AD ɡ a AD n
hangintigilan	h AA a AD ŋ i AD n t i AD ɡ i AD l a AD n
hapdi	h AA a AD p d i AD ʔ
hapit	h AA a AD p i AD t
hapo	h AA a AD p o AF ʔ
hapones	h AA a AD p o AF n ɛ AD s
hapunan	h AA a AD p u AF n a AD n
harana	h AA a AD ɾ a AD n a AD
harang	h AA a AD ɾ a AD ŋ
harap	h AA a AD ɾ a AD p
hardin	h AA ɐ AF r d i AD n
hardinera	h AA ɐ AF r d ɪ AD n e AD r a AD
hardinero	h AA ɐ AF r d ɪ AD n e AD r o AF
hasik	h AA a AD s i AD k
hati	h AA a AD t i AD ʔ
hatinig	h AA a AD t i AD n i AD ɡ
hatol	h AA a AD t o AF l
hau	h AA a AD w AC
haw	h AA a AD w AC
hawa	h AA a AD w AC a AD
hawak	h AA a AD w AC a AD k
hawakan	h AA a AD w AC a AD k a AD n
hawla	h AA a AD u AF l a AD
hayag	h AA a AD j AB a AD ɡ
haynayan	h AA a AD j AB n a AD j AB a AD n
hayop	h AA a AD j AB o AF p
hene	h AA e AD n e AD
henetika	h AA e AD n e AD t i AD k ɐ AF
heng	h AA e AD ŋ
herradura	ʔ ɛ AD ɾ a AD d u AF ɾ a AD
hesusmaryosep	h AA ɛ AD s u AF s m a AD ɾ i AD ɔː AG s e AD p
hibi	h AA i AD b i AD
higanti	h AA i AD ɡ a AD n t i AD ʔ
higlikas	h AA i AD ɡ l i AD k a AD s
higliknayan	h AA i AD ɡ l i AD k n a AD j AB a AD n
higop	h AA i AD ɡ o AF p
higsipnayan	h AA i AD ɡ s i AD p n a AD j AB a AD n
higtao	h AA i AD ɡ t a AD ʔ ɔ AF
hikaw	h AA i AD k a AD w AC
hilab	h AA i AD l a AD b
hilaga	h AA i AD l a AD ɡ a AD ʔ
hilaw	h AA i AD l a AD u AF
hilera	h AA i AD l ɛ AD ɾ a AD
himagas	h AA i AD m a AD ɡ a AD s
himala	h AA i AD m a AD l a AD ʔ
himanting	h AA i AD m a AD n t i AD ŋ
himasok	h AA i AD m a AD s o AF k
himatayin	h AA i AD m a AD t a AD j AB i AD n
himbabahay	h AA i AD m b a AD b a AD h AA a AD j AB
hina	h AA i AD n a AD ʔ
hinagpis	h AA i AD n a AD ɡ p i AD s
hinala	h AA i AD n a AD l a AD ʔ
hindi	h AA ɛ AD n d ɛ AD
hinga	h AA i AD ŋ a AD
hinlalaki	h AA i AD n l a AD l a AD k i AD
hinog	h AA i AD n o AF ɡ
hintuturo	h AA i AD n t u AF t u AF ɾ o AF ʔ
hipolito	h AA i AD p o AF l i AD t o AF
hipon	h AA i AD p o AF n
hira	h AA i AD ɾ a AD ʔ
hirap	h AA i AD ɾ a AD p
hita	h AA i AD t a AD ʔ
hithit	h AA i AD t h AA i AD t
hito	h AA i AD t o AF ʔ
hitso	h AA i AD t s o AF
hitsura	h AA i AD t ʃ u AF ɾ a AD
hiwalay	h AA i AD w AC a AD l a AD i AD
hiya	h AA i AD j AB a AD ʔ
hiyaw	h AA i AD a AD u AF
hizon	h AA i AD s o AF n
ho	h AA ɔ AF
homiliya	h AA o AF m i AD l i AD a AD
hong	h AA o AF ŋ
hopya	h AA o AF p j AB a AD ʔ
hortaleza	h AA o AF ɾ t a AD l ɛ AD s a AD
hoy	h AA o AF j AB
huli	h AA u AF l i AD ʔ
hulog	h AA u AF l o AF ɡ
humadlang	h AA u AF m a AD d l a AD ŋ
humagulgol	h AA u AF m a AD ɡ u AF l ɡ o AF l
humalik	h AA u AF m a AD l i AD k
humanda	h AA u AF m a AD n d a AD ʔ
humandusay	h AA u AF m a AD n d u AF s a AD i AD
humiga	h AA u AF m i AD ɡ a AD ʔ
humingi	h AA u AF m i AD ŋ i AD ʔ
huminto	h AA u AF m i AD n t o AF ʔ
humiram	h AA u AF m i AD ɾ a AD m
humirap	h AA u AF m i AD r a AD p
hung	h AA u AF ŋ
huni	h AA u AF n i AD
huramentado	h AA u AF ɾ a AD m e AD n t a AD d o AF
huron	h AA u AF r o AF n
husga	h AA u AF s ɡ a AD
husgado	h AA u AF s ɡ a AD d o AF
husgahan	h AA u AF s ɡ a AD h AA a AD n
huwebes	h AA u AF w AC ɛ AD b e AD s
huweteng	h AA u AF ɛ AD t ɛ AD ŋ
huy	h AA u AF j AB
huyad	h AA u AF j AB a AD d
huyong	h AA u AF j AB o AF ŋ
hwan	h AA w AC ɐ AF n
ibagsak	i AD b a AD ɡ s a AD k
ibahaw	i AD b a AD h AA a AD w AC
ibalik	i AD b a AD l i AD k
ibasco	ʔ i AD b a AD s k o AF
ibay	ʔ i AD b a AD j AB
ibili	i AD b i AD l i AD
ibutod	i AD b u AF t o AF d
idalum	ʔ i AD d a AD l u AF m
igib	ʔ i AD ɡ i AD b
igkasin	ʔ i AD ɡ k a AD s i AD n
ignacio	ʔ i AD ɡ n a AD s j AB o AF
ignoransiya	ʔ i AD ɡ n o AF ɾ a AD n s j AB a AD
ignorante	ʔ i AD ɡ n o AF ɾ a AD n t ɛ AD
ihi	ʔ i AD h AA i AD ʔ
ikabilanggo	ʔ i AD k a AD b i AD l a AD ŋ ɡ o AF ʔ
ikagalit	ʔ i AD k a AD ɡ a AD l i AD t
ikaw	i AD k a AD w AC
ikmo	i AD k m o AF
ikuha	i AD k u AF h AA a AD
ilag	ʔ i AD l a AD ɡ
ilao	ʔ i AD l a AD u AF
iling	ʔ i AD l i AD ŋ
ilog	ʔ i AD l o AF ɡ
ilong	ʔ i AD l o AF ŋ
ilustre	ʔ i AD l u AF s t ɾ ɛ AD
imahen	ʔ i AD m a AD h AA ɛ AD n
imbentaryo	ʔ i AD m b ɛ AD n t a AD ɾ j AB o AF
imperial	ʔ i AD m p ɛ AD ɾ j AB a AD l
impluwensiya	ʔ i AD m p l u AF ɛ AD n s j AB a AD
importansiya	ʔ i AD m p o AF ɾ t a AD n s j AB a AD
importante	ʔ i AD m p o AF ɾ t a AD n t ɛ AD
ina	ʔ i AD n a AD
inahin	ʔ i AD n a AD h AA i AD n
infante	ʔ i AD n p a AD n t ɛ AD
ingay	ʔ i AD ŋ a AD i AD
inggit	ʔ i AD ŋ ɡ i AD t
inggitero	ʔ i AD ŋ ɡ i AD t ɛ AD ɾ o AF
inggles	i AD ŋ ɡ l ɛ AD s
inggo	ʔ i AD ŋ ɡ o AF ʔ
inglesero	i AD ŋ ɡ l ɛ AD s ɛː AE ɾ ɔ AF
ingrato	ʔ i AD ŋ ɡ ɾ a AD t o AF
inip	ʔ i AD n i AD p
init	ʔ i AD n i AD t
initan	ʔ i AD n i AD t a AD n
initbutod	ʔ i AD n i AD t b u AF t ɔ AF d
initdagitban	ʔ i AD n i AD t d a AD ɡ i AD t b a AD n
initkapnayan	ʔ i AD n i AD t k a AD p n a AD j AB a AD n
initsigan	ʔ i AD n i AD t s i AD ɡ a AD n
inosente	ʔ i AD n o AF s ɛ AD n t ɛ AD
insulto	ʔ i AD n s u AF l t o AF
interbiyu	ʔ i AD n t ɛ AD ɾ b i AD u AF
interes	ʔ i AD n t ɛ AD ɾ ɛ AD s
intindi	ʔ i AD n t i AD n d i AD
intsik	ʔ i AD n t ʃ i AD k
inumin	ʔ i AD n u AF m i AD n
inutil	ʔ i AD n u AF t i AD l
inyo	i AD n j AB o AF
ip	ɪ AD p
ipagbilin	ʔ i AD p a AD ɡ b i AD l i AD n
ipakausap	i AD p a AD k a AD u AF s a AD p
ipakuha	i AD p a AD k u AF h AA a AD
ipamigay	ʔ i AD p a AD m i AD ɡ a AD i AD
ipatapon	i AD p a AD t a AD p o AF n
ipis	ʔ i AD p i AD s
ipo	ʔ i AD p o AF
iprint	i AD p r i AD n t
irebisa	ʔ i AD ɾ ɛ AD b i AD s a AD
isa	ʔ i AD s a AD
isagani	ʔ i AD s a AD ɡ a AD n i AD
isangkot	ʔ i AD s a AD ŋ k o AF t
isauli	i AD s a AD u AF l i AD
iscan	i AD s k a AD n
iset	i AD s ɛ AD t
ishinare	ʔ i AD s h AA i AD n ɛ AD ɾ
isidro	ʔ i AD s i AD d ɾ o AF
isigan	i AD s i AD ɡ a AD n
isipin	ʔ i AD s i AD p i AD n
isisi	ʔ i AD s i AD s i AD
iskedyul	ʔ i AD s k ɛ AD d j AB u AF l
iskolar	ʔ i AD s k o AF l a AD ɾ
iskrip	ʔ i AD s k ɾ i AD p
isoli	i AD s o AF l i AD
istorya	ʔ i AD s t o AF ɾ j AB a AD
isuot	ʔ i AD s u AF ʔ ɔ AF t
itago	i AD t a AD ɡ o AF
itim	ɪ AD t i AD m
itlog	ʔ i AD t l o AF ɡ
itmo	i AD t m o AF
ito	ʔ i AD t o AF
ixerox	i AD s ɛ AD r o AF k s
iyan	j AB a AD n
iyo	i AD j AB o AF
iyon	j AB o AF n
jalandoni	d ʒ a AD l a AD n d o AF n i AD
jamisola	d ʒ a AD m i AD s o AF l a AD
jara	d ʒ a AD ɾ a AD
jaramillo	d ʒ a AD ɾ a AD m i AD l l o AF
jaranilla	d ʒ a AD ɾ a AD n i AD l l a AD
jologs	d ʒ o AF l o AF ɡ z
jontis	d ʒ ɔ AF n t i AD s
juan	h AA w AC ɐ AF n
juarez	d ʒ u AF a AD ɾ ɛ AD s
julalay	d ʒ u AF l a AD l a AD j AB
jumarang	d ʒ u AF m a AD ɾ a AD ŋ
juntilla	d ʒ u AF n t i AD l l a AD
jurado	d ʒ u AF ɾ a AD d o AF
jusi	d ʒ u AF s i AD
justiniano	d ʒ u AF s t i AD n i AD a AD n o AF
kaagulo	k a AD a AD ɡ u AF l ɔ AF ʔ
kaalit	k a AD ʔ a AD l i AD t
kaanak	k a AD ʔ a AD n a AD k
kaanib	k a AD ʔ a AD n i AD b
kababaihan	k a AD b a AD b a AD ʔ i AD h AA a AD n
kabaligtaran	k a AD b a AD l i AD ɡ t a AD ɾ a AD n
kabalintunaan	k a AD b a AD l i AD n t u AF n a AD ʔ a AD n
kabaong	k a AD b a AD o AF ŋ
kabarkada	k a AD b a AD r k a AD d a AD
kabasangal	k a AD b a AD s a AD ŋ a AD l
kabastusan	k a AD b a AD s t u AF s a AD n
kabayo	k a AD b a AD j AB o AF
kaberdehan	k a AD b ɛ AD ɾ d ɛ AD h AA a AD n
kabig	k a AD b i AD ɡ
kabiling	k a AD b i AD l i AD ŋ
kabuwanan	k a AD b u AF a AD n a AD n
kadena	k a AD d ɛ AD n a AD
kadugo	k a AD d u AF ɡ o AF ʔ
kadyos	k a AD d j AB o AF s
kadyot	k ɑ AD d ʑ ɔ AF t̚
kagalingan	k a AD ɡ a AD l i AD ŋ a AD n
kagaw	k a AD ɡ a AD u AF
kaha	k a AD h AA a AD
kahabagan	k a AD h AA a AD b a AD ɡ a AD n
kahandaan	k a AD h AA a AD n d a AD ʔ a AD n
kaharian	k a AD h AA a AD ɾ i AD a AD n
kahel	k ɐ AF h AA ɛ AD l
kahero	k a AD h AA ɛ AD ɾ o AF
kahihiyan	k a AD h AA i AD h AA i AD a AD n
kahoy	k a AD h AA o AF i AD
kaibigan	k a AD ʔ i AD b i AD ɡ a AD n
kailan	k ɛ AD l a AD n
kain	k a AD ʔ i AD n
kakainin	k a AD k a AD ʔ i AD n i AD n
kakaphay	k a AD k a AD p h AA a AD j AB
kakarampot	k a AD k a AD ɾ a AD m p o AF t
kakayahan	k a AD k ɐ AF y AF ɐ AF h AA a AD n
kakulangan	k a AD k u AF l a AD ŋ a AD n
kakulawas	k a AD k u AF l a AD w AC a AD s
kalaguyo	k a AD l a AD ɡ u AF j AB o AF ʔ
kalakpan	k a AD l a AD k p a AD n
kalaliman	k a AD l a AD l i AD m a AD n
kalan	k a AD l a AD n
kalansay	k a AD l a AD n s a AD j AB
kalantas	k a AD l a AD n t a AD s
kalaswaan	k a AD l a AD s w AC a AD ʔ a AD n
kalat	k a AD l a AD t
kalatas	k a AD l a AD t a AD s
kalatsutsi	k a AD l a AD t ʃ u AF t ʃ i AD ʔ
kalawang	k a AD l a AD w AC a AD ŋ
kalawangin	k a AD l a AD w AC a AD ŋ i AD n
kalayaan	k a AD l ɐ AF i AD ɪ AD a AD ʔ ɐ AF n
kalbaryo	k a AD l b a AD ɾ j AB o AF
kaldero	k a AD l d ɛ AD ɾ o AF
kalendaryo	k a AD l ɛ AD n d a AD ɾ j AB o AF
kalesa	k ɐ AF l ɛː AE s a AD
kalibre	k a AD l i AD b ɾ ɛ AD
kalibugan	k a AD l i AD b u AF ɡ a AD n
kalidad	k a AD l i AD d a AD d
kaligayahan	k a AD l i AD ɡ a AD j AB a AD h AA a AD n
kaligkig	k a AD l i AD ɡ k i AD ɡ
kalihim	k a AD l i AD h AA i AD m
kalima	k a AD l i AD m a AD
kalis	k a AD l i AD s
kaliskis	k a AD l i AD s k i AD s
kaliwanagan	k a AD l i AD w AC a AD n a AD ɡ a AD n
kaliwete	k a AD l i AD w AC ɛ AD t ɛ AD
kalso	k a AD l s o AF
kaluban	k ɐ AF l u AF b ɐ AF n
kalungsuran	k a AD l u AF ŋ s u AF ɾ a AD n
kaluwalhatian	k a AD l u AF l u AF a AD l h AA a AD t i AD ʔ a AD n
kalyo	k a AD l j AB o AF
kamanahan	k a AD m a AD n a AD h AA a AD n
kamandag	k a AD m a AD n d a AD ɡ
kamangmangan	k a AD m a AD ŋ m a AD ŋ a AD n
kamatayan	k a AD m a AD t a AD j AB a AD n
kambal	k a AD m b a AD l
kambyo	k a AD m b j AB o AF
kami	k a AD m ɪ AD
kamihasnan	k a AD m i AD h AA a AD s n a AD n
kampana	k a AD m p a AD n a AD ʔ
kampante	k a AD m p a AD n t ɛ AD
kampanya	k a AD m p a AD n j AB a AD
kampyon	k a AD m p j AB o AF n
kamukha	k a AD m u AF k h AA a AD ʔ
kamunduhan	k a AD m u AF n d u AF h AA a AD n
kandidato	k a AD n d i AD d a AD t o AF
kandila	k a AD n d i AD l a AD ʔ
kanduli	k a AD n d u AF l i AD ʔ
kang	k a AD ŋ
kangkungan	k a AD ŋ k u AF ŋ a AD n
kanina	k a AD n i AD n a AD
kanino	k a AD n i AD n o AF
kaniyugan	k a AD n j AB u AF ɡ a AD n
kanlong	k a AD n l o AF ŋ
kanlungan	k a AD n l u AF ŋ a AD n
kanselasyon	k a AD n s ɛ AD l a AD s j AB o AF n
kanser	k a AD n s ɛ AD ɾ
kanta	k a AD n t a AD
kantahin	k a AD n t a AD h AA i AD n
kantutin	k a AD n t u AF t i AD n
kanyon	k a AD ɲ o AF n
kaopisina	k a AD o AF p i AD s i AD n a AD
kapabayaan	k a AD p a AD b a AD j AB a AD a AD n
kapakanan	k a AD p a AD k a AD n ʔ a AD n
kapalit	k a AD p a AD l i AD t
kapanahunan	k a AD p a AD n a AD h AA u AF n a AD n
kapatawaran	k a AD p a AD t a AD w AC a AD ɾ a AD n
