'y	ɪ AD
falcon	p ɐ AF l k o AF n
faltado	p ɐ AF l t ɐ AF d o AF
fernandez	p ɛ AD ɾ n ɐ AF n d ɛ AD s
ferriols	p ɛ AD ɾ ɾ ɪ AD o AF l s
figueras	p ɪ AD ɰ AB ɛ AD ɾ ɐ AF s
figueroa	p ɪ AD ɰ AB ɛ AD ɾ o AF ɐ AF
fojas	p o AF d ʒ ɐ AF s
fonacier	p o AF n ɐ AF s ɪ AD ɛ AD ɾ
fontelera	p o AF n t ɛ AD l ɛ AD ɾ ɐ AF
fontillas	p o AF n t ɪ AD l l ɐ AF s
forteza	p o AF ɾ t ɛ AD s ɐ AF
fortich	p o AF ɾ t ɪ AD t ʃ
frias	p ɾ ɪ AD ɐ AF s
fronda	p ɾ o AF n d ɐ AF
fuentebella	p ʊ AF ɛ AD n t ɛ AD b ɛ AD l l ɐ AF
furagganan	p ʊ AF ɾ ɐ AF ɡ ɡ ɐ AF n ɐ AF n
gabi	ɡ ɐ AF b ɪ AD
gabiana	ɡ ɐ AF b ɪ AD ɐ AF n ɐ AF
gacula	ɡ ɐ AF x ʊ AF l ɐ AF
gacusan	ɡ ɐ AF x ʊ AF s ɐ AF n
gacutan	ɡ ɐ AF x ʊ AF t ɐ AF n
galamay	ɡ ɐ AF l ɐ AF m a AD ɪ̯ AG
galapong	ɡ ɐ AF l ɐ AF p o AF ŋ
galis	ɡ ɐ AF l i AD s
gallo	ɡ ɐ AF l l o AF
gan	ɡ ɐ AF n
ganap	ɡ ɐ AF n a AD p
gancayco	ɡ ɐ AF ŋ k a AD ɪ̯ AG x o AF
gansa	ɡ ɐ AF n s a AD
ganti	ɡ ɐ AF n t i AD
ganzon	ɡ ɐ AF n s o AF n
garalde	ɡ ɐ AF ɾ ɐ AF l d ɛ AD
garapata	ɡ ɐ AF ɾ ɐ AF p ɐ AF t ɐ AF
garay	ɡ ɐ AF ɾ a AD ɪ̯ AG
garces	ɡ ɐ AF ɾ s ɛ AD s
garchitorena	ɡ ɐ AF ɾ t ʃ ɪ AD t o AF ɾ ɛ AD n ɐ AF
garciano	ɡ ɐ AF ɾ s ɪ AD ɐ AF n o AF
gascon	ɡ ɐ AF s k o AF n
gaslaw	ɡ ɐ AF s l a AD ʊ̯ AH
gasolinahan	ɡ ɐ AF s o AF l ɪ AD n ɐ AF h AA a AD n
gaspang	ɡ ɐ AF s p a AD ŋ
gaston	ɡ ɐ AF s t o AF n
gatbonton	ɡ ɐ AF t b o AF n t o AF n
gatchalian	ɡ ɐ AF t t ʃ ɐ AF l j AB ɐ AF n
gayuma	ɡ ɐ AF j AB u AF m ɐ AF
gerilya	ɡ ɛ AD ɾ ɪ AD l j AB ɐ AF
gerodias	d ʒ ɛ AD ɾ o AF d ʒ ɐ AF s
geronimo	h AA ɛ AD ɾ o AF n ɪ AD m o AF
gilagid	ɡ ɪ AD l a AD ɰ AB ɪ AD d
ginhawa	ɡ ɪ AD ŋ h AA a AD w AC ɐ AF
ginto	ɡ ɪ AD n t o AF ʔ
giron	h AA ɪ AD ɾ o AF n
gisa	ɡ ɪ AD s a AD
gitna	ɡ ɪ AD t n a AD ʔ
godoy	ɡ o AF d o AF ɪ̯ AG
gradweyt	ɡ ɾ a AD d w AC ɛ AD ɪ̯ AG t
grasa	ɡ ɾ ɐ AF s ɐ AF
grasya	ɡ ɾ a AD ʃ ɐ AF
grumadweyt	ɡ ɾ ʊ AF m a AD d w AC ɛ AD ɪ̯ AG t
guanzon	ɡ ʊ AF ɐ AF n s o AF n
gubat	ɡ ʊ AF b ɐ AF t
guerra	ɡ ɛ AD ɾ ɐ AF
gulpi	ɡ ʊ AF l p i AD
gumapac	ɡ ʊ AF m ɐ AF p ɐ AF k
gumiran	ɡ ʊ AF m ɪ AD ɾ ɐ AF n
guwantes	ɡ w AC ɐ AF n t ɛ AD s
guwardiya	ɡ w AC a AD ɾ d ʒ ɐ AF
habagat	h AA ɐ AF b a AD ɰ AB ɐ AF t
hagod	h AA a AD ɰ AB o AF d
hagok	h AA a AD ɰ AB o AF k
hagulgol	h AA ɐ AF ɰ AB ʊ AF l ɡ o AF l
hagulhol	h AA ɐ AF ɰ AB ʊ AF l h AA o AF l
hagupit	h AA ɐ AF ɰ AB ʊ AF p i AD t
halabos	h AA ɐ AF l ɐ AF b o AF s
halaga	h AA ɐ AF l ɐ AF ɰ AB a AD
halasan	h AA ɐ AF l ɐ AF s ɐ AF n
haligi	h AA ɐ AF l i AD ɰ AB ɪ AD
halik	h AA ɐ AF l i AD k
halimaw	h AA ɐ AF l ɪ AD m a AD ʊ̯ AH
hambalang	h AA ɐ AF m b a AD l ɐ AF ŋ
hamog	h AA ɐ AF m o AF ɡ
hangal	h AA ɐ AF ŋ a AD l
hapdi	h AA ɐ AF p d i AD ʔ
hapit	h AA ɐ AF p ɪ AD t
hapo	h AA ɐ AF p o AF ʔ
hapones	h AA ɐ AF p o AF n ɛ AD s
hapunan	h AA ɐ AF p ʊ AF n ɐ AF n
harana	h AA ɐ AF ɾ ɐ AF n ɐ AF
harang	h AA a AD ɾ ɐ AF ŋ
harap	h AA ɐ AF ɾ a AD p
hasik	h AA ɐ AF s i AD k
hawa	h AA ɐ AF w AC ɐ AF
hawla	h AA a AD ʊ̯ AH l ɐ AF
hayag	h AA ɐ AF j AB ɐ AF ɡ
herradura	ʔ ɛ AD ɾ ɐ AF d ʊ AF ɾ ɐ AF
higop	h AA ɪ AD ɰ AB o AF p
hilab	h AA i AD l ɐ AF b
hilaw	h AA ɪ AD l a AD ʊ̯ AH
hilera	h AA ɪ AD l ɛ AD ɾ ɐ AF
himala	h AA ɪ AD m ɐ AF l a AD ʔ
himasok	h AA ɪ AD m a AD s o AF k
himatayin	h AA ɪ AD m ɐ AF t ɐ AF j AB i AD n
hina	h AA i AD n ɐ AF ʔ
hinagpis	h AA ɪ AD n ɐ AF ɡ p i AD s
hinala	h AA ɪ AD n a AD l ɐ AF ʔ
hinga	h AA ɪ AD ŋ a AD
hinlalaki	h AA ɪ AD n l ɐ AF l ɐ AF x i AD
hinog	h AA ɪ AD n o AF ɡ
hintuturo	h AA ɪ AD n t ʊ AF t ʊ AF ɾ o AF ʔ
hipolito	h AA ɪ AD p o AF l ɪ AD t o AF
hipon	h AA ɪ AD p o AF n
hira	ç i AD r a AD ʔ
hirap	h AA ɪ AD ɾ a AD p
hithit	h AA ɪ AD t h AA i AD t
hitsura	h AA ɪ AD t ʃ u AF ɾ ɐ AF
hiwalay	h AA ɪ AD w AC ɐ AF l a AD ɪ̯ AG
hiya	h AA ɪ AD a AD ʔ
hiyaw	h AA ɪ AD a AD ʊ̯ AH
hizon	h AA ɪ AD s o AF n
homiliya	h AA o AF m ɪ AD l ɪ AD ɐ AF
hortaleza	h AA o AF ɾ t ɐ AF l ɛ AD s ɐ AF
hulog	h AA ʊ AF l o AF ɡ
humagulgol	h AA ʊ AF m ɐ AF ɰ AB ʊ AF l ɡ o AF l
humandusay	h AA ʊ AF m ɐ AF n d u AF s a AD ɪ̯ AG
huni	h AA u AF n ɪ AD
husga	h AA ʊ AF s ɡ a AD
husgado	h AA ʊ AF s ɡ ɐ AF d o AF
husgahan	h AA ʊ AF s ɡ ɐ AF h AA a AD n
huweteng	h AA ʊ AF ɛ AD t ɛ AD ŋ
ibasco	ʔ ɪ AD b ɐ AF s k o AF
igib	ʔ ɪ AD ɰ AB i AD b
ignacio	ʔ ɪ AD ɡ n ɐ AF ʃ o AF
ignoransiya	ʔ ɪ AD ɡ n o AF ɾ a AD n ʃ ɐ AF
ignorante	ʔ ɪ AD ɡ n o AF ɾ a AD n t ɛ AD
ilag	ʔ i AD l ɐ AF ɡ
ilao	ʔ ɪ AD l a AD ʊ̯ AH
iling	ʔ ɪ AD l i AD ŋ
ilog	ʔ ɪ AD l o AF ɡ
ilong	ʔ ɪ AD l o AF ŋ
ilustre	ʔ ɪ AD l ʊ AF s t ɾ ɛ AD
imahen	ʔ ɪ AD m a AD h AA ɛ AD n
imbentaryo	ʔ ɪ AD m b ɛ AD n t ɐ AF ɾ j AB o AF
imperial	ʔ ɪ AD m p ɛ AD ɾ j AB ɐ AF l
impluwensiya	ʔ ɪ AD m p l ʊ AF ɛ AD n s ɪ AD ɐ AF
importansiya	ʔ ɪ AD m p o AF ɾ t a AD n ʃ ɐ AF
importante	ʔ ɪ AD m p o AF ɾ t a AD n t ɛ AD
ina	ʔ ɪ AD n a AD
inahin	ʔ ɪ AD n ɐ AF h AA i AD n
infante	ʔ ɪ AD n p ɐ AF n t ɛ AD
ingay	ʔ ɪ AD ŋ a AD ɪ̯ AG
inggit	ʔ ɪ AD ŋ ɡ i AD t
inggitero	ʔ ɪ AD ŋ ɡ ɪ AD t ɛ AD ɾ o AF
inggo	ʔ ɪ AD ŋ ɡ o AF ʔ
ingrato	ʔ ɪ AD ŋ ɡ ɾ ɐ AF t o AF
inip	ʔ ɪ AD n i AD p
inosente	ʔ ɪ AD n o AF s ɛ AD n t ɛ AD
insulto	ʔ ɪ AD n s ʊ AF l t o AF
interbiyu	ʔ ɪ AD n t ɛ AD ɾ b ɪ AD ʊ̯ AH
interes	ʔ ɪ AD n t ɛ AD ɾ ɛ AD s
intsik	ʔ ɪ AD n t ʃ i AD k
inumin	ʔ ɪ AD n ʊ AF m ɪ AD n
inutil	ʔ ɪ AD n u AF t ɪ AD l
ipagbilin	ʔ ɪ AD p ɐ AF ɡ b ɪ AD l ɪ AD n
ipamigay	ʔ ɪ AD p ɐ AF m ɪ AD ɰ AB a AD ɪ̯ AG
ipis	ʔ i AD p ɪ AD s
irebisa	ʔ ɪ AD ɾ ɛ AD b ɪ AD s a AD
isa	ʔ ɪ AD s a AD
isagani	ʔ ɪ AD s ɐ AF ɰ AB ɐ AF n ɪ AD
isangkot	ʔ ɪ AD s ɐ AF ŋ k o AF t
ishinare	ʔ ɪ AD s h AA ɪ AD n ɛ AD ɾ
isidro	ʔ ɪ AD s ɪ AD d ɾ o AF
isisi	ʔ ɪ AD s ɪ AD s ɪ AD
iskedyul	ʔ ɪ AD s k ɛ AD d ʒ ʊ AF l
iskolar	ʔ ɪ AD s k o AF l ɐ AF ɾ
iskrip	ʔ ɪ AD s k ɾ i AD p
istorya	ʔ ɪ AD s t o AF ɾ j AB ɐ AF
itlog	ʔ ɪ AD t l o AF ɡ
ito	ʔ ɪ AD t o AF
jalandoni	d ʒ ɐ AF l ɐ AF n d o AF n ɪ AD
jamisola	d ʒ ɐ AF m ɪ AD s o AF l ɐ AF
jara	d ʒ ɐ AF ɾ ɐ AF
jaramillo	d ʒ ɐ AF ɾ ɐ AF m ɪ AD l l o AF
jaranilla	d ʒ ɐ AF ɾ ɐ AF n ɪ AD l l ɐ AF
juarez	d ʒ ʊ AF ɐ AF ɾ ɛ AD s
jumarang	d ʒ ʊ AF m ɐ AF ɾ ɐ AF ŋ
juntilla	d ʒ ʊ AF n t ɪ AD l l ɐ AF
jurado	d ʒ ʊ AF ɾ ɐ AF d o AF
jusi	d ʒ ʊ AF s ɪ AD
justiniano	d ʒ ʊ AF s t ɪ AD n ɪ AD ɐ AF n o AF
kababaihan	k x ɐ AF b ɐ AF b ɐ AF ʔ ɪ AD h AA ɐ AF n
kabaligtaran	k x ɐ AF b ɐ AF l ɪ AD ɡ t ɐ AF ɾ a AD n
kabaong	k x ɐ AF b a AD o AF ŋ
kabastusan	k x ɐ AF b ɐ AF s t ʊ AF s a AD n
kabayo	k x ɐ AF b ɐ AF j AB o AF
kaberdehan	k x ɐ AF b ɛ AD ɾ d ɛ AD h AA a AD n
kabig	k x a AD b ɪ AD ɡ
kabiling	k x ɐ AF b ɪ AD l ɪ AD ŋ
kabuwanan	k x ɐ AF b w AC ɐ AF n ɐ AF n
kadena	k x ɐ AF d ɛ AD n ɐ AF
kadugo	k x ɐ AF d ʊ AF ɰ AB o AF ʔ
kadyos	k x ɐ AF d ʒ o AF s
kagalingan	k x ɐ AF ɰ AB ɐ AF l ɪ AD ŋ ɐ AF n
kagaw	k x ɐ AF ɰ AB a AD ʊ̯ AH
kaha	k x ɐ AF h AA ɐ AF
kahabagan	k x ɐ AF h AA ɐ AF b ɐ AF ɰ AB a AD n
kahandaan	k x ɐ AF h AA ɐ AF n d ɐ AF ʔ a AD n
kahero	k x ɐ AF h AA ɛ AD ɾ o AF
kahihiyan	k x a AD h AA ɪ AD h AA ɪ AD a AD n
kahoy	k x a AD h AA o AF ɪ̯ AG
kaibigan	k x a AD ɪ̯ AG b ɪ AD ɰ AB a AD n
kakarampot	k x ɐ AF x ɐ AF ɾ ɐ AF m p o AF t
kakulangan	k x ɐ AF x ʊ AF l ɐ AF ŋ a AD n
kalaguyo	k x ɐ AF l ɐ AF ɰ AB u AF j AB o AF ʔ
kalaliman	k x ɐ AF l ɐ AF l ɪ AD m ɐ AF n
kalan	k x ɐ AF l a AD n
kalantas	k x ɐ AF l ɐ AF n t a AD s
kalaswaan	k x ɐ AF l ɐ AF s w AC ɐ AF ʔ a AD n
kalatas	k x ɐ AF l ɐ AF t a AD s
kalatsutsi	k x ɐ AF l ɐ AF t ʃ u AF t ʃ ɪ AD ʔ
kalawang	k x ɐ AF l a AD w AC ɐ AF ŋ
kalawangin	k x ɐ AF l ɐ AF w AC ɐ AF ŋ ɪ AD n
kalbaryo	k x ɐ AF l b a AD ɾ j AB o AF
kaldero	k x ɐ AF l d ɛ AD ɾ o AF
kalendaryo	k x ɐ AF l ɛ AD n d a AD ɾ j AB o AF
kalibre	k x ɐ AF l ɪ AD b ɾ ɛ AD
kalibugan	k x ɐ AF l ɪ AD b ʊ AF ɰ AB ɐ AF n
kalidad	k x ɐ AF l ɪ AD d a AD d
kaligayahan	k x ɐ AF l ɪ AD ɰ AB ɐ AF j AB ɐ AF h AA ɐ AF n
kaligkig	k x ɐ AF l ɪ AD ɡ k i AD ɡ
kalis	k x a AD l ɪ AD s
kaliskis	k x ɐ AF l ɪ AD s k ɪ AD s
kaliwanagan	k x ɐ AF l ɪ AD w AC ɐ AF n ɐ AF ɰ AB ɐ AF n
kaliwete	k x ɐ AF l ɪ AD w AC ɛ AD t ɛ AD
kalso	k x ɐ AF l s o AF
kalungsuran	k x ɐ AF l ʊ AF ŋ s ʊ AF ɾ a AD n
kaluwalhatian	k x ɐ AF l ʊ AF l ʊ AF ɐ AF l h AA ɐ AF t i AD ʔ ɐ AF n
kalyo	k x ɐ AF l j AB o AF
kamandag	k x ɐ AF m ɐ AF n d a AD ɡ
kamangmangan	k x ɐ AF m ɐ AF ŋ m ɐ AF ŋ a AD n
kamatayan	k x ɐ AF m ɐ AF t ɐ AF j AB ɐ AF n
kambal	k x ɐ AF m b ɐ AF l
kambyo	k x ɐ AF m b j AB o AF
kampana	k x ɐ AF m p a AD n ɐ AF ʔ
kampante	k x ɐ AF m p a AD n t ɛ AD
kampanya	k x ɐ AF m p ɐ AF ɲ a AD
kamukha	k x ɐ AF m ʊ AF k h AA a AD ʔ
kamunduhan	k x ɐ AF m ʊ AF n d ʊ AF h AA a AD n
kandidato	k x ɐ AF n d ɪ AD d a AD t o AF
kandila	k x ɐ AF n d i AD l ɐ AF ʔ
kanduli	k x ɐ AF n d u AF l ɪ AD ʔ
kangkungan	k x ɐ AF ŋ k ʊ AF ŋ ɐ AF n
kanina	k x ɐ AF n i AD n ɐ AF
kanino	k x ɐ AF n ɪ AD n o AF
kaniyugan	k x ɐ AF ɲ ʊ AF ɰ AB ɐ AF n
kanlong	k x ɐ AF n l o AF ŋ
kanlungan	k x ɐ AF n l ʊ AF ŋ ɐ AF n
kanselasyon	k x ɐ AF n s ɛ AD l ɐ AF ʃ o AF n
kanser	k x a AD n s ɛ AD ɾ
kanta	k x ɐ AF n t a AD
kantahin	k x ɐ AF n t ɐ AF h AA i AD n
kaopisina	k x ɐ AF o AF p ɪ AD s ɪ AD n ɐ AF
kapabayaan	k x ɐ AF p ɐ AF b ɐ AF j AB ɐ AF a AD n
kapakanan	k x ɐ AF p ɐ AF x ɐ AF n ʔ a AD n
kapalit	k x ɐ AF p ɐ AF l i AD t
kapanahunan	k x ɐ AF p ɐ AF n ɐ AF h AA ʊ AF n ɐ AF n
kapatawaran	k x ɐ AF p ɐ AF t ɐ AF w AC ɐ AF ɾ a AD n
kapiraso	k x ɐ AF p ɪ AD ɾ ɐ AF s o AF
kapitan	k x ɐ AF p ɪ AD t ɐ AF n
kaplastikan	k x ɐ AF p l ɐ AF s t ɪ AD x a AD n
kapon	k x ɐ AF p o AF n
kapre	k x ɐ AF p ɾ ɛ AD
kaputsino	k x ɐ AF p ʊ AF t ʃ ɪ AD n o AF
karakter	k x ɐ AF ɾ a AD k t ɛ AD ɾ
karambola	k x ɐ AF ɾ ɐ AF m b o AF l ɐ AF
karamihan	k x ɐ AF ɾ ɐ AF m ɪ AD h AA ɐ AF n
karampatan	k x ɐ AF ɾ ɐ AF m p a AD t ɐ AF n
karayom	k x ɐ AF ɾ ɐ AF j AB o AF m
karbon	k x ɐ AF ɾ b o AF n
karerahan	k x a AD ɾ ɛ AD ɾ ɐ AF h AA a AD n
karibal	k x ɐ AF ɾ ɪ AD b a AD l
karitela	k x ɐ AF ɾ ɪ AD t ɛ AD l ɐ AF
kariton	k x ɐ AF ɾ ɪ AD t o AF n
karo	k x a AD ɾ o AF
karpintero	k x ɐ AF ɾ p ɪ AD n t ɛ AD ɾ o AF
karton	k x ɐ AF ɾ t o AF n
karunungan	k x ɐ AF ɾ ʊ AF n ʊ AF ŋ ɐ AF n
karupukan	k x ɐ AF ɾ ʊ AF p ʊ AF x a AD n
karuwagan	k x ɐ AF ɾ ʊ AF ɐ AF ɰ AB a AD n
kasalanan	k x ɐ AF s ɐ AF l a AD n ɐ AF n
kasambahay	k x ɐ AF s ɐ AF m b ɐ AF h AA a AD ɪ̯ AG
kasera	k x ɐ AF s ɛ AD ɾ ɐ AF
kasero	k x ɐ AF s ɛ AD ɾ o AF
kaserola	k x ɐ AF s ɛ AD ɾ o AF l ɐ AF
kasiguraduhan	k x ɐ AF s ɪ AD ɰ AB ʊ AF ɾ ɐ AF d ʊ AF h AA ɐ AF n
kasintahan	k x ɐ AF s ɪ AD n t ɐ AF h AA ɐ AF n
kasinungalingan	k x ɐ AF s ɪ AD n ʊ AF ŋ ɐ AF l i AD ŋ ɐ AF n
kasoy	k x ɐ AF s o AF ɪ̯ AG
kastigo	k x ɐ AF s t ɪ AD ɰ AB o AF
kastiguhin	k x ɐ AF s t ɪ AD ɰ AB ʊ AF h AA ɪ AD n
kasubha	k x ɐ AF s u AF b h AA a AD ʔ
kataga	k x ɐ AF t ɐ AF ɰ AB a AD ʔ
katagalugan	k x ɐ AF t ɐ AF ɰ AB ɐ AF l ʊ AF ɰ AB ɐ AF n
katakawan	k x ɐ AF t ɐ AF x ɐ AF w AC ɐ AF n
katang	k x ɐ AF t a AD ŋ
katangahan	k x ɐ AF t ɐ AF ŋ ɐ AF h AA a AD n
katarata	k x ɐ AF t ɐ AF ɾ ɐ AF t ɐ AF
katawan	k x ɐ AF t ɐ AF w AC a AD n
katedral	k x ɐ AF t ɛ AD d ɾ ɐ AF l
katigbak	k x ɐ AF t ɪ AD ɡ b ɐ AF k
katiwalian	k x ɐ AF t ɪ AD w AC ɐ AF l ɪ AD a AD n
kato	k x ɐ AF t o AF ʔ
katolisismo	k x ɐ AF t o AF l ɪ AD s ɪ AD s m o AF
katungkulan	k x ɐ AF t ʊ AF ŋ k ʊ AF l ɐ AF n
katuwang	k x ɐ AF t w AC a AD ŋ
kawad	k x a AD w AC ɐ AF d
kay	k x a AD ɪ̯ AG
kendi	k x ɛ AD n d ɪ AD
ketongin	k x ɛ AD t o AF ŋ ɪ AD n
kiamzon	k x ɪ AD ɐ AF m s o AF n
kikil	k x i AD x ɪ AD l
kilikili	k x ɪ AD l ɪ AD x ɪ AD l ɪ AD
kilo	k x ɪ AD l o AF ʔ
king	k x ɪ AD ŋ
kintsay	k x ɪ AD n t ʃ a AD ɪ̯ AG
kita	k ɪ AD t a AD
kitikiti	k x ɪ AD t ɪ AD x ɪ AD t i AD
klima	k x l i AD m ɐ AF
klinika	k x l i AD n ɪ AD x ɐ AF
kolera	k x o AF l ɛ AD ɾ ɐ AF
kombinasyon	k x u AF m b ɪ AD n ɐ AF ʃ o AF n
komedya	k x o AF m ɛ AD d ʒ ɐ AF
komento	k x o AF m ɛ AD n t o AF
kometa	k x o AF m ɛ AD t ɐ AF
kompleto	k x u AF m p l ɛ AD t o AF
komplikasyon	k x u AF m p l ɪ AD x ɐ AF ʃ o AF n
komunidad	k x o AF m ʊ AF n ɪ AD d a AD d
kondenahin	k x o AF n d ɛ AD n ɐ AF h AA i AD n
kondisyon	k x o AF n d ɪ AD ʃ o AF n
konstitusyon	k x o AF n s t ɪ AD t ʊ AF ʃ o AF n
konsumisyon	k x o AF n s ʊ AF m ɪ AD ʃ o AF n
kontak	k x o AF n t ɐ AF k
kontakin	k x o AF n t ɐ AF x ɪ AD n
kontrobersiya	k x o AF n t ɾ o AF b ɛ AD ɾ ʃ ɐ AF
koral	k x o AF ɾ a AD l
korona	k x o AF ɾ o AF n ɐ AF
koronahan	k x o AF ɾ o AF n a AD h AA ɐ AF n
kotse	k x o AF t ʃ ɛ AD
krimen	k x ɾ ɪ AD m ɛ AD n
kriminal	k x ɾ ɪ AD m ɪ AD n a AD l
kritiko	k x ɾ i AD t ɪ AD x o AF
kroni	k x ɾ o AF n ɪ AD
kroniyismo	k x ɾ o AF n ɪ AD j AB ɪ AD s m o AF
kuba	k x u AF b ɐ AF ʔ
kubeta	k x ʊ AF b ɛ AD t ɐ AF
kubo	k x ʊ AF b o AF
kudkurin	k x ʊ AF d k ʊ AF ɾ i AD n
kuha	k x ʊ AF h AA ɐ AF
kulambo	k x ʊ AF l ɐ AF m b o AF ʔ
kulangi	k x ʊ AF l ɐ AF ŋ ɪ AD ʔ
kulangot	k x ʊ AF l a AD ŋ o AF t
kulimlim	k x ʊ AF l ɪ AD m l i AD m
kulugo	k x ʊ AF l ʊ AF ɰ AB o AF
kumabig	k x ʊ AF m a AD b ɪ AD ɡ
kumanta	k x ʊ AF m ɐ AF n t a AD
kumbensiyon	k x u AF m b ɛ AD n ʃ o AF n
kumbento	k x u AF m b ɛ AD n t o AF
kumbulsiyon	k x u AF m b ʊ AF l ʃ o AF n
kumpas	k x u AF m p a AD s
kumpederasyon	k x u AF m p ɛ AD d ɛ AD ɾ ɐ AF ʃ o AF n
kumpisal	k x u AF m p ɪ AD s a AD l
kumunoy	k x ʊ AF m ʊ AF n o AF ɪ̯ AG
kumupas	k x ʊ AF m ʊ AF p ɐ AF s
kumuyakoy	k x ʊ AF m ʊ AF j AB a AD x o AF ɪ̯ AG
kunan	k x ʊ AF n ɐ AF n
kupas	k x ʊ AF p a AD s
kurba	k x ʊ AF ɾ b a AD
kurbata	k x ʊ AF ɾ b ɐ AF t ɐ AF
kurot	k x ʊ AF ɾ o AF t
kursonada	k x ʊ AF ɾ s o AF n ɐ AF d ɐ AF
kurtina	k x ʊ AF ɾ t ɪ AD n ɐ AF
kusina	k x ʊ AF s ɪ AD n ɐ AF
kustodiya	k x ʊ AF s t o AF d ɪ AD ɐ AF
kuting	k x ʊ AF t i AD ŋ
kutis	k x u AF t ɪ AD s
kuto	k x ʊ AF t o AF ʔ
kutsara	k x ʊ AF t ʃ ɐ AF ɾ ɐ AF
kutson	k x ʊ AF t ʃ o AF n
kutya	k x ʊ AF t ʃ a AD ʔ
kuwan	k w AC a AD n
laba	l ɐ AF b a AD
labada	l ɐ AF b ɐ AF d ɐ AF
labag	l ɐ AF b a AD ɡ
labastida	l ɐ AF b ɐ AF s t ɪ AD d ɐ AF
labhan	l ɐ AF b h AA a AD n
labnot	l ɐ AF b n o AF t
labong	l ɐ AF b o AF ŋ
lacambra	l ɐ AF x ɐ AF m b ɾ ɐ AF
lacap	l ɐ AF x ɐ AF p
laganap	l ɐ AF ɰ AB ɐ AF n ɐ AF p
lagay	l ɐ AF ɰ AB a AD ɪ̯ AG
lagdameo	l ɐ AF ɡ d ɐ AF m ɛ AD o AF
lagmay	l ɐ AF ɡ m a AD ɪ̯ AG
lagundi	l ɐ AF ɰ AB ʊ AF n d i AD
laitin	l a AD ɪ̯ AG t ɪ AD n
lampara	l a AD m p ɐ AF ɾ ɐ AF
lampin	l ɐ AF m p i AD n
lana	l a AD n ɐ AF
landrito	l ɐ AF n d ɾ ɪ AD t o AF
langkaan	l ɐ AF ŋ k ɐ AF ʔ ɐ AF n
lanting	l ɐ AF n t ɪ AD ŋ
lantsa	l a AD n t ʃ ɐ AF
lanuza	l ɐ AF n ʊ AF s ɐ AF
lapis	l a AD p ɪ AD s
lapnos	l ɐ AF p n o AF s
lapuz	l ɐ AF p ʊ AF s
laquindanum	l ɐ AF x ɪ AD n d ɐ AF n ʊ AF m
larawan	l ɐ AF ɾ a AD w AC ɐ AF n
lascano	l ɐ AF s k ɐ AF n o AF
laspag	l ɐ AF s p a AD ɡ
lastiko	l a AD s t ɪ AD x o AF
laswa	l ɐ AF s w AC a AD ʔ
latayan	l ɐ AF t ɐ AF j AB ɐ AF n
lawa	l a AD w AC ɐ AF ʔ
lawaan	l ɐ AF w AC a AD ʔ ɐ AF n
laway	l a AD w AC a AD ɪ̯ AG
lawlaw	l a AD ʊ̯ AH l a AD ʊ̯ AH
laxamana	l ɐ AF k s ɐ AF m ɐ AF n ɐ AF
layag	l a AD j AB ɐ AF ɡ
layas	l ɐ AF j AB a AD s
laygo	l a AD ɪ̯ AG ɰ AB o AF
laylayan	l a AD ɪ̯ AG l a AD j AB ɐ AF n
laylo	l a AD ɪ̯ AG l o AF
layno	l a AD ɪ̯ AG n o AF
lazarte	l ɐ AF s ɐ AF ɾ t ɛ AD
lazatin	l ɐ AF s ɐ AF t ɪ AD n
lehitimo	l ɛ AD h AA i AD t ɪ AD m o AF
leynes	l ɛ AD ɪ̯ AG n ɛ AD s
libak	l ɪ AD b a AD k
libradilla	l ɪ AD b ɾ ɐ AF d ɪ AD l l ɐ AF
libre	l ɪ AD b ɾ ɛ AD
lichauco	l ɪ AD t ʃ a AD ʊ̯ AH x o AF
licup	l ɪ AD x ʊ AF p
ligpit	l ɪ AD ɡ p i AD t
liha	l ɪ AD h AA ɐ AF
lihim	l i AD h AA ɪ AD m
liko	l ɪ AD x o AF ʔ
limahid	l ɪ AD m a AD h AA ɪ AD d
limbaga	l ɪ AD m b ɐ AF ɰ AB ɐ AF
limjoco	l ɪ AD m d ʒ o AF x o AF
limos	l ɪ AD m o AF s
linatoc	l ɪ AD n ɐ AF t o AF k
lingad	l ɪ AD ŋ ɐ AF d
linggo	l ɪ AD ŋ ɡ o AF
lingon	l ɪ AD ŋ o AF n
linta	l ɪ AD n t a AD ʔ
liquigan	l ɪ AD x ɪ AD ɰ AB ɐ AF n
lising	l ɪ AD s ɪ AD ŋ
lislis	l ɪ AD s l i AD s
literasiya	l ɪ AD t ɛ AD ɾ ɐ AF s ɪ AD ɐ AF
litrato	l ɪ AD t ɾ ɐ AF t o AF
liwag	l ɪ AD w AC ɐ AF ɡ
lizada	l ɪ AD s ɐ AF d ɐ AF
llanera	l l ɐ AF n ɛ AD ɾ ɐ AF
llanto	l l ɐ AF n t o AF
lobo	l o AF b o AF
logarta	l o AF ɰ AB ɐ AF ɾ t ɐ AF
loko	l o AF x o AF
lola	l o AF l ɐ AF
lomibao	l o AF m ɪ AD b a AD ʊ̯ AH
lona	l o AF n ɐ AF
longhitud	l o AF ŋ h AA ɪ AD t ʊ AF d
lorenzana	l o AF ɾ ɛ AD n s ɐ AF n ɐ AF
loterya	l o AF t ɛ AD ɾ j AB ɐ AF
lozada	l o AF s ɐ AF d ɐ AF
