ँ	ə̃ AN
गैलन	ɡ AB ɛː AJ l̪ AD ə̃ AN n̪ AF
गैस	ɡ AB ɛː AJ s̪ AB
गॉर्डन	ɡ AB ɔ AK ɾ BA ɖ AB ə̃ AN n̪ AF
गोंद	ɡ AB õː n̪ AF d̪ AB
गोड़ना	ɡ AB oː AK ɽ BA n̪ AF äː
गोधूम	ɡ AB oː AK d̪ʱ AC ũː m AE
गोपनीयता	ɡ AB oː AK p AG n̪ AF iː AJ j AA t̪ AB äː
गोबरैला	ɡ AB oː AK b AG ɾ BA ɛː AJ l̪ AD äː
गोरक्षा	ɡ AB oː AK ɾ BA ə AJ k AB ʃ AB äː
गोरखा	ɡ AB oː AK ɾ BA kʰ AC äː
गोरिल्ला	ɡ AB oː AK ɾ BA ɪ AJ l̪ AD äː
गोल	ɡ AB oː AK l̪ AD
गोलंदाज़	ɡ AB oː AK l̪ AD ə̃ AN n̪ AF d̪ AB äː z AB
गोलगप्पा	ɡ AB oː AK l̪ AD ɡ AB ə AJ p̚ p AG äː
गोलबंदी	ɡ AB oː AK l̪ AD b AG ə̃ AN n̪ AF d̪ AB iː AJ
गोलमाल	ɡ AB oː AK l̪ AD m AE äː l̪ AD
गोला	ɡ AB oː AK l̪ AD äː
गोली	ɡ AB oː AK l̪ AD iː AJ
गोलीबारी	ɡ AB oː AK l̪ AD iː AJ b AG äː ɾ BA iː AJ
गोवा	ɡ AB oː AK ʋ AI äː
गोष्ठी	ɡ AB oː AK ʃ AB ʈʰ AC iː AJ
गौरवशाली	ɡ AB ɔː AK ɾ BA ə AJ ʋ AI ʃ AB äː l̪ AD iː AJ
गौरवान्वित	ɡ AB ɔː AK ɾ BA ə AJ ʋ AI ä̃ː n̪ AF w AI ɪ AJ t̪ AB
गौरैया	ɡ AB ɔː AK ɾ BA ə̯ AA i AJ j AA äː
गौशाला	ɡ AB ɔː AK ʃ AB äː l̪ AD äː
ग्यारह	ɡ AB j AA äː ɾ BA ɛː AJ
ग्रंथकार	ɡ AB ɾ BA ə̃ AN n̪ AF t̪ʰ AC k AB äː ɾ BA
ग्रंथालय	ɡ AB ɾ BA ə̃ AN n̪ AF t̪ʰ AC äː l̪ AD ɛː AJ
ग्रथन	ɡ AB ɾ BA ə AJ t̪ʰ AC ə̃ AN n̪ AF
ग्राम	ɡ AB ɾ BA ä̃ː m AE
ग्रामचर्या	ɡ AB ɾ BA ä̃ː m AE t AB ʃ AB ə AJ ɾ BA j AA äː
ग्रामीण	ɡ AB ɾ BA äː m AE ĩː ɳ AF
ग्राहक	ɡ AB ɾ BA äː ɦ AL ə AJ k AB
ग्रीष्म	ɡ AB ɾ BA iː AJ ʃ AB m AE
ग्रीस	ɡ AB ɾ BA iː AJ s̪ AB
ग्लासगो	ɡ AB l̪ AD äː s̪ AB ɡ AB oː AK
ग्वाटेमाला	ɡ AB ʋ AI äː ʈ AB eː AJ m AE äː l̪ AD äː
ग्वार	ɡ AB ʋ AI äː ɾ BA
ग्वारपाठा	ɡ AB ʋ AI äː ɾ BA p AG äː ʈʰ AC äː
ग्वाला	ɡ AB ʋ AI äː l̪ AD äː
ग्वालियर	ɡ AB ʋ AI äː l̪ AD i AJ j AA ə AJ ɾ BA
घंटा	ɡʱ AC ə AJ ɳ AF ʈ AB aː AJ
घटना	ɡʱ AC ə AJ ʈ AB n̪ AF äː
घटनास्थल	ɡʱ AC ə AJ ʈ AB n̪ AF äː s̪ AB t̪ʰ AC ə AJ l̪ AD
घटाना	ɡʱ AC ə AJ ʈ AB äː n̪ AF äː
घटिया	ɡʱ AC ə AJ ʈ AB i AJ j AA äː
घड़ियाल	ɡʱ AC ə AJ ɽ BA i AJ j AA äː l̪ AD
घन	ɡʱ AC ə̃ AN n̪ AF
घनचक्कर	ɡʱ AC ə̃ AN n̪ AF t AB ʃ AB ə AJ k̚ k AB ə AJ ɾ BA
घनत्व	ɡʱ AC ə AJ n̪ AF ə AJ t̪ AB w AI
घना	ɡʱ AC ə AJ n̪ AF äː
घनीय	ɡʱ AC ə AJ n̪ AF iː AJ j AA
घबराना	ɡʱ AC ə AJ b AG ɾ BA äː n̪ AF äː
घबराहट	ɡʱ AC ə AJ b AG ɾ BA äː ɦ AL ə AJ ʈ AB
घमंड	ɡʱ AC ə AJ m AE ə̃ AN ɳ AF ɖ AB
घमंडी	ɡʱ AC ə AJ m AE ə̃ AN ɳ AF ɖ AB iː AJ
घमासान	ɡʱ AC ə AJ m AE äː s̪ AB ä̃ː n̪ AF
घराना	ɡʱ AC ə AJ ɾ BA äː n̪ AF äː
घरेलू	ɡʱ AC ə AJ ɾ BA eː AJ l̪ AD uː AK
घर्षण	ɡʱ AC ə AJ ɾ BA ʃ AB ə̃ AN ɳ AF
घसियारा	ɡʱ AC ə AJ s̪ AB i AJ j AA äː ɾ BA äː
घसीटना	ɡʱ AC ə AJ s̪ AB iː AJ ʈ AB n̪ AF äː
घाट	ɡʱ AC äː ʈ AB
घाटा	ɡʱ AC äː ʈ AB äː
घाटी	ɡʱ AC äː ʈ AB iː AJ
घात	ɡʱ AC äː t̪ AB
घातीय	ɡʱ AC äː t̪ AB iː AJ j AA
घाना	ɡʱ AC äː n̪ AF äː
घायल	ɡʱ AC äː j AA ə AJ l̪ AD
घाव	ɡʱ AC äː ʋ AI
घिरना	ɡʱ AC ɪ AJ ɾ BA n̪ AF äː
घीया	ɡʱ AC iː AJ j AA äː
घुँघरू	ɡʱ AC ʊ̃ AM ŋ AF ɡʱ AC ɾ BA uː AK
घुंघरू	ɡʱ AC ʊ̃ AM ŋ AF ɡʱ AC ɾ BA uː AK
घुंडी	ɡʱ AC ʊ̃ AM ɳ AF ɖ AB iː AJ
घुटना	ɡʱ AC ʊ AK ʈ AB n̪ AF äː
घुड़सवार	ɡʱ AC ʊ AK ɽ BA s̪ AB ə AJ ʋ AI äː ɾ BA
घुड़सवारी	ɡʱ AC ʊ AK ɽ BA s̪ AB ə AJ ʋ AI äː ɾ BA ɪː AJ
घुसड़ना	ɡʱ AC ʊ AK s̪ AB ə AJ ɽ BA n̪ AF äː
घुसपैठ	ɡʱ AC ʊ AK s̪ AB p AG ɛː AJ ʈʰ AC
घुसपैठिया	ɡʱ AC ʊ AK s̪ AB p AG ɛː AJ ʈʰ AC i AJ j AA äː
घूँघट	ɡʱ AC ũː ŋ AF ɡʱ AC ə AJ ʈ AB
घूम	ɡʱ AC ũː m AE
घूरना	ɡʱ AC uː AK ɾ BA n̪ AF äː
घूर्णन	ɡʱ AC uː AK ɾ BA ɳ AF ə̃ AN n̪ AF
घूर्णवायु	ɡʱ AC uː AK ɾ BA ɳ AF ə AJ ʋ AI äː j AA uː AK
घूस	ɡʱ AC uː AK s̪ AB
घूसख़ोर	ɡʱ AC uː AK s̪ AB x AB oː AK ɾ BA
घूसख़ोरी	ɡʱ AC uː AK s̪ AB x AB oː AK ɾ BA iː AJ
घृणास्पद	ɡʱ AC ɾ BA ɪ AJ ɳ AF äː s̪ AB p AG ə AJ d̪ AB
घेरना	ɡʱ AC eː AJ ɾ BA n̪ AF äː
घेरा	ɡʱ AC eː AJ ɾ BA äː
घेराव	ɡʱ AC eː AJ ɾ BA äː ʋ AI
घोंगा	ɡʱ AC õː ŋ AF ɡ AB äː
घोंघा	ɡʱ AC õː ŋ AF ɡʱ AC äː
घोटाला	ɡʱ AC oː AK ʈ AB äː l̪ AD äː
घोड़ा	ɡʱ AC oː AK ɽ BA äː
घोराही	ɡʱ AC oː AK ɾ BA äː ɦ AL iː AJ
घोल	ɡʱ AC oː AK l̪ AD
घोलना	ɡʱ AC oː AK l̪ AD n̪ AF äː
घोषक	ɡʱ AC oː AK ʃ AB ə AJ k AB
घोषणा	ɡʱ AC oː AK ʃ AB ɳ AF äː
घोषित	ɡʱ AC oː AK ʃ AB ɪ AJ t̪ AB
चंकट	t AB ʃ AB ə̃ AN ŋ AF k AB ə AJ ʈ AB
चंडीगढ़	t AB ʃ AB ə̃ AN ɳ AF ɖ AB iː AJ ɡ AB ə AJ ɽʱ BB
चंद	t AB ʃ AB ə̃ AN n̪ AF d̪ AB
चंदा	t AB ʃ AB ə̃ AN n̪ AF d̪ AB äː
चंद्र	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA
चंद्रगुप्त	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ə AJ ɡ AB ʊ AK p AG t̪ AB
चंद्रग्रहण	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ə AJ ɡ AB ɾ BA ɛ AJ ɦ AL ɛ̃ AN ɳ AF
चंद्रबिंदु	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ə AJ b AG ɪ̃ AN n̪ AF d̪ AB uː AK
चंद्रमा	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ə AJ m AE äː
चंद्रवार	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ə AJ ʋ AI äː ɾ BA
चंद्रिका	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ɪ AJ k AB äː
चंपा	t AB ʃ AB ə̃ AN m AE p AG äː
चकाचौंध	t AB ʃ AB ə AJ k AB äː t AB ʃ AB ɔ̃ː AM n̪ AF d̪ʱ AC
चकोतरा	t AB ʃ AB ə AJ k AB oː AK t̪ AB ɾ BA äː
चक्कर	t AB ʃ AB ə AJ k̚ k AB ə AJ ɾ BA
चक्का	t AB ʃ AB ə AJ k̚ k AB äː
चक्रवृद्धि	t AB ʃ AB ə AJ k AB ɾ BA ə AJ ʋ AI ɾ BA ɪ AJ d̪̚ AB d̪ʱ AC iː AJ
चक्षु	t AB ʃ AB ə AJ k AB ʃ AB uː AK
चक्षुदान	t AB ʃ AB ə AJ k AB ʃ AB ʊ AK d̪ AB ä̃ː n̪ AF
चखना	t AB ʃ AB ə AJ kʰ AC n̪ AF äː
चटकारा	t AB ʃ AB ə AJ ʈ AB k AB äː ɾ BA äː
चटगांव	t AB ʃ AB ə AJ ʈ AB ɡ AB ä̃ː m AE w AI
चटनी	t AB ʃ AB ə AJ ʈ AB n̪ AF iː AJ
चट्टान	t AB ʃ AB ə AJ ʈ̚ ʈ AB ä̃ː n̪ AF
चड्डी	t AB ʃ AB ə AJ ɖ̚ ɖ AB iː AJ
चढ़ना	t AB ʃ AB ə AJ ɽʱ BB n̪ AF äː
चढ़ाई	t AB ʃ AB ə AJ ɽʱ BB äː iː AJ
चतुराई	t AB ʃ AB ə AJ t̪ AB ʊ AK ɾ BA äː iː AJ
चना	t AB ʃ AB ə AJ n̪ AF äː
चन्द	t AB ʃ AB ə̃ AN n̪ AF d̪ AB
चन्द्र	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA
चन्द्रमा	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ə AJ m AE äː
चन्द्रवार	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ə AJ ʋ AI äː ɾ BA
चन्द्रिका	t AB ʃ AB ə̃ AN n̪ AF d̪ AB ɾ BA ɪ AJ k AB äː
चपरासी	t AB ʃ AB ə AJ p AG ɾ BA äː s̪ AB iː AJ
चपाती	t AB ʃ AB ə AJ p AG äː t̪ AB iː AJ
चप्पल	t AB ʃ AB ə AJ p̚ p AG ə AJ l̪ AD
चबाना	t AB ʃ AB ə AJ b AG äː n̪ AF äː
चमकदार	t AB ʃ AB ə AJ m AE ə AJ k AB d̪ AB äː ɾ BA
चमकना	t AB ʃ AB ə AJ m AE ə AJ k AB n̪ AF äː
चमगादड़	t AB ʃ AB ə̃ AN m AE ɡ AB äː d̪ AB ə AJ ɽ BA
चमचमाना	t AB ʃ AB ə̃ AN m AE t AB ʃ AB ə AJ m AE äː n̪ AF äː
चमचा	t AB ʃ AB ə̃ AN m AE t AB ʃ AB äː
चमची	t AB ʃ AB ə̃ AN m AE t AB ʃ AB iː AJ
चमड़ा	t AB ʃ AB ə̃ AN m AE ɽ BA äː
चमड़ी	t AB ʃ AB ə̃ AN m AE ɽ BA iː AJ
चमत्कार	t AB ʃ AB ə AJ m AE ə AJ t̪ AB k AB äː ɾ BA
चमत्कारी	t AB ʃ AB ə AJ m AE ə AJ t̪ AB k AB äː ɾ BA iː AJ
चमस	t AB ʃ AB ə AJ m AE ə AJ s̪ AB
चयन	t AB ʃ AB ə AJ j AA ə̃ AN n̪ AF
चरख़ा	t AB ʃ AB ə AJ ɾ BA x AB äː
चरखा	t AB ʃ AB ə AJ ɾ BA x AB äː
चरण	t AB ʃ AB ə AJ ɾ BA ə̃ AN ɳ AF
चरना	t AB ʃ AB ə AJ ɾ BA n̪ AF äː
चरमपंथी	t AB ʃ AB ə AJ ɾ BA ə̃ AN m AE p AG ə̃ AN n̪ AF t̪ʰ AC iː AJ
चरवाहा	t AB ʃ AB ə AJ ɾ BA ʋ AI äː ɦ AL äː
चरागाह	t AB ʃ AB ə AJ ɾ BA äː ɡ AB äː ɦ AL
चर्चा	t AB ʃ AB ə AJ ɾ BA t AB ʃ AB äː
चल	t AB ʃ AB ə AJ l̪ AD
चलचित्र	t AB ʃ AB ə AJ l̪ AD t AB ʃ AB ɪ AJ t̪ AB ɾ BA
चलचित्रण	t AB ʃ AB ə AJ l̪ AD t AB ʃ AB ɪ AJ t̪ AB ɾ BA ə̃ AN ɳ AF
चलन	t AB ʃ AB ə AJ l̪ AD ə̃ AN n̪ AF
चलना	t AB ʃ AB ə AJ l̪ AD n̪ AF äː
चलवाना	t AB ʃ AB ə AJ l̪ AD ʋ AI äː n̪ AF äː
चलाना	t AB ʃ AB ə AJ l̪ AD äː n̪ AF äː
चवन्नी	t AB ʃ AB ə AJ ʋ AI ə̃ AN n̪ AF n̪ AF iː AJ
चवालीस	t AB ʃ AB ə AJ ʋ AI äː l̪ AD iː AJ s̪ AB
चव्वन	t AB ʃ AB ə AJ ʋ AI ʋ AI ə̃ AN n̪ AF
चश्मा	t AB ʃ AB ə AJ ʃ AB m AE äː
चषक	t AB ʃ AB ə AJ ʃ AB ə AJ k AB
चाँटा	t AB ʃ AB ä̃ː ʈ AB äː
चाँद	t AB ʃ AB ä̃ː n̪ AF d̪ AB
चाँदनी	t AB ʃ AB ä̃ː n̪ AF d̪ AB n̪ AF iː AJ
चाँदी	t AB ʃ AB ä̃ː n̪ AF d̪ AB iː AJ
चांद	t AB ʃ AB ä̃ː n̪ AF d̪ AB
चांदी	t AB ʃ AB ä̃ː n̪ AF d̪ AB iː AJ
चांद्र	t AB ʃ AB ä̃ː n̪ AF d̪ AB ɾ BA
चांपानेर	t AB ʃ AB ä̃ː p AG äː n̪ AF eː AJ ɾ BA
चांसलर	t AB ʃ AB ä̃ː n̪ AF s̪ AB l̪ AD ə AJ ɾ BA
चाइना	t AB ʃ AB äː ɪ AJ n̪ AF äː
चाक	t AB ʃ AB äː k AB
चाकलेट	t AB ʃ AB äː k AB l̪ AD eː AJ ʈ AB
चाकू	t AB ʃ AB äː k AB uː AK
चाचा	t AB ʃ AB äː t AB ʃ AB äː
चाची	t AB ʃ AB äː t AB ʃ AB iː AJ
चाट	t AB ʃ AB äː ʈ AB
चाटना	t AB ʃ AB äː ʈ AB n̪ AF äː
चातुर्य	t AB ʃ AB äː t̪ AB ʊ AK ɾ BA j AA
चान्द्र	t AB ʃ AB ä̃ː n̪ AF d̪ AB ɾ BA
चाप	t AB ʃ AB äː p AG
चाबी	t AB ʃ AB äː b AG iː AJ
चाभी	t AB ʃ AB äː bʱ AH iː AJ
चाय	t AB ʃ AB äː j AA
चायख़ाना	t AB ʃ AB äː j AA x AB äː n̪ AF äː
चायदान	t AB ʃ AB äː j AA d̪ AB ä̃ː n̪ AF
चायदानी	t AB ʃ AB äː j AA d̪ AB äː n̪ AF iː AJ
चार	t AB ʃ AB äː ɾ BA
चारपाई	t AB ʃ AB äː ɾ BA p AG äː iː AJ
चारा	t AB ʃ AB äː ɾ BA äː
चाल	t AB ʃ AB äː l̪ AD
चालक	t AB ʃ AB äː l̪ AD ə AJ k AB
चालकता	t AB ʃ AB äː l̪ AD ə AJ k AB t̪ AB äː
चालान	t AB ʃ AB äː l̪ AD ä̃ː n̪ AF
चालीस	t AB ʃ AB äː l̪ AD iː AJ s̪ AB
चालीसपद	t AB ʃ AB äː l̪ AD iː AJ s̪ AB p AG ə AJ d̪ AB
चालुक्य	t AB ʃ AB äː l̪ AD ʊ AK k AB j AA
चाव	t AB ʃ AB äː ʋ AI
चावल	t AB ʃ AB äː ʋ AI ə AJ l̪ AD
चाशनी	t AB ʃ AB äː ʃ AB n̪ AF iː AJ
चाह	t AB ʃ AB äː ɦ AL
चाहत	t AB ʃ AB äː ɦ AL ə AJ t̪ AB
चाहना	t AB ʃ AB äː ɦ AL n̪ AF äː
चाहे	t AB ʃ AB äː ɦ AL eː AJ
चिंगहई	t AB ʃ AB ɪ̃ AN ŋ AF ɡʱ AC ə AJ iː AJ
चिंगारी	t AB ʃ AB ɪ̃ AN ŋ AF ɡ AB äː ɾ BA iː AJ
चिंता	t AB ʃ AB ɪ̃ AN n̪ AF t̪ AB äː
चिंताजनक	t AB ʃ AB ɪ̃ AN n̪ AF t̪ AB äː d AB ʒ AB ə AJ n̪ AF ə AJ k AB
चिकना	t AB ʃ AB ɪ AJ k AB n̪ AF äː
चिकित्सक	t AB ʃ AB ɪ AJ k AB ɪ AJ t̪ AB s̪ AB ə AJ k AB
चिकित्सालय	t AB ʃ AB ɪ AJ k AB ɪ AJ t̪ AB s̪ AB äː l̪ AD ə AJ j AA
चिट्टी	t AB ʃ AB ɪ AJ ʈ̚ ʈ AB iː AJ
चिट्ठी	t AB ʃ AB ɪ AJ ʈ̚ ʈʰ AC iː AJ
चिड़वा	t AB ʃ AB ɪ AJ ɽ BA ʋ AI äː
चिड़िया	t AB ʃ AB ɪ AJ ɽ BA i AJ j AA äː
चिढ़ना	t AB ʃ AB ɪ AJ ɽʱ BB n̪ AF äː
चिढ़ाना	t AB ʃ AB ɪ AJ ɽʱ BB äː n̪ AF äː
चित्ताकर्षक	t AB ʃ AB ɪ AJ t̪̚ t̪ AB äː k AB ə AJ ɾ BA ʃ AB ə AJ k AB
चित्तूर	t AB ʃ AB ɪ AJ t̪̚ t̪ AB uː AK ɾ BA
चित्रकला	t AB ʃ AB ɪ AJ t̪ AB ɾ BA k AB ə AJ l̪ AD äː
चित्रकार	t AB ʃ AB ɪ AJ t̪ AB ɾ BA ə AJ k AB äː ɾ BA
चित्रकारी	t AB ʃ AB ɪ AJ t̪ AB ɾ BA ə AJ k AB äː ɾ BA iː AJ
चित्रण	t AB ʃ AB ɪ AJ t̪ AB ɾ BA ə̃ AN ɳ AF
चिथड़ा	t AB ʃ AB ɪ AJ t̪ʰ AC ɽ BA äː
चिनिया	t AB ʃ AB ɪ AJ n̪ AF i AJ j AA äː
चिपकना	t AB ʃ AB ɪ AJ p AG ə AJ k AB n̪ AF äː
चिपचिपा	t AB ʃ AB ɪ AJ p AG t AB ʃ AB ɪ AJ p AG äː
चिमटा	t AB ʃ AB ɪ̃ AN m AE ʈ AB äː
चिमनी	t AB ʃ AB ɪ̃ AN m AE n̪ AF iː AJ
चिरंजीव	t AB ʃ AB ɪ AJ ɾ BA ə̃ AN n̪ AF d AB ʒ AB iː AJ ʋ AI
चिरस्थायित्व	t AB ʃ AB ɪ AJ ɾ BA s̪ AB t̪ʰ AC äː j AA ɪ AJ t̪ AB w AI
चिरस्थायी	t AB ʃ AB ɪ AJ ɾ BA s̪ AB t̪ʰ AC äː j AA iː AJ
चिराग़	t AB ʃ AB ɪ AJ ɾ BA äː ɣ AB
चिलम	t AB ʃ AB ɪ AJ l̪ AD ə̃ AN m AE
चिलवन	t AB ʃ AB ɪ AJ l̪ AD ʋ AI ə̃ AN n̪ AF
चिली	t AB ʃ AB ɪ AJ l̪ AD iː AJ
चींटा	t AB ʃ AB ĩː ʈ AB äː
चीख़ना	t AB ʃ AB iː AJ x AB n̪ AF äː
चीज़बस्त	t AB ʃ AB iː AJ z AB b AG ə AJ s̪ AB t̪ AB
चीता	t AB ʃ AB iː AJ t̪ AB äː
चीन	t AB ʃ AB ĩː n̪ AF
चीना	t AB ʃ AB iː AJ n̪ AF äː
चीनिया	t AB ʃ AB iː AJ n̪ AF i AJ j AA äː
चीनी	t AB ʃ AB iː AJ n̪ AF iː AJ
चीरना	t AB ʃ AB iː AJ ɾ BA n̪ AF äː
चील	t AB ʃ AB iː AJ l̪ AD
चीला	t AB ʃ AB iː AJ l̪ AD äː
चुंबक	t AB ʃ AB ʊ̃ AM m AE b AG ə AJ k AB
चुंबकत्व	t AB ʃ AB ʊ̃ AM m AE b AG ə AJ k AB ə AJ t̪ AB w AI
चुंबकीय	t AB ʃ AB ʊ̃ AM m AE b AG ə AJ k AB iː AJ j AA
चुंबन	t AB ʃ AB ʊ̃ AM m AE b AG ə̃ AN n̪ AF
चुकंदर	t AB ʃ AB ʊ AK q AB ə̃ AN n̪ AF d̪ AB ə AJ ɾ BA
चुकना	t AB ʃ AB ʊ AK k AB n̪ AF äː
चुक़ंदर	t AB ʃ AB ʊ AK q AB ə̃ AN n̪ AF d̪ AB ə AJ ɾ BA
चुक़न्दर	t AB ʃ AB ʊ AK q AB ə̃ AN n̪ AF d̪ AB ə AJ ɾ BA
चुकाना	t AB ʃ AB ʊ AK k AB äː n̪ AF äː
चुगना	t AB ʃ AB ʊ AK ɡ AB n̪ AF äː
चुटकुला	t AB ʃ AB ʊ AK ʈ AB k AB ʊ AK l̪ AD äː
चुड़ैल	t AB ʃ AB ʊ AK ɽ BA ɛː AJ l̪ AD
चुदना	t AB ʃ AB ʊ AK d̪̚ AB n̪ AF äː
चुदवाना	t AB ʃ AB ʊ AK d̪ AB w AI äː n̪ AF äː
चुदाना	t AB ʃ AB ʊ AK d̪ AB äː n̪ AF äː
चुनाव	t AB ʃ AB ʊ AK n̪ AF äː ʋ AI
चुनौती	t AB ʃ AB ʊ AK n̪ AF ɔː AK t̪ AB iː AJ
चुपचाप	t AB ʃ AB ʊ AK p AG t AB ʃ AB äː p AG
चुपड़ना	t AB ʃ AB ʊ AK p AG ə AJ ɽ BA n̪ AF äː
चुप्पी	t AB ʃ AB ʊ AK p̚ p AG iː AJ
चुभना	t AB ʃ AB ʊ AK bʱ AH n̪ AF äː
चुम्मा	t AB ʃ AB ʊ̃ AM m AE m AE äː
चुलबुल	t AB ʃ AB ʊ AK l̪ AD b AG ʊ AK l̪ AD
चुल्ल	t AB ʃ AB ʊ AK l̪ AD l̪ AD
चुसकी	t AB ʃ AB ʊ AK s̪ AB k AB iː AJ
चुसना	t AB ʃ AB ʊ AK s̪ AB n̪ AF äː
चूकना	t AB ʃ AB uː AK k AB n̪ AF äː
चूज़ा	t AB ʃ AB uː AK z AB äː
चूतिया	t AB ʃ AB uː AK t̪ AB i AJ j AA äː
चूना	t AB ʃ AB uː AK n̪ AF äː
चूमना	t AB ʃ AB ũː m AE n̪ AF äː
चूल्हा	t AB ʃ AB uː AK l̪ AD ɦ AL äː
चूहा	t AB ʃ AB uː AK ɦ AL äː
चेचेन	t AB ʃ AB eː AJ t AB ʃ AB ẽː n̪ AF
चेतना	t AB ʃ AB eː AJ t̪̚ n̪ AF äː
चेताना	t AB ʃ AB eː AJ t̪ AB äː n̪ AF äː
चेतावनी	t AB ʃ AB eː AJ t̪ AB äː ʋ AI n̪ AF iː AJ
चेना	t AB ʃ AB eː AJ n̪ AF äː
चेन्नई	t AB ʃ AB ẽː n̪ AF n̪ AF ə AJ iː AJ
चेरापूंजी	t AB ʃ AB eː AJ ɾ BA äː p AG ũː n̪ AF d AB ʒ AB iː AJ
चेला	t AB ʃ AB eː AJ l̪ AD äː
चेहरा	t AB ʃ AB eː AJ ɦ AL ɾ BA äː
चैन	t AB ʃ AB ɛ̃ː AN n̪ AF
चॉकलेट	t AB ʃ AB ɔ AK k AB ə AJ l̪ AD eː AJ ʈ AB
चोंच	t AB ʃ AB õː n̪ AF t AB ʃ AB
चोखा	t AB ʃ AB oː AK kʰ AC äː
चोग़ा	t AB ʃ AB oː AK ɣ AB äː
चोदना	t AB ʃ AB oː AK d̪̚ AB n̪ AF äː
चोरना	t AB ʃ AB oː AK ɾ BA n̪ AF äː
चोल	t AB ʃ AB oː AK l̪ AD
चोला	t AB ʃ AB oː AK l̪ AD äː
चोली	t AB ʃ AB oː AK l̪ AD iː AJ
चौंकना	t AB ʃ AB ɔ̃ː AM ŋ AF k AB n̪ AF äː
चौंकाना	t AB ʃ AB ɔ̃ː AM ŋ AF k AB äː n̪ AF äː
चौंतीस	t AB ʃ AB ɔ̃ː AM n̪ AF t̪ AB iː AJ s̪ AB
चौंसठ	t AB ʃ AB ɔ̃ː AM n̪ AF s̪ AB ə AJ ʈʰ AC
चौकस	t AB ʃ AB ɔː AK k AB ə AJ s̪ AB
चौका	t AB ʃ AB ɔː AK k AB äː
चौकीदार	t AB ʃ AB ɔː AK k AB iː AJ d̪ AB äː ɾ BA
चौड़ा	t AB ʃ AB ɔː AK ɽ BA aː AJ
चौड़ाई	t AB ʃ AB ɔː AK ɽ BA äː iː AJ
चौताल	t AB ʃ AB ɔː AK t̪ AB äː l̪ AD
चौथा	t AB ʃ AB ɔː AK t̪ʰ AC äː
चौथाई	t AB ʃ AB ɔː AK t̪ʰ AC äː iː AJ
चौपाई	t AB ʃ AB ɔː AK p AG äː iː AJ
चौबीस	t AB ʃ AB ɔː AK b AG iː AJ s̪ AB
चौरानवे	t AB ʃ AB ɔː AK ɾ BA ä̃ː n̪ AF w AI eː AJ
चौरासी	t AB ʃ AB ɔː AK ɾ BA äː s̪ AB iː AJ
चौराहा	t AB ʃ AB ɔː AK ɾ BA äː ɦ AL äː
चौवन	t AB ʃ AB ə̯ AA u AK ʋ AI ə̃ AN n̪ AF
चौहत्तर	t AB ʃ AB ɔː AK ɦ AL ə AJ t̪̚ t̪ AB ə AJ ɾ BA
च्यवनप्राश	t AB ʃ AB j AA ə AJ ʋ AI ə̃ AN n̪ AF p AG ɾ BA äː ʃ AB
च्वॉइस	t AB ʃ AB ʋ AI ɔ AK ɪ AJ s̪ AB
छंटना	t AB ʃʰ AC ə̃ AN ɳ AF ʈ AB n̪ AF äː
छंद	t AB ʃʰ AC ə̃ AN n̪ AF d̪ AB
छक्का	t AB ʃʰ AC ə AJ k̚ k AB äː
छटपटाना	t AB ʃʰ AC ə AJ ʈ AB p AG ə AJ ʈ AB äː n̪ AF äː
छटा	t AB ʃʰ AC ə AJ ʈ AB äː
छठवाँ	t AB ʃʰ AC ə AJ ʈʰ AC ʋ AI ä̃ː
छत्तीस	t AB ʃʰ AC ə AJ t̪̚ t̪ AB iː AJ s̪ AB
छत्तीसगढ़	t AB ʃʰ AC ə AJ t̪̚ t̪ AB iː AJ s̪ AB ɡ AB ə AJ ɽʱ BB
छद्मनाम	t AB ʃʰ AC ə AJ d̪ AB m AE ə AJ n̪ AF ä̃ː m AE
छन	t AB ʃʰ AC ə̃ AN n̪ AF
छननी	t AB ʃʰ AC ə̃ AN n̪ AF n̪ AF iː AJ
छप्पन	t AB ʃʰ AC ə AJ p̚ p AG ə̃ AN n̪ AF
छब्बीस	t AB ʃʰ AC ə AJ b̚ b AG ɪ AJ s̪ AB
छमाही	t AB ʃʰ AC ə AJ m AE äː ɦ AL iː AJ
छरहरा	t AB ʃʰ AC ə AJ ɾ BA ɛ AJ ɦ AL ɾ BA äː
छर्रा	t AB ʃʰ AC ə AJ ɾ BA ɾ BA äː
छल	t AB ʃʰ AC ə AJ l̪ AD
छलकना	t AB ʃʰ AC ə AJ l̪ AD ə AJ k AB n̪ AF äː
छलना	t AB ʃʰ AC ə AJ l̪ AD n̪ AF äː
