Ⴁ	b
დისიდენტი	d i AB s i AB d ɛ AB n tʼ i AB
დისკი	d i AB s kʼ i AB
დისკო	d i AB s kʼ ɔ AC
დისკოგრაფია	d i AB s kʼ ɔ AC ɡ r ɑ AB pʰ i AB ɑ AB
დისკოთეკა	d i AB s kʼ ɔ AC tʰ ɛ AB kʼ ɑ AB
დისკომფორტი	d i AB s kʼ ɔ AC m pʰ ɔ AC r tʼ i AB
დისკოტეკა	d i AB s kʼ ɔ AC tʼ ɛ AB kʼ ɑ AB
დისკრეტული	d i AB s kʼ r ɛ AB tʼ u AC l i AB
დისკუსია	d i AB s kʼ u AC s i AB ɑ AB
დისლოკაცია	d i AB s l ɔ AC kʼ ɑ AB t s i AB ɑ AB
დისონანსი	d i AB s ɔ AC n ɑ AB n s i AB
დისპანსერი	d i AB s pʼ ɑ AB n s ɛ AB r i AB
დისპეფსია	d i AB s pʼ ɛ AB pʰ s i AB ɑ AB
დისპროზიუმი	d i AB s pʼ r ɔ AC z i AB u AC m i AB
დისპუტი	d i AB s pʼ u AC tʼ i AB
დისტილატორი	d i AB s tʼ i AB l ɑ AB tʼ ɔ AC r i AB
დისტილაცია	d i AB s tʼ i AB l ɑ AB t s i AB ɑ AB
დისშვილი	d i AB s ʃ v i AB l i AB
დისციპლინა	d i AB s t s i AB pʼ l i AB n ɑ AB
დისწული	d i AB s t sʼ u AC l i AB
დიუნი	d i AB u AC n i AB
დიუსელდორფი	d i AB u AC s ɛ AB l d ɔ AC r pʰ i AB
დიფერენციალი	d i AB pʰ ɛ AB r ɛ AB n t s i AB ɑ AB l i AB
დიფერენციალურად	d i AB pʰ ɛ AB r ɛ AB n t s i AB ɑ AB l u AC r ɑ AB d
დიფთერია	d i AB pʰ tʰ ɛ AB r i AB ɑ AB
დიფრაქცია	d i AB pʰ r ɑ AB kʰ t s i AB ɑ AB
დიფუზია	d i AB pʰ u AC z i AB ɑ AB
დიფუზიურად	d i AB pʰ u AC z i AB u AC r ɑ AB d
დიფუზიური	d i AB pʰ u AC z i AB u AC r i AB
დიქოტომია	d i AB kʰ ɔ AC tʼ ɔ AC m i AB ɑ AB
დიქტატორი	d i AB kʰ tʼ ɑ AB tʼ ɔ AC r i AB
დიქტატორულად	d i AB kʰ tʼ ɑ AB tʼ ɔ AC r u AC l ɑ AB d
დიქტატორული	d i AB kʰ tʼ ɑ AB tʼ ɔ AC r u AC l i AB
დიქტატურა	d i AB kʰ tʼ ɑ AB tʼ u AC r ɑ AB
დიქტორი	d i AB kʰ tʼ ɔ AC r i AB
დიღომი	d i AB ɣ ɔ AC m i AB
დნობა	d n ɔ AC b ɑ AB
დნობადი	d n ɔ AC b ɑ AB d i AB
დო	d ɔ AC
დობა	d ɔ AC b ɑ AB
დოგმა	d ɔ AC ɡ m ɑ AB
დოგმატი	d ɔ AC ɡ m ɑ AB tʼ i AB
დოგმატიზმი	d ɔ AC ɡ m ɑ AB tʼ i AB z m i AB
დოგმატურად	d ɔ AC ɡ m ɑ AB tʼ u AC r ɑ AB d
დოგმატური	d ɔ AC ɡ m ɑ AB tʼ u AC r i AB
დოზა	d ɔ AC z ɑ AB
დოზირება	d ɔ AC z i AB r ɛ AB b ɑ AB
დოინჯი	d ɔ AC i AB n d ʒ i AB
დოინჯშემოყრილი	d ɔ AC i AB n d ʒ ʃ ɛ AB m ɔ AC qʼ r i AB l i AB
დოკერი	d ɔ AC kʼ ɛ AB r i AB
დოკი	d ɔ AC kʼ i AB
დოკუმენტაცია	d ɔ AC kʼ u AC m ɛ AB n tʼ ɑ AB t s i AB ɑ AB
დოკუმენტი	d ɔ AC kʼ u AC m ɛ AB n tʼ i AB
დოკუმენტური	d ɔ AC kʼ u AC m ɛ AB n tʼ u AC r i AB
დოლაბი	d ɔ AC l ɑ AB b i AB
დოლარი	d ɔ AC l ɑ AB r i AB
დოლი	d ɔ AC l i AB
დოლმენი	d ɔ AC l m ɛ AB n i AB
დომინიკა	d ɔ AC m i AB n i AB kʼ ɑ AB
დომინიონი	d ɔ AC m i AB n i AB ɔ AC n i AB
დომინო	d ɔ AC m i AB n ɔ AC
დომხალი	d ɔ AC m x ɑ AB l i AB
დონალდი	d ɔ AC n ɑ AB l d i AB
დონე	d ɔ AC n ɛ AB
დონედ	d ɔ AC n ɛ AB d
დონემ	d ɔ AC n ɛ AB m
დონეს	d ɔ AC n ɛ AB s
დონეცკი	d ɔ AC n ɛ AB t s kʼ i AB
დონით	d ɔ AC n i AB tʰ
დონის	d ɔ AC n i AB s
დონკიხოტობა	d ɔ AC n kʼ i AB x ɔ AC tʼ ɔ AC b ɑ AB
დონკიხოტურად	d ɔ AC n kʼ i AB x ɔ AC tʼ u AC r ɑ AB d
დონორი	d ɔ AC n ɔ AC r i AB
დორა	d ɔ AC r ɑ AB
დორბლი	d ɔ AC r b l i AB
დორტმუნდი	d ɔ AC r tʼ m u AC n d i AB
დოსიე	d ɔ AC s i AB ɛ AB
დოტაცია	d ɔ AC tʼ ɑ AB t s i AB ɑ AB
დოქი	d ɔ AC kʰ i AB
დოქტრინა	d ɔ AC kʰ tʼ r i AB n ɑ AB
დოღი	d ɔ AC ɣ i AB
დოყლაპია	d ɔ AC qʼ l ɑ AB pʼ i AB ɑ AB
დრაგუნი	d r ɑ AB ɡ u AC n i AB
დრაკონი	d r ɑ AB kʼ ɔ AC n i AB
დრაკონული	d r ɑ AB kʼ ɔ AC n u AC l i AB
დრამა	d r ɑ AB m ɑ AB
დრამატიზაცია	d r ɑ AB m ɑ AB tʼ i AB z ɑ AB t s i AB ɑ AB
დრამატულად	d r ɑ AB m ɑ AB tʼ u AC l ɑ AB d
დრამატული	d r ɑ AB m ɑ AB tʼ u AC l i AB
დრამატურგი	d r ɑ AB m ɑ AB tʼ u AC r ɡ i AB
დრაქმა	d r ɑ AB kʰ m ɑ AB
დრედნოუტი	d r ɛ AB d n ɔ AC u AC tʼ i AB
დრეზდენი	d r ɛ AB z d ɛ AB n i AB
დრეიფი	d r ɛ AB i AB pʰ i AB
დრეკადი	d r ɛ AB kʼ ɑ AB d i AB
დრეკადობა	d r ɛ AB kʼ ɑ AB d ɔ AC b ɑ AB
დრეკს	d r ɛ AB kʼ s
დრენაჟი	d r ɛ AB n ɑ AB ʒ i AB
დრო	d r ɔ AC
დროგამოშვებით	d r ɔ AC ɡ ɑ AB m ɔ AC ʃ v ɛ AB b i AB tʰ
დროდ	d r ɔ AC d
დროდადრო	d r ɔ AC d ɑ AB d r ɔ AC
დროები	d r ɔ AC ɛ AB b i AB
დროებით	d r ɔ AC ɛ AB b i AB tʰ
დროებითად	d r ɔ AC ɛ AB b i AB tʰ ɑ AB d
დროებითი	d r ɔ AC ɛ AB b i AB tʰ i AB
დროზე	d r ɔ AC z ɛ AB
დროზოფილა	d r ɔ AC z ɔ AC pʰ i AB l ɑ AB
დროით	d r ɔ AC i AB tʰ
დროის	d r ɔ AC i AB s
დრომ	d r ɔ AC m
დრომოჭმული	d r ɔ AC m ɔ AC t ʃʼ m u AC l i AB
დროს	d r ɔ AC s
დროსტარება	d r ɔ AC s tʼ ɑ AB r ɛ AB b ɑ AB
დროულად	d r ɔ AC u AC l ɑ AB d
დროული	d r ɔ AC u AC l i AB
დროულობა	d r ɔ AC u AC l ɔ AC b ɑ AB
დროშა	d r ɔ AC ʃ ɑ AB
დრუიდი	d r u AC i AB d i AB
დრუნჩა	d r u AC n t ʃ ɑ AB
დრუნჩი	d r u AC n t ʃ i AB
დუბლიკატი	d u AC b l i AB kʼ ɑ AB tʼ i AB
დუბლინი	d u AC b l i AB n i AB
დუბლიორი	d u AC b l i AB ɔ AC r i AB
დუბლირება	d u AC b l i AB r ɛ AB b ɑ AB
დუგლასი	d u AC ɡ l ɑ AB s i AB
დუელი	d u AC ɛ AB l i AB
დუელისტი	d u AC ɛ AB l i AB s tʼ i AB
დუეტი	d u AC ɛ AB tʼ i AB
დუკატი	d u AC kʼ ɑ AB tʼ i AB
დუმილი	d u AC m i AB l i AB
დუნე	d u AC n ɛ AB
დუნედ	d u AC n ɛ AB d
დუჟინი	d u AC ʒ i AB n i AB
დურბინდი	d u AC r b i AB n d i AB
დურგალი	d u AC r ɡ ɑ AB l i AB
დური	d u AC r i AB
დურიო	d u AC r i AB ɔ AC
დუღება	d u AC ɣ ɛ AB b ɑ AB
დუღილი	d u AC ɣ i AB l i AB
დუშანბე	d u AC ʃ ɑ AB n b ɛ AB
დუშგელი	d u AC ʃ ɡ ɛ AB l i AB
დუჩე	d u AC t ʃ ɛ AB
დღგ	d ɣ ɡ
დღე	d ɣ ɛ AB
დღეები	d ɣ ɛ AB ɛ AB b i AB
დღევანდელი	d ɣ ɛ AB v ɑ AB n d ɛ AB l i AB
დღემ	d ɣ ɛ AB m
დღემდე	d ɣ ɛ AB m d ɛ AB
დღეობა	d ɣ ɛ AB ɔ AC b ɑ AB
დღეს	d ɣ ɛ AB s
დღესასწაული	d ɣ ɛ AB s ɑ AB s t sʼ ɑ AB u AC l i AB
დღეღამე	d ɣ ɛ AB ɣ ɑ AB m ɛ AB
დღვებს	d ɣ v ɛ AB b s
დღის	d ɣ i AB s
ეაკულაცია	ɛ AB ɑ AB kʼ u AC l ɑ AB t s i AB ɑ AB
ეახლა	ɛ AB ɑ AB x l ɑ AB
ეახლება	ɛ AB ɑ AB x l ɛ AB b ɑ AB
ებონიტი	ɛ AB b ɔ AC n i AB tʼ i AB
ებრაული	ɛ AB b r ɑ AB u AC l i AB
ეგ	ɛ AB ɡ
ეგეთი	ɛ AB ɡ ɛ AB tʰ i AB
ეგენი	ɛ AB ɡ ɛ AB n i AB
ეგვიპტე	ɛ AB ɡ v i AB pʼ tʼ ɛ AB
ეგვიპტური	ɛ AB ɡ v i AB pʼ tʼ u AC r i AB
ეგზემა	ɛ AB ɡ z ɛ AB m ɑ AB
ეგზოტიკური	ɛ AB ɡ z ɔ AC tʼ i AB kʼ u AC r i AB
ეგიდა	ɛ AB ɡ i AB d ɑ AB
ეგოიზმი	ɛ AB ɡ ɔ AC i AB z m i AB
ეგოისტი	ɛ AB ɡ ɔ AC i AB s tʼ i AB
ეგოისტურად	ɛ AB ɡ ɔ AC i AB s tʼ u AC r ɑ AB d
ეგოისტური	ɛ AB ɡ ɔ AC i AB s tʼ u AC r i AB
ეგოტიზმი	ɛ AB ɡ ɔ AC tʼ i AB z m i AB
ეგოცენტრული	ɛ AB ɡ ɔ AC t s ɛ AB n tʼ r u AC l i AB
ეგრე	ɛ AB ɡ r ɛ AB
ეგრევე	ɛ AB ɡ r ɛ AB v ɛ AB
ედგარი	ɛ AB d ɡ ɑ AB r i AB
ედელვაისი	ɛ AB d ɛ AB l v ɑ AB i AB s i AB
ედვარდი	ɛ AB d v ɑ AB r d i AB
ედინბურგი	ɛ AB d i AB n b u AC r ɡ i AB
ედიქტი	ɛ AB d i AB kʰ tʼ i AB
ედმუნდი	ɛ AB d m u AC n d i AB
ევა	ɛ AB v ɑ AB
ევაკუაცია	ɛ AB v ɑ AB kʼ u AC ɑ AB t s i AB ɑ AB
ევასები	ɛ AB v ɑ AB s ɛ AB b i AB
ევგენი	ɛ AB v ɡ ɛ AB n i AB
ევგენიკა	ɛ AB v ɡ ɛ AB n i AB kʼ ɑ AB
ევერესტი	ɛ AB v ɛ AB r ɛ AB s tʼ i AB
ევკლიდური	ɛ AB v kʼ l i AB d u AC r i AB
ევოლუცია	ɛ AB v ɔ AC l u AC t s i AB ɑ AB
ევოლუციური	ɛ AB v ɔ AC l u AC t s i AB u AC r i AB
ევრაზია	ɛ AB v r ɑ AB z i AB ɑ AB
ევრაზიული	ɛ AB v r ɑ AB z i AB u AC l i AB
ევრო	ɛ AB v r ɔ AC
ევროპა	ɛ AB v r ɔ AC pʼ ɑ AB
ევროპად	ɛ AB v r ɔ AC pʼ ɑ AB d
ევროპამ	ɛ AB v r ɔ AC pʼ ɑ AB m
ევროპას	ɛ AB v r ɔ AC pʼ ɑ AB s
ევროპით	ɛ AB v r ɔ AC pʼ i AB tʰ
ევროპის	ɛ AB v r ɔ AC pʼ i AB s
ევროპიუმი	ɛ AB v r ɔ AC pʼ i AB u AC m i AB
ევროპული	ɛ AB v r ɔ AC pʼ u AC l i AB
ევფემიზმი	ɛ AB v pʰ ɛ AB m i AB z m i AB
ევფემისტურად	ɛ AB v pʰ ɛ AB m i AB s tʼ u AC r ɑ AB d
ევფემისტური	ɛ AB v pʰ ɛ AB m i AB s tʼ u AC r i AB
ევქარისტია	ɛ AB v kʰ ɑ AB r i AB s tʼ i AB ɑ AB
ეზო	ɛ AB z ɔ AC
ეთერი	ɛ AB tʰ ɛ AB r i AB
ეთიკა	ɛ AB tʰ i AB kʼ ɑ AB
ეთიკურად	ɛ AB tʰ i AB kʼ u AC r ɑ AB d
ეთიკური	ɛ AB tʰ i AB kʼ u AC r i AB
ეთილი	ɛ AB tʰ i AB l i AB
ეთიოპია	ɛ AB tʰ i AB ɔ AC pʼ i AB ɑ AB
ეთიოპიელი	ɛ AB tʰ i AB ɔ AC pʼ i AB ɛ AB l i AB
ეთნიკურად	ɛ AB tʰ n i AB kʼ u AC r ɑ AB d
ეთნიკური	ɛ AB tʰ n i AB kʼ u AC r i AB
ეთნოგრაფი	ɛ AB tʰ n ɔ AC ɡ r ɑ AB pʰ i AB
ეთნოგრაფია	ɛ AB tʰ n ɔ AC ɡ r ɑ AB pʰ i AB ɑ AB
ეთნოგრაფიული	ɛ AB tʰ n ɔ AC ɡ r ɑ AB pʰ i AB u AC l i AB
ეთნოლოგი	ɛ AB tʰ n ɔ AC l ɔ AC ɡ i AB
ეთნოლოგია	ɛ AB tʰ n ɔ AC l ɔ AC ɡ i AB ɑ AB
ეთნოლოგიური	ɛ AB tʰ n ɔ AC l ɔ AC ɡ i AB u AC r i AB
ეკალი	ɛ AB kʼ ɑ AB l i AB
ეკატერინე	ɛ AB kʼ ɑ AB tʼ ɛ AB r i AB n ɛ AB
ეკვადორი	ɛ AB kʼ v ɑ AB d ɔ AC r i AB
ეკვატორი	ɛ AB kʼ v ɑ AB tʼ ɔ AC r i AB
ეკვატორული	ɛ AB kʼ v ɑ AB tʼ ɔ AC r u AC l i AB
ეკვივალენტი	ɛ AB kʼ v i AB v ɑ AB l ɛ AB n tʼ i AB
ეკიპაჟი	ɛ AB kʼ i AB pʼ ɑ AB ʒ i AB
ეკლესია	ɛ AB kʼ l ɛ AB s i AB ɑ AB
ეკლესიამ	ɛ AB kʼ l ɛ AB s i AB ɑ AB m
ეკლესიას	ɛ AB kʼ l ɛ AB s i AB ɑ AB s
ეკლესიით	ɛ AB kʼ l ɛ AB s i AB i AB tʰ
ეკლესიის	ɛ AB kʼ l ɛ AB s i AB i AB s
ეკლიანი	ɛ AB kʼ l i AB ɑ AB n i AB
ეკლიპტიკა	ɛ AB kʼ l i AB pʼ tʼ i AB kʼ ɑ AB
ეკოლოგი	ɛ AB kʼ ɔ AC l ɔ AC ɡ i AB
ეკოლოგია	ɛ AB kʼ ɔ AC l ɔ AC ɡ i AB ɑ AB
ეკოლოგიურად	ɛ AB kʼ ɔ AC l ɔ AC ɡ i AB u AC r ɑ AB d
ეკოლოგიური	ɛ AB kʼ ɔ AC l ɔ AC ɡ i AB u AC r i AB
ეკონიმიურად	ɛ AB kʼ ɔ AC n i AB m i AB u AC r ɑ AB d
ეკონომია	ɛ AB kʼ ɔ AC n ɔ AC m i AB ɑ AB
ეკონომიკა	ɛ AB kʼ ɔ AC n ɔ AC m i AB kʼ ɑ AB
ეკონომიკად	ɛ AB kʼ ɔ AC n ɔ AC m i AB kʼ ɑ AB d
ეკონომიკამ	ɛ AB kʼ ɔ AC n ɔ AC m i AB kʼ ɑ AB m
ეკონომიკას	ɛ AB kʼ ɔ AC n ɔ AC m i AB kʼ ɑ AB s
ეკონომიკით	ɛ AB kʼ ɔ AC n ɔ AC m i AB kʼ i AB tʰ
ეკონომიკის	ɛ AB kʼ ɔ AC n ɔ AC m i AB kʼ i AB s
ეკონომიკური	ɛ AB kʼ ɔ AC n ɔ AC m i AB kʼ u AC r i AB
ეკონომისტი	ɛ AB kʼ ɔ AC n ɔ AC m i AB s tʼ i AB
ეკონომიურად	ɛ AB kʼ ɔ AC n ɔ AC m i AB u AC r ɑ AB d
ეკონომიური	ɛ AB kʼ ɔ AC n ɔ AC m i AB u AC r i AB
ეკონომიურობა	ɛ AB kʼ ɔ AC n ɔ AC m i AB u AC r ɔ AC b ɑ AB
ეკრანი	ɛ AB kʼ r ɑ AB n i AB
ელამი	ɛ AB l ɑ AB m i AB
ელარჯი	ɛ AB l ɑ AB r d ʒ i AB
ელასტიკური	ɛ AB l ɑ AB s tʼ i AB kʼ u AC r i AB
ელასტიური	ɛ AB l ɑ AB s tʼ i AB u AC r i AB
ელეგანტურად	ɛ AB l ɛ AB ɡ ɑ AB n tʼ u AC r ɑ AB d
ელეგანტური	ɛ AB l ɛ AB ɡ ɑ AB n tʼ u AC r i AB
ელეგია	ɛ AB l ɛ AB ɡ i AB ɑ AB
ელეგიური	ɛ AB l ɛ AB ɡ i AB u AC r i AB
ელემენტარულად	ɛ AB l ɛ AB m ɛ AB n tʼ ɑ AB r u AC l ɑ AB d
ელემენტარული	ɛ AB l ɛ AB m ɛ AB n tʼ ɑ AB r u AC l i AB
ელემენტი	ɛ AB l ɛ AB m ɛ AB n tʼ i AB
ელენთა	ɛ AB l ɛ AB n tʰ ɑ AB
ელექსირი	ɛ AB l ɛ AB kʰ s i AB r i AB
ელექტორატი	ɛ AB l ɛ AB kʰ tʼ ɔ AC r ɑ AB tʼ i AB
ელექტრიკოსი	ɛ AB l ɛ AB kʰ tʼ r i AB kʼ ɔ AC s i AB
ელექტრობა	ɛ AB l ɛ AB kʰ tʼ r ɔ AC b ɑ AB
ელექტროდი	ɛ AB l ɛ AB kʰ tʼ r ɔ AC d i AB
ელექტროლიზი	ɛ AB l ɛ AB kʰ tʼ r ɔ AC l i AB z i AB
ელექტროლიტი	ɛ AB l ɛ AB kʰ tʼ r ɔ AC l i AB tʼ i AB
ელექტრონი	ɛ AB l ɛ AB kʰ tʼ r ɔ AC n i AB
ელექტრონული	ɛ AB l ɛ AB kʰ tʼ r ɔ AC n u AC l i AB
ელექტროქიმია	ɛ AB l ɛ AB kʰ tʼ r ɔ AC kʰ i AB m i AB ɑ AB
ელვა	ɛ AB l v ɑ AB
ელვარე	ɛ AB l v ɑ AB r ɛ AB
ელვარედ	ɛ AB l v ɑ AB r ɛ AB d
ელვაშესაკრავი	ɛ AB l v ɑ AB ʃ ɛ AB s ɑ AB kʼ r ɑ AB v i AB
ელიზა	ɛ AB l i AB z ɑ AB
ელიზია	ɛ AB l i AB z i AB ɑ AB
ელიზიუმი	ɛ AB l i AB z i AB u AC m i AB
ელინი	ɛ AB l i AB n i AB
ელინური	ɛ AB l i AB n u AC r i AB
ელიფსი	ɛ AB l i AB pʰ s i AB
ელიფსისი	ɛ AB l i AB pʰ s i AB s i AB
ელსმენი	ɛ AB l s m ɛ AB n i AB
ელფი	ɛ AB l pʰ i AB
ელჩი	ɛ AB l t ʃ i AB
ელჭექი	ɛ AB l t ʃʼ ɛ AB kʰ i AB
ემა	ɛ AB m ɑ AB
ემანაცია	ɛ AB m ɑ AB n ɑ AB t s i AB ɑ AB
ემანსიპაცია	ɛ AB m ɑ AB n s i AB pʼ ɑ AB t s i AB ɑ AB
ემბარგო	ɛ AB m b ɑ AB r ɡ ɔ AC
ემბლემა	ɛ AB m b l ɛ AB m ɑ AB
ემბრიონი	ɛ AB m b r i AB ɔ AC n i AB
ემბრიონული	ɛ AB m b r i AB ɔ AC n u AC l i AB
ემიგრანტი	ɛ AB m i AB ɡ r ɑ AB n tʼ i AB
ემიგრაცია	ɛ AB m i AB ɡ r ɑ AB t s i AB ɑ AB
ემილი	ɛ AB m i AB l i AB
ემირატი	ɛ AB m i AB r ɑ AB tʼ i AB
ემირი	ɛ AB m i AB r i AB
ემოციურად	ɛ AB m ɔ AC t s i AB u AC r ɑ AB d
ემოციური	ɛ AB m ɔ AC t s i AB u AC r i AB
ემპირიზმი	ɛ AB m pʼ i AB r i AB z m i AB
ემპირიკოსი	ɛ AB m pʼ i AB r i AB kʼ ɔ AC s i AB
ემპირიულად	ɛ AB m pʼ i AB r i AB u AC l ɑ AB d
ემპირიული	ɛ AB m pʼ i AB r i AB u AC l i AB
ემულსია	ɛ AB m u AC l s i AB ɑ AB
ემუქრები	ɛ AB m u AC kʰ r ɛ AB b i AB
ენა	ɛ AB n ɑ AB
ენაბლუ	ɛ AB n ɑ AB b l u AC
ენაბლუობა	ɛ AB n ɑ AB b l u AC ɔ AC b ɑ AB
ენაგეთი	ɛ AB n ɑ AB ɡ ɛ AB tʰ i AB
ენათმეცნიერება	ɛ AB n ɑ AB tʰ m ɛ AB t s n i AB ɛ AB r ɛ AB b ɑ AB
ენამოჩლექილად	ɛ AB n ɑ AB m ɔ AC t ʃ l ɛ AB kʰ i AB l ɑ AB d
ენანება	ɛ AB n ɑ AB n ɛ AB b ɑ AB
ენაჩლუნგი	ɛ AB n ɑ AB t ʃ l u AC n ɡ i AB
ენაჭარტალა	ɛ AB n ɑ AB t ʃʼ ɑ AB r tʼ ɑ AB l ɑ AB
ენგური	ɛ AB n ɡ u AC r i AB
ენდემური	ɛ AB n d ɛ AB m u AC r i AB
ენდობა	ɛ AB n d ɔ AC b ɑ AB
ენდრო	ɛ AB n d r ɔ AC
ენები	ɛ AB n ɛ AB b i AB
ენერგია	ɛ AB n ɛ AB r ɡ i AB ɑ AB
ენერგიულად	ɛ AB n ɛ AB r ɡ i AB u AC l ɑ AB d
ენერგიული	ɛ AB n ɛ AB r ɡ i AB u AC l i AB
ენთუზიაზმი	ɛ AB n tʰ u AC z i AB ɑ AB z m i AB
ენთუზიაზმით	ɛ AB n tʰ u AC z i AB ɑ AB z m i AB tʰ
ენთუზიასტი	ɛ AB n tʰ u AC z i AB ɑ AB s tʼ i AB
ენოტი	ɛ AB n ɔ AC tʼ i AB
ენტერიტი	ɛ AB n tʼ ɛ AB r i AB tʼ i AB
ენტომოლოგი	ɛ AB n tʼ ɔ AC m ɔ AC l ɔ AC ɡ i AB
ენტომოლოგია	ɛ AB n tʼ ɔ AC m ɔ AC l ɔ AC ɡ i AB ɑ AB
ეპარება	ɛ AB pʼ ɑ AB r ɛ AB b ɑ AB
ეპარქია	ɛ AB pʼ ɑ AB r kʰ i AB ɑ AB
ეპიგრამა	ɛ AB pʼ i AB ɡ r ɑ AB m ɑ AB
ეპიგრამული	ɛ AB pʼ i AB ɡ r ɑ AB m u AC l i AB
ეპიდემია	ɛ AB pʼ i AB d ɛ AB m i AB ɑ AB
ეპიდემიოლოგი	ɛ AB pʼ i AB d ɛ AB m i AB ɔ AC l ɔ AC ɡ i AB
ეპიდემიური	ɛ AB pʼ i AB d ɛ AB m i AB u AC r i AB
ეპიდერმისი	ɛ AB pʼ i AB d ɛ AB r m i AB s i AB
ეპიდიასკოპი	ɛ AB pʼ i AB d i AB ɑ AB s kʼ ɔ AC pʼ i AB
ეპიზოდი	ɛ AB pʼ i AB z ɔ AC d i AB
ეპიზოდური	ɛ AB pʼ i AB z ɔ AC d u AC r i AB
ეპითეტი	ɛ AB pʼ i AB tʰ ɛ AB tʼ i AB
ეპიკურეული	ɛ AB pʼ i AB kʼ u AC r ɛ AB u AC l i AB
ეპიკური	ɛ AB pʼ i AB kʼ u AC r i AB
ეპილეფსია	ɛ AB pʼ i AB l ɛ AB pʰ s i AB ɑ AB
ეპილეფსიური	ɛ AB pʼ i AB l ɛ AB pʰ s i AB u AC r i AB
ეპილოგი	ɛ AB pʼ i AB l ɔ AC ɡ i AB
ეპისკოპოსი	ɛ AB pʼ i AB s kʼ ɔ AC pʼ ɔ AC s i AB
ეპისტემოლოგია	ɛ AB pʼ i AB s tʼ ɛ AB m ɔ AC l ɔ AC ɡ i AB ɑ AB
ეპისტოლარული	ɛ AB pʼ i AB s tʼ ɔ AC l ɑ AB r u AC l i AB
ეპისტოლე	ɛ AB pʼ i AB s tʼ ɔ AC l ɛ AB
ეპიტაფია	ɛ AB pʼ i AB tʼ ɑ AB pʰ i AB ɑ AB
ეპიცენტრი	ɛ AB pʼ i AB t s ɛ AB n tʼ r i AB
ეპოლეტი	ɛ AB pʼ ɔ AC l ɛ AB tʼ i AB
ეპოქა	ɛ AB pʼ ɔ AC kʰ ɑ AB
ეპოქალური	ɛ AB pʼ ɔ AC kʰ ɑ AB l u AC r i AB
ერა	ɛ AB r ɑ AB
ერაყი	ɛ AB r ɑ AB qʼ i AB
ერბიუმი	ɛ AB r b i AB u AC m i AB
ერევანი	ɛ AB r ɛ AB v ɑ AB n i AB
ერესი	ɛ AB r ɛ AB s i AB
ერეტიკოსი	ɛ AB r ɛ AB tʼ i AB kʼ ɔ AC s i AB
ერეტიკული	ɛ AB r ɛ AB tʼ i AB kʼ u AC l i AB
ერთად	ɛ AB r tʰ ɑ AB d
ერთადერთი	ɛ AB r tʰ ɑ AB d ɛ AB r tʰ i AB
ერთბაშად	ɛ AB r tʰ b ɑ AB ʃ ɑ AB d
ერთგვაროვანი	ɛ AB r tʰ ɡ v ɑ AB r ɔ AC v ɑ AB n i AB
ერთგულად	ɛ AB r tʰ ɡ u AC l ɑ AB d
ერთგულება	ɛ AB r tʰ ɡ u AC l ɛ AB b ɑ AB
ერთგულები	ɛ AB r tʰ ɡ u AC l ɛ AB b i AB
ერთგული	ɛ AB r tʰ ɡ u AC l i AB
ერთდროულად	ɛ AB r tʰ d r ɔ AC u AC l ɑ AB d
ერთდროული	ɛ AB r tʰ d r ɔ AC u AC l i AB
ერთდროულობა	ɛ AB r tʰ d r ɔ AC u AC l ɔ AC b ɑ AB
ერთერთი	ɛ AB r tʰ ɛ AB r tʰ i AB
ერთთავად	ɛ AB r tʰ tʰ ɑ AB v ɑ AB d
ერთი	ɛ AB r tʰ i AB
ერთიანი	ɛ AB r tʰ i AB ɑ AB n i AB
ერთიანობა	ɛ AB r tʰ i AB ɑ AB n ɔ AC b ɑ AB
ერთმანეთი	ɛ AB r tʰ m ɑ AB n ɛ AB tʰ i AB
ერთმხრივი	ɛ AB r tʰ m x r i AB v i AB
ერთნაირობა	ɛ AB r tʰ n ɑ AB i AB r ɔ AC b ɑ AB
ერთობა	ɛ AB r tʰ ɔ AC b ɑ AB
ერთობლივად	ɛ AB r tʰ ɔ AC b l i AB v ɑ AB d
ერთობლივი	ɛ AB r tʰ ɔ AC b l i AB v i AB
ერთობლიობა	ɛ AB r tʰ ɔ AC b l i AB ɔ AC b ɑ AB
ერთსულოვანი	ɛ AB r tʰ s u AC l ɔ AC v ɑ AB n i AB
ერთსულოვნად	ɛ AB r tʰ s u AC l ɔ AC v n ɑ AB d
ერთსულოვნება	ɛ AB r tʰ s u AC l ɔ AC v n ɛ AB b ɑ AB
ერთსქესიანი	ɛ AB r tʰ s kʰ ɛ AB s i AB ɑ AB n i AB
ერთფერი	ɛ AB r tʰ pʰ ɛ AB r i AB
ერთფეროვანი	ɛ AB r tʰ pʰ ɛ AB r ɔ AC v ɑ AB n i AB
ერთფეროვნად	ɛ AB r tʰ pʰ ɛ AB r ɔ AC v n ɑ AB d
ერთფეროვნება	ɛ AB r tʰ pʰ ɛ AB r ɔ AC v n ɛ AB b ɑ AB
ერთცხენიანი	ɛ AB r tʰ t s x ɛ AB n i AB ɑ AB n i AB
ერთწლიანი	ɛ AB r tʰ t sʼ l i AB ɑ AB n i AB
ერთხელ	ɛ AB r tʰ x ɛ AB l
ერთხელაც	ɛ AB r tʰ x ɛ AB l ɑ AB t s
ერი	ɛ AB r i AB
ერიკა	ɛ AB r i AB kʼ ɑ AB
ერიკი	ɛ AB r i AB kʼ i AB
