ँ	ə̃
कल्पित	k ə l̪ p ɪ t̪
कविता	k ə ʋ ɪ t̪ äː
कशमकश	k ə ʃ ə̃ m k ə ʃ
कष्टसाध्य	k ə ʂ ʈ s̪ äː d̪ʱ j
कसके	k ə s̪ k eː
कसम	q ə s̪ ə̃ m
कसर	k ə s̪ ə ɾ
कसरत	k ə s̪ ɾ ə t̪
कसाई	q ə s̪ äː iː
कसूर	q ə s̪ uː ɾ
कसेरा	k ə s̪ eː ɾ äː
कसौटी	k ə s̪ ɔː ʈ iː
कहना	k ɛ ɦ n̪ äː
कहनी	k ɛ ɦ n̪ iː
कहर	q ɛ ɦ ɛ ɾ
कहलाना	k ɛ ɦ l̪ äː n̪ äː
कहवा	q ɛ ɦ ʋ äː
कहा	k ə ɦ äː
कहाँ	k ə ɦ ä̃ː
कहानी	k ə ɦ äː n̪ iː
कहानीकार	k ə ɦ äː n̪ iː k äː ɾ
कहावत	k ə ɦ äː ʋ ə t̪
क़तरा	q ə t̪ ɾ äː
क़त्ल	q ə t̪ l̪
क़त्लेआम	q ə t̪ l̪ eː ä̃ː m
क़दम	q ə d̪ ə̃ m
क़दमताल	q ə d̪ ə̃ m t̪ äː l̪
क़दीम	q ə d̪ ĩː m
क़द्दावर	q ə d̪̚ d̪ äː ʋ ə ɾ
क़द्रदान	q ə d̪ ɾ ə d̪ ä̃ː n̪
क़फ़स	q ə f ə s̪
क़बीला	q ə b iː l̪ äː
क़बूल	q ə b uː l̪
क़ब्ज़ा	q ə b z äː
क़ब्रिस्तान	q ə b ɾ ɪ s̪ t̪ ä̃ː n̪
क़रार	q ə ɾ äː ɾ
क़रीबन	q ə ɾ iː b ə̃ n̪
क़लम	q ə l̪ ə̃ m
क़व्वाल	q ə ʋ ʋ äː l̪
क़व्वाली	q ə ʋ ʋ äː l̪ iː
क़सम	q ə s̪ ə̃ m
क़साई	q ə s̪ äː iː
क़सीदा	q ə s̪ iː d̪ äː
क़सूर	q ə s̪ uː ɾ
क़स्बा	q ə s̪ b äː
क़हर	q ɛ ɦ ɛ ɾ
क़हवा	q ɛ ɦ ʋ äː
क़ाज़ी	q äː z iː
क़ातिल	q äː t̪ ɪ l̪
क़ातिलाना	q äː t̪ ɪ l̪ äː n̪ äː
क़ानून	q äː n̪ ũː n̪
क़ानूनगो	q äː n̪ ũː n̪ ɡ oː
क़ाफ़िला	q äː f ɪ l̪ äː
क़ाबिज़	q äː b ɪ z
क़ाबिल	q äː b ɪ l̪
क़ाबिलीयत	q äː b ɪ l̪ iː j ə t̪
क़ायदा	q äː j d̪ äː
क़ायम	q äː j ə̃ m
क़ालीन	q äː l̪ ĩː n̪
क़ासिद	q äː s̪ ɪ d̪
क़ाहिरा	q äː ɦ ɪ ɾ äː
क़िला	q ɪ l̪ äː
क़िल्लत	q ɪ l̪ l̪ ə t̪
क़िस्त	q ɪ s̪ t̪
क़िस्म	q ɪ s̪ m
क़िस्मत	q ɪ s̪ m ə t̪
क़िस्सा	q ɪ s̪ s̪ äː
क़ुरान	q ʊ ɾ ä̃ː n̪
क़ुल्फ़ी	q ʊ l̪ f iː
क़ैंची	q ɛ̃ː n̪ t ʃ iː
क़ैदख़ाना	q ɛː d̪ x äː n̪ äː
क़ौम	q ɔ̃ː m
का	k äː
काँख	k ä̃ː kʰ
काँच	k ä̃ː t ʃ
काँटा	k ä̃ː ʈ äː
काँपना	k ä̃ː p n̪ äː
काँव	k ä̃ː ʋ
काँस	k ä̃ː s̪
काँसा	k ä̃ː s̪ äː
कांग्रेस	k ä̃ː ŋ ɡ ɾ eː s̪
कांग्रेसी	k ä̃ː ŋ ɡ ɾ eː s̪ iː
कांटा	k ä̃ː ʈ äː
कांति	k ä̃ː n̪ t̪ iː
कांदा	k ä̃ː n̪ d̪ äː
कांसा	k ä̃ː n̪ s̪ äː
कांसी	k ä̃ː n̪ s̪ iː
काका	k äː k äː
काकी	k äː k iː
कागज	k äː ɣ ə z
कागज़	k äː ɣ ə z
कागद	k äː ɡ ə d̪
काग़ज	k äː ɣ ə z
काग़ज़	k äː ɣ ə z
काग़ज़ात	k äː ɣ z äː t̪
काज	k äː d ʒ
काजल	k äː d ʒ ə l̪
काजू	k äː d ʒ uː
काटना	k äː ʈ n̪ äː
काठ	k äː ʈʰ
काठमांडू	k äː ʈʰ m ä̃ː ɳ ɖ uː
काढ़ना	k äː ɽʱ n̪ äː
कान	k ä̃ː n̪
कानपुर	k ä̃ː n̪ p ʊ ɾ
काना	k äː n̪ äː
कानून	q äː n̪ ũː n̪
कान्ति	k ä̃ː n̪ t̪ iː
कान्हा	k ä̃ː n̪ ɦ äː
कापी	k äː p iː
कापीराइट	k äː p iː ɾ äː ɪ ʈ
काफल	k äː pʰ ə l̪
काफ़ी	k äː pʰ iː
काफी	k äː pʰ iː
काबीना	k äː b iː n̪ äː
काबुकी	k äː b ʊ k iː
काबुल	k äː b ʊ l̪
काम	k ä̃ː m
कामकाज	k ä̃ː m k äː d ʒ
कामक्रिया	k äː m ə k ɾ i j äː
कामगार	k ä̃ː m ɡ äː ɾ
कामचोर	k ä̃ː m t ʃ oː ɾ
कामना	k ä̃ː m n̪ äː
कामयाब	k ä̃ː m j äː b
कामवाली	k ä̃ː m w äː l̪ iː
कामिल	k äː m ɪ l̪
कामी	k äː m iː
कामुक	k äː m ʊ k
कामुकता	k äː m ʊ k t̪ äː
कामोन्माद	k äː m õː n̪ m äː d̪
कायको	k äː j k oː
कायनात	k äː j n̪ äː t̪
कायर	k äː j ə ɾ
कायांतरण	k äː j ä̃ː n̪ t̪ ə ɾ ə̃ ɳ
कायान्तरण	k äː j ä̃ː n̪ t̪ ə ɾ ə̃ ɳ
कायोत्सर्ग	k äː j oː t̪ s̪ ə ɾ ɡ
कार	k äː ɾ
कारक	k äː ɾ ə k
कारख़ाना	k äː ɾ x äː n̪ äː
कारखाना	k äː ɾ x äː n̪ äː
कारगर	k äː ɾ ɡ ə ɾ
कारण	k äː ɾ ə̃ ɳ
कारतूस	k äː ɾ t̪ uː s̪
कारनामा	k äː ɾ n̪ äː m äː
कारबार	k äː ɾ b äː ɾ
कारवाँ	k äː ɾ ʋ ä̃ː
कारा	k äː ɾ äː
कारावास	k äː ɾ äː ʋ äː s̪
कारोबारी	k äː ɾ oː b äː ɾ iː
कार्गो	k äː ɾ ɡ oː
कार्टून	k äː ɾ ʈ ũː n̪
कार्ड	k äː ɾ ɖ
कार्डिफ़	k äː ɾ ɖ ɪ pʰ
कार्तिक	k äː ɾ t̪ ɪ k
कार्त्तिक	k äː ɾ t̪ ɪ k
कार्थेज	k äː ɾ t̪ʰ eː d ʒ
कार्य	k äː ɾ j
कार्यकर्ता	k äː ɾ j ə k ə ɾ t̪ äː
कार्यकाल	k äː ɾ j ə k äː l̪
कार्यकुशल	k äː ɾ j ə k ʊ ʃ ə l̪
कार्यक्रम	k äː ɾ j ə k ɾ ə̃ m
कार्यभार	k äː ɾ j ə bʱ äː ɾ
कार्यशाला	k äː ɾ j ə ʃ äː l̪ äː
कार्यसमिति	k äː ɾ j ə s̪ ə m ɪ t̪ iː
कार्यसूची	k äː ɾ j ə s̪ uː t ʃ iː
कार्यान्वित	k äː ɾ j ä̃ː n̪ w ɪ t̪
कार्यालय	k äː ɾ j äː l̪ ə j
कार्रवाई	k äː ɾ ɾ ə ʋ äː iː
काल	k äː l̪
कालक्रम	k äː l̪ k ɾ ə̃ m
कालजयी	k äː l̪ d ʒ ə j iː
कालद्वीप	k äː l̪ ə d̪ w iː p
काला	k äː l̪ äː
कालाधन	k äː l̪ äː d̪ʱ ə̃ n̪
कालापन	k äː l̪ äː p ə̃ n̪
कालिज	k äː l̪ ɪ d ʒ
काली	k äː l̪ iː
कालीन	k äː l̪ ĩː n̪
कालू	k äː l̪ uː
कालेज	k äː l̪ eː d ʒ
काल्पनिक	k äː l̪ p ə n̪ ɪ k
काव्य	k äː ʋ j
काष्ठशर्करा	k äː ʂ ʈʰ ʃ ə ɾ k ə ɾ äː
कासा	k äː s̪ äː
किंतु	k ɪ̃ n̪ t̪ uː
किंवदंती	k ɪ̃ m w d̪ ə̃ n̪ t̪ iː
किचन	k ɪ t ʃ ə̃ n̪
कितना	k ɪ t̪̚ n̪ äː
कितने	k ɪ t̪̚ n̪ eː
किताब	k ɪ t̪ äː b
किन	k ɪ̃ n̪
किनारा	k ɪ n̪ äː ɾ äː
किन्नर	k ɪ̃ n̪ n̪ ə ɾ
किफ़ायत	k ɪ pʰ äː j ə t̪
किफ़ायती	k ɪ pʰ äː j ə t̪ iː
किया	k i j äː
किरकिला	k ɪ ɾ k ɪ l̪ äː
किरण	k ɪ ɾ ə̃ ɳ
किरणपुंज	k ɪ ɾ ə̃ ɳ p ʊ̃ n̪ d ʒ
किरदार	k ɪ ɾ d̪ äː ɾ
किराँची	k ɪ ɾ ä̃ː t ʃ iː
किराया	k ɪ ɾ äː j äː
किरायेदार	k ɪ ɾ äː j eː d̪ äː ɾ
किरासन	k ɪ ɾ äː s̪ ə̃ n̪
किर्गिज़स्तान	k ɪ ɾ ɡ ɪ z ə s̪ t̪ ä̃ː n̪
किला	q ɪ l̪ äː
किलो	k ɪ l̪ oː
किलोग्राम	k ɪ l̪ oː ɡ ɾ ä̃ː m
किलोमीटर	k ɪ l̪ oː m iː ʈ ə ɾ
किशोरा	k ɪ ʃ oː ɾ äː
किसान	k ɪ s̪ ä̃ː n̪
किसानी	k ɪ s̪ äː n̪ iː
किस्म	q ɪ s̪ m
कीटाणु	k iː ʈ äː ɳ uː
कीड़ा	k iː ɽ aː
कीमिया	k iː m i j äː
कीर्तन	k iː ɾ t̪ ə̃ n̪
कील	k iː l̪
कुँआ	k ʊ̃ äː
कुँआरी	k ʊ̃ äː ɾ iː
कुंजड़ा	k ʊ̃ n̪ d ʒ ɽ äː
कुंजी	k ʊ̃ n̪ d ʒ iː
कुंजीपटल	k ʊ̃ n̪ d ʒ iː p ə ʈ ə l̪
कुंडली	k ʊ̃ ɳ ɖ ə l̪ iː
कुंद	k ʊ̃ n̪ d̪
कुआँ	k ʊ ä̃ː
कुकुरमुत्ता	k ʊ k ʊ ɾ m ʊ t̪̚ t̪ äː
कुख्यात	k ʊ kʰ j äː t̪
कुख्याति	k ʊ kʰ j äː t̪ iː
कुचलना	k ʊ t ʃ ə l̪ n̪ äː
कुटिया	k ʊ ʈ i j äː
कुटिल	k ʊ ʈ ɪ l̪
कुटुंब	k ʊ ʈ ʊ̃ m b
कुट्टार	k ʊ ʈ̚ ʈ äː ɾ
कुतरना	k ʊ t̪ ə ɾ n̪ äː
कुत्ता	k ʊ t̪̚ t̪ äː
कुत्ती	k ʊ t̪̚ t̪ iː
कुत्रापि	k ʊ t̪ ɾ äː p iː
कुदाल	k ʊ d̪ äː l̪
कुनबा	k ʊ̃ n̪ b äː
कुप्पी	k ʊ p̚ p iː
कुमाऊँ	k ʊ m äː ũː
कुमारी	k ʊ m äː ɾ iː
कुमुदिनी	k ʊ m ʊ d̪ ɪ n̪ iː
कुम्हड़ा	k ʊ̃ m ɦ ə ɽ äː
कुम्हलाना	k ʊ̃ m ɦ l̪ äː n̪ äː
कुरता	k ʊ ɾ t̪ äː
कुरूपता	k ʊ ɾ uː p t̪ äː
कुर्नूल	k ʊ ɾ n̪ uː l̪
कुल	k ʊ l̪
कुलक	k ʊ l̪ ə k
कुलधर्म	k ʊ l̪ d̪ʱ ə ɾ m
कुल्चा	k ʊ l̪ t ʃ äː
कुल्ला	k ʊ l̪ l̪ äː
कुल्हड़	k ʊ l̪ ɦ ə ɽ
कुशल	k ʊ ʃ ə l̪
कुशासन	k ʊ ʃ äː s̪ ə̃ n̪
कुसल	k ʊ s̪ ə l̪
कुसुम	k ʊ s̪ ʊ̃ m
कुसूर	q ʊ s̪ uː ɾ
कुहनी	k ɔ ɦ n̪ iː
कुहरा	k ɔ ɦ ɾ äː
कूटनीति	k uː ʈ n̪ iː t̪ iː
कूटनीतिक	k uː ʈ n̪ iː t̪ ɪ k
कूटनीतिज्ञ	k uː ʈ n̪ iː t̪ ɪ ɡ j
कूड़ा	k uː ɽ äː
कूड़ेदान	k uː ɽ eː d̪ ä̃ː n̪
कूदना	k uː d̪̚ n̪ äː
कूलॉम	k uː l̪ ɔ̃ m
कूल्हा	k uː l̪ ɦ äː
कृतित्व	k ɾ ɪ t̪ ɪ t̪ w
कृत्रिम	k ɾ ɪ t̪ ɾ ɪ̃ m
कृदंत	k ɾ ɪ d̪ ə̃ n̪ t̪
कृदन्त	k ɾ ɪ d̪ ə̃ n̪ t̪
कृपया	k ɾ ɪ p j äː
कृष्ण	k ɾ ɪ ʃ ɳ äː
कृष्णा	k ɾ ɪ ʃ ɳ äː
कॅटलोनिया	k æ ʈ l̪ oː n̪ i j äː
कॅन्सर	k æ̃ n̪ s̪ ə ɾ
केंद्र	k ẽː n̪ d̪ ɾ
केंद्रक	k ẽː n̪ d̪ ɾ ə k
केंद्रित	k ẽː n̪ d̪ ɾ ɪ t̪
केंद्रीकरण	k ẽː n̪ d̪ ɾ iː k ə ɾ ə̃ ɳ
केकड़ा	k eː k ɽ aː
केतली	k eː t̪ l̪ iː
केन्द्र	k ẽː n̪ d̪ ɾ
केन्या	k ẽː n̪ j äː
केपटाउन	k eː p ʈ äː ʊ̃ n̪
केरल	k eː ɾ ə l̪
केला	k eː l̪ äː
केलि	k eː l̪ iː
कैंची	q ɛ̃ː n̪ t ʃ iː
कैंटीन	k ɛ̃ː ɳ ʈ ĩː n̪
कैंडी	k ɛ̃ː ɳ ɖ iː
कैंब्रिज	k ɛ̃ː m b ɾ ɪ d ʒ
कैंसर	k æ̃ n̪ s̪ ə ɾ
कैथल	k ɛː t̪ʰ ə l̪
कैनबरा	k ɛː n̪ ə b ɾ äː
कैमरा	k ɛ̃ː m ɾ äː
कैरम	k ɛː ɾ ə̃ m
कैलकुलेटर	k ɛː l̪ k ʊ l̪ eː ʈ ə ɾ
कैलगरी	k ɛː l̪ ɡ ə ɾ iː
कैलिफ़ोर्निया	k ɛː l̪ ɪ pʰ oː ɾ n̪ i j äː
कैसा	k ɛː s̪ äː
कॉपीराइट	k ɔ p iː ɾ äː ɪ ʈ
कॉमनवेल्थ	k ɔ m ə̃ n̪ w eː l̪ t̪ʰ
कॉमेडियन	k ɔ m eː ɖ i j ə̃ n̪
कोंकण	k õː ŋ k ə̃ ɳ
कोंकणी	k õː ŋ k ɳ iː
कोंपल	k õː m p ə l̪
कोटवाल	k oː ʈ w äː l̪
कोटा	k oː ʈ äː
कोठा	k oː ʈʰ äː
कोठारी	k oː ʈʰ äː ɾ iː
कोड़ा	k oː ɽ äː
कोण	k õː ɳ
कोतवाल	k oː t̪ w äː l̪
कोपचा	k oː p t ʃ äː
कोमोरोस	k oː m oː ɾ oː s̪
कोयंबतूर	k oː j ə̃ m b ə t̪ uː ɾ
कोयल	k oː j ə l̪
कोयला	k oː j l̪ aː
कोरा	k oː ɾ äː
कोरियन	k oː ɾ i j ə̃ n̪
कोरिया	k oː ɾ i j äː
कोरियाई	k oː ɾ i j äː iː
कोरेगांव	k oː ɾ eː ɡ ä̃ː m w
कोरोनावायरस	k oː ɾ oː n̪ äː ʋ äː j ɾ ə s̪
कोलकाता	k oː l̪ k äː t̪ äː
कोलाहल	k oː l̪ äː ɦ ə l̪
कोशकला	k oː ʃ k ə l̪ äː
कोशिका	k oː ʃ ɪ k äː
कोष	k oː ʃ
कोष्ठक	k oː ʃ ʈʰ ə k
कोस	k oː s̪
कोसना	k oː s̪ n̪ äː
कोहनी	k oː ɦ n̪ iː
कोहराम	k oː ɦ ɾ ä̃ː m
कोहिमा	k oː ɦ ɪ m äː
कोहेनूर	k oː ɦ eː n̪ uː ɾ
कौंसिल	k ɔ̃ː n̪ s̪ ɪ l̪
कौआ	k ə̯ u ʋ äː
कौन	k ɔ̃ː n̪
कौमार्य	k ɔː m äː ɾ j
कौवा	k ə̯ u ʋ äː
क्या	k j äː
क्यूबा	k j uː b äː
क्योंकि	k j õː ŋ k iː
क्रम	k ɾ ə̃ m
क्रमण	k ɾ ə m ə̃ ɳ
क्रमबद्ध	k ɾ ə̃ m b ə d̪ d̪ʱ
क्रमशः	k ɾ ə̃ m ʃ ə ɦ
क्रमसूचक	k ɾ ə̃ m s̪ uː t ʃ ə k
क्रमागत	k ɾ ə m äː ɡ ə t̪
क्रमादेशन	k ɾ ə m äː d̪ eː ʃ ə̃ n̪
क्रांति	k ɾ ä̃ː n̪ t̪ iː
क्रांतिकारी	k ɾ ä̃ː n̪ t̪ ɪ k äː ɾ iː
क्राइस्टचर्च	k ɾ äː ɪ s̪ ʈ t ʃ ə ɾ t ʃ
क्रान्ति	k ɾ ä̃ː n̪ t̪ iː
क्रिया	k ɾ i j äː
क्रियाकलाप	k ɾ i j äː k ə l̪ äː p
क्रियापद	k ɾ i j äː p ə d̪
क्रियारूप	k ɾ i j äː ɾ uː p
क्रियावाचक	k ɾ i j äː ʋ äː t ʃ ə k
क्रियाविशेषण	k ɾ i j äː ʋ ɪ ʃ eː ʃ ə̃ ɳ
क्रिसमस	k ɾ ɪ s̪ m ə s̪
क्रिस्टल	k ɾ ɪ s̪ ʈ ə l̪
क्रिस्मस	k ɾ ɪ s̪ m ə s̪
क्रीड़ा	k ɾ iː ɽ äː
क्रीड़ास्थल	k ɾ iː ɽ äː s̪ t̪ʰ ə l̪
क्रीड़िका	k ɾ iː ɽ ɪ k äː
क्रीडिका	k ɾ iː ɖ ɪ k äː
क्रीम	k ɾ ĩː m
क्रूस	k ɾ uː s̪
क्रेता	k ɾ eː t̪ äː
क्रेमलिन	k ɾ ẽː m l̪ ɪ̃ n̪
क्रोएशिया	k ɾ oː eː ʃ i j äː
क्लब	k l̪ ə b
क्लर्क	k l̪ ə ɾ k
क्लास	k l̪ äː s̪
क्वथनांक	k w ə t̪ʰ ə n̪ ä̃ː k
क्वारंटीन	k w äː ɾ ə̃ ɳ ʈ ĩː n̪
क्वार्टज़	k w äː ɾ ʈ z
क्विंटल	k w ɪ̃ ɳ ʈ ə l̪
क्वेटा	k w eː ʈ äː
क्षण	k ʃ ə̃ ɳ
क्षति	k ʃ ə t̪ iː
क्षत्राणी	k ʃ ə t̪ ɾ äː ɳ iː
क्षत्रिय	k ʃ ə t̪ ɾ i j ə
क्षमता	k ʃ ə̃ m t̪ äː
क्षमा	k ʃ ə m äː
क्षम्य	k ʃ ə̃ m j
क्षयरोग	k ʃ ə j ɾ oː ɡ
क्षारातु	k ʃ äː ɾ äː t̪ uː
क्षारीय	k ʃ äː ɾ iː j
क्षितिज	k ʃ ɪ t̪ ɪ d ʒ
क्षीण	k ʃ ĩː ɳ
क्षुद्र	k ʃ ʊ d̪ ɾ
क्षुधा	k ʃ ʊ d̪ʱ äː
क्षुब्ध	k ʃ ʊ b d̪ʱ
क्षेत्र	k ʃ eː t̪ ɾ
क्षेत्रफल	k ʃ eː t̪ ɾ ə pʰ ə l̪
क्षेत्ररक्षण	k ʃ eː t̪ ɾ ə ɾ ə k ʃ ə̃ ɳ
क्षेत्राधिकार	k ʃ eː t̪ ɾ äː d̪ʱ ɪ k äː ɾ
क्षेत्रीय	k ʃ eː t̪ ɾ iː j
खँखड़	kʰ ə̃ ŋ kʰ ə ɽ
खंड	kʰ ə̃ ɳ ɖ
खंडशः	kʰ ə̃ ɳ ɖ ʃ ə ɦ
खंडहर	kʰ ə̃ ɳ ɖʱ ə ɾ
खंबा	kʰ ə̃ m b äː
खंभा	kʰ ə̃ m bʱ äː
खगोल	kʰ ə ɡ oː l̪
खच्चर	kʰ ə t̚ t ʃ ə ɾ
खटखटाना	kʰ ə ʈ kʰ ə ʈ äː n̪ äː
खटमल	kʰ ə ʈ m ə l̪
खटमिट्ठा	kʰ ə ʈ m ɪ ʈ̚ ʈʰ äː
खटाई	kʰ ə ʈ äː iː
खड़ा	kʰ ə ɽ äː
खड़िया	kʰ ə ɽ i j äː
खड़ूस	kʰ ə ɽ uː s̪
खण्ड	kʰ ə̃ ɳ ɖ
खतौनी	kʰ ə t̪ ɔː n̪ iː
खदान	kʰ ə d̪ ä̃ː n̪
खदेड़ना	kʰ ə d̪ eː ɽ n̪ äː
खनन	kʰ ə n̪ ə̃ n̪
खनाखन	kʰ ə n̪ äː kʰ ə̃ n̪
खनिज	kʰ ə n̪ ɪ d ʒ
खनित्र	kʰ ə n̪ ɪ t̪ ɾ
खपरैल	kʰ ə p ɾ ɛː l̪
खयाल	x ə j äː l̪
खयालें	x ə j äː l̪ ẽː
खयालो	x ə j äː l̪ oː
खयालों	x ə j äː l̪ õː
खरा	kʰ ə ɾ äː
खराई	kʰ ə ɾ äː iː
खरोंच	kʰ ə ɾ õː n̪ t ʃ
खरोंचना	kʰ ə ɾ õː n̪ t ʃ n̪ äː
खलना	kʰ ə l̪ n̪ äː
खलनायक	kʰ ə l̪ n̪ äː j ə k
खलासी	x ə l̪ äː s̪ iː
खलिहान	kʰ ə l̪ ɪ ɦ ä̃ː n̪
खल्लास	kʰ ə l̪ l̪ äː s̪
खसरा	kʰ ə s̪ ɾ äː
ख़ंजर	x ə̃ n̪ d ʒ ə ɾ
ख़ज़ाना	x ə z äː n̪ äː
ख़तम	x ə t̪ ə̃ m
ख़ता	x ə t̪ äː
ख़त्म	x ə t̪ ə̃ m
ख़फ़ा	x ə f äː
ख़बरनवीस	x ə b ə ɾ n̪ ə ʋ iː s̪
ख़म	x ə̃ m
ख़मियाज़ा	x ə m i j äː z äː
ख़याल	x ə j äː l̪
ख़रबूज़ा	x ə ɾ b uː z äː
ख़राब	x ə ɾ äː b
ख़राश	x ə ɾ äː ʃ
ख़रीदना	x ə ɾ iː d̪̚ n̪ äː
ख़रीदवाना	x ə ɾ iː d̪ w äː n̪ äː
ख़रीदार	x ə ɾ iː d̪ äː ɾ
ख़रीदारी	x ə ɾ iː d̪ äː ɾ iː
ख़र्चा	x ə ɾ t ʃ äː
ख़लक़	x ə l̪ q
ख़लासी	x ə l̪ äː s̪ iː
ख़लिश	x ə l̪ ɪ ʃ
ख़लीफ़ा	x ə l̪ iː f äː
ख़सरा	x ə s̪ ɾ äː
ख़ाक	x äː k
ख़ाक़ान	x äː q ä̃ː n̪
ख़ाका	x äː k äː
ख़ातिर	x äː t̪ ɪ ɾ
ख़ातून	x äː t̪ ũː n̪
ख़ान	x ä̃ː n̪
ख़ानक़ाह	x ä̃ː n̪ q äː ɦ
ख़ानगी	x ä̃ː n̪ ɡ iː
ख़ानदान	x ä̃ː n̪ d̪ ä̃ː n̪
ख़ानदानी	x ä̃ː n̪ d̪ äː n̪ iː
ख़ानसामा	x ä̃ː n̪ s̪ äː m äː
ख़ानसामाँ	x ä̃ː n̪ s̪ äː m ä̃ː
ख़ाना	x äː n̪ äː
ख़ानाबदोश	x äː n̪ äː b ə d̪ oː ʃ
ख़ामी	x äː m iː
ख़ारिज	x äː ɾ ɪ d ʒ
ख़ाला	x äː l̪ äː
ख़ालिक़	x äː l̪ ɪ q
ख़ालिस	x äː l̪ ɪ s̪
ख़ालिस्तान	x äː l̪ ɪ s̪ t̪ ä̃ː n̪
ख़ाली	x äː l̪ iː
ख़ावंद	x äː ʋ ə̃ n̪ d̪
ख़ास	x äː s̪
ख़ासियत	x äː s̪ i j ə t̪
ख़िताब	x ɪ t̪ äː b
ख़िताबी	x ɪ t̪ äː b iː
ख़िदमतगार	x ɪ d̪ m ə t̪ ɡ äː ɾ
ख़िलाफ़	x ɪ l̪ äː f
ख़ुदा	x ʊ d̪ äː
ख़ुदावंद	x ʊ d̪ äː ʋ ə̃ n̪ d̪
ख़ुफ़िया	x ʊ f i j äː
ख़ुराफ़ात	x ʊ ɾ äː f äː t̪
ख़ुलासा	x ʊ l̪ äː s̪ äː
ख़ुशआमदीद	x ʊ ʃ ə ä̃ː m d̪ iː d̪
ख़ुशक़िस्मत	x ʊ ʃ q ɪ s̪ m ə t̪
ख़ुशनसीब	x ʊ ʃ n̪ ə s̪ iː b
ख़ुशबूदार	x ʊ ʃ b uː d̪ äː ɾ
ख़ुशमिज़ाज	x ʊ ʃ m ɪ z äː d ʒ
ख़ुशहाल	x ʊ ʃ ɦ äː l̪
ख़ुशहाली	x ʊ ʃ ɦ äː l̪ iː
ख़ुशाब	x ʊ ʃ äː b
ख़ुशामद	x ʊ ʃ äː m ə d̪
ख़ूँख़ार	x ũː x äː ɾ
ख़ून	x ũː n̪
ख़ूनी	x uː n̪ iː
ख़ूबसूरत	x uː b s̪ uː ɾ ə t̪
ख़ूबसूरती	x uː b s̪ uː ɾ t̪ iː
ख़ूबानी	x uː b äː n̪ iː
ख़ैरात	x ɛː ɾ äː t̪
ख़ैरियत	x ɛː ɾ i j ə t̪
ख़्याल	x j äː l̪
ख़्वाजा	x ʋ äː d ʒ äː
ख़्वाब	x ʋ äː b
ख़्वाबगाह	x ʋ äː b ɡ äː ɦ
ख़्वाहिश	x ʋ äː ɦ ɪ ʃ
खाँग	kʰ ä̃ː ŋ ɡ
खाँसना	kʰ ä̃ː s̪ n̪ äː
खाँसी	kʰ ä̃ː s̪ iː
खांसना	kʰ ä̃ː n̪ s̪ n̪ äː
खाई	kʰ äː iː
खाट	kʰ äː ʈ
खाड़ी	kʰ äː ɽ iː
खाता	kʰ äː t̪ äː
खाद	kʰ äː d̪
खादन	kʰ äː d̪ ə̃ n̪
खादी	kʰ äː d̪ iː
खाद्य	kʰ äː d̪ j ə
खान	kʰ ä̃ː n̪
खाना	kʰ äː n̪ äː
खानि	kʰ äː n̪ iː
खाने	kʰ äː n̪ eː
खाप	kʰ äː p
खारा	kʰ äː ɾ äː
खाली	x äː l̪ iː
खिंचाव	kʰ ɪ̃ n̪ t ʃ äː ʋ
खिन्न	kʰ ɪ̃ n̪ n̪
खिलना	kʰ ɪ l̪ n̪ äː
खिलवाना	kʰ ɪ l̪ ʋ äː n̪ äː
खिलाड़ी	kʰ ɪ l̪ äː ɽ iː
खिलाना	kʰ ɪ l̪ äː n̪ äː
खिलौना	kʰ ɪ l̪ ɔː n̪ äː
खिसकना	kʰ ɪ s̪ ə k n̪ äː
खींचतान	kʰ ĩː t ʃ t̪ ä̃ː n̪
खींचना	kʰ ĩː t ʃ n̪ äː
खीरा	kʰ iː ɾ äː
खील	kʰ iː l̪
खीसा	kʰ iː s̪ äː
खुजलाना	kʰ ʊ d ʒ l̪ äː n̪ äː
खुजली	kʰ ʊ d ʒ l̪ iː
खुदरा	kʰ ʊ d̪ ɾ äː
खुदाई	kʰ ʊ d̪ äː iː
खुबानी	x uː b äː n̪ iː
खुरपा	kʰ ʊ ɾ p äː
खुलकर	kʰ ʊ l̪ k ə ɾ
खुलना	kʰ ʊ l̪ n̪ äː
खुला	kʰ ʊ l̪ äː
खुलापन	kʰ ʊ l̪ äː p ə̃ n̪
खुलेआम	kʰ ʊ l̪ eː ä̃ː m
खेना	kʰ eː n̪ äː
खेल	kʰ eː l̪
खेलकूद	kʰ eː l̪ k uː d̪
खेलना	kʰ eː l̪ n̪ äː
खेला	kʰ eː l̪ äː
खैरात	x ɛː ɾ äː t̪
खोंसना	kʰ õː n̪ s̪ n̪ äː
खोआ	kʰ oː äː
खोका	kʰ oː k äː
खोजना	kʰ oː d ʒ n̪ äː
खोटा	kʰ oː ʈ aː
खोदना	kʰ oː d̪̚ n̪ äː
खोना	kʰ oː n̪ äː
खोया	kʰ oː j äː
खोलना	kʰ oː l̪ n̪ äː
खोला	kʰ oː l̪ äː
ख्वाब	x ʋ äː b
गँवाना	ɡ ə̃ ʋ äː n̪ äː
गंगई	ɡ ə̃ ŋ ɡ ə iː
गंगाजल	ɡ ə̃ ŋ ɡ äː d ʒ ə l̪
गंजा	ɡ ə̃ n̪ d ʒ äː
गंजी	ɡ ə̃ n̪ d ʒ iː
